t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg]
0.21,-0.00161371696051993,-0.018240961030395,-0.0179477980839818,0.000726454435078738,8107015.93870933
0.22,-0.00179319494135975,-0.0182336964860442,-0.0188940235859326,0.0300750432058182,8106714.8912825
0.23,-0.00198213517721907,-0.0179329460539861,-0.0198401398359394,0.0622893138855856,8106407.08482463
0.24,-0.00218053657557847,-0.0173100529151302,-0.0207861011160688,0.0973362555541038,8106092.59808058
0.25,-0.00238839758673916,-0.0163366903595892,-0.0217318639610974,0.13509198720846,8105771.72446607
0.26,-0.00260571622635013,-0.0149857704875046,-0.0226773818259549,0.1755066635807,8105444.58247744
0.27,-0.00283249004460968,-0.0132307038516976,-0.023622707483101,0.216193517525322,8105116.81077261
0.28,-0.00306871711944069,-0.0110687686764443,-0.0245678204558706,0.256885981900075,8104789.03907666
0.29,-0.0033143953239994,-0.0084999088574436,-0.025512689645406,0.297584057771953,8104461.26738943
0.3,-0.00356952222045346,-0.00552406827972406,-0.0264572839462097,0.338287746228485,8104133.49571072
0.31,-0.00383409505991555,-0.00214119081743921,-0.027401572239098,0.378997048359317,8103805.72404033
0.32,-0.00410811078230653,0.00164877966615396,-0.0283455233914506,0.419711965254343,8103477.95237805
0.33,-0.00439156601622104,0.00584589931869739,-0.0292891062574143,0.460432498003334,8103150.18072367
0.34,-0.00468445707879518,0.0104502242987307,-0.0302322896781719,0.501158647696324,8102822.40907698
0.35,-0.0049867799755769,0.015461810775694,-0.0311750424821584,0.541890415423296,8102494.63743778
0.36,-0.00529853040039848,0.0208807149299269,-0.0321173334853174,0.582627802274397,8102166.86580586
0.37,-0.00561970373525166,0.0267069929526709,-0.0330591314913051,0.623370809339316,8101839.09418101
0.38,-0.00595029505016471,0.0329407010460641,-0.0340004052917891,0.664119437708207,8101511.32256303
0.39,-0.0062902991030826,0.0395818954231461,-0.0349411236666578,0.704873688471163,8101183.55095171
0.4,-0.00663971033974918,0.0466306323078578,-0.0358812553842392,0.745633562717727,8100855.77934683
0.41,-0.00699852289359157,0.054086967935035,-0.0368207692015738,0.78639906153743,8100528.00774819
0.42,-0.00736673058560731,0.0619509585504093,-0.0377596338646636,0.827170186019926,8100200.23615559
0.43,-0.00774432692425395,0.0702226604106086,-0.038697818108701,0.867946937254703,8099872.4645688
0.44,-0.00813130510534095,0.0789021297831556,-0.0396352906583104,0.908729316331058,8099544.69298764
0.45,-0.00852765801192406,0.0879894229464662,-0.0405720202277918,0.949517324338065,8099216.92141187
0.46,-0.00893337821420198,0.0974845961898469,-0.0415079755213629,0.990310962364558,8098889.1498413
0.47,-0.00934845796941561,0.107387705813492,-0.0424431252198015,1.03111023149869,8098561.37827572
0.48,-0.00977288922161362,0.117698808128479,-0.043377437997824,1.07191513282877,8098233.60671492
0.49,-0.0102066636015919,0.128417959456767,-0.04431088253085,1.11272566744266,8097905.83515868
0.5,-0.0106497724269004,0.139545216131194,-0.0452434274851903,1.15354183642791,8097578.06360679
0.51,-0.0111022067017523,0.151080634495473,-0.0461750415182899,1.19436364087167,8097250.29205906
0.52,-0.0115639571169352,0.163024270904189,-0.0471056932789723,1.23519108186068,8096922.52051526
0.53,-0.0120350140497249,0.175376181722796,-0.048035351407682,1.27602416048126,8096594.74897519
0.54,-0.0125153675638017,0.188136423327609,-0.048963984536729,1.3168628778193,8096266.97743863
0.55,-0.013005007409169,0.201305052105802,-0.0498915612905318,1.35770723496018,8095939.20590538
0.56,-0.0135039230220743,0.214882124455404,-0.0508180502858618,1.39855723298878,8095611.43437522
0.57,-0.0140121035249329,0.228867696785291,-0.0517434201320869,1.43941287298946,8095283.66284796
0.58,-0.0145295377262538,0.243261825515186,-0.0526676394314156,1.48027415604602,8094955.89132336
0.59,-0.015056214120568,0.258064567075646,-0.0535906767791413,1.52114108324167,8094628.11980123
0.6,-0.0155921208883594,0.273275977908063,-0.0545125007638859,1.56201365565901,8094300.34828136
0.61,-0.0161372458959982,0.288896114464653,-0.0554330799678449,1.60289187438,8093972.57676352
0.62,-0.0166915766956767,0.304925033208453,-0.0563523829670311,1.64377574048595,8093644.80524752
0.63,-0.017255100525347,0.321362790613313,-0.0572703783315154,1.68466525505735,8093317.03373314
0.64,-0.0178278043086621,0.338209443163886,-0.0581870346256577,1.72556041917347,8092989.26222017
0.65,-0.0184096746549187,0.355465047355621,-0.0591023204083895,1.76646123391344,8092661.49070841
0.66,-0.0190006978590026,0.373129659694755,-0.0600162042123663,1.80736770035598,8092333.71919762
0.67,-0.0196008599011263,0.391203336698315,-0.0609286545837691,1.84827981957872,8092005.94768762
0.68,-0.020210146446964,0.409686134894102,-0.0618396400666502,1.88919759265838,8091678.17617818
0.69,-0.0208285428476305,0.428578110820686,-0.0627491292005932,1.93012102067087,8091350.4046691
0.7,-0.0214560341396364,0.447879321027395,-0.0636570905209583,1.9710501046912,8091022.63316016
0.71,-0.022092605044846,0.467589822074307,-0.064563492559127,2.01198484579349,8090694.86165116
0.72,-0.0227382399704373,0.487709670532242,-0.0654683038427474,2.05292524505094,8090367.09014188
0.73,-0.0233929230088647,0.508238922982751,-0.0663714928959793,2.09387130353581,8090039.31863211
0.74,-0.0240566379378245,0.529177636018109,-0.0672730282397393,2.13482302231937,8089711.54712164
0.75,-0.0247293682202219,0.550525866241303,-0.0681728783919467,2.17578040247188,8089383.77561026
0.76,-0.0254110970041414,0.572283670266021,-0.0690710118677681,2.21674344506258,8089056.00409777
0.77,-0.0261018071228191,0.594451104716647,-0.0699673971798632,2.25771215115967,8088728.23258394
0.78,-0.0268014810946177,0.617028226228244,-0.0708620028386303,2.29868652183024,8088400.46106857
0.79,-0.027510101123004,0.640015091446546,-0.0717547973524518,2.3396665581403,8088072.68955144
0.8,-0.0282276490965285,0.663411757027949,-0.0726457492279396,2.38065226115471,8087744.91803236
0.81,-0.0289541065888079,0.687218279639496,-0.073534826970181,2.42164363193718,8087417.1465111
0.82,-0.0296894548585097,0.711434715958868,-0.0744219990829843,2.46264067155023,8087089.37498746
0.83,-0.0304336748493396,0.736061122674371,-0.0753072340691242,2.50364338105517,8086761.60346123
0.84,-0.0311867471900308,0.761097556484922,-0.0761905004256988,2.54465176151217,8086433.83193219
0.85,-0.0319486521942878,0.786544074100044,-0.0770717666354221,2.58566581398038,8086106.06040014
