t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg],tau[-]
295.8749999999901,4562.431402671944,28120.733780514638,-204.7003270464935,-987.6530882698119,1532573.5222131617,0.8454713451014959
295.97499999999013,4542.006339413849,28022.118723883075,-204.25063258094826,-986.1505663156345,1531509.5323658888,0.8317871449480299
296.07499999999015,4521.623626281785,27923.65175540552,-203.82713132064302,-984.6696847755452,1530457.751022368,0.8222429970353006
296.1749999999902,4501.298370012493,27825.327864314444,-203.25256269291359,-983.2389109107503,1529414.2076493849,0.8158028622809161
296.2749999999902,4481.029732673695,27727.14617645436,-202.6863733879749,-981.8168786008375,1528375.7523714118,0.8118251814482392
296.3749999999902,4460.810015757745,27629.10790259723,-202.19716915950426,-980.3827385713284,1527340.0754016268,0.8096532048626341
296.47499999999025,4440.6343139434575,27531.21393213364,-201.75701814286853,-978.9397046358905,1526305.5474628943,0.8087549357098124
296.57499999999027,4420.50213437208,27433.464614338875,-201.32179571377668,-977.4931779476532,1525270.8065119374,0.8089214606354199
296.6749999999903,4400.431783611352,27335.856650705482,-200.70350760727788,-976.0796363339416,1524234.869256652,0.8098566862527878
296.7749999999903,4380.415640778763,27238.392289438973,-200.1614283258882,-974.6436126650932,1523196.9739698872,0.8113874014358953
296.87499999999034,4360.440609997974,27141.075044717476,-199.7503078078892,-973.1724472149668,1522156.5766429813,0.8133434020791265
296.97499999999036,4340.514562074515,27043.904175006308,-199.26047923458754,-971.7086971116896,1521113.294004138,0.8155990301611291
297.0749999999904,4320.64923198003,26946.878187622857,-198.65330094485492,-970.2598738345201,1520066.7987804867,0.8181105078339715
297.1749999999904,4300.824796503003,26850.002267208016,-198.24435477026768,-968.7592041484221,1519016.803371556,0.8208468207110673
297.2749999999904,4281.061720862306,26753.27322309165,-197.6307564069724,-967.2904411636277,1517963.2494609754,0.8236287231281222
297.37499999999045,4261.340915181879,26656.696093314917,-197.2080568042771,-965.7712977673343,1516905.9508421547,0.8265561948362756
297.4749999999905,4241.660634169596,26560.272372568677,-196.80281012282427,-964.2372074623967,1515844.8771812983,0.8295073803620017
297.5749999999905,4222.040000238957,26463.999141337023,-196.2063393063877,-962.7323123165396,1514780.012510624,0.8324710488979963
297.6749999999905,4202.478770012132,26367.877600573047,-195.61230226824324,-961.2154076397683,1513711.1836926588,0.8355700697821612
297.77499999999054,4182.956448310033,26271.913254703504,-195.22321702099228,-959.6434586954372,1512638.3911333575,0.8386687733061899
297.87499999999056,4163.473488068715,26176.10712948432,-194.8296024131822,-958.0612521918408,1511561.8383740424,0.8416083558989431
297.9749999999906,4144.052232511802,26080.45566943578,-194.21255556912976,-956.5146004853796,1510481.5252605202,0.8445480590342868
298.0749999999906,4124.694748145205,25984.959648757194,-193.57484366596572,-954.9602067858739,1509397.3177502265,0.8475925515923518
298.17499999999063,4105.381845734577,25889.624120528046,-193.12902410628652,-953.3552822914887,1508309.2912272848,0.8505781116849267
298.27499999999065,4086.1162864164617,25794.44956392045,-192.65559318115086,-951.7455660759385,1507217.5105176491,0.8535129932910787
298.3749999999907,4066.893115856131,25699.43826308057,-192.23170560330814,-950.1130083988161,1506121.9273120535,0.8564856412596783
298.4749999999907,4047.7304512065652,25604.587457534606,-191.6266464956572,-948.5080554596296,1505022.7483526028,0.8592966660459297
298.5749999999907,4028.6248573867533,25509.89882428919,-191.05593819812077,-946.886332454158,1503919.8021103975,0.8622417856585435
298.67499999999075,4009.582328170889,25415.3725325016,-190.42529215864474,-945.2629178759025,1502813.0028400251,0.8652539378012807
298.77499999999077,3990.586080211791,25321.013085370556,-189.96247959098267,-943.594471310443,1501702.6682475016,0.8680177193601413
298.8749999999908,3971.642796934391,25226.819890211587,-189.43283277400016,-941.9319515896996,1500588.876759531,0.870720189878748
298.9749999999908,3952.7506929818655,25132.7945513353,-188.92103952525346,-940.2533887628651,1499471.3450998014,0.8736441151368763
299.07499999999084,3933.899237183194,25038.940616242257,-188.51455798671574,-938.5393509304417,1498350.2936072713,0.8763957877055236
299.17499999999086,3915.1027090734024,24945.255589492634,-187.96528109791865,-936.8502674962156,1497226.1454533038,0.8788166408577126
299.2749999999909,3896.3520174714936,24851.741664121982,-187.50691601908636,-935.1392537065036,1496098.2632833114,0.8817357537952739
299.3749999999909,3877.6486254315428,24758.399956985926,-187.0339203995068,-933.4170713605702,1494966.0171347265,0.8851473477155196
299.4749999999909,3859.0047612217986,24665.230093833434,-186.43864209744115,-931.6986315249228,1493829.8327241407,0.8882261324559113
299.57499999999095,3840.4077053927426,24572.23582925786,-185.97055829055827,-929.9426457557441,1492690.8078534123,0.8904466970960221
299.674999999991,3821.8702449243337,24479.414693899154,-185.37460468408653,-928.2113535870644,1491549.1858886143,0.8924770073165837
299.774999999991,3803.395576436858,24386.766845269514,-184.74668487475807,-926.4784862963941,1490404.0872187107,0.8951949642791442
299.874999999991,3784.9771249921064,24294.295307982426,-184.18451444751653,-924.7153728708871,1489255.347084981,0.8980417233973822
299.97499999999104,3766.5980837703246,24202.005065246776,-183.79041221781614,-922.9024273564845,1488103.7361946432,0.9002859726717362
300.07499999999106,3748.2688421693674,24109.89354496835,-183.29241600957062,-921.1152027842587,1486949.9690966443,0.9019716145215989
300.1749999999911,3729.973910816377,24017.963022677894,-182.94931352990412,-919.3052229045549,1485792.61737051,0.9047739416398326
300.2749999999911,3711.709828422351,23926.215129872187,-182.64082394025976,-917.478928057072,1484629.9602655321,0.9089214867808733
300.37499999999113,3693.48547289501,23834.65091091344,-182.2435552734101,-915.6421895874801,1483462.044762646,0.9130323039980521
300.47499999999116,3675.322236466905,23743.269207749392,-181.6323642810509,-913.8170316404763,1482290.8034872932,0.9156322675146749
300.5749999999912,3657.2134420914454,23652.071887608225,-181.08794375459826,-911.9732014116643,1481118.4602851346,0.9164937123432537
300.6749999999912,3639.1804762086754,23561.052973160782,-180.3296588277016,-910.189144474439,1479944.680116996,0.9176170781657129
300.7749999999912,3621.2336322630745,23470.209903177365,-179.46843945600924,-908.4306998341626,1478766.8379387336,0.9207926045226941
300.87499999999125,3603.3722275090745,23379.544596225624,-178.61404754000165,-906.6530695174299,1477583.5114693597,0.9250800165290548
