time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],mass_propellant[kg],u0
129.02499999999696,40210.97097371494,68190.9153396155,-52.13754751314438,569.5922354120595,3.21137337489127,2.777511624520645e-05,1.5492965526943367,1.6620768221969335,1629148.56435759,1284867.1953072606,0.0
129.04999999999697,40209.66753381051,68205.14914517809,-52.13759617713065,569.3522225032544,3.211374540794217,4.6636117859976314e-05,1.5492593676684805,1.6621151731257362,1629148.56435759,1284867.1953072606,0.0
129.07499999999698,40208.364092692675,68219.37695044519,-52.13764471344485,569.1122106842048,3.21137617710462,6.545241613356943e-05,1.5492226213685838,1.6621535557360363,1629148.56435759,1284867.1953072606,0.0
129.09999999999698,40207.06065036461,68233.59875544405,-52.137693122430356,568.872199954379,3.2113782827066055,8.422407941327111e-05,1.5491863126386525,1.6621919700679526,1629148.56435759,1284867.1953072606,0.0
129.124999999997,40205.757206829505,68247.81456020188,-52.13774140442959,568.6321903132458,3.2113808564860116,0.00010295117625878048,1.5491504403243417,1.66223041616167,1629148.56435759,1284867.1953072606,0.0
129.149999999997,40204.45376209051,68262.02436474588,-52.137789559784046,568.3921817602741,3.2113838973303976,0.00012163377543920492,1.5491150032729595,1.662268894057438,1629148.56435759,1284867.1953072606,0.0
129.174999999997,40203.150316150786,68276.22816910325,-52.137837588834266,568.152174294933,3.2113874041290464,0.00014027194593007561,1.5490800003334755,1.6623074037955705,1629148.56435759,1284867.1953072606,0.0
129.199999999997,40201.84686901349,68290.42597330117,-52.137885491919846,567.9121679166919,3.211391375772969,0.00015886575691037862,1.549045430356521,1.6623459454164478,1629148.56435759,1284867.1953072606,0.0
129.224999999997,40200.54342068176,68304.6177773668,-52.13793326937945,567.6721626250204,3.2113958111549126,0.00017741527775960454,1.5490112921943977,1.6623845189605146,1629148.56435759,1284867.1953072606,0.0
129.24999999999702,40199.23997115872,68318.80358132729,-52.13798092155082,567.4321584193882,3.211400709169364,0.00019592057805481946,1.5489775847010814,1.6624231244682828,1629148.56435759,1284867.1953072606,0.0
129.27499999999702,40197.9365204475,68332.98338520977,-52.13802844877075,567.1921552992653,3.2114060687125527,0.0002143817275677502,1.5489443067322257,1.6624617619803275,1629148.56435759,1284867.1953072606,0.0
129.29999999999703,40196.63306855122,68347.15718904136,-52.138075851375106,566.952153264122,3.21141188868246,0.00023279879626188698,1.5489114571451674,1.6625004315372922,1629148.56435759,1284867.1953072606,0.0
129.32499999999703,40195.329615472976,68361.3249928492,-52.13812312969883,566.7121523134286,3.211418167978817,0.0002511718542896065,1.5488790347989319,1.6625391331798849,1629148.56435759,1284867.1953072606,0.0
129.34999999999704,40194.02616121587,68375.48679666036,-52.138170284075954,566.4721524466559,3.2114249055031165,0.0002695009719893142,1.548847038554236,1.6625778669488804,1629148.56435759,1284867.1953072606,0.0
129.37499999999704,40192.722705783,68389.64260050195,-52.138217314839565,566.2321536632745,3.2114321001586137,0.00028778621988259905,1.5488154672734942,1.6626166328851193,1629148.56435759,1284867.1953072606,0.0
129.39999999999705,40191.419249177445,68403.79240440101,-52.13826422232185,565.9921559627558,3.2114397508503303,0.0003060276686714078,1.5487843198208209,1.6626554310295094,1629148.56435759,1284867.1953072606,0.0
129.42499999999706,40190.11579140228,68417.93620838464,-52.13831100685407,565.7521593445708,3.211447856485061,0.0003242253892352417,1.548753595062037,1.6626942614230242,1629148.56435759,1284867.1953072606,0.0
129.44999999999706,40188.812332460555,68432.07401247985,-52.13835766876657,565.5121638081912,3.2114564159713765,0.00034237945262836076,1.5487232918646725,1.6627331241067045,1629148.56435759,1284867.1953072606,0.0
129.47499999999707,40187.50887235534,68446.20581671367,-52.13840420838879,565.2721693530885,3.211465428219629,0.00036048993007701657,1.548693409097972,1.662772019121657,1629148.56435759,1284867.1953072606,0.0
129.49999999999707,40186.20541108969,68460.33162111315,-52.13845062604928,565.0321759787349,3.2114748921419536,0.00037855689297669416,1.548663945632896,1.662810946509057,1629148.56435759,1284867.1953072606,0.0
129.52499999999708,40184.901948666644,68474.45142570527,-52.138496922075646,564.7921836846024,3.2114848066522756,0.0003965804128893733,1.5486349003421294,1.662849906310146,1629148.56435759,1284867.1953072606,0.0
129.54999999999708,40183.59848508923,68488.56523051702,-52.13854309679462,564.5521924701632,3.211495170666314,0.0004145605615408082,1.548606272100081,1.6628888985662331,1629148.56435759,1284867.1953072606,0.0
129.5749999999971,40182.29502036046,68502.6730355754,-52.13858915053203,564.3122023348899,3.2115059831015844,0.00043249741081782806,1.5485780597828904,1.6629279233186938,1629148.56435759,1284867.1953072606,0.0
129.5999999999971,40180.99155448337,68516.77484090735,-52.13863508361278,564.0722132782554,3.2115172428774037,0.0004503910327656434,1.5485502622684306,1.662966980608973,1629148.56435759,1284867.1953072606,0.0
129.6249999999971,40179.68808746096,68530.87064653984,-52.138680896360924,563.8322252997325,3.2115289489148933,0.0004682414995851812,1.5485228784363114,1.6630060704785818,1629148.56435759,1284867.1953072606,0.0
129.6499999999971,40178.38461929624,68544.96045249981,-52.13872658909958,563.5922383987945,3.211541100136984,0.00048604888363042956,1.548495907167884,1.6630451929691001,1629148.56435759,1284867.1953072606,0.0
129.6749999999971,40177.081149992184,68559.04425881419,-52.138772162151014,563.3522525749147,3.211553695468419,0.0005038132574058014,1.5484693473462443,1.6630843481221749,1629148.56435759,1284867.1953072606,0.0
129.69999999999712,40175.777679551786,68573.12206550987,-52.13881761583657,563.1122678275667,3.2115667338357583,0.0005215346935635167,1.5484431978562359,1.6631235359795224,1629148.56435759,1284867.1953072606,0.0
129.72499999999712,40174.474207978026,68587.19387261377,-52.13886295047673,562.8722841562244,3.211580214167381,0.0005392132649009993,1.5484174575844545,1.6631627565829263,1629148.56435759,1284867.1953072606,0.0
129.74999999999713,40173.17073527387,68601.25968015278,-52.138908166391076,562.6323015603617,3.21159413539349,0.0005568490443582899,1.54839212541925,1.6632020099742397,1629148.56435759,1284867.1953072606,0.0
129.77499999999714,40171.86726144227,68615.31948815376,-52.13895326389833,562.3923200394529,3.2116084964461153,0.0005744421050154802,1.5483672002507318,1.6632412961953829,1629148.56435759,1284867.1953072606,0.0
129.79999999999714,40170.563786486186,68629.3732966436,-52.13899824331632,562.1523395929722,3.211623296259117,0.0005919925200901552,1.5483426809707708,1.6632806152883461,1629148.56435759,1284867.1953072606,0.0
129.82499999999715,40169.260310408565,68643.4211056491,-52.139043104962006,561.9123602203945,3.2116385337681903,0.0006095003629348572,1.5483185664730021,1.6633199672951884,1629148.56435759,1284867.1953072606,0.0
129.84999999999715,40167.95683321234,68657.46291519713,-52.13908784915147,561.6723819211944,3.2116542079108665,0.0006269657070345711,1.5482948556528286,1.6633593522580372,1629148.56435759,1284867.1953072606,0.0
129.87499999999716,40166.65335490043,68671.49872531451,-52.13913247619994,561.432404694847,3.211670317626516,0.0006443886260042125,1.5482715474074265,1.6633987702190896,1629148.56435759,1284867.1953072606,0.0
129.89999999999716,40165.34987547577,68685.52853602802,-52.13917698642175,561.1924285408277,3.211686861856355,0.000661769193586146,1.5482486406357434,1.6634382212206122,1629148.56435759,1284867.1953072606,0.0
129.92499999999717,40164.046394941266,68699.55234736449,-52.139221380130394,560.9524534586117,3.2117038395434463,0.000679107483647714,1.5482261342385064,1.6634777053049405,1629148.56435759,1284867.1953072606,0.0
129.94999999999717,40162.74291329982,68713.57015935068,-52.13926565763848,560.7124794476747,3.211721249632701,0.000696403570178776,1.5482040271182207,1.6635172225144803,1629148.56435759,1284867.1953072606,0.0
129.97499999999718,40161.43943055434,68727.58197201337,-52.139309819257775,560.4725065074927,3.2117390910708834,0.0007136575272892741,1.5481823181791763,1.6635567728917071,1629148.56435759,1284867.1953072606,0.0
129.9999999999972,40160.135946707705,68741.5877853793,-52.139353865299185,560.2325346375414,3.2117573628066136,0.0007308694292068081,1.5481610063274482,1.6635963564791654,1629148.56435759,1284867.1953072606,0.0
130.0249999999972,40158.8324617628,68755.58759947524,-52.13939779607275,559.9925638372974,3.2117760637903707,0.0007480393502742291,1.5481400904708988,1.6636359733194714,1629148.56435759,1284867.1953072606,0.0
130.0499999999972,40157.528975722504,68769.5814143279,-52.13944161188766,559.7525941062371,3.211795192974494,0.0007651673649472475,1.548119569519184,1.6636756234553105,1629148.56435759,1284867.1953072606,0.0
130.0749999999972,40156.22548858968,68783.56922996399,-52.13948531305227,559.512625443837,3.2118147493131888,0.0007822535477920568,1.5480994423837504,1.6637153069294381,1629148.56435759,1284867.1953072606,0.0
130.0999999999972,40154.92200036718,68797.55104641023,-52.139528899874065,559.272657849574,3.2118347317625258,0.0007992979734829744,1.5480797079778437,1.663755023784682,1629148.56435759,1284867.1953072606,0.0
130.12499999999721,40153.618511057866,68811.5268636933,-52.13957237265971,559.0326913229251,3.2118551392804457,0.0008163007168000968,1.5480603652165068,1.663794774063939,1629148.56435759,1284867.1953072606,0.0
130.14999999999722,40152.31502066457,68825.49668183988,-52.13961573171499,558.7927258633675,3.211875970826761,0.000833261852626972,1.5480414130165843,1.663834557810177,1629148.56435759,1284867.1953072606,0.0
130.17499999999723,40151.01152919014,68839.46050087664,-52.13965897734489,558.5527614703789,3.2118972253631606,0.000850181455948285,1.5480228502967248,1.6638743750664355,1629148.56435759,1284867.1953072606,0.0
130.19999999999723,40149.70803663739,68853.41832083023,-52.139702109853516,558.3127981434367,3.2119189018532057,0.0008670596018475639,1.5480046759773816,1.6639142258758246,1629148.56435759,1284867.1953072606,0.0
130.22499999999724,40148.40454300915,68867.37014172728,-52.139745129544174,558.0728358820189,3.2119409992623438,0.0008838963655048931,1.547986888980818,1.6639541102815258,1629148.56435759,1284867.1953072606,0.0
130.24999999999724,40147.101048308235,68881.31596359442,-52.13978803671932,557.8328746856034,3.2119635165578986,0.0009006918221946507,1.5479694882311057,1.663994028326793,1629148.56435759,1284867.1953072606,0.0
130.27499999999725,40145.79755253744,68895.25578645826,-52.13983083168057,557.5929145536686,3.21198645270908,0.0009174460472832565,1.5479524726541298,1.6640339800549506,1629148.56435759,1284867.1953072606,0.0
130.29999999999725,40144.49405569957,68909.1896103454,-52.13987351472873,557.3529554856929,3.212009806686986,0.0009341591162269336,1.5479358411775912,1.6640739655093948,1629148.56435759,1284867.1953072606,0.0
130.32499999999726,40143.19055779742,68923.11743528243,-52.13991608616376,557.1129974811547,3.2120335774646005,0.00095083110456949,1.5479195927310057,1.664113984733595,1629148.56435759,1284867.1953072606,0.0
130.34999999999727,40141.88705883376,68937.03926129593,-52.13995854628482,556.8730405395331,3.212057764016799,0.000967462087940113,1.5479037262457072,1.6641540377710915,1629148.56435759,1284867.1953072606,0.0
130.37499999999727,40140.58355881138,68950.95508841243,-52.140000895390216,556.6330846603071,3.21208236532035,0.000984052142051182,1.5478882406548533,1.6641941246654965,1629148.56435759,1284867.1953072606,0.0
130.39999999999728,40139.280057733034,68964.86491665851,-52.14004313377746,556.3931298429558,3.2121073803539173,0.0010006013426960866,1.547873134893421,1.6642342454604966,1629148.56435759,1284867.1953072606,0.0
130.42499999999728,40137.97655560149,68978.76874606068,-52.140085261743245,556.1531760869585,3.2121328080980613,0.0010171097657470706,1.547858407898212,1.6642744001998488,1629148.56435759,1284867.1953072606,0.0
130.4499999999973,40136.6730524195,68992.66657664548,-52.14012727958343,555.9132233917951,3.21215864753524,0.0010335774871530867,1.5478440586078563,1.6643145889273838,1629148.56435759,1284867.1953072606,0.0
130.4749999999973,40135.36954818981,69006.5584084394,-52.14016918759309,555.6732717569453,3.212184897649813,0.0010500045829376669,1.5478300859628082,1.664354811687005,1629148.56435759,1284867.1953072606,0.0
130.4999999999973,40134.06604291516,69020.44424146895,-52.14021098606646,555.4333211818889,3.2122115574280428,0.0010663911291968057,1.5478164889053538,1.6643950685226894,1629148.56435759,1284867.1953072606,0.0
130.5249999999973,40132.76253659828,69034.32407576061,-52.14025267529698,555.1933716661064,3.2122386258580957,0.0010827372020968597,1.547803266379609,1.6644353594784864,1629148.56435759,1284867.1953072606,0.0
130.5499999999973,40131.459029241894,69048.19791134083,-52.14029425557729,554.9534232090779,3.2122661019300427,0.0010990428778724622,1.5477904173315231,1.6644756845985196,1629148.56435759,1284867.1953072606,0.0
130.57499999999732,40130.15552084871,69062.06574823608,-52.140335727199215,554.7134758102841,3.2122939846358634,0.0011153082328244524,1.547777940708878,1.6645160439269848,1629148.56435759,1284867.1953072606,0.0
130.59999999999732,40128.85201142145,69075.92758647281,-52.14037709045379,554.4735294692057,3.2123222729694465,0.0011315333433178196,1.5477658354612933,1.6645564375081532,1629148.56435759,1284867.1953072606,0.0
130.62499999999733,40127.54850096281,69089.78342607744,-52.14041834563125,554.2335841853237,3.212350965926591,0.001147718285779662,1.5477541005402224,1.6645968653863683,1629148.56435759,1284867.1953072606,0.0
130.64999999999733,40126.24498947548,69103.6332670764,-52.14045949302101,553.9936399581193,3.2123800625050087,0.0011638631366971547,1.5477427348989592,1.6646373276060489,1629148.56435759,1284867.1953072606,0.0
130.67499999999734,40124.94147696216,69117.47710949607,-52.14050053291174,553.7536967870737,3.2124095617043236,0.0011799679726155466,1.547731737492637,1.6646778242116869,1629148.56435759,1284867.1953072606,0.0
130.69999999999735,40123.63796342552,69131.31495336286,-52.14054146559126,553.5137546716686,3.2124394625260764,0.0011960328701361533,1.547721107278228,1.6647183552478484,1629148.56435759,1284867.1953072606,0.0
130.72499999999735,40122.334448868234,69145.14679870315,-52.14058229134665,553.2738136113857,3.2124697639737247,0.0012120579059143768,1.5477108432145488,1.664758920759176,1629148.56435759,1284867.1953072606,0.0
130.74999999999736,40121.030933292976,69158.9726455433,-52.140623010464154,553.0338736057067,3.2125004650526416,0.0012280431566577374,1.5477009442622567,1.6647995207903843,1629148.56435759,1284867.1953072606,0.0
130.77499999999736,40119.72741670239,69172.79249390966,-52.14066362322928,552.7939346541139,3.2125315647701194,0.001243988699123919,1.547691409383855,1.6648401553862644,1629148.56435759,1284867.1953072606,0.0
130.79999999999737,40118.42389909914,69186.60634382856,-52.14070412992672,552.5539967560894,3.212563062135372,0.0012598946101188267,1.5476822375436907,1.6648808245916815,1629148.56435759,1284867.1953072606,0.0
130.82499999999737,40117.120380485874,69200.41419532635,-52.14074453084039,552.3140599111158,3.2125949561595344,0.0012757609664946598,1.5476734277079571,1.664921528451577,1629148.56435759,1284867.1953072606,0.0
130.84999999999738,40115.81686086522,69214.21604842931,-52.14078482625344,552.0741241186757,3.2126272458556633,0.0012915878451480029,1.547664978844697,1.664962267010966,1629148.56435759,1284867.1953072606,0.0
130.87499999999739,40114.513340239806,69228.01190316377,-52.140825016448225,551.8341893782521,3.212659930238739,0.0013073753230179244,1.547656889923798,1.6650030403149414,1629148.56435759,1284867.1953072606,0.0
130.8999999999974,40113.20981861226,69241.80175955601,-52.140865101706346,551.5942556893278,3.212693008325666,0.0013231234770840958,1.547649159916998,1.6650438484086683,1629148.56435759,1284867.1953072606,0.0
130.9249999999974,40111.9062959852,69255.5856176323,-52.14090508230862,551.3543230513862,3.2127264791352754,0.001338832384364921,1.5476417877978839,1.6650846913373913,1629148.56435759,1284867.1953072606,0.0
130.9499999999974,40110.602772361235,69269.3634774189,-52.140944958535094,551.1143914639107,3.2127603416883233,0.0013545021219156781,1.5476347725418944,1.6651255691464288,1629148.56435759,1284867.1953072606,0.0
130.9749999999974,40109.299247742965,69283.13533894205,-52.140984730665046,550.8744609263847,3.212794595007494,0.0013701327668266818,1.547628113126318,1.6651664818811762,1629148.56435759,1284867.1953072606,0.0
130.9999999999974,40107.99572213299,69296.90120222801,-52.141024398976995,550.6345314382921,3.2128292381173997,0.001385724396221451,1.5476218085302962,1.6652074295871035,1629148.56435759,1284867.1953072606,0.0
131.02499999999742,40106.6921955339,69310.66106730298,-52.141063963748685,550.3946029991168,3.212864270044581,0.0014012770872548989,1.5476158577348214,1.6652484123097597,1629148.56435759,1284867.1953072606,0.0
131.04999999999742,40105.38866794827,69324.41493419319,-52.141103425257114,550.154675608343,3.212899689817509,0.0014167909171115306,1.5476102597227401,1.665289430094769,1629148.56435759,1284867.1953072606,0.0
131.07499999999743,40104.08513937867,69338.16280292482,-52.14114278377851,549.914749265455,3.212935496466584,0.0014322659630036593,1.5476050134787525,1.665330482987832,1629148.56435759,1284867.1953072606,0.0
131.09999999999744,40102.78160982768,69351.90467352407,-52.14118203958835,549.6748239699374,3.2129716890241378,0.0014477023021696282,1.5476001179894108,1.6653715710347277,1629148.56435759,1284867.1953072606,0.0
131.12499999999744,40101.478079297856,69365.64054601711,-52.14122119296135,549.4348997212747,3.2130082665244344,0.0014631000118720597,1.5475955722431245,1.6654126942813103,1629148.56435759,1284867.1953072606,0.0
131.14999999999745,40100.17454779175,69379.37042043009,-52.141260244171484,549.1949765189521,3.21304522800367,0.0014784591693961023,1.5475913752301564,1.6654538527735134,1629148.56435759,1284867.1953072606,0.0
131.17499999999745,40098.87101531191,69393.09429678915,-52.14129919349196,548.9550543624543,3.2130825724999714,0.0014937798520477052,1.5475875259426242,1.6654950465573468,1629148.56435759,1284867.1953072606,0.0
131.19999999999746,40097.56748186088,69406.81217512043,-52.14133804119525,548.7151332512668,3.2131202990534002,0.0015090621371518975,1.547584023374502,1.6655362756788978,1629148.56435759,1284867.1953072606,0.0
131.22499999999746,40096.26394744119,69420.52405545005,-52.14137678755307,548.4752131848749,3.2131584067059515,0.001524306102051084,1.5475808665216186,1.6655775401843325,1629148.56435759,1284867.1953072606,0.0
