t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg]
209.3999999999924,113728.3542440201,154350.59293803803,-20.023172276832195,363.1147849135056,991258.3795248682
209.49999999999238,113726.35192679241,154386.81093448855,-20.023172276832195,362.1799645050993,991258.3795248682
209.59999999999238,113724.34960956473,154422.93544993593,-20.023172276832195,361.2451544737723,991258.3795248682
209.69999999999237,113722.34729233704,154458.96648541518,-20.023172276832195,360.3103547925686,991258.3795248682
209.79999999999237,113720.34497510936,154494.90404195862,-20.023172276832195,359.37556543453377,991258.3795248682
209.89999999999236,113718.34265788167,154530.7481205959,-20.023172276832195,358.4407863727151,991258.3795248682
209.99999999999235,113716.34034065399,154566.49872235392,-20.023172276832195,357.50601758016137,991258.3795248682
210.09999999999235,113714.3380234263,154602.15584825692,-20.023172276832195,356.5712590299231,991258.3795248682
210.19999999999234,113712.33570619862,154637.71949932643,-20.023172276832195,355.6365106950524,991258.3795248682
210.29999999999234,113710.33338897093,154673.1896765813,-20.023172276832195,354.70177254860295,991258.3795248682
210.39999999999233,113708.33107174325,154708.56638103767,-20.023172276832195,353.76704456363007,991258.3795248682
210.49999999999233,113706.32875451556,154743.849613709,-20.023172276832195,352.8323267131907,991258.3795248682
210.59999999999232,113704.32643728788,154779.03937560602,-20.023172276832195,351.89761897034333,991258.3795248682
210.69999999999231,113702.32412006019,154814.13566773685,-20.023172276832195,350.9629213081481,991258.3795248682
210.7999999999923,113700.3218028325,154849.1384911068,-20.023172276832195,350.02823369966677,991258.3795248682
210.8999999999923,113698.31948560482,154884.0478467186,-20.023172276832195,349.0935561179626,991258.3795248682
210.9999999999923,113696.31716837714,154918.8637355722,-20.023172276832195,348.1588885361004,991258.3795248682
211.0999999999923,113694.31485114945,154953.58615866493,-20.023172276832195,347.2242309271467,991258.3795248682
211.1999999999923,113692.31253392177,154988.21511699134,-20.023172276832195,346.2895832641696,991258.3795248682
211.29999999999228,113690.31021669408,155022.75061154336,-20.023172276832195,345.35494552023863,991258.3795248682
211.39999999999227,113688.3078994664,155057.1926433102,-20.023172276832195,344.42031766842496,991258.3795248682
211.49999999999227,113686.30558223871,155091.5412132784,-20.023172276832195,343.4856996818013,991258.3795248682
211.59999999999226,113684.30326501103,155125.79632243174,-20.023172276832195,342.551091533442,991258.3795248682
211.69999999999226,113682.30094778334,155159.95797175137,-20.023172276832195,341.6164931964229,991258.3795248682
211.79999999999225,113680.29863055566,155194.02616221574,-20.023172276832195,340.6819046438213,991258.3795248682
211.89999999999225,113678.29631332797,155228.0008948006,-20.023172276832195,339.7473258487163,991258.3795248682
211.99999999999224,113676.29399610028,155261.88217047905,-20.023172276832195,338.8127567841882,991258.3795248682
212.09999999999224,113674.2916788726,155295.6699902214,-20.023172276832195,337.87819742331914,991258.3795248682
212.19999999999223,113672.28936164491,155329.3643549953,-20.023172276832195,336.9436477391926,991258.3795248682
212.29999999999222,113670.28704441723,155362.96526576582,-20.023172276832195,336.0091077048937,991258.3795248682
212.39999999999222,113668.28472718954,155396.47272349516,-20.023172276832195,335.07457729350904,991258.3795248682
212.4999999999922,113666.28240996186,155429.88672914298,-20.023172276832195,334.14005647812667,991258.3795248682
212.5999999999922,113664.28009273417,155463.20728366615,-20.023172276832195,333.20554523183625,991258.3795248682
212.6999999999922,113662.27777550649,155496.43438801894,-20.023172276832195,332.2710435277289,991258.3795248682
212.7999999999922,113660.2754582788,155529.56804315283,-20.023172276832195,331.3365513388973,991258.3795248682
212.8999999999922,113658.27314105112,155562.60825001667,-20.023172276832195,330.40206863843565,991258.3795248682
212.99999999999218,113656.27082382343,155595.5550095566,-20.023172276832195,329.4675953994395,991258.3795248682
213.09999999999218,113654.26850659575,155628.4083227161,-20.023172276832195,328.533131595006,991258.3795248682
213.19999999999217,113652.26618936806,155661.1681904359,-20.023172276832195,327.5986771982338,991258.3795248682
213.29999999999217,113650.26387214038,155693.83461365412,-20.023172276832195,326.66423218222303,991258.3795248682
213.39999999999216,113648.2615549127,155726.40759330612,-20.023172276832195,325.72979652007524,991258.3795248682
213.49999999999216,113646.25923768501,155758.8871303246,-20.023172276832195,324.7953701848935,991258.3795248682
213.59999999999215,113644.25692045732,155791.2732256396,-20.023172276832195,323.8609531497824,991258.3795248682
213.69999999999214,113642.25460322964,155823.5658801784,-20.023172276832195,322.9265453878479,991258.3795248682
213.79999999999214,113640.25228600195,155855.7650948656,-20.023172276832195,321.99214687219745,991258.3795248682
213.89999999999213,113638.24996877427,155887.8708706232,-20.023172276832195,321.05775757594,991258.3795248682
213.99999999999213,113636.24765154658,155919.88320837042,-20.023172276832195,320.12337747218595,991258.3795248682
214.09999999999212,113634.2453343189,155951.80210902382,-20.023172276832195,319.1890065340471,991258.3795248682
214.19999999999212,113632.24301709121,155983.62757349727,-20.023172276832195,318.25464473463677,991258.3795248682
214.2999999999921,113630.24069986353,156015.35960270197,-20.023172276832195,317.32029204706964,991258.3795248682
214.3999999999921,113628.23838263584,156046.9981975464,-20.023172276832195,316.3859484444619,991258.3795248682
214.4999999999921,113626.23606540816,156078.54335893638,-20.023172276832195,315.45161389993115,991258.3795248682
214.5999999999921,113624.23374818047,156109.99508777505,-20.023172276832195,314.51728838659636,991258.3795248682
214.6999999999921,113622.23143095279,156141.3533849628,-20.023172276832195,313.582971877578,991258.3795248682
214.79999999999208,113620.2291137251,156172.6182513974,-20.023172276832195,312.648664345998,991258.3795248682
214.89999999999208,113618.22679649742,156203.78968797388,-20.023172276832195,311.7143657649795,991258.3795248682
