time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,drag,ug,control_force_x,inertia,lift,vg,g_load_1_sec_window,fuel_percentage_consumed,CL,atmospheric_pressure,mass_flow,mach_number,control_force_y,d_cp_cg,control_force_parallel,alpha_effective,mach_number_max,speed_of_sound,gravity_force_y,aero_force_y,control_force_perpendicular,x_cog,aero_force_x,air_density,d_thrust_cg,CD,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_control,moment_dict_theta_dot_dot,moment_dict_M_wind_z,moment_dict_control_moment_z,moment_dict_moments_z,moment_dict_aero_moment_z
306.54999999997983,31027.470135068652,19933.24659269675,-38.01182190677344,-839.8894952751066,1.5255089764273446,0.0004184310160283104,4.667161720376972,-3.141652743949628,1501682.7984884493,1157401.42943812,0.9623071551322937,0.9246143102645874,0.16653013211944084,31687.40816601007,352.67550038385144,712538.5692604233,0.0,2002239.3475179907,23599227.399634976,-303.0308039559199,0.0,2.037460625075349,0.7280182728902475,-8.894846445722804e-05,5569.078738740183,12309.4609375,2.851035729021115,44171443.392831855,-32.90827609726341,44216799.678526014,5.738931149590343e-05,4.08334410094256,295.0694935090715,-14634661.28715713,711795.8142161516,0.0,4.858960550699494,32527.27126158961,0.08954941879685077,7.958960550699494,0.20915105254937805,20.136996982103653,0.0,1.3333304140750546,-9.745507707678318,1.354713342943051,9.123485393726776e-06,0.0002015877997450459,0.0,0.0,3.156513405301172e-07,0.021452720793560323,29.414629665661455,-0.00036554302192883686,0.0,0.0,-8626.532898848376,-8626.532898848376
306.64999999997974,31023.67741416348,19849.383647091498,-37.87635024745831,-837.8730872037992,1.5255646033516665,0.0004342547131257517,4.667214380553233,-3.1416497772015664,1500451.4508932345,1156170.0818429051,0.9626210927963257,0.9252422451972961,0.16793310304347003,31952.870791778187,352.67550038385144,719285.7541008376,0.0,2000393.5695555364,23597394.9903485,-4080.4333418433134,0.0,2.041567496512246,0.7283075309837516,-0.0011877766939688006,5642.793848187955,12313.4765625,2.8441914694586696,44184671.36642646,-32.90783673223577,44229930.569606654,5.472861224831149e-05,4.056584867160276,295.0694935090715,-14623045.178901829,718367.1859256498,0.0,4.859399915727132,36568.18526986081,0.09073473965821238,7.959399915727133,0.20937748112772753,20.174450035812058,0.0,1.3331944651489265,-9.745763630137168,1.357287455339707,0.00012280920779653119,0.0027166960227493603,0.0,0.0,3.1916427273724667e-07,0.021648414822664355,29.447584818637658,-0.005635486470048149,0.0,0.0,-132982.80019649095,-132982.80019649095
306.74999999997965,31019.89824213102,19765.7225767821,-37.74092087826401,-835.8529231250401,1.5256197574569133,0.0005674063283722553,4.667267042078314,-3.141647284621401,1499219.7053488009,1154938.3362984715,0.9629321694374084,0.9258643388748169,0.16933269672897847,32218.888023665204,352.67550038385144,726073.9363304866,0.0,1998690.0404386278,23595560.1695111,-2341.7670879657453,0.0,2.045625138024998,0.7285968827757643,-0.0006760386808764007,5717.305874073601,12317.4560546875,2.837334507761639,44197741.322052926,-32.907396799888694,44242910.16478068,5.558151532447653e-05,4.030064014070954,295.0694935090715,-14611423.654404214,725228.8286517424,0.0,4.859839848074206,35099.729115242335,0.09193287474023584,7.959839848074207,0.20960840583082702,20.212061784285403,0.0,1.3331535286708514,-9.746018947239486,1.3562869485887836,7.045612984663265e-05,0.0015604007722636703,0.0,0.0,3.227067310512199e-07,0.021845195365178385,29.480496530540268,-0.003209647818417083,0.0,0.0,-75733.43822240032,-75733.43822240032
306.84999999997956,31016.132621316923,19682.26375700137,-37.6054518897547,-833.829007773007,1.525671946618176,0.0006399346947536398,4.667319803960607,-3.1416478573424316,1497987.5653341524,1153706.196283823,0.9632405638694763,0.9264811277389526,0.17072890689857248,32485.430964665677,352.67550038385144,732893.1940737596,0.0,1997043.1333137013,23593722.93880078,1993.985252325912,0.0,2.0496342417667366,0.72888632744896,0.0005709153296275526,5792.6202929577,12321.400390625,2.8304648477300987,44210673.14651615,-32.90695630080219,44255754.443285674,5.803476235133331e-05,4.003779279178719,295.0694935090715,-14599796.747680828,732238.41072993,0.0,4.860280347160708,31037.392746978647,0.0931439121046706,7.960280347160708,0.20984105022258243,20.249750856428285,0.0,1.3331506746307509,-9.746273657768372,1.3535917248928828,-5.997169453603748e-05,-0.001329757682371412,0.0,0.0,3.2627443514184474e-07,0.02204271406283625,29.51337792757591,0.002840400664566622,0.0,0.0,67015.62631497049,67015.62631497049
306.94999999997947,31012.380552143823,19599.00756293446,-37.46990947878922,-831.8013446088954,1.5257226775656725,0.0005780084283289096,4.667372708389076,-3.141650030823403,1496755.034694504,1152473.6656441747,0.9635459184646606,0.9270917773246765,0.17212172727565556,32752.470223293218,352.67550038385144,739725.4859051314,0.0,1995303.5822978157,23591883.300366707,3470.3482554394377,0.0,2.0535979231211914,0.7291758641143176,0.0009855244287321763,5868.7425639063995,12325.3056640625,2.8235824935295546,44223449.53870937,-32.90651523566954,44268439.383925706,5.867210276377932e-05,3.9777284233803014,295.0694935090715,-14588164.496328829,739131.8756655284,0.0,4.8607214122933655,29831.328997458488,0.09436793953196004,7.960721412293365,0.21007042615179075,20.287329457309507,0.0,1.333086267323008,-9.746527760507153,1.3527384518276924,-0.00010433863899041154,-0.002316232449294128,0.0,0.0,3.2985945456127277e-07,0.02224040492330624,29.546217325893696,0.004901060672289763,0.0,0.0,115625.2514286769,115625.2514286769
307.0499999999794,31008.64203371469,19515.954356408187,-37.33434604344138,-829.7701448267217,1.5257748544422625,0.00047266593882369114,4.66742570553404,-3.1416508510917773,1495522.2055013888,1151240.8364510594,0.9637793302536011,0.9275586605072021,0.17351115180710747,33019.9885955376,352.67550038385144,746566.1881935089,0.0,1993301.2933921064,23590041.355373085,864.4741618709886,0.0,2.057505946001206,0.7294654763249491,0.00024350814563545153,5945.67813481178,12328.2919921875,2.8166879887985146,44232914.930348255,-32.90607362892284,44277804.97361702,5.6790987913224455e-05,3.951909228212152,295.0694935090715,-14576527.797916573,745850.0744783642,0.0,4.861163019040063,32703.013163635995,0.09560504462287123,7.961163019040063,0.21029540974095573,20.32264681707246,0.0,1.3328463369247214,-9.746781254264056,1.3544344928469816,-2.5981890098079607e-05,-0.0005774574619432169,0.0,0.0,3.3345975870809783e-07,0.0224381496962321,29.57690281537393,0.001265008791118946,0.0,0.0,29841.609697406446,29841.609697406446
307.1499999999793,31004.91706516853,19433.104480184196,-37.19882598571306,-827.735581963987,1.5258293251931594,0.0004438586488240564,4.667478728511242,-3.141649403318082,1494289.1540182345,1150007.7849679051,0.9639531373977661,0.927906334400177,0.17489717475875535,33287.97105014775,352.67550038385144,753425.3346908806,0.0,1991157.4295635438,23588197.220647234,-2393.42392544914,0.0,2.0613378986309554,0.7297551452393457,-0.0006687606298321769,6023.432452834154,12330.5146484375,2.8097819630352108,44239632.41294655,-32.90563150874709,44284419.20068431,5.4541915261552276e-05,3.926319492041549,295.0694935090715,-14564887.396121897,752557.7239971473,0.0,4.86160513921581,36226.17126312938,0.0968553149664046,7.961605139215811,0.21051899582095115,20.356182707176572,0.0,1.332511464872244,-9.747034137908335,1.356474712124343,7.190920285921013e-05,0.0016000990434508586,0.0,0.0,3.3707986630808535e-07,0.02263628045808396,29.60580440136602,-0.0032815108843815676,0.0,0.0,-77404.92592249294,-77404.92592249294
307.2499999999792,31001.20564617081,19350.458264624092,-37.063362265821105,-825.6977475550824,1.5258844933349103,0.0005089592212207466,4.667531767459286,-3.1416472741243755,1493055.921199631,1148774.5521493016,0.964094877243042,0.928189754486084,0.1762797906038708,33556.396871763834,352.67550038385144,760312.8765144366,0.0,1989018.8733474994,23586350.967914283,-2850.8145738781004,0.0,2.0650941266262377,0.7300448591640137,-0.0007901909352152625,6102.010959081545,12332.328125,2.8028647996592637,44244856.63759621,-32.90518889251202,44289542.0495626,5.4013763612914545e-05,3.9009570317175037,295.0694935090715,-14553243.690606728,759419.7363143864,0.0,4.86204775545088,36952.15059478224,0.09811883805424126,7.962047755450881,0.21074409695186253,20.38888230723621,0.0,1.3321797563679834,-9.747286410353325,1.3566489568059446,8.562084845292033e-05,0.0019074616383771914,0.0,0.0,3.4072430445114515e-07,0.02283509919352274,29.633757188442505,-0.0039198629242389715,0.0,0.0,-92455.26267721519,-92455.26267721519
307.3499999999791,30997.507776132028,19268.016032709027,-36.92792171721959,-823.6567060859488,1.5259384859240608,0.000589412722709349,4.667584866816567,-3.1416463808925057,1491822.5355795138,1147541.1665291844,0.9642143249511719,0.9284286499023438,0.17765899393919543,33825.24178058953,352.67550038385144,767227.5983064711,0.0,1986902.141189836,23584502.642058052,-510.2914018376698,0.0,2.068775050852399,0.7303346106569872,-0.0001403187593946309,6181.419082085462,12333.85546875,2.795936737258062,44249039.31173066,-32.90474579115112,44293625.50220686,5.516058589716266e-05,3.8758196844079773,295.0694935090715,-14541596.960046293,766434.3380233838,0.0,4.862490856811781,34883.42728414261,0.0993957011758351,7.962490856811781,0.2109704854520224,20.421044453459324,0.0,1.3318622649831493,-9.747538070536963,1.354965300218833,1.5320525639920735e-05,0.00034171578299783235,0.0,0.0,3.443926235132661e-07,0.023034544672277925,29.66106105545702,-0.000652905698547922,0.0,0.0,-15398.456172418226,-15398.456172418226
307.449999999979,30993.823452993067,19185.778092146807,-36.792478348853315,-821.6126666601385,1.5259909919406032,0.0006085313071939643,4.6676380705987475,-3.1416470786581443,1490589.0867574923,1146307.717707163,0.9642637372016907,0.9285274744033813,0.17903477961698364,34094.48967110051,352.67550038385144,774193.0476664917,0.0,1984637.9442502665,23582652.35213424,1973.3806047468415,0.0,2.0723644027528167,0.7306243822604755,0.0005383504201315614,6261.6622406152455,12334.48828125,2.7889983560917235,44249989.81863786,-32.904302230980264,44294473.54602279,5.636810513420798e-05,3.8509053063451346,295.0694935090715,-14529948.078458708,773505.8081210146,0.0,4.8629344169826405,32673.1401796354,0.10068599146366665,7.962934416982641,0.21120464621555252,20.451132785508886,0.0,1.3314453741020529,-9.747789117432752,1.3530850735727875,-5.9225648019562316e-05,-0.0013225676765409801,0.0,0.0,3.480954756971228e-07,0.023235297250816044,29.68624298390359,0.002814299585468582,0.0,0.0,66368.64873886107,66368.64873886107
