time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,inertia,d_cp_cg,control_force_y,drag,atmospheric_pressure,fuel_percentage_consumed,lift,CL,control_force_perpendicular,CD,aero_force_y,mach_number_max,aero_force_x,control_force_parallel,mass_flow,air_density,mach_number,speed_of_sound,d_thrust_cg,gravity_force_y,control_force_x,g_load_1_sec_window,alpha_effective,x_cog,vg,ug,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component_gravity,moment_dict_aero_moment_z,moment_dict_M_wind_z,moment_dict_theta_dot_dot,moment_dict_control_moment_z,moment_dict_moments_z
296.0499999999894,31500.40275467344,29784.511063238297,-52.04980293171602,-1030.559960469699,1.5202599349345096,0.00048170878331822345,4.661925528692553,-3.1416655937580433,1627979.8310507052,1283698.4620003758,0.913671612739563,0.8273431658744812,0.0017250740888263387,10099.455490897206,360.4408508755886,23777832.735656034,-32.95112857420591,41996680.74569904,205859.24751682105,1231.459496766713,0.6983508435648617,88.6089441019731,8.160523071309989e-05,0.0,0.1895879875140194,205601.5335522179,8.683555655924135,10297.914386562821,42050391.715690695,11687.333984375,0.018955407866314798,3.4228659695063284,301.58345839618113,7.916108073756989,-15816667.930639533,2124676.3957977085,0.16555577584747955,7.306237131965432e-05,4.81610807375699,0.0,0.0,16.20292887342422,0.0,0.0,0.006378432616515748,1.3050999498110694,-2.745498130361437e-06,1.31119020120884,25.796806535738348,7.757452541733063e-08,-5.4359484288668025e-05,-9.715518355305045,0.0,3415.3682856439013,0.0,0.00014363665198646923,0.0,3415.3682856439013
296.1499999999893,31495.20598678126,29681.556750056032,-51.9184057326209,-1028.9327850754196,1.5203081684049602,0.00047884426021259065,4.661973237772151,-3.141665069367191,1626808.5432089083,1282527.174158579,0.9156686067581177,0.8313372731208801,0.0034474308085391393,10228.503584234562,360.3596112101082,23776259.152399976,-32.950751032290086,42088283.82516048,208607.03394004292,1250.5783024781365,0.698625865313874,-112.28286354407891,-0.00010210329871834789,0.0,0.18969471946863203,208336.1917191861,8.616923029026587,10627.249721833094,42142009.01075547,11712.8779296875,0.019258379368572394,3.4182323982399794,301.5154659396006,7.916485615672817,-15805796.917976696,2127272.4591198643,0.3318891860276515,7.245558928481444e-05,4.816485615672818,0.0,0.0,16.279242742481166,0.0,0.0,0.0064621149477198945,1.3076354116777518,3.4782373210364933e-06,1.3139314824551038,25.87168846688044,7.872340892976645e-08,6.893263310738895e-05,-9.715831026310868,0.0,-3201.7624542626063,0.0,-0.00013466216168574275,0.0,-3201.7624542626063
296.2499999999892,31490.022376698395,29578.7656613293,-51.78672223929161,-1027.2974971346414,1.5203556689105948,0.0004766499069661307,4.662020979116439,-3.141665310205844,1625634.4888876192,1281353.11983729,0.9178313612937927,0.8356627225875854,0.005167056892408533,10358.807110597305,360.27847945325146,23774680.429977477,-32.95037225238556,42187500.97272119,211386.44189990385,1269.9724015929132,0.6989015245339398,57.660174096905855,5.1773151070244605e-05,0.0,0.18980418221235454,211121.13832225619,8.550874191266304,10587.544442025928,42241251.3246813,11740.5439453125,0.019565851932787006,3.4135692015939743,301.44756361412163,7.91686439557734,-15794897.513300125,2130275.8393078027,0.4990497439874423,7.263570860338575e-05,4.8168643955773405,0.0,0.0,16.36042477685867,0.0,0.0,0.006546743058005622,1.3104273155311172,-1.7857642197840728e-06,1.3167024495919262,25.95140621160728,7.988775153121152e-08,-3.542435269372745e-05,-9.716143217475766,0.0,2405.850932498906,0.0,0.00010119382843377235,0.0,2405.850932498906
296.3499999999891,31484.851957783158,29476.138715073983,-51.654670842946196,-1025.6523885425713,1.5204040007370063,0.00048435015189952056,4.662068749717033,-3.141664748980027,1624456.903682541,1280175.5346322118,0.9205916523933411,0.8411833047866821,0.006883936982643544,10490.340761461783,360.197456415113,23773095.712610893,-32.94999202926591,42314169.845482044,214195.89395528272,1289.6451949868906,0.699177968386708,-37.21256686041584,-3.299426265507277e-05,0.0,0.18991529424207362,213922.7647918577,8.485404228942205,10813.559815591387,42367978.644374825,11775.8515625,0.019877883341542373,3.4088716979177542,301.3797520691756,7.917244618696994,-15783962.283977184,2134629.8737483947,0.6672117671461196,7.225736224203416e-05,4.817244618696995,0.0,0.0,16.458684992694874,0.0,0.0,0.006632271153793847,1.314057559119804,1.1522341964150115e-06,1.3204749758226773,26.048194784089684,8.106710735597608e-08,2.287870073369888e-05,-9.716454926071563,0.0,-716.1791636526041,0.0,-3.0125616466209454e-05,0.0,-716.1791636526041
296.449999999989,31479.69476880389,29373.676914519194,-51.52222441116529,-1023.9971203413968,1.5204517438330103,0.00047457064671066945,4.662116560905271,-3.1416648170722605,1623275.643916916,1278994.2748665868,0.923464298248291,0.846928596496582,0.008598054295892874,10623.092122053113,360.116542973794,23771504.58313687,-32.94961026293586,42445997.36360383,217036.3081316579,1309.6000886421887,0.699455267061818,-39.075272862056856,-3.421286682470104e-05,0.0,0.19002898156198128,216760.01175245218,8.420508341541646,10947.962338887277,42499870.96456543,11812.59765625,0.020194531525620785,3.404137594943623,301.31203203367625,7.917626385027042,-15772989.82731944,2139238.1386019145,0.8364099038101809,7.207246906082432e-05,4.817626385027041,0.0,0.0,16.56034674377119,0.0,0.0,0.006718726451024006,1.3178526682258327,1.2096412421465557e-06,1.3243560986412257,26.148360891550677,8.226191538644721e-08,2.404145323228365e-05,-9.716766149007006,0.0,-772.105916460208,0.0,-3.24803132994757e-05,0.0,-772.105916460208
296.5499999999889,31474.550847313923,29271.381259889826,-51.38941215982957,-1022.3319444232933,1.5204998366589892,0.00048538744620388785,4.662164398151322,-3.141664561492333,1622090.8338583224,1277809.464807993,0.9262398481369019,0.8524796962738037,0.010309392099063834,10757.064227918863,360.035740005795,23769907.10339938,-32.94922696833015,42573355.733513534,219908.08927551424,1329.8405131581187,0.699733407109243,55.2401281125329,4.776384832455571e-05,0.0,0.1901454066163805,219633.42936599924,8.356181771386787,10987.605981738403,42627288.28942317,11848.1005859375,0.020515854873597902,3.399367211459803,301.2444042449556,7.91800967963275,-15761981.344061745,2143615.753185285,1.0066183603006693,7.208000545633197e-05,4.818009679632749,0.0,0.0,16.659483212239167,0.0,0.0,0.006806122590815388,1.3215140042968234,-1.7096737328075548e-06,1.3280452264854643,26.245975160495853,8.347239576472961e-08,-3.401194911812701e-05,-9.717076883154645,0.0,2342.3969287093187,0.0,9.854463959492411e-05,0.0,2342.3969287093187
296.64999999998884,31469.420230000214,29169.252726553408,-51.256231451406386,-1020.6571073642034,1.5205480126472564,0.00047721468615957583,4.662212277654143,-3.1416642650068862,1620902.5941427462,1276621.2250924169,0.9289209842681885,0.8578420281410217,0.012017934074910778,10892.263048867651,359.95504836874204,23768303.422353927,-32.94884218128856,42696370.32223535,222810.93457130867,1350.3699308578366,0.700012359972769,-108.19777574758135,-9.239290175061532e-05,0.0,0.1902640663781841,222524.9458559784,8.292419780341975,11285.953353285597,42750354.624916516,11882.3974609375,0.020841912345214892,3.394561342254497,301.1768694244721,7.918394466674339,-15750937.999951383,2147738.778962963,1.177812047341602,7.156822283604924e-05,4.81839446667434,0.0,0.0,16.75615372442525,0.0,0.0,0.006894447190894369,1.325026430782441,3.3479678746430197e-06,1.331745122745185,26.341108020014225,8.469850098284247e-08,6.666754674933627e-05,-9.717387125462434,0.0,-3039.5831743931076,0.0,-0.00012788389311516447,0.0,-3039.5831743931076
296.74999999998875,31464.30295229385,29067.292265735938,-51.122708559188105,-1018.9728472515612,1.5205958483565725,0.0004826148593995133,4.6622601869570754,-3.1416643386005028,1619711.0422323458,1275429.6731820165,0.931510329246521,0.863020658493042,0.013723664310059737,11028.694457482323,359.87446890192524,23766693.685060363,-32.94845593672039,42815158.29606768,225746.88499504613,1371.1918358919831,0.7002920978704907,88.42568577782646,7.457490807860623e-05,0.0,0.1903864589734265,225467.6015201433,8.229217650593828,11226.066489308103,42869189.97695628,11915.51953125,0.021172763473750706,3.389720759713247,301.10942827820867,7.918780711242508,-15739860.930186797,2151666.647749109,1.3499665918827997,7.177069134112202e-05,4.818780711242509,0.0,0.0,16.850444261555296,0.0,0.0,0.006983764244465072,1.3284262387836798,-2.735559973024825e-06,1.3351115996178848,26.433825034037085,8.594107530178337e-08,-5.452491491747297e-05,-9.717696872951818,0.0,3447.3210162726227,0.0,0.00014504840521589225,0.0,3447.3210162726227
296.84999999998865,31459.199047768376,28965.50080518996,-50.9888482752212,-1017.2793972387237,1.520644337222315,0.0004821854140410161,4.662308134298719,-3.1416637970764043,1618516.2923238985,1274234.9232735692,0.93401038646698,0.8680208325386047,0.015426567283831853,11166.364241067247,359.7940024268004,23765078.032667175,-32.94806826860056,42929834.66746051,228715.0977902332,1392.3097543103258,0.7005725937948113,-104.20998984933408,-8.680324452925436e-05,0.0,0.19051160632221098,228422.98327498956,8.16657068547419,11556.276592042006,42983906.35140245,11947.498046875,0.021508468367885888,3.3848462167004096,301.04208149715066,7.919168379362349,-15728751.238518374,2155342.351145515,1.523058233090938,7.120678740557551e-05,4.819168379362348,0.0,0.0,16.942395584367855,0.0,0.0,0.007074045665165598,1.3316778838542496,3.223163814208468e-06,1.3385709020397942,26.524190625119367,8.719986852094674e-08,6.430539721982748e-05,-9.718006122715462,0.0,-2896.9233928715066,0.0,-0.00012189833287689745,0.0,-2896.9233928715066
296.94999999998856,31454.10854970659,28863.879249827554,-50.85466424864393,-1015.5769822426732,1.5206921300592418,0.00047924373881720036,4.662356118826147,-3.141663988766905,1617318.4551351778,1273037.0860848485,0.9364238977432251,0.8728477954864502,0.017126627857654005,11305.278069469663,359.7136497474636,23763456.60239544,-32.94767920996553,43040532.157719694,231718.2188597434,1413.7272441678824,0.7008538215124426,51.445815695907,4.2325997677838956e-05,0.0,0.19064144791372747,231430.68519034827,8.104474210123353,11540.084511381196,43094639.75404402,11978.37109375,0.02184908771411377,3.3799384425995287,300.97482975762864,7.919557437997373,-15717609.995163748,2158834.66507471,1.697064003369519,7.131801247739489e-05,4.819557437997372,0.0,0.0,17.032107744601237,0.0,0.0,0.007165372500363981,1.3348234902162612,-1.5908478619429217e-06,1.3417103818103662,26.612280358924306,8.847596092154742e-08,-3.1769523891454666e-05,-9.718314871915592,0.0,2239.503123878333,0.0,9.424147174163978e-05,0.0,2239.503123878333
