time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,air_density,inertia,vg,drag,g_load_1_sec_window,CL,speed_of_sound,gravity_force_y,alpha_effective,aero_force_y,control_force_parallel,CD,control_force_x,d_cp_cg,x_cog,aero_force_x,d_thrust_cg,mach_number_max,lift,mach_number,control_force_perpendicular,fuel_percentage_consumed,control_force_y,atmospheric_pressure,mass_flow,ug,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_x_component_gravity,moment_dict_aero_moment_z,moment_dict_theta_dot_dot,moment_dict_moments_z,moment_dict_control_moment_z,moment_dict_M_wind_z
294.0749999999896,4940.059836304694,29926.1652261967,-215.71005591107814,-1021.535664085245,1.3690644912339713,-0.11744521137817449,4.504283618512703,-3.1352191272787318,1555020.2818483692,1210738.9127980398,0.9506962299346924,0.9013924598693848,0.0017020607314689891,10118.005672061154,360.55259379908824,0.018547361923050218,23676882.587058134,0.0,202396.10962433834,0.19109821753596234,-1.408187356091224,301.6767943454827,-15107160.485851223,-0.009375002210825656,-118562.15041801875,43754601.75252106,0.1860568384672498,8641048.082724655,-32.926903893032275,4.8403327549306265,1540610.0860847966,7.940332754930626,8.775840033215882,-1531852.5502367653,3.4624178594641903,0.0,0.7154885189816872,42892860.27480284,1205.6962775167876,12160.9375,0.0,0.20352835022003982,6.546324862413861,17.78676249689647,0.0,5.556871626428888,8.189496336351383e-08,0.9638468986717518,0.02689119541983922,27.583473203203756,-9.715089032725768,0.0,0.0,-50499421.84916413,-2.132857721597491,-50499421.84916413,0.0,0.0
294.1749999999895,4918.526927547053,29824.123594539662,-215.1274997758025,-1019.7386336969637,1.3531177814596334,-0.1112586773414693,4.504474284327833,-3.1513565028682002,1553803.6248354297,1209522.2557851004,0.9511365294456482,0.9022730588912964,0.003401146945488475,10241.262898894494,360.47210293983306,0.018840979138263825,23675148.2448109,0.0,211360.20228000334,0.38259656772275663,1.1640773672656102,301.6094255111534,-15095822.066863429,0.006949356265321782,471423.12289299816,43774583.07239217,0.19195883086961474,9334793.05332726,-32.92648773222332,4.84074891573958,-1210482.677469698,7.940748915739579,8.709135196407926,1281731.2269522622,3.4569660263240074,0.0,0.715774316302958,42767695.30630937,1224.2362977050452,12166.5693359375,0.0,-0.17027563824771766,5.227636353757403,18.10707177652963,0.0,6.007704515630764,8.565950899189909e-08,-0.8071336620355989,0.028078814486693263,27.524517656366704,-9.715398925306468,0.0,0.0,42250251.06724057,1.7845823236397662,42250251.06724057,0.0,0.0
294.2749999999894,4897.047514599144,29722.2629085159,-214.59344870294993,-1017.927645102667,1.3532277236376553,0.06882451516567988,4.504617247980586,-3.151389524342931,1552586.4261354785,1208305.0570851492,0.9515600204467773,0.9031201004981995,0.005097220249718199,10365.669095522926,360.39173431583805,0.019138856286096434,23673411.42023274,0.0,214080.19317245166,0.5744634778806688,1.1655914374300376,301.5421586959648,-15084476.802742591,0.011481633626040377,477475.382708775,43793785.33103476,0.19209565532126738,9526721.19640162,-32.926070979750925,4.841165668211981,-1226873.512402348,7.9411656682119816,8.643022546799603,1298988.4631583958,3.4514980944789286,0.0,0.7160602421451153,42745025.63885987,1243.0369107078582,12171.9873046875,0.0,-0.17258648278403482,5.344772523917764,18.117867061802777,0.0,6.136032774751516,8.690057241109504e-08,-0.8186668934152285,0.02844316837389411,27.531495135672365,-9.715708284458698,0.0,0.0,42848697.378666066,1.8099925109249342,42848697.378666066,0.0,0.0
294.3749999999893,4875.621561669752,29620.583541153377,-214.0439929403703,-1016.1162238960117,1.3695536031450612,0.17432245262389195,4.504775160204347,-3.135221557059286,1551368.698230205,1207087.3291798758,0.9519737958908081,0.9039475321769714,0.006790274432902351,10491.230940465104,360.3114883168755,0.019441045766512607,23671672.130414784,0.0,211172.7387941937,0.7666950558400323,-0.775666425991276,301.4749944491322,-15073124.81273623,-0.002073430057010661,26242.419883237337,43812536.53461927,0.18721894797969035,8944562.777738862,-32.925653639879066,4.841583008083836,899650.8153197148,7.941583008083835,8.57749688467499,-874909.3258714956,3.446014608838955,0.0,0.7163462930524487,42889779.13573859,1262.1011970339582,12177.279296875,0.0,0.11624649062492241,6.34425730614304,17.94188372192155,0.0,5.765594463742102,8.585784321183863e-08,0.5518489141989883,0.028057867340739718,27.64641260627926,-9.716017107945769,0.0,0.0,-28821316.05758902,-1.2175445781271053,-28821316.05758902,0.0,0.0
294.4749999999892,4854.258550660932,29519.083847109883,-213.38374865356963,-1014.324671558918,1.3730796243615302,-0.048533543488500586,4.505042187819337,-3.131962563457807,1550150.3492616992,1205868.98021137,0.9524592161178589,0.9049184918403625,0.008480336891489106,10617.960777255703,360.2313637394365,0.019747606034907758,23669930.277443185,0.0,212983.66794382862,0.959267533319923,-1.4080929422466961,301.4079320990365,-15061765.211023966,-0.01090925436030954,-122598.62903533038,43834576.69311688,0.186570759927711,8558314.786894653,-32.92523568927722,4.84200095868568,1616844.5535875275,7.94200095868568,8.51255187605026,-1607437.3056191604,3.4405165524090036,0.0,0.7166324844681127,42990991.636308715,1281.4326152380866,12183.4892578125,0.0,0.21347211638751365,6.562692730287556,17.932587186298363,0.0,5.520957880615116,8.673517132603745e-08,1.0147447296620977,0.028284819689705865,27.733433506488147,-9.71632539914437,0.0,0.0,-52998602.846402355,-2.2390688196030983,-52998602.846402355,0.0,0.0
294.57499999998913,4832.960710676356,29417.7637386132,-212.75565685408938,-1012.522247621647,1.357098370155405,-0.1692851098853075,4.505277617850966,-3.1481792476955617,1548931.3636965137,1204649.9946461844,0.9529569149017334,0.9059138894081116,0.010167409086965892,10745.85536547126,360.1513606086547,0.020058595468067097,23668185.8075587,0.0,221480.95784611977,1.1522430682872866,0.8719716702274979,301.340971159236,-15050397.851951629,0.002320304056944167,423936.80217503407,43857177.806968905,0.19170515765399776,9119549.027639126,-32.924817115210885,4.842419532752022,-940319.2529231512,7.942419532752021,8.448181442246822,1007407.0155443194,3.435002439078926,0.0,0.7169188245295169,42898553.24745314,1301.0346145543551,12189.85546875,0.0,-0.1337418786569874,5.279524354884873,18.24714186849781,0.0,5.887639208154058,9.034208848573985e-08,-0.6364889638247558,0.029403487301589034,27.695580484002885,-9.716633160577214,0.0,0.0,33185522.612975746,1.4021151803860512,33185522.612975746,0.0,0.0
294.67499999998904,4811.717937125864,29316.62576545026,-212.2284892884796,-1010.6944695544985,1.3520200618563445,0.02066230404538768,4.505413226926051,-3.1533931650697067,1547711.7586244922,1203430.389574163,0.9534412622451782,0.9068825840950012,0.011851448563055325,10874.906008559306,360.07148103296106,0.02037406362320047,23666438.729221556,0.0,225253.9985156541,1.3456284529358897,1.1717489189845918,301.2741131542734,-15039022.892530039,0.012281718952466658,502029.4221282372,43879159.87269272,0.19265726560703808,9545447.686047511,-32.92439791987553,4.842838728087372,-1294455.649481491,7.942838728087372,8.3843814882279,1370003.5055829857,3.4294707896914147,0.0,0.7172053111431604,42828321.23264064,1320.9100843551262,12196.0498046875,0.0,-0.1819055045161192,5.330040851925332,18.273940964820955,0.0,6.167458270479833,9.20285959473996e-08,-0.866287499912681,0.02990864043579723,27.672026780169794,-9.716940385524865,0.0,0.0,45194221.92739327,1.9096334030007993,45194221.92739327,0.0,0.0
294.77499999998895,4790.52790731941,29215.67080288736,-211.70751504244294,-1008.8615167230172,1.3660960769649366,0.21309519410023092,4.505542424199358,-3.139446347234421,1546491.5604128223,1202210.191362493,0.953904926776886,0.907809853553772,0.01353244074577531,11005.124433833784,359.99172579971196,0.020694062775937185,23664689.072783973,0.0,228121.89928495343,1.5393984928089008,1.173313603882195,301.20735907602585,-15027640.583768493,0.003152264099179014,508410.30419370567,43900186.89939663,0.19280150357516115,9152614.86164127,-32.923978110719794,4.843258537243107,-1311801.4826595883,7.943258537243107,8.32114743099783,1388259.5457567926,3.42392321919189,0.0,0.7174919386379498,42935487.08232409,1341.0620818620803,12201.982421875,0.0,-0.18436142757306956,5.069065530934073,18.369120010736346,0.0,5.918308961995279,9.334995220648433e-08,-0.8785476954339557,0.03029468022849232,27.763156412481706,-9.717247069720184,0.0,0.0,45730475.41563381,1.9324350839761093,45730475.41563381,0.0,0.0
294.87499999998886,4769.398287580606,29114.89760740078,-211.04668860582487,-1007.0545180242202,1.3752793733135689,0.003937736059917707,4.505810302212504,-3.1305309288989354,1545270.7814821582,1200989.412431829,0.9543589353561401,0.9087178111076355,0.01521040634092985,11136.519781312405,359.912094022401,0.021018651481819292,23662936.85676153,0.0,224028.31798122064,1.733502445657906,-1.4079977808304036,301.140708697333,-15016251.04986207,-0.011030611455737471,-126633.35775571113,43920766.8949744,0.18710776902511414,8536889.647088487,-32.923557692352475,4.8436789556104305,1695926.3474890261,7.94367895561043,8.25847357522038,-1685827.243861737,3.4183604223530635,0.0,0.7177787033000715,43083120.59027425,1361.4940559337415,12207.7890625,0.0,0.22376938175988495,6.620713670536001,18.075637087100997,0.0,5.5245266715651375,9.182487782615603e-08,1.0677635758486776,0.029736545303734666,27.880628499912973,-9.717553214498185,0.0,0.0,-55581411.91999831,-2.348880540756558,-55581411.91999831,0.0,0.0
294.97499999998877,4748.335164937533,29014.3052614773,-210.38393841140183,-1005.2440631046618,1.3614758218964198,-0.20992412780827027,4.506080317566009,-3.144604495669589,1544049.4132875782,1199768.0442372488,0.9548195600509644,0.9096391797065735,0.016885360625950606,11269.098782049334,359.83258507117574,0.02134789288396088,23661182.072331585,0.0,227570.05149033494,1.9279838600632744,-0.8700427579395902,301.0741610053406,-15004854.216844583,-0.002299755791767666,6740.3750949850655,43941639.86609589,0.1878297225938154,8905164.274439303,-32.923136662823374,4.844099985139527,1078386.987535279,7.944099985139527,8.196353557918204,-1054123.2372007184,3.412782400244579,0.0,0.7180656058966649,43029824.11498933,1382.2097397652515,12213.681640625,0.0,0.13984999073140883,6.464545291506143,18.14916093966258,0.0,5.76740886515963,9.342947402314156e-08,0.6682229355031971,0.03019160233691878,27.868165192570206,-9.717858824800407,0.0,0.0,-34722182.11341805,-1.4674745330674221,-34722182.11341805,0.0,0.0
