Generation,Global_Best_Fitness,Average_Fitness,Subswarm_1_Best,Subswarm_1_Average,Subswarm_2_Best,Subswarm_2_Average
19,-194.1496593109125,7522.499601394338,-188.73713976413453,6993.837979729427,-194.1496593109125,8051.161223059248
20,-194.1496593109125,7327.047869544843,-188.73713976413453,6583.6944203223175,-194.1496593109125,8070.401318767369
21,-194.1496593109125,7523.115185846386,-188.73713976413453,6432.585204575609,-194.1496593109125,8613.645167117164
22,-194.1496593109125,6797.968623826471,-188.73713976413453,6583.090568890125,-194.1496593109125,7012.846678762818
23,-194.1496593109125,6671.896788304414,-188.73713976413453,6841.156166832171,-194.1496593109125,6502.6374097766575
24,-194.1496593109125,7384.210603183331,-192.38984088870814,6666.6170912413145,-194.1496593109125,8101.804115125346
25,-194.1496593109125,6682.553453598727,-192.38984088870814,7555.522843031189,-194.1496593109125,5809.584064166264
26,-194.1496593109125,7254.390998500755,-192.38984088870814,7363.537304183127,-194.1496593109125,7145.2446928183845
27,-446943.379366033,4693.476550778776,-446943.379366033,1280.7948421143644,-194.1496593109125,8106.158259443186
28,-446943.379366033,7315.752977265185,-446943.379366033,7913.682172394713,-194.1496593109125,6717.823782135659
29,-446943.379366033,8526.472122949575,-446943.379366033,8307.947714315613,-194.1496593109125,8744.996531583532
30,-446943.379366033,7141.401449518814,-446943.379366033,6999.947231870602,-194.1496593109125,7282.855667167023
31,-446943.379366033,6572.255451034502,-446943.379366033,7487.860163325441,-194.1496593109125,5656.650738743564
32,-446943.379366033,8409.62029445155,-446943.379366033,6633.738557783439,-194.1496593109125,10185.502031119662
33,-552679.9515172171,5511.011753945525,-552679.9515172171,-1034.761219898856,-194.1496593109125,12056.784727789907
34,-552679.9515172171,9265.893834901442,-552679.9515172171,6795.399815091358,-194.1496593109125,11736.387854711527
35,-552679.9515172171,7903.734709786815,-552679.9515172171,7181.681118291249,-194.1496593109125,8625.78830128238
36,-552679.9515172171,7272.5486685662945,-552679.9515172171,6674.878313359539,-194.1496593109125,7870.219023773051
37,-552679.9515172171,6762.647725029246,-552679.9515172171,5631.293121460695,-194.1496593109125,7894.0023285977995
38,-552679.9515172171,7579.29806574183,-552679.9515172171,6165.734630570784,-194.1496593109125,8992.861500912879
39,-552679.9515172171,7420.299352829105,-552679.9515172171,4559.004553747381,-194.1496593109125,10281.594151910833
40,-552679.9515172171,8479.056269680523,-552679.9515172171,6399.827556548767,-194.1496593109125,10558.28498281228
41,-552679.9515172171,8217.080373096254,-552679.9515172171,6360.778865283527,-194.1496593109125,10073.381880908986
42,-552679.9515172171,5029.3311161447145,-552679.9515172171,1179.1070702531574,-194.1496593109125,8879.555162036273
43,-552679.9515172171,7600.426772435739,-552679.9515172171,6847.196725544217,-194.1496593109125,8353.656819327261
44,-552679.9515172171,6469.186197457436,-552679.9515172171,6355.776669258885,-155591.09683429473,6582.595725655988
45,-552679.9515172171,7156.564525419394,-552679.9515172171,6182.218853368324,-155591.09683429473,8130.910197470466
46,-552679.9515172171,5071.18512728735,-552679.9515172171,1898.6146057209726,-155591.09683429473,8243.755648853728
47,-552679.9515172171,7952.766087674676,-552679.9515172171,6869.597067297433,-155591.09683429473,9035.935108051917
48,-552679.9515172171,7091.062539904822,-552679.9515172171,6041.36658630529,-155591.09683429473,8140.758493504353
49,-552679.9515172171,6906.7251623189,-552679.9515172171,5777.548309017553,-155591.09683429473,8035.902015620248
50,-552679.9515172171,6818.3266711095375,-552679.9515172171,6017.8487643652725,-155591.09683429473,7618.804577853803
51,-552679.9515172171,6463.603762101457,-552679.9515172171,5441.681358532298,-155591.09683429473,7485.526165670614
52,-552679.9515172171,8035.532063220859,-552679.9515172171,7088.016325233961,-155591.09683429473,8983.047801207756
53,-552679.9515172171,6471.6000123352715,-552679.9515172171,4990.370658803233,-155591.09683429473,7952.829365867309
54,-552679.9515172171,6008.529687413023,-552679.9515172171,5181.117564010389,-155591.09683429473,6835.941810815651
55,-552679.9515172171,6476.661011137341,-552679.9515172171,4995.905746313798,-155591.09683429473,7957.416275960888
56,-552679.9515172171,6189.079403724419,-552679.9515172171,5256.904351193863,-155591.09683429473,7121.254456254972
57,-552679.9515172171,661.0293638498522,-552679.9515172171,-5993.291819657992,-155591.09683429473,7315.350547357697
58,-552679.9515172171,6095.3539643662925,-552679.9515172171,5000.926863512127,-155591.09683429473,7189.781065220457
59,-552679.9515172171,5889.366589261288,-552679.9515172171,5353.867441716765,-155591.09683429473,6424.865736805811
60,-552679.9515172171,5363.901418563328,-552679.9515172171,4720.949151454591,-155591.09683429473,6006.8536856720675
61,-580165.893907659,411.5171309065904,-580165.893907659,-6234.926156997101,-155591.09683429473,7057.960418810281
62,-580165.893907659,7806.416764909386,-580165.893907659,5346.013515684561,-155591.09683429473,10266.820014134211
63,-580165.893907659,9226.293239482768,-580165.893907659,5237.1781873681275,-155591.09683429473,13215.408291597407
64,-580165.893907659,9457.445284183808,-580165.893907659,5994.708916295005,-155591.09683429473,12920.181652072612
65,-580165.893907659,7217.105686154474,-580165.893907659,4965.210679629558,-155591.09683429473,9469.00069267939
66,-580165.893907659,6606.112259771691,-580165.893907659,5178.891279154846,-155591.09683429473,8033.333240388537
67,-580165.893907659,7308.173917875144,-580165.893907659,6277.585246936556,-155591.09683429473,8338.762588813734
68,-580165.893907659,7774.355604959792,-580165.893907659,6182.717799064376,-155591.09683429473,9365.993410855208
69,-580165.893907659,4334.362647319307,-580165.893907659,-1560.8672708669003,-155591.09683429473,10229.592565505516
70,-580165.893907659,7557.17249610746,-580165.893907659,5295.425560876254,-155591.09683429473,9818.919431338665
71,-580165.893907659,7621.23626543167,-580165.893907659,5192.302633704815,-155591.09683429473,10050.169897158527
72,-580165.893907659,7088.41914875625,-580165.893907659,4712.488512663814,-155591.09683429473,9464.34978484869
73,-580165.893907659,7197.035175622506,-580165.893907659,5168.1327679398255,-155591.09683429473,9225.937583305189
74,-580759.7092076468,3307.7781382906023,-580759.7092076468,-2241.2363686636463,-155591.09683429473,8856.79264524485
75,-580759.7092076468,6984.623724477846,-580759.7092076468,5555.521205047683,-155591.09683429473,8413.726243908011
76,-580759.7092076468,7435.33753270266,-580759.7092076468,4932.899123123168,-155591.09683429473,9937.775942282151
77,-580759.7092076468,7666.497312527536,-580759.7092076468,5974.830755000066,-155591.09683429473,9358.163870055007
78,-580759.7092076468,4243.388170208998,-580759.7092076468,-337.78913359982954,-155591.09683429473,8824.565474017829
79,-586040.143114202,2748.4068003127218,-586040.143114202,-2147.5922570275907,-155591.09683429473,7644.405857653036
80,-586040.143114202,8111.319271611587,-586040.143114202,6445.889060644326,-155591.09683429473,9776.749482578849
81,-586040.143114202,3836.6391480011057,-586040.143114202,-1543.625573257567,-155591.09683429473,9216.903869259779
82,-586040.143114202,8354.433627186412,-586040.143114202,4952.030348933087,-155591.09683429473,11756.836905439737
83,-586040.143114202,8438.69019623658,-586040.143114202,5064.788786160036,-155591.09683429473,11812.591606313124
84,-586040.143114202,8860.597172587566,-586040.143114202,5038.798903962463,-155591.09683429473,12682.39544121267
85,-586040.143114202,1943.30243957407,-586040.143114202,-8092.9613472276,-155591.09683429473,11979.56622637574
86,-586040.143114202,7256.406857236965,-586040.143114202,4851.560699116372,-155591.09683429473,9661.25301535756
87,-586040.143114202,3909.5592674982586,-586040.143114202,-2430.894686379975,-155591.09683429473,10250.013221376492
88,-586040.143114202,5111.116441889064,-586040.143114202,-1590.3384520369575,-155591.09683429473,11812.571335815082
89,-586040.143114202,8387.881220906564,-586040.143114202,5047.312658481607,-155591.09683429473,11728.449783331522
90,-586040.143114202,6663.425008827024,-586040.143114202,1869.4298674558675,-155591.09683429473,11457.42015019818
91,-586040.143114202,4642.971362508578,-586040.143114202,-2600.9641204459226,-155591.09683429473,11886.906845463078
92,-586040.143114202,8872.901933035004,-586040.143114202,5287.3086805484345,-155591.09683429473,12458.495185521571
93,-586040.143114202,8572.747310240147,-586040.143114202,6186.47497406228,-155591.09683429473,10959.019646418015
94,-586040.143114202,446.9338441966497,-586040.143114202,-11051.899848725638,-155591.09683429473,11945.767537118936
95,-586040.143114202,5046.685105360841,-586040.143114202,-2246.52822305051,-155591.09683429473,12339.898433772194
96,-586040.143114202,-3085.865347596185,-586040.143114202,-17846.6191212429,-155591.09683429473,11674.888426050537
97,-588493.3496190237,26.970048738026527,-588493.3496190237,-11133.742412539737,-155591.09683429473,11187.68251001579
98,-588493.3496190237,4316.553486473146,-588493.3496190237,-2500.4810838183807,-155591.09683429473,11133.588056764673
99,-588493.3496190237,4546.610537922992,-588493.3496190237,-2495.1391174029463,-155591.09683429473,11588.360193248933
100,-588493.3496190237,-3695.99909111711,-588493.3496190237,-18415.52881102883,-155591.09683429473,11023.530628794617
101,-588493.3496190237,-2725.3041601098466,-588493.3496190237,-17556.538932945714,-155591.09683429473,12105.93061272602
102,-588772.3747578787,-2876.4725383198097,-588772.3747578787,-18665.658130799515,-155591.09683429473,12912.713054159898
103,-588772.3747578787,9140.214193065893,-588772.3747578787,4379.1973900416815,-155591.09683429473,13901.230996090108
104,-588785.8733006644,1936.3646882687283,-588785.8733006644,-10448.116875031412,-155591.09683429473,14320.846251568868
105,-588785.8733006644,-2662.519139759963,-588785.8733006644,-18312.872494781306,-155591.09683429473,12987.83421526138
106,-588785.8733006644,-3302.466966233508,-588785.8733006644,-18805.14155150595,-155591.09683429473,12200.207619038933
107,-588785.8733006644,1178.4986590524818,-588785.8733006644,-11007.303627911993,-155591.09683429473,13364.300946016958
108,-588785.8733006644,-6827.110724813196,-588785.8733006644,-26408.026697325848,-155591.09683429473,12753.805247699456
109,-588785.8733006644,-6908.702528818721,-588785.8733006644,-26555.19894543877,-155591.09683429473,12737.793887801325
110,-588785.8733006644,1158.9080742213641,-588785.8733006644,-10159.641397200916,-155591.09683429473,12477.457545643643
111,-588785.8733006644,1340.7569033827888,-588785.8733006644,-10054.238104917134,-155591.09683429473,12735.751911682712
112,-588785.8733006644,-10636.687399530616,-588785.8733006644,-34560.36642646609,-155591.09683429473,13286.991627404854
113,-588785.8733006644,-9888.104278029758,-588785.8733006644,-33526.79064536762,-155591.09683429473,13750.582089308104
114,-588785.8733006644,-21805.652838783728,-588785.8733006644,-56793.06035296155,-155591.09683429473,13181.754675394088
115,-588785.8733006644,-10259.162881502338,-588785.8733006644,-33761.58231888269,-155591.09683429473,13243.256555878008
116,-588785.8733006644,1460.3433875848011,-588785.8733006644,-9404.664780294395,-155591.09683429473,12325.351555463998
117,-588785.8733006644,5914.797821518567,-588785.8733006644,-887.046801075264,-155591.09683429473,12716.642444112396
118,-588785.8733006644,-20638.302901454343,-588785.8733006644,-54160.62633183838,-155591.09683429473,12884.020528929701
119,-588785.8733006644,-30088.828072863358,-588785.8733006644,-72999.69179955377,-155591.09683429473,12822.035653827059
120,-588785.8733006644,-21816.243198325672,-588785.8733006644,-57198.695969814806,-155591.09683429473,13566.209573163462
121,-588785.8733006644,-24903.681758480026,-588785.8733006644,-57723.62203438965,-370396.84527026885,7916.2585174296
122,-588786.2369176077,-7277.327376454457,-588786.2369176077,-25252.923882279127,-370396.84527026885,10698.269129370214
123,-588786.2369176077,-67.3665280282086,-588786.2369176077,-9869.105577160004,-370396.84527026885,9734.372521103585
124,-588786.2369176077,-12689.292388734466,-588786.2369176077,-33513.62549211593,-370396.84527026885,8135.040714646994
125,-588786.8523579764,-23770.195649699057,-588786.8523579764,-57708.47621841701,-370396.84527026885,10168.084919018913
126,-588786.8523579764,-18154.518942479477,-588786.8523579764,-48832.85731180544,-370396.84527026885,12523.819426846494
127,-588786.8523579764,-18769.508135957174,-588786.8523579764,-48359.40579136608,-370396.84527026885,10820.389519451732
128,-588786.8523579764,-5874.810703044463,-588786.8523579764,-22516.068762656538,-370396.84527026885,10766.447356567613
129,-588786.8523579764,-11697.083930268725,-588786.8523579764,-34028.4544339332,-370396.84527026885,10634.286573395742
130,-589253.1240788626,-20097.876044253448,-589253.1240788626,-49357.37373973582,-370396.84527026885,9161.621651228936
131,-589854.8626729178,-30621.395198083956,-589854.8626729178,-69908.8267678367,-370396.84527026885,8666.036371668786
132,-590079.6352177786,-23189.887137328686,-590079.6352177786,-57242.76873123626,-370396.84527026885,10862.994456578881
133,-590079.6352177786,-11366.85145441787,-590079.6352177786,-32750.723486465333,-370396.84527026885,10017.020577629595
134,-590377.1590901541,-9501.367840596226,-590377.1590901541,-28418.978406777096,-370396.84527026885,9416.24272558464
135,-590394.897852056,-24296.646184917274,-590394.897852056,-57589.167616397426,-370396.84527026885,8995.875246562888
136,-590394.897852056,-16758.075730517437,-590394.897852056,-33710.58728249891,-586485.0917836356,194.43582146404157
137,-590394.897852056,-22802.373377777352,-590394.897852056,-49592.66251061506,-586487.7538090872,3987.9157550603572
138,-590394.897852056,-30325.449953545594,-590394.897852056,-65074.22827600048,-587115.5532094168,4423.3283689093105
139,-590397.996263616,-26779.611453324876,-590397.996263616,-56981.87653191532,-587438.5577794241,3422.653625265574
140,-590397.996263616,-23021.950503251483,-590397.996263616,-56894.11740460154,-587438.5577794241,10850.216398098564
141,-590400.129694097,-31933.41881122823,-590400.129694097,-65403.80396995286,-588231.2255192923,1536.9663474963916
142,-590400.129694097,-23462.890682036894,-590400.129694097,-49117.582085221205,-588231.2255192923,2191.8007211474182
143,-590402.9517155814,-23259.699964623538,-590402.9517155814,-49228.87869651738,-588231.2255192923,2709.4787672703005
144,-590402.9517155814,-27004.723179933117,-590402.9517155814,-57101.857830292014,-588231.2255192923,3092.4114704257877
145,-590402.9517155814,-39452.78846139099,-590402.9517155814,-80855.56006089401,-588489.5678044485,1949.983138112057
146,-590403.4221821951,-44393.59373731611,-590403.4221821951,-81750.99894703506,-590398.2616978812,-7036.1885275971645
147,-590403.7439061331,-46199.893634758926,-590403.7439061331,-86533.94994919623,-590398.2616978812,-5865.837320321627
148,-590403.7439061331,-21822.082734439045,-590403.7439061331,-37448.70219733818,-590401.3893757986,-6195.46327153992
149,-590403.7439061331,-15419.616043496833,-590403.7439061331,-33128.2502929243,-590401.3893757986,2289.018205930623
150,-590403.7589512991,-30403.319982730856,-590403.7589512991,-63170.43926551072,-590401.3893757986,2363.7993000490155
151,-590403.8334675955,-28160.92135179214,-590403.8334675955,-58040.67835373358,-590401.3893757986,1718.8356501492933
152,-590403.8334675955,-49821.52031646246,-590403.8334675955,-93276.42432937032,-590401.3893757986,-6366.616303554608
153,-590403.8434697317,-35087.92076663999,-590403.8434697317,-64476.938856222434,-590401.3893757986,-5698.90267705754
154,-590404.4943028616,-34250.01141952725,-590404.4943028616,-64878.593304762755,-590401.3893757986,-3621.4295342917476
155,-590404.4943028616,-22842.842743232373,-590404.4943028616,-47572.54827061729,-590402.8259679007,1886.8627841525447
