swarm_idx,best_fitness,avg_fitness,min_fitness,max_fitness,std_fitness,num_particles,generation,global_best_fitness,global_avg_fitness
1,-46.175587396403586,13043.361672431016,-46.175587396403586,19210.91002309454,5880.100091850625,75,0,-46.175587396403586,13794.775857562585
1,-161.18467877177815,10026.124562058201,-161.18467877177815,19213.647360909985,7130.088110334883,75,1,-161.18467877177815,10719.16199757836
1,-166.8068089515096,8759.105376933325,-166.8068089515096,19212.35018711411,7885.889271473473,75,2,-176.5292717758921,9085.791316226961
1,-166.8068089515096,12414.944094786184,-121.19070245425236,19212.692412556975,7278.7340138005275,75,3,-176.5292717758921,12220.399711875809
1,-171.6617003820816,9926.372037023819,-171.6617003820816,19215.24307053898,7726.208410837649,75,4,-176.5292717758921,9990.201719823666
1,-171.6617003820816,8887.538202559153,-154.259076087271,19209.747114126894,6964.43983069371,75,5,-176.5292717758921,9426.156364602626
1,-178.5611768827748,11226.956514605177,-178.5611768827748,19213.76162449436,7196.082389959176,75,6,-178.5611768827748,10941.86268912565
1,-178.5611768827748,11131.128772352213,-174.97708056620428,19213.568788102562,7549.640614092464,75,7,-183.22999699438094,10362.251532646664
1,-187.9405660036189,8651.551850433181,-187.9405660036189,19213.5723084203,7672.061379151727,75,8,-187.9405660036189,8702.806220406648
1,-187.9405660036189,9278.394621415971,-172.76283733162344,19211.448173226814,7403.265879585612,75,9,-187.9405660036189,8285.064101669297
1,-187.9405660036189,7884.870874249659,-182.84967186677844,19215.7160322069,7597.054809679215,75,10,-187.9405660036189,7770.482467235339
1,-187.9405660036189,8464.616676078615,-179.29744887671362,19213.215626932524,7532.768075097897,75,11,-187.9405660036189,8605.545436264872
1,-187.9405660036189,9783.731583071134,-168.27401670373175,19210.736265944797,7348.586415768775,75,12,-187.9405660036189,8932.039519242906
1,-192.15170251113264,9272.574526381053,-192.15170251113264,19210.78733238059,7656.261764337863,75,13,-192.15170251113264,8740.914498813767
1,-192.15170251113264,8231.82088337364,-181.66358333325397,19209.41088653335,7217.323688757632,75,14,-192.15170251113264,7198.469696608273
1,-192.15170251113264,8304.7708350116,-190.59345467353734,19210.15804522821,7687.951695090328,75,15,-192.15170251113264,7711.5081495422455
1,-194.1496593109125,7962.023945348362,-194.1496593109125,19209.139750385857,7505.526826213868,75,16,-194.1496593109125,7468.459408983067
1,-194.1496593109125,7869.417542563885,-185.4227335147696,19210.427129178275,7257.562311328868,75,17,-194.1496593109125,7710.5320486170485
1,-194.1496593109125,7454.326241926444,-191.23534454521555,19210.80445569106,6887.694921012573,75,18,-194.1496593109125,7263.6253311715245
1,-194.1496593109125,8051.161223059248,-181.7527046875892,19212.038707768974,7582.024286780297,75,19,-194.1496593109125,7522.499601394338
1,-194.1496593109125,8070.401318767369,-180.71332193076393,19215.561811130938,7611.631336716503,75,20,-194.1496593109125,7327.047869544843
1,-194.1496593109125,8613.645167117164,-166.35523670630127,19212.38439718573,7397.364490485621,75,21,-194.1496593109125,7523.115185846386
1,-194.1496593109125,7012.846678762818,-192.54840600014847,19213.868457300297,7460.871369377216,75,22,-194.1496593109125,6797.968623826471
1,-194.1496593109125,6502.6374097766575,-189.7174832387796,19209.065401096417,7040.159046292375,75,23,-194.1496593109125,6671.896788304414
1,-194.1496593109125,8101.804115125346,-190.7289086496112,19209.94668551237,7393.223414136733,75,24,-194.1496593109125,7384.210603183331
1,-194.1496593109125,5809.584064166264,-193.2849036423745,19209.13278044877,7149.9721427751465,75,25,-194.1496593109125,6682.553453598727
1,-194.1496593109125,7145.2446928183845,-187.39200734093603,19210.32621433412,7089.922403806971,75,26,-194.1496593109125,7254.390998500755
1,-194.1496593109125,8106.158259443186,-186.34713037897316,19211.407281687072,7362.928657792247,75,27,-446943.379366033,4693.476550778776
1,-194.1496593109125,6717.823782135659,-185.45370727804445,19212.510553220603,7009.336820735497,75,28,-446943.379366033,7315.752977265185
1,-194.1496593109125,8744.996531583532,-184.39487661729677,19210.832428555495,7266.589446297122,75,29,-446943.379366033,8526.472122949575
1,-194.1496593109125,7282.855667167023,-193.94829268913332,19212.5996295522,7599.388169837956,75,30,-446943.379366033,7141.401449518814
