#{"t_start": 1741813880.028079, "env_id": "None"}
r,l,t
-0.03872,87,1354.943182
-0.039558,85,1355.897968
-0.039793,85,1356.852788
-0.040529,87,1357.830232
-0.03924,87,1358.839022
-0.039583,87,1359.830927
-0.040509,86,1360.793274
-0.040727,86,1361.751911
-0.039472,88,1362.741203
-0.039952,87,1363.715844
-0.039617,86,1364.681048
-0.040314,87,1365.682212
-0.040824,85,1366.852103
-0.039108,86,1367.99782
-0.039978,86,1369.14212
-0.038598,89,1370.32349
-0.040055,86,1371.499558
-0.039715,86,1372.661663
-0.039564,87,1373.821703
-0.039229,88,1374.994781
-0.040356,85,1376.137304
-0.039964,86,1377.281599
-0.039274,89,1378.458327
-0.039879,86,1379.599651
-0.039995,88,1380.763072
-0.039828,87,1381.94454
-0.039115,88,1383.105366
-0.040166,87,1384.116091
-0.03973,88,1385.105071
-0.038811,86,1386.087849
-0.040281,86,1387.055891
-0.04014,87,1388.032979
-0.040338,87,1389.008806
-0.039526,86,1389.972188
-0.038,89,1390.971519
-0.042541,3,1391.006919
-0.039939,85,1391.959889
-0.039893,87,1392.933258
-0.039469,85,1393.884301
-0.040229,85,1394.827429
-0.039675,85,1395.768751
-0.03955,86,1396.721091
-0.039804,86,1397.676055
-0.040257,86,1398.634488
-0.039447,85,1399.594905
-0.040756,84,1400.540902
-0.040186,88,1401.526147
-0.040212,86,1402.494593
-0.039813,86,1403.458731
-0.039718,86,1404.424659
-0.040091,85,1405.381277
-0.039434,86,1406.345328
-0.039937,86,1407.31916
-0.038793,87,1408.303219
-0.040557,85,1409.255818
-0.04032,87,1410.236528
-0.040745,86,1411.200882
-0.039262,87,1412.216715
-0.039753,87,1413.193252
-0.039367,86,1414.162189
-0.039489,86,1415.127961
-0.039043,86,1416.093713
-0.039866,86,1417.055962
-0.038983,86,1418.028011
-0.039784,87,1419.025176
-0.039222,87,1420.011564
-0.040085,87,1420.990534
-0.039074,86,1421.959403
-0.040288,86,1422.925021
-0.039649,85,1423.876858
-0.0409,84,1424.819657
-0.039722,86,1425.783933
-0.040185,84,1426.727002
-0.03898,87,1427.701236
-0.041422,84,1428.644022
-0.040049,86,1429.609374
-0.039895,86,1430.575393
-0.039717,93,1431.618406
-0.042484,1,1431.629723
-0.039993,86,1432.626498
-0.040209,86,1433.616468
-0.040527,84,1434.573257
-0.040551,85,1435.543031
-0.040044,85,1436.509403
-0.039816,87,1437.512092
-0.040365,88,1438.513488
-0.038925,86,1439.483705
-0.039658,85,1440.441517
-0.038972,86,1441.409873
-0.040209,85,1442.392565
-0.038765,88,1443.383829
-0.039305,86,1444.355863
-0.040374,84,1445.297573
-0.040158,85,1446.26296
-0.04048,87,1447.250691
-0.038948,86,1448.236497
-0.039295,86,1449.208205
-0.04026,85,1450.171342
-0.039638,87,1451.159484
-0.04035,87,1452.145685
-0.038867,86,1453.118977
-0.039294,86,1454.139007
-0.040033,85,1455.133663
-0.040505,87,1456.140537
-0.040283,86,1457.104872
-0.039344,87,1458.150767
-0.040128,86,1459.187649
-0.039938,87,1460.195912
-0.038298,88,1461.184406
-0.040102,89,1462.184158
-0.040128,88,1463.16901
-0.040081,86,1464.138613
-0.039064,86,1465.101894
-0.039689,86,1466.064329
-0.040136,87,1467.037187
-0.040301,87,1468.012024
-0.040852,86,1468.972679
-0.040775,85,1469.921769
-0.04156,84,1470.866584
-0.03915,87,1471.836771
-0.04015,86,1472.795733
-0.039934,87,1473.764427
-0.040989,86,1474.725149
-0.039788,88,1475.707825
-0.039466,88,1476.68831
-0.038933,85,1477.636308
-0.039058,85,1478.582505
-0.040096,88,1479.563826
-0.040287,88,1480.544819
-0.040109,88,1481.526707
-0.039576,86,1482.483045
-0.040105,85,1483.439844
-0.039353,88,1484.428481
-0.039615,86,1485.392776
-0.04051,86,1486.366117
-0.040577,85,1487.310163
-0.040131,87,1488.289482
-0.039573,86,1489.25251
-0.039515,87,1490.226766
-0.039662,86,1491.184284
-0.040251,88,1492.173783
-0.039417,87,1493.161439
-0.039809,87,1494.154873
-0.040731,86,1495.124032
-0.039646,89,1496.12489
-0.037768,89,1497.137765
-0.039487,86,1498.135183
-0.040161,88,1499.13974
-0.040121,88,1500.123123
-0.040439,88,1501.103375
-0.039754,87,1502.073628
-0.039927,86,1503.041325
-0.039202,85,1503.990093
-0.037305,90,1504.999489
-0.040295,87,1505.989404
-0.040361,88,1506.96997
-0.038816,86,1507.927769
-0.038633,86,1508.88697
-0.040315,84,1509.826526
-0.03915,86,1510.789128
-0.038899,86,1511.748407
-0.040197,86,1512.713791
-0.039126,86,1513.679875
-0.03804,89,1514.699691
-0.037276,88,1515.721559
-0.040027,87,1516.702582
-0.038788,86,1517.668924
-0.042275,3,1517.7026
-0.039642,88,1518.689492
-0.039274,87,1519.669364
-0.040021,86,1520.630539
-0.039631,85,1521.579225
-0.038196,88,1522.562296
-0.039977,86,1523.526731
-0.040057,86,1524.487701
-0.038604,86,1525.517048
-0.038659,88,1526.500037
-0.038878,87,1527.486756
-0.037705,88,1528.471581
-0.040285,85,1529.421207
-0.037228,89,1530.420441
-0.038076,88,1531.408676
-0.039364,86,1532.372681
-0.038406,87,1533.345511
-0.03948,85,1534.300711
-0.03885,86,1535.264841
-0.03791,87,1536.241249
-0.038164,89,1537.237594
-0.039374,87,1538.213814
-0.039899,86,1539.175984
-0.038639,87,1540.149009
-0.040095,86,1541.11069
-0.037913,86,1542.074063
-0.042476,1,1542.085449
-0.039668,86,1543.055499
-0.039132,86,1544.018015
-0.039729,85,1544.969479
-0.038881,87,1545.943858
-0.038769,88,1546.929948
-0.040107,86,1547.895313
-0.039003,87,1548.869979
-0.0395,87,1549.845336
-0.039597,86,1550.807307
-0.038173,87,1551.788022
-0.039862,86,1552.799762
-0.03877,86,1553.81923
-0.039419,87,1554.799547
-0.042508,1,1554.8109
-0.037649,88,1555.820258
-0.040008,86,1556.803104
-0.038979,87,1557.808427
-0.038293,86,1558.794989
-0.039513,86,1559.760529
-0.039425,87,1560.737458
-0.038394,86,1561.697878
-0.038549,88,1562.682131
-0.038457,86,1563.649751
-0.039624,87,1564.62216
-0.040085,85,1565.57219
-0.038021,88,1566.557243
-0.038461,87,1567.5266
-0.039323,87,1568.500038
-0.038685,86,1569.460323
-0.037206,90,1570.463936
-0.039264,88,1571.463032
-0.038362,85,1572.41083
-0.038712,87,1573.382595
-0.039456,85,1574.341882
-0.039857,85,1575.288584
-0.037571,88,1576.266838
-0.038806,86,1577.221228
-0.038113,87,1578.192942
-0.038871,86,1579.15144
-0.038591,87,1580.119608
-0.038251,87,1581.088748
-0.041029,84,1582.041172
-0.0393,86,1583.009961
-0.039591,86,1583.975643
-0.038197,87,1584.960091
-0.038226,87,1585.939997
-0.038512,86,1586.909132
-0.039788,85,1587.866941
-0.038588,87,1588.846456
-0.038365,87,1589.826864
-0.038635,87,1590.809736
-0.041319,85,1591.764865
-0.03929,85,1592.72201
-0.039391,85,1593.678175
-0.03861,86,1594.648676
-0.039228,88,1595.642537
-0.039085,86,1596.611825
-0.039252,85,1597.569478
-0.040958,84,1598.501582
-0.039728,85,1599.444274
-0.038317,86,1600.396344
-0.039559,85,1601.3355
-0.04111,85,1602.277631
-0.038371,86,1603.231539
-0.039098,86,1604.18843
-0.038658,87,1605.156664
-0.038715,86,1606.117692
-0.038096,89,1607.106484
-0.03837,86,1608.068909
-0.040785,86,1609.026921
-0.038927,86,1609.998299
-0.040215,86,1610.967834
-0.038763,86,1611.949127
-0.040341,86,1612.939143
-0.040717,86,1613.909421
-0.040765,86,1614.883899
-0.038027,93,1615.932417
-0.036931,96,1617.054981
-0.042172,5,1617.111164
-0.042149,91,1618.137379
-0.038332,92,1619.176396
-0.038534,88,1620.168359
-0.040309,86,1621.150234
-0.041017,84,1622.104863
-0.040828,86,1623.072732
-0.040941,86,1624.041085
-0.037807,98,1625.145976
-0.038059,92,1626.201815
-0.040635,86,1627.229512
-0.03887,86,1628.213599
-0.037573,95,1629.28305
-0.037653,87,1630.263623
-0.039034,86,1631.267203
-0.040051,86,1632.259378
-0.038268,92,1633.315444
-0.037635,96,1634.432802
-0.03929,94,1635.514848
-0.037377,95,1636.627253
-0.037344,97,1637.742124
-0.03713,93,1638.838997
-0.037722,91,1639.867121
-0.042532,1,1639.87885
-0.042504,1,1639.890196
-0.042527,1,1639.901618
-0.042549,2,1639.924293
-0.04255,1,1639.935571
-0.042503,1,1639.947539
-0.042468,1,1639.958854
-0.042501,1,1639.970182
-0.042589,1,1639.982204
-0.042677,2,1640.004971
-0.042643,2,1640.027427
-0.042646,2,1640.049852
-0.042464,3,1640.084276
-0.037466,89,1641.087105
-0.042514,1,1641.09862
-0.042495,1,1641.109974
-0.042521,1,1641.121256
-0.042558,1,1641.132505
-0.042536,1,1641.143782
-0.042484,1,1641.155092
-0.042601,1,1641.166725
-0.04253,1,1641.17809
-0.042566,1,1641.192793
-0.042592,1,1641.207293
-0.042596,1,1641.223017
-0.042615,1,1641.237356
-0.042605,1,1641.24917
-0.042615,1,1641.260957
-0.042589,1,1641.272683
-0.042605,1,1641.284625
-0.042611,1,1641.296829
-0.042606,1,1641.308974
-0.042613,1,1641.321296
-0.042594,1,1641.335304
-0.042615,1,1641.347336
-0.042584,1,1641.359057
-0.042613,1,1641.37075
-0.042608,1,1641.382396
-0.042592,1,1641.394045
-0.042613,1,1641.405702
-0.042585,1,1641.41737
-0.042615,1,1641.428921
-0.042617,1,1641.440225
-0.042617,1,1641.451483
-0.042616,1,1641.462743
-0.042614,1,1641.473989
-0.042617,1,1641.485415
-0.042614,1,1641.496665
-0.042614,1,1641.508029
-0.042616,1,1641.519361
-0.042617,1,1641.531428
-0.042617,1,1641.543752
-0.042616,1,1641.555496
-0.042617,1,1641.566846
-0.042616,1,1641.578129
-0.042618,1,1641.589485
-0.042617,1,1641.600834
-0.042615,1,1641.612188
-0.042616,1,1641.623481
-0.042615,1,1641.634711
-0.042616,1,1641.645958
-0.042616,1,1641.657188
-0.042616,1,1641.668948
-0.042617,1,1641.680361
-0.042617,1,1641.691651
-0.042615,1,1641.703079
-0.042616,1,1641.714403
-0.042616,1,1641.725781
-0.042613,1,1641.73734
-0.042617,1,1641.75284
-0.042615,1,1641.769777
-0.042618,1,1641.785075
-0.042603,1,1641.797369
-0.042615,1,1641.809078
-0.042615,1,1641.820647
-0.042598,1,1641.832389
-0.042613,1,1641.844049
-0.042603,1,1641.855685
-0.042616,1,1641.867352
-0.042616,1,1641.879025
-0.042617,1,1641.890697
-0.042615,1,1641.902454
-0.042617,1,1641.914231
-0.042614,1,1641.926
-0.042613,1,1641.937472
-0.042617,1,1641.948898
-0.042605,1,1641.960299
-0.042617,1,1641.971721
-0.042611,1,1641.984013
-0.042617,1,1641.995601
-0.042612,1,1642.007092
-0.042616,1,1642.0186
-0.042617,1,1642.030222
-0.042617,1,1642.041514
-0.042609,1,1642.052782
-0.042614,1,1642.064097
-0.042612,1,1642.075723
-0.042615,1,1642.08707
-0.042613,1,1642.09923
-0.042617,1,1642.110857
-0.042612,1,1642.122114
-0.042616,1,1642.133523
-0.042616,1,1642.144931
-0.042617,1,1642.156755
-0.042617,1,1642.168218
-0.042615,1,1642.180222
-0.042617,1,1642.191774
-0.042617,1,1642.203209
-0.042617,1,1642.214647
-0.042618,1,1642.225971
-0.042616,1,1642.237204
-0.042614,1,1642.248424
-0.042616,1,1642.259735
-0.042618,1,1642.270977
-0.042615,1,1642.282219
-0.042602,1,1642.293511
-0.042617,1,1642.304814
-0.0426,1,1642.316151
-0.042617,1,1642.327465
-0.04261,1,1642.338955
-0.042613,1,1642.350254
-0.042617,1,1642.361508
-0.042616,1,1642.372701
-0.042615,1,1642.383944
-0.042613,1,1642.395256
-0.042612,1,1642.406564
-0.042616,1,1642.417846
-0.042615,1,1642.429283
-0.042617,1,1642.44057
-0.042618,1,1642.451768
-0.042618,1,1642.463003
-0.042617,1,1642.474202
-0.042617,1,1642.48541
-0.042617,1,1642.496641
-0.042608,1,1642.507955
-0.042615,1,1642.519211
-0.042616,1,1642.530526
-0.042615,1,1642.541739
-0.042608,1,1642.552957
-0.042617,1,1642.564204
-0.042613,1,1642.575475
-0.042618,1,1642.586747
-0.042612,1,1642.597936
-0.042616,1,1642.609172
-0.042616,1,1642.620549
-0.042614,1,1642.631768
-0.042613,1,1642.643042
-0.042607,1,1642.654282
-0.042617,1,1642.665617
-0.042615,1,1642.677003
-0.042615,1,1642.688738
-0.042617,1,1642.700067
-0.042617,1,1642.711551
-0.042614,1,1642.723029
-0.042614,1,1642.734305
-0.042615,1,1642.747805
-0.042615,1,1642.76059
-0.042617,1,1642.775751
-0.042616,1,1642.788061
-0.042618,1,1642.79983
-0.042602,1,1642.811506
-0.042616,1,1642.822786
-0.042616,1,1642.834439
-0.042617,1,1642.846109
-0.042618,1,1642.857827
-0.042616,1,1642.869454
-0.042615,1,1642.881114
-0.042614,1,1642.89276
-0.042614,1,1642.904475
-0.042611,1,1642.918964
-0.042617,1,1642.936842
-0.042617,1,1642.951531
-0.042617,1,1642.963368
-0.042615,1,1642.975721
-0.042617,1,1642.987644
-0.042617,1,1642.999181
-0.042615,1,1643.010633
-0.042614,1,1643.022066
-0.042616,1,1643.033477
-0.042612,1,1643.044884
-0.042614,1,1643.056277
-0.042617,1,1643.067685
-0.042615,1,1643.079266
-0.042614,1,1643.091249
-0.042617,1,1643.102787
-0.042617,1,1643.114231
-0.042616,1,1643.125685
-0.042617,1,1643.137091
-0.042614,1,1643.148523
-0.042616,1,1643.159937
-0.042613,1,1643.171397
-0.042618,1,1643.18285
-0.042616,1,1643.194674
-0.042614,1,1643.206162
-0.042616,1,1643.217607
-0.042616,1,1643.228887
-0.042614,1,1643.240123
-0.042617,1,1643.251382
-0.042612,1,1643.262755
-0.042614,1,1643.274022
-0.042617,1,1643.28531
-0.042616,1,1643.296543
-0.042617,1,1643.30789
-0.042616,1,1643.319135
-0.042618,1,1643.330388
-0.042612,1,1643.341615
-0.042617,1,1643.35363
-0.042612,1,1643.365383
-0.042617,1,1643.376725
-0.042616,1,1643.388016
-0.042615,1,1643.399206
-0.042617,1,1643.410399
-0.042617,1,1643.421638
-0.042615,1,1643.432874
-0.042616,1,1643.444457
-0.042617,1,1643.455752
-0.042613,1,1643.46702
-0.042617,1,1643.478361
-0.042612,1,1643.489611
-0.042617,1,1643.500814
-0.042617,1,1643.512229
-0.042616,1,1643.523461
-0.042617,1,1643.534786
-0.042617,1,1643.546023
-0.042617,1,1643.557308
-0.042618,1,1643.568607
-0.042617,1,1643.579937
-0.042613,1,1643.591125
-0.042615,1,1643.602333
-0.042618,1,1643.613592
-0.042617,1,1643.624794
-0.042617,1,1643.636188
-0.042614,1,1643.647406
-0.042616,1,1643.658601
-0.042617,1,1643.6698
-0.042617,1,1643.681049
-0.042617,1,1643.692394
-0.042615,1,1643.704226
-0.042617,1,1643.715614
-0.042617,1,1643.726839
-0.042615,1,1643.738078
-0.042616,1,1643.749361
-0.042617,1,1643.760629
-0.042616,1,1643.771878
-0.042617,1,1643.784969
-0.042618,1,1643.796997
-0.042614,1,1643.809059
-0.042617,1,1643.82107
-0.042617,1,1643.832837
-0.042618,1,1643.844498
-0.042617,1,1643.856133
-0.042617,1,1643.867785
-0.042613,1,1643.879488
-0.042617,1,1643.891121
-0.042617,1,1643.9028
-0.042617,1,1643.914505
-0.042617,1,1643.926
-0.042618,1,1643.93725
-0.042617,1,1643.949264
-0.042618,1,1643.96118
-0.042615,1,1643.972681
-0.042618,1,1643.985305
-0.042616,1,1643.996885
-0.042617,1,1644.008199
-0.042617,1,1644.020446
-0.042616,1,1644.031947
-0.042617,1,1644.043334
-0.042616,1,1644.054718
-0.042616,1,1644.066122
-0.042615,1,1644.08312
-0.042617,1,1644.099985
-0.042593,1,1644.112825
-0.042613,1,1644.124603
-0.042614,1,1644.136437
-0.042617,1,1644.148141
-0.042614,1,1644.159795
-0.042617,1,1644.171444
-0.042615,1,1644.183136
-0.042617,1,1644.19481
-0.042617,1,1644.206481
-0.042617,1,1644.218334
-0.042616,1,1644.229745
-0.042617,1,1644.24104
-0.042617,1,1644.252272
-0.042618,1,1644.263588
-0.042611,1,1644.27488
-0.04261,1,1644.286066
-0.042606,1,1644.297266
-0.042617,1,1644.308787
-0.042616,1,1644.320136
-0.042615,1,1644.331765
-0.042617,1,1644.343372
-0.042609,1,1644.354602
-0.042603,1,1644.365851
-0.042611,1,1644.377208
-0.042615,1,1644.388444
-0.042612,1,1644.39967
-0.042614,1,1644.410866
-0.042594,1,1644.422077
-0.042549,1,1644.433294
-0.042606,1,1644.444581
-0.042554,1,1644.455831
-0.042577,1,1644.467259
-0.042598,1,1644.478581
-0.042593,1,1644.489895
-0.042599,1,1644.50109
-0.042523,1,1644.512469
-0.042507,1,1644.523689
-0.042544,1,1644.534919
-0.037603,96,1645.616691
-0.042518,1,1645.628533
-0.042518,1,1645.639761
-0.042518,1,1645.651065
-0.042518,1,1645.662447
-0.042578,2,1645.684907
-0.038085,92,1646.74788
-0.03782,95,1647.825521
-0.037876,95,1648.907508
-0.04251,1,1648.919208
-0.042506,1,1648.930591
-0.042483,1,1648.941953
-0.042485,1,1648.953377
-0.042518,1,1648.964607
-0.039925,94,1650.034375
-0.033662,97,1651.15179
-0.035596,96,1652.253985
-0.037629,92,1653.286398
-0.036814,95,1654.358041
-0.037198,96,1655.438303
-0.036287,96,1656.53469
-0.038189,93,1657.588542
-0.037343,97,1658.687387
-0.03687,91,1659.740085
-0.037988,97,1660.830119
-0.039008,90,1661.847611
-0.038074,95,1662.90376
-0.037599,94,1663.946506
-0.036969,94,1664.996781
-0.038245,94,1666.052851
-0.036958,95,1667.14497
-0.038081,90,1668.15815
-0.038188,90,1669.171828
-0.037214,94,1670.240776
-0.037765,95,1671.309433
-0.037642,93,1672.399281
-0.036266,94,1673.46833
-0.040914,85,1674.43361
-0.042654,13,1674.580929
-0.038645,89,1675.582159
-0.037714,95,1676.667584
-0.038002,95,1677.750664
-0.039576,93,1678.824421
-0.039989,87,1679.836254
-0.03825,92,1680.872397
-0.037319,97,1682.024768
-0.039208,92,1683.061685
-0.037512,93,1684.107112
-0.03743,97,1685.203372
-0.035639,92,1686.240683
-0.037329,94,1687.314615
-0.03927,95,1688.382852
-0.037318,97,1689.477455
-0.040309,86,1690.449655
-0.038458,94,1691.506794
-0.036238,89,1692.52701
-0.038376,92,1693.560984
-0.036684,93,1694.624678
-0.038477,96,1695.704464
-0.038054,96,1696.798359
-0.038907,91,1697.874269
-0.038434,94,1698.94241
-0.040629,90,1699.956586
-0.037968,90,1700.969053
-0.036216,96,1702.072362
-0.037263,96,1703.154516
-0.038872,97,1704.24539
-0.037475,93,1705.293986
-0.038203,91,1706.319297
-0.040246,88,1707.329104
-0.038238,96,1708.408028
-0.038073,97,1709.504512
-0.038779,94,1710.564241
-0.038762,90,1711.576282
-0.036997,97,1712.692869
-0.04014,85,1713.648694
-0.042892,16,1713.828644
-0.037611,93,1714.880201
-0.036308,98,1715.983556
-0.038188,96,1717.079593
-0.038265,96,1718.177835
-0.038752,92,1719.221774
-0.038159,95,1720.297302
-0.036502,100,1721.423239
-0.038412,91,1722.471868
-0.038703,95,1723.539672
-0.03807,95,1724.612711
-0.037711,94,1725.669868
-0.038713,92,1726.708405
-0.037965,98,1727.844827
-0.038193,97,1728.94012
-0.037992,95,1730.011916
-0.039014,93,1731.058803
-0.039045,96,1732.165112
-0.037895,96,1733.27621
-0.038592,93,1734.330266
-0.039532,92,1735.366879
-0.03857,95,1736.436447
-0.037537,93,1737.50127
-0.037261,94,1738.558623
-0.037652,98,1739.662999
-0.037517,98,1740.767143
-0.039756,91,1741.790474
-0.038858,91,1742.839894
-0.038416,97,1743.930686
-0.037342,94,1744.994419
-0.03553,101,1746.131357
-0.037925,91,1747.166872
-0.038327,96,1748.253625
-0.036544,97,1749.386032
-0.037388,102,1750.536732
-0.037817,92,1751.613955
-0.038679,95,1752.704149
-0.037602,95,1753.773979
-0.036046,103,1754.959856
-0.037313,97,1756.077762
-0.036609,104,1757.261254
-0.041064,100,1758.446076
-0.034884,98,1759.551674
-0.035507,97,1760.646753
-0.036872,99,1761.774508
-0.037261,98,1762.898088
-0.035013,105,1764.081804
-0.034926,102,1765.235048
-0.035021,103,1766.386595
-0.034955,107,1767.595859
-0.037071,95,1768.656233
-0.037271,97,1769.735527
-0.037372,98,1770.824983
-0.037716,93,1771.856608
-0.042476,1,1771.867888
-0.042485,1,1771.879046
-0.042483,1,1771.890133
-0.042481,1,1771.901258
-0.042486,1,1771.91249
-0.038284,101,1773.062413
-0.035881,98,1774.167043
-0.036451,100,1775.293929
-0.037764,94,1776.352138
-0.037282,97,1777.45483
-0.033934,97,1778.554143
-0.035273,101,1779.691499
-0.034716,101,1780.829575
-0.03646,106,1782.024333
-0.034521,104,1783.219468
-0.038618,98,1784.320636
-0.038312,94,1785.37892
-0.036906,103,1786.553239
-0.037149,104,1787.745195
-0.04216,10,1787.863833
-0.037951,95,1788.9281
-0.037579,103,1790.078176
-0.036365,98,1791.173925
-0.037692,94,1792.225294
-0.033618,106,1793.45887
-0.037786,99,1794.577341
-0.034299,109,1795.805438
-0.036951,100,1796.93688
-0.035438,104,1798.138728
-0.037001,99,1799.257607
-0.039584,94,1800.327263
-0.038967,89,1801.32689
-0.038646,98,1802.421427
-0.035006,103,1803.583172
-0.035078,108,1804.787708
-0.035661,103,1805.938753
-0.039092,103,1807.093051
-0.03426,100,1808.229281
-0.035797,99,1809.341381
-0.035547,103,1810.494875
-0.037246,97,1811.581245
-0.038915,88,1812.567178
-0.035421,98,1813.696229
-0.037557,96,1814.854932
-0.037385,95,1815.928985
-0.037065,107,1817.135291
-0.038361,92,1818.193929
-0.039377,90,1819.20072
-0.037867,102,1820.340095
-0.03659,100,1821.476098
-0.035922,97,1822.576884
-0.038222,97,1823.678212
-0.037521,99,1824.788956
-0.035555,99,1825.909373
-0.037903,96,1826.985902
-0.038527,92,1828.032748
-0.036582,104,1829.206605
-0.038896,98,1830.312556
-0.040019,104,1831.482481
-0.03912,99,1832.595022
-0.037464,94,1833.67033
-0.03843,94,1834.7286
-0.038858,99,1835.845521
-0.039412,101,1836.982608
-0.037992,98,1838.100633
-0.036689,93,1839.149814
-0.035478,102,1840.297588
-0.035144,95,1841.365097
-0.036572,100,1842.497528
-0.036745,101,1843.66596
-0.037249,91,1844.691692
-0.035202,105,1845.874842
-0.036493,99,1846.991247
-0.039726,92,1848.039551
-0.03652,103,1849.209394
-0.03727,100,1850.330211
-0.036405,97,1851.413175
-0.037651,94,1852.492255
-0.036551,100,1853.637642
-0.037723,99,1854.755885
-0.037999,97,1855.859819
-0.036516,99,1856.974764
-0.038618,98,1858.082691
-0.038268,95,1859.192758
-0.037691,102,1860.364535
-0.03702,97,1861.488301
-0.038235,100,1862.606057
-0.035137,101,1863.749961
-0.037816,97,1864.878404
-0.038586,93,1865.918633
-0.037162,95,1866.988809
-0.035634,103,1868.144182
-0.037256,95,1869.234729
-0.036381,98,1870.337918
-0.036805,94,1871.404847
-0.038654,94,1872.470594
-0.03692,95,1873.55142
-0.038047,93,1874.660458
-0.039999,93,1875.715779
-0.037972,95,1876.798104
-0.037735,95,1877.877732
-0.037398,93,1878.97216
-0.036355,95,1880.053778
-0.036516,95,1881.134392
-0.034932,98,1882.25368
-0.037259,95,1883.330013
-0.037582,95,1884.427464
-0.036507,95,1885.50415
-0.036317,98,1886.616335
-0.035387,101,1887.758017
-0.035241,99,1888.892577
-0.03679,97,1889.999725
-0.03549,101,1891.150063
-0.037438,96,1892.242869
-0.037451,92,1893.286941
-0.037102,90,1894.324861
-0.036271,97,1895.423071
-0.036925,96,1896.542685
-0.035331,98,1897.681036
-0.036574,96,1898.787349
-0.038189,96,1899.917727
-0.03435,99,1901.030284
-0.036778,95,1902.09588
-0.037182,97,1903.176991
-0.037187,103,1904.348491
-0.036406,99,1905.453007
-0.03552,101,1906.582714
-0.03802,102,1907.718458
-0.03673,94,1908.768546
-0.03738,97,1909.874215
-0.03608,96,1911.012265
-0.037152,91,1912.076271
-0.035242,100,1913.259811
-0.036579,92,1914.354368
-0.036583,92,1915.433601
-0.036701,95,1916.546525
-0.036134,92,1917.59133
-0.034783,99,1918.704546
-0.037583,94,1919.805257
-0.036557,92,1920.883765
-0.036464,89,1921.922624
-0.038962,89,1922.963304
-0.038008,95,1924.091517
-0.036745,94,1925.158459
-0.035255,98,1926.24691
-0.035911,95,1927.31847
-0.036189,95,1928.394331
-0.037344,92,1929.488446
-0.036697,95,1930.565418
-0.036646,97,1931.659181
-0.036178,90,1932.675625
-0.035708,93,1933.711124
-0.038299,89,1934.736266
-0.036365,93,1935.769105
-0.036754,96,1936.8336
-0.037314,89,1937.818515
-0.037912,95,1938.890385
-0.036043,93,1939.950111
-0.034036,103,1941.094956
-0.03659,93,1942.125847
-0.036856,92,1943.146579
-0.042515,2,1943.168942
-0.037042,92,1944.18957
-0.036088,93,1945.247559
-0.035807,91,1946.256042
-0.036918,91,1947.266349
-0.040275,89,1948.251096
-0.038275,90,1949.259554
-0.036797,94,1950.340956
-0.037049,92,1951.362937
-0.037488,92,1952.382602
-0.036868,91,1953.391005
-0.037751,90,1954.402019
-0.03645,92,1955.427248
-0.03792,91,1956.435305
-0.037941,92,1957.455807
-0.037315,91,1958.464492
-0.038482,91,1959.491686
-0.037134,91,1960.506582
-0.03781,92,1961.526009
-0.036336,93,1962.557799
-0.038019,88,1963.532858
-0.037442,89,1964.534332
-0.036435,88,1965.512169
-0.038002,90,1966.510771
-0.036287,92,1967.529245
-0.038442,91,1968.537342
-0.03908,86,1969.503532
-0.039124,94,1970.558687
-0.038317,91,1971.566042
-0.037448,89,1972.565854
-0.039758,86,1973.545805
-0.037954,86,1974.516494
-0.038915,87,1975.490201
-0.038866,89,1976.479054
-0.037974,90,1977.474872
-0.036006,88,1978.506166
-0.038961,87,1979.472099
-0.042523,2,1979.494616
-0.037329,87,1980.458121
-0.037511,86,1981.410302
-0.037983,87,1982.376343
-0.037949,92,1983.400986
-0.037936,88,1984.421646
-0.04092,84,1985.370097
-0.038965,85,1986.311539
-0.040484,84,1987.239945
-0.039112,87,1988.19895
-0.038784,86,1989.149634
-0.03929,85,1990.08797
-0.039462,86,1991.038461
-0.04184,83,1991.951971
-0.037801,87,1992.912069
-0.037778,83,1993.827933
-0.041014,84,1994.77049
-0.03925,89,1995.756296
-0.03941,85,1996.698373
-0.037769,89,1997.680933
-0.037576,87,1998.644187
-0.038342,88,1999.61743
-0.038355,87,2000.581785
-0.040497,86,2001.531117
-0.038924,88,2002.511501
-0.038598,87,2003.472848
-0.038851,85,2004.413501
-0.036761,86,2005.367388
-0.038505,86,2006.322682
-0.038891,87,2007.291487
-0.040283,87,2008.252993
-0.042023,83,2009.170324
-0.039799,85,2010.124999
-0.040502,86,2011.088009
-0.038883,86,2012.044233
-0.036336,90,2013.04098
-0.036842,93,2014.111993
-0.03905,86,2015.100325
-0.038209,85,2016.051969
-0.040775,84,2016.990367
-0.038948,88,2017.97671
-0.038905,88,2018.961578
-0.039008,86,2019.928517
-0.038535,85,2020.880167
-0.037886,88,2021.868885
-0.03768,86,2022.835413
-0.037012,88,2023.819198
-0.039219,84,2024.759894
-0.037023,86,2025.722322
-0.036634,86,2026.686853
-0.038392,86,2027.650528
-0.040191,84,2028.592639
-0.041254,83,2029.521678
-0.04137,84,2030.463792
-0.040036,84,2031.407126
-0.039556,85,2032.372221
-0.03718,88,2033.364403
-0.036972,86,2034.323603
-0.039849,85,2035.273192
-0.038993,86,2036.23064
-0.039542,85,2037.179435
-0.038604,86,2038.136186
-0.03858,86,2039.129618
-0.039852,85,2040.088854
-0.04135,83,2041.030738
