time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,aero_force_x,control_force_perpendicular,lift,mach_number_max,drag,x_cog,d_thrust_cg,atmospheric_pressure,aero_force_y,control_force_x,alpha_effective,control_force_parallel,fuel_percentage_consumed,mach_number,ug,gravity_force_y,control_force_y,mass_flow,air_density,inertia,d_cp_cg,CL,vg,g_load_1_sec_window,CD,speed_of_sound,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_control,moment_dict_theta_dot_dot,moment_dict_control_moment_z,moment_dict_moments_z,moment_dict_M_wind_z,moment_dict_aero_moment_z
336.64999999995246,30443.218326053582,4682.356449321198,-2.930974758049208,-136.4762358884979,1.549304032837251,0.0015444982594071985,4.690916199768033,-3.141612166930782,1142125.4222219698,797844.0531716405,0.884588897228241,0.7691777944564819,0.42166731198233875,7162.637541382282,384.666530829228,2235.6663013792404,0.0,118.94899735504221,1.2836579752729018,109465.81040855586,5.006423691902936,8.106423691902936,56352.951835529675,109443.0426909575,854195.1769903363,1.9446587482541133e-05,39676043.455196805,0.8124952717640854,0.4261172664907165,0.0,-11183966.965229379,39666847.301723786,11315.318359375,0.7617547661015942,22979301.379400782,-32.760812956059965,0.0001544636190782267,0.0,2.523790348066771,0.14214903544388566,321.8212835753285,0.0020578779348012373,25.025687568368607,-2.2361549794413115e-06,-9.792240631043232,8.389783804307759e-08,-0.0001041230442600601,0.7496714085525522,0.747899626757739,0.0,0.0,0.0,34.73072793052199,0.0001726164309512996,0.0,3966.604989866439,0.0,3966.604989866439
336.74999999995237,30442.929903107488,4668.865513220514,-2.856242081124469,-133.96886461573797,1.5494595795559296,0.0015621235583680206,4.691072016637789,-3.1416124370818594,1140992.9296377413,796711.560587412,0.8853399753570557,0.7706798911094666,0.4218930063095603,6913.186730847355,384.73186756180235,2136.0354906848897,0.0,123.11418900326345,1.282507212302708,105791.55193310695,5.006952418078861,8.106952418078862,56454.12551048174,105770.05705728503,848720.2475688884,1.9715671314646244e-05,39707747.61898181,0.8127612729112536,0.4182560980945406,0.0,-11172924.82874588,39698676.23629435,11324.92578125,0.7628619909812707,22977055.25142485,-32.76028422988404,0.0001656411419934667,0.0,2.529837203327015,0.14233480005295304,321.87620448048665,0.0019763346707477956,25.08485915679986,-2.299945843898722e-06,-9.792282264442443,8.124308376567675e-08,-0.00010787640705282654,0.7455306549102245,0.7438435642527181,0.0,0.0,0.0,34.79309573714752,0.00017850788926869794,0.0,4101.585634542102,0.0,4101.585634542102
336.8499999999523,30442.648927258157,4655.625682880921,-2.7819290523970244,-131.45559309651418,1.549616926608756,0.0015803577296201249,4.6912296382717305,-3.141612711662974,1139859.4862783663,795578.117228037,0.8860832452774048,0.7721664905548096,0.42211449980554316,6667.020006612739,384.79597767005384,2037.9570842373512,0.0,127.50253648584389,1.281379136468174,102155.82534419232,5.007482019028272,8.107482019028271,56553.56925139443,102135.5747992478,843157.5811074633,1.998912415768217e-05,39739123.72828774,0.8130274980056721,0.41038062575184214,0.0,-11161872.409262024,39730177.95059044,11334.43359375,0.7639499159482941,22974805.214158207,-32.75975462893463,0.00017787932031054776,0.0,2.5358752405780836,0.14251801790629834,321.93009958920356,0.001896188778407482,25.143925103491917,-2.3666675697480543e-06,-9.792323127217605,7.860737126912712e-08,-0.00011183307812089967,0.7413067058465445,0.7397030873168124,0.0,0.0,0.0,34.85532947601218,0.0001847174488661712,0.0,4243.847407356512,0.0,4243.847407356512
336.9499999999522,30442.375356011227,4642.6375475684135,-2.7080441771914066,-128.93643353805194,1.549776136937472,0.0015992338798593848,4.691389127866,-3.1416129909285275,1138725.1022146456,794443.7331643163,0.8868186473846436,0.7736373543739319,0.42233178261226184,6424.208923665471,384.85885889913385,1941.3649611473681,0.0,132.12799371999466,1.2802737182753052,98556.37869872923,5.0080124914005895,8.10801249140059,56651.27075386638,98537.34491096095,837504.3424129975,2.026719456527104e-05,39770155.10458242,0.8132939446957372,0.40249082064480385,0.0,-11150809.805819811,39761335.78640162,11343.83984375,0.7650184262334118,22972551.28072186,-32.75922415656231,0.00019129938743800423,0.0,2.5419042305786532,0.14269326538878466,321.982967015793,0.0018173985083961102,25.202868332049874,-2.436465522319193e-06,-9.792363217543196,7.598907906645608e-08,-0.00011600592690924036,0.7369967487375888,0.7354754372097182,0.0,0.0,0.0,34.91741396503153,0.00019126503589456898,0.0,4393.845845297093,0.0,4393.845845297093
337.0499999999521,30442.10914600814,4629.901695425325,-2.634596177680105,-126.41139642934449,1.5499372769253412,0.0016187873227409368,4.691550552110417,-3.141613275185076,1137589.7872732393,793308.41822291,0.8875463604927063,0.7750927209854126,0.42254484489048894,6184.824656852413,384.92050898959263,1846.1745563953236,0.0,137.00877125607857,1.279190929593829,94990.20393993618,5.00854383187523,8.10854383187523,56747.217832537324,94972.36048167585,831758.4326663056,2.0550174119726705e-05,39800866.43971703,0.8135606106513537,0.39458665095618023,0.0,-11139737.115089126,39792174.44752023,11353.1494140625,0.7660674081305481,22970293.464112233,-32.758692816087674,0.00020604371654014964,0.0,2.5479241322739883,0.14285315075273236,322.0348048709071,0.0017399095153973385,25.26170738409019,-2.509552089730014e-06,-9.792402533597514,7.338598878499078e-08,-0.00012041161630861006,0.7325985904715864,0.7311584913749971,0.0,0.0,0.0,34.97937032548491,0.0001981766302679028,0.0,4552.175354982594,0.0,4552.175354982594
337.149999999952,30441.850253000648,4617.418713504124,-2.5615940623186577,-123.88049313786287,1.5501004166775123,0.0016390564593245604,4.691713981457772,-3.1416135647802594,1136453.5515249483,792172.182474619,0.8882662653923035,0.7765325307846069,0.42275367681922965,5948.938078788155,384.98092567714974,1752.231456599819,0.0,142.16693745846396,1.2781307436666296,91451.00362511048,5.009076037090221,8.10907603709022,56841.39842233603,91434.32594163189,825916.9138705469,2.0838402921441457e-05,39831249.92964334,0.8138274935280871,0.3866680847310613,0.0,-11128654.43614872,39822686.150096595,11362.357421875,0.7670967490035405,22968031.77750458,-32.75816061087268,0.0002222785497985047,0.0,2.5539348445832215,0.1429839935135857,322.085611261081,0.0016636093048057272,25.320429397999874,-2.586196221106233e-06,-9.792441073562358,7.079331808337363e-08,-0.00012507027086560481,0.7281092291793705,0.7267493799128804,0.0,0.0,0.0,35.041191165851515,0.0002054836221206497,0.0,4719.554362623825,0.0,4719.554362623825
337.2499999999519,30441.598631824774,4605.1891878498645,-2.4890470688416975,-121.34373245266774,1.550265630320977,0.001660082570485075,4.691879490427137,-3.14161386010616,1135316.4043997042,791035.0353493749,0.8889787197113037,0.7779574394226074,0.4229582685943428,5716.6196164473295,385.04010669222873,1659.350082712554,0.0,147.62251949834769,1.2770931351106265,87930.65058274647,5.009609103828127,8.109609103828127,56933.80058048757,87915.1162293284,819977.9796230925,2.1132258138045756e-05,39861360.41003605,0.814094591060368,0.37873508573162806,0.0,-11117561.861819778,39852925.73766351,11371.4716796875,0.7681063373012121,22965766.233462844,-32.75762754413478,0.0002401882252291987,0.0,2.559936444339428,0.14306697229181942,322.1353842886938,0.0015883557744307748,25.379075006555105,-2.666613743072058e-06,-9.792478835623063,6.820482723650492e-08,-0.00013000029957027705,0.7235266199378136,0.7222462182748551,0.0,0.0,0.0,35.10292424492505,0.00021321443429312006,0.0,4896.632855575819,0.0,4896.632855575819
337.3499999999518,30441.354236372903,4593.21370356692,-2.416964767752916,-118.80112476191499,1.5504329963118708,0.001681910259183593,4.692047157934289,-3.1416141616224182,1134178.3559377901,789896.9868874608,0.8896833658218384,0.7793667316436768,0.4231586104274239,5487.939333632408,385.09804975956814,1567.8387807237434,0.0,153.4005209255371,1.2760780799325777,84445.21141910988,5.010143028787412,8.110143028787412,57024.412487194575,84430.79500333776,813937.3792353972,2.143218305805661e-05,39891143.25121273,0.814361900946779,0.370787616436206,0.0,-11106459.490917703,39882838.61301072,11380.484375,0.7690960625579962,22963496.844911266,-32.75709361917549,0.0002599895711998812,0.0,2.5659289268727656,0.1431212500079769,322.18412205122013,0.001514445259013681,25.43760985075282,-2.7510937297900376e-06,-9.792515817967958,6.563303048652948e-08,-0.00013522457330992352,0.7188469900434229,0.7176449585501011,0.0,0.0,0.0,35.16452099814035,0.00022140532550361393,0.0,5084.24049364879,0.0,5084.24049364879
337.44999999995173,30441.117019561327,4581.4928447524035,-2.345357044369203,-116.25268034845864,1.5506025978025002,0.001704587916982771,4.6922170676565145,-3.141614469854014,1133039.415630173,788758.0465798436,0.8903806209564209,0.780761182308197,0.42335469254691954,5262.966973743752,385.1547525984772,1477.8489807333935,0.0,159.5274476447952,1.2750855555213572,81003.5789437487,5.010677808696817,8.110677808696817,57113.222448415196,80990.25381546118,807791.287927051,2.1738685740402275e-05,39920572.410334416,0.8146294209074116,0.36282564002176565,0.0,-11095347.416896446,39912398.76033389,11389.4033203125,0.7700658154175101,22961223.62464837,-32.756558839266084,0.0002819312177324562,0.0,2.5719121975104513,0.14315679207222196,322.2318226416168,0.0014420383712594827,25.496018324654152,-2.8399325532595465e-06,-9.792552018788724,6.308495632227602e-08,-0.00014076738214247343,0.7140667887496124,0.7129419125086431,0.0,0.0,0.0,35.22595790556451,0.00023009451527994816,0.0,5283.251620147961,0.0,5283.251620147961
337.54999999995164,30440.886933289945,4570.0271941273995,-2.2742342103334727,-113.69841397776756,1.5507745230266685,0.0017281678398278336,4.69238930843314,-3.141614785406471,1131899.592845749,787618.2237954198,0.8910704255104065,0.782140851020813,0.42354650520429593,5041.772342007698,385.21021292455254,1389.450922498282,0.0,166.0311394189117,1.27411554062828,77610.95175780747,5.011213440430279,8.111213440430278,57200.21889973366,77598.69087314517,801536.1779250855,2.2052348335854788e-05,39949645.949074015,0.814897148741222,0.3548491345381438,0.0,-11084225.732033035,39941604.264373794,11398.2275390625,0.7710154876680722,22958946.584858388,-32.75602320753262,0.0003062983885612769,0.0,2.5778845513956563,0.14317862023547423,322.2784841492951,0.0013712259556467649,25.554302792045583,-2.933428886779685e-06,-9.792587436281153,6.056480734267814e-08,-0.00014665429375214253,0.7091826415464559,0.7081336392302385,0.0,0.0,0.0,35.28723264574659,0.00023932203904320238,0.0,5494.581910972277,0.0,5494.581910972277
