altitude,velocity,acceleration
0.0,0.0,0.0
81.07125329852775,4.121108275834512,0.20940427195700487
162.1425065970555,8.238884124044233,0.4183005558676554
243.21375989558325,12.353327544629165,0.6266892626694941
324.285013194111,16.464438537589302,0.8345708033000644
405.3562664926387,20.57221710292465,1.0419455886969087
486.4275197911665,24.67666324063521,1.248814029797569
567.4987730896943,28.777776950720977,1.4551765375395882
648.570026388222,32.87555823318195,1.6610335228605126
729.6412796867497,36.970007088018136,1.8663853966978805
810.7125329852774,41.061123515229525,2.071232569989239
891.7837862838053,45.14890751481614,2.275575453672125
972.855039582333,49.233359086777945,2.4794144586840847
1053.9262928808607,53.31447823111497,2.682749995962664
1134.9975461793886,57.392264947827194,2.8855824764453937
1216.0687994779162,61.46671923691463,3.0879123110698377
1297.140052776444,65.53784109837727,3.289739910773516
1378.2113060749718,69.60563053221513,3.4910656864939904
1459.2825593734995,73.67008753842819,3.6918900491687987
1540.3538126720273,77.73121211701647,3.892213409735469
1621.425065970555,81.78900426797995,4.092036179131573
1702.4963192690827,85.84346399131864,4.291358768294618
1783.5675725676106,89.89459128703255,4.49018158816216
1864.6388258661382,93.94238615512165,4.688505049671775
1945.710079164666,97.98684859558598,4.886329563760949
2026.7813324631938,102.02797860842551,5.083655541367251
2107.8525857617215,106.06577619364025,5.2804833934282485
2188.923839060249,110.10024135123018,5.476813530881462
2269.995092358777,114.13137408119535,5.6726463646643985
2351.0663456573047,118.1591743835357,5.867982305714685
2432.1375989558323,122.18364225825127,6.062821764969805
2513.2088522543604,126.20477770534207,6.257165153367258
2594.280105552888,130.22258072480804,6.451012881844695
2675.3513588514156,134.23705131664923,6.644365361339649
2756.4226121499437,138.24818948086568,6.837223002789519
2837.4938654484713,142.25599521745727,7.029586217131987
2918.565118746999,146.2604685264241,7.2214554153045905
2999.636372045527,150.26160940776614,7.412831008244774
3080.7076253440546,154.2594178614834,7.6037134068901935
3161.778878642582,158.25389388757583,7.794103022178325
3242.85013194111,162.2450374860435,7.984000265046764
3323.921385239638,166.23284865688638,8.17340554643295
3404.9926385381655,170.21732740010447,8.362319277274546
3486.063891836693,174.19847371569773,8.550741868509004
3567.135145135221,178.17628760366625,8.738673731073908
3648.2063984337487,182.15076906400995,8.926115275906875
3729.2776517322764,186.12191809672888,9.113066913945334
3810.3489050308044,190.089734701823,9.299529056126824
3891.420158329332,194.05421887929234,9.485502113388971
3972.4914116278596,198.01537062913687,9.670986496669276
4053.5626649263877,201.97318995135666,9.855982616905195
4134.633918224915,205.92767684595157,10.040490885034396
4215.705171523443,209.87883131292176,10.224511711994433
4296.776424821971,213.82665335226713,10.408045508722845
4377.847678120498,217.77114296398773,10.591092686157085
4458.918931419026,221.7123001480835,10.77365365523459
4539.990184717554,225.65012490455453,10.955728826893202
4621.061438016081,229.5846172334007,11.137318612070361
4702.1326913146095,233.51577713462217,11.31842342170352
4783.2039446131375,237.4436046082188,11.499043666730158
4864.275197911665,241.36809965419062,11.679179758088026
4945.346451210193,245.28926227253768,11.85883210671457
5026.417704508721,249.20709246325998,12.038001123547328
5107.488957807248,253.12159022635743,12.216687219523788
5188.560211105776,257.0327555618301,12.394890805581545
5269.631464404304,260.940588469678,12.57261229265809
5350.702717702831,264.845088949901,12.749852091691189
5431.773971001359,268.74625700249936,12.926610613618223
5512.845224299887,272.6440926274729,13.10288826937661
5593.9164775984145,276.5385958248216,13.278685469904007
5674.987730896943,280.4297665945455,13.454002626138088
5756.058984195471,284.3176049366447,13.628840149016145
5837.130237493998,288.202110851119,13.803198449475968
5918.201490792526,292.0832843379686,13.977077938454723
5999.272744091054,295.96112539719337,14.15047902689033
6080.343997389581,299.8356340287933,14.323402125720408
6161.415250688109,303.70681023276853,14.495847645882103
6242.486503986637,307.57465400911894,14.667815998313086
6323.557757285164,311.4391653578445,14.839307593951238
6404.629010583692,315.3003442789454,15.010322843733562
6485.70026388222,319.15819077242134,15.180862158598076
6566.771517180748,323.0127048382726,15.350925949481981
6647.842770479276,326.86388647649903,15.520514627322807
6728.914023777803,330.71173568710066,15.689628603058758
6809.985277076331,334.55625247007754,15.858268287626428
6891.056530374859,338.3974368254296,16.026434091963793
6972.127783673386,342.23528875315685,16.1941264270087
7053.199036971914,346.0698082532594,16.361345703698095
7134.270290270442,349.9009953257371,16.52809233296981
7215.341543568969,353.72884997059,16.694366725761707
7296.4127968674975,357.55337218781807,16.860169293010703
7377.484050166026,361.3745619774214,17.025500445654654
7458.555303464553,365.1924193393999,17.190360594631425
7539.626556763081,369.0069442737537,17.35475015087808
7620.697810061609,372.81813678048263,17.518669525332317
7701.769063360136,376.6259968595868,17.68211912893168
7782.840316658664,380.43052451106615,17.84509937261355
7863.911569957192,384.2317197349208,18.00761066731563
7944.982823255719,388.0295825311505,18.169653423975802
8026.054076554247,391.8241128997555,18.33122805353111
8107.125329852775,395.61531084073573,18.49233496691908
8188.196583151303,399.4031763540911,18.65297457507779
8269.26783644983,403.18770943982173,18.81314728894371
8350.339089748359,406.96891009792756,18.972853519455818
8431.410343046886,410.7467783284086,19.132093677550937
8512.481596345413,414.52131413126483,19.290868174165883
8593.552849643942,418.29251750649627,19.449177420239845
8674.62410294247,422.06038845410296,19.607021826709087
8755.695356240996,425.8249269740848,19.764401804511127
8836.766609539525,429.5861330664419,19.921317764584654
8917.837862838052,433.3440067311742,20.077770117866073
8998.90911613658,437.0985479682817,20.233759275292726
9079.980369435109,440.8497567777644,20.3892856478037
9161.051622733636,444.5976331596223,20.544349646335185
9242.122876032163,448.3421771138554,20.698951681824713
