Time [s],Altitude [m],Velocity [m/s],Non-NominalThrottle,Propellant Mass [kg],Total Mass [kg]
18.165982354752483,3504.528818551547,-80.18624908562026,0.8496505202885369,549540.4349350758,917553.3414569637
18.34947712601261,3489.844488632242,-80.08769062006377,0.8494604678389297,549042.9697461342,917055.8762680221
18.532971897272734,3475.1782075061037,-79.98865064753531,0.8492698572994968,548545.6161834679,916558.5227053558
18.71646666853286,3460.530063350436,-79.88912605792486,0.8490804953012563,548048.3735159001,916061.280037788
18.899961439792985,3445.90014491209,-79.78912279116304,0.848888322065577,547551.2433897613,915564.1499116492
19.083456211053115,3431.2885398501508,-79.68863687926037,0.8486977815102817,547054.2248489134,915067.1313708012
19.26695098231324,3416.695336550352,-79.58766840443472,0.8485070559857776,546557.3180016788,914570.2245235667
19.450445753573366,3402.1206233833714,-79.48622107569489,0.8483145218486818,546060.5239072262,914073.430429114
19.63394052483349,3387.564488040664,-79.38429102234053,0.8481235729945498,545563.8416371744,913576.7481590622
19.817435296093617,3373.027018922518,-79.28188208605428,0.8479307569139296,545067.2722850175,913080.1788069054
20.000930067353742,3358.5083037257023,-79.17899259581061,0.847738540501916,544570.815499575,912583.7220214629
20.184424838613868,3344.008430452997,-79.07562317593818,0.8475458964780791,544074.4715312668,912087.3780531547
20.367919609873997,3329.52748699285,-78.97177440416223,0.8473528458100597,543578.2406182339,911591.1471401218
20.551414381134123,3315.0655611279126,-78.86744570646573,0.8471599026288378,543082.1226975294,911095.0292194173
20.73490915239425,3300.6227407459537,-78.76263754507349,0.8469666037793826,542586.1179774413,910599.0244993292
20.918403923654374,3286.1991136500965,-78.65735070983598,0.8467728031965658,542090.2267517973,910103.1332736851
21.1018986949145,3271.7947674988204,-78.55158573049154,0.8465786170986338,541594.4492463645,909607.3557682524
21.285393466174625,3257.409789853595,-78.44534168118255,0.8463846939165605,541098.785307173,909111.6918290609
21.46888823743475,3243.0442684454406,-78.33861881661149,0.8461905068220548,540603.2350887764,908616.1416106643
21.65238300869488,3228.6982909587337,-78.23141939764874,0.8459951628999813,540107.7992686419,908120.7057905297
21.835877779955005,3214.3719446638224,-78.12374155520685,0.8458005006737388,539612.4774475511,907625.383969439
22.01937255121513,3200.065317173338,-78.01558560191917,0.845605548159564,539117.2697955042,907130.176317392
22.202867322475257,3185.7784960426584,-77.9069530449382,0.8454097744446774,538622.1767934165,906635.0833153044
22.386362093735382,3171.511568551161,-77.79784394370115,0.8452138234331148,538127.1985451175,906140.1050670054
22.569856864995508,3157.2646219673384,-77.68825649605354,0.845018521153039,537632.3346706938,905645.2411925817
22.753351636255633,3143.0377438897076,-77.5781920467613,0.8448224693044927,537137.5856091115,905150.4921309993
22.936846407515763,3128.8310216705217,-77.46765216605645,0.8446255686776135,536642.9518574361,904655.858379324
23.120341178775888,3114.644542374481,-77.35663504039047,0.8444293201684718,536148.4330337713,904161.3395556592
23.303835950036014,3100.478393398396,-77.24514345490758,0.8442316842952639,535654.0299505922,903666.9364724801
23.48733072129614,3086.3326616290406,-77.13317410248453,0.8440353609807567,535159.7418392315,903172.6483611193
23.670825492556265,3072.207434558815,-77.02073059620233,0.8438372838559787,534665.5697267642,902678.4762486521
23.85432026381639,3058.102799018463,-76.90780998230167,0.8436403608976564,534171.5129372819,902184.4194591697
