Parameter,Value
Burn_Time,91.56389085880292
Throttle_Profile,0.7782638620549671,0.7780161649979387,0.7777531401436579,0.7774870291097336,0.777218549663734,0.7769500752628455,0.7766825187012996,0.7764129261750689,0.776143303107539,0.7758734784978898,0.7756025755054352,0.7753314457489564,0.7750595093999254,0.774787785837334,0.7745148836060357,0.7742417112043263,0.7739679233933505,0.7736929691271687,0.7734185876942455,0.7731426918566164,0.7728668849299571,0.7725901629971164,0.7723135537366933,0.7720356986639658,0.7717568176035529,0.7714790842904887,0.7711996976440025,0.7709204471450215,0.7706395163513048,0.7703591878220353,0.770077697493806,0.7697961174340876,0.7695146634507618,0.7692308421659624,0.768947387511092,0.7686638026453396,0.7683789285702259,0.7680927002023697,0.7678076165776013,0.7675215595119076,0.7672354063995714,0.7669470494754297,0.7666601449317233,0.7663730781337146,0.766082390485725,0.7657945244315922,0.7655055414577367,0.7652139024365645,0.7649228783203785,0.7646309317577371,0.7643391646123913,0.764047311784565,0.7637547438899137,0.7634617263782099,0.7631672056645055,0.7628724610973469,0.7625776513677466,0.762282702672191,0.7619846129596366,0.7616884432798336,0.761391513196043,0.7610943584390186,0.7607950474506192,0.7604979707002758,0.7601982221159113,0.7598991053302765,0.7595984594529089,0.7592982345797259,0.7589964184914196,0.7586955041380092,0.7583926257823735,0.7580898094633893,0.7577871452885376,0.7574834460001623,0.7571794200512161,0.7568755766509976,0.7565706185397275,0.7562631471097097,0.7559585162412861,0.7556509145398286,0.75534395950275,0.7550360761921439,0.7547288339754953,0.754419453980851,0.754110272602202,0.7538020209875486,0.7534912649464875,0.7531805547876762,0.7528690052659287,0.7525583363585479,0.7522463761908021,0.7519335605356509,0.7516217382350155,0.7513069267684441,0.7509930887299618,0.7506784330896413,0.7503649163080535,0.7500495303432069,0.7497334709387834,0.7494175338142282,0.7491007797315495,0.7487830954991613,0.7484674921687605,0.7481472034426283,0.7478296358504696,0.7475117599762959,0.7471908697478031,0.7468726216575828,0.7465512615232159,0.7462309008365265,0.7459098274634651,0.7455880763500993,0.7452665043813963,0.7449443396323042,0.7446213386609428,0.7442976951643897,0.7439744898609341,0.7436508447034246,0.7433252714999687,0.7430008344562314,0.7426759135992733,0.7423496240744624,0.7420230390551914,0.7416975352550651,0.7413707821741544,0.7410426144626892,0.7407155336141198,0.7403861404921064,0.7400589349679277,0.7397288064266312,0.7394006014960939,0.7390696553788766,0.7387401864732499,0.7384100508110416,0.7380785925897577,0.7377473189114144,0.737415146777903,0.7370829414511068,0.7367515362364238,0.7364183491390559,0.7360852736758872,0.7357518295606464,0.7354182375240013,0.7350828147329233,0.734749492150832,0.7344127075654024,0.7340785807291791,0.7337431045388129,0.73340636514896,0.7330701857816432,0.7327332670423841,0.7323968013915289,0.7320583584210268,0.7317219362721821,0.7313829190786687,0.731044826585006,0.7307056276348195,0.73036773115774,0.7300256408663228,0.7296932776635365,0.7293657729939792,0.7288309780114328,0.7281830589421213,0.7301964838127427,0.723897983298482,0.7311004970359336,0.714539268414947,0.7306597678516542,0.7230209708555181,0.7248382968604407,0.724576629635687,0.724155572607336,0.7238128950035809,0.7234684134488875,0.7231139227737241,0.7227597245404699,0.7224049215373272,0.7220497512209526,0.7216947591961699,0.7213394337300495,0.720983332303921,0.7206272363889198,0.7202714684321272,0.7199149942578658,0.7195577137781498,0.719200170288223,0.7188440121985427,0.718486432105477,0.7181289624165862,0.7177711925095349,0.7174136522840625,0.7170545701237013,0.7166964276821258,0.7163380750461552,0.7159789870216255,0.7156205610517089,0.7152612819644535,0.714901730205387,0.7145424994409049,0.7141827783724684,0.7138220396147529,0.7134626227074757,0.7131023535975082,0.7127414443847507,0.7123817154184954,0.7120211475116917,0.7116602923203644,0.7112994668961824,0.7109382988020104,0.7105774593383505,0.7102160522446263,0.709854874639945,0.7094937287717857,0.709132541559809,0.7087702430815241,0.7084093953880608,0.7080463387278024,0.7076857712741288,0.7073229844614024,0.7069615398451873,0.7065998408657713,0.7062371546747386,0.7058751740743255,0.7055123169337283,0.7051505102536437,0.704788012566085,0.7044266099916039,0.7040632001712616,0.7037013768525774,0.7033385002157116,0.702977066190584,0.7026143319578895,0.7022516846130876,0.7018899415453115,0.7015270199141463,0.7011641669199642,0.7008020294897402,0.7004405338485129,0.700077888151992,0.6997149909860798,0.6993536282742628,0.6989915298758118,0.6986290147856112,0.6982675511811429,0.697906091370267,0.6975433352871031,0.6971816473091142,0.6968207280255199,0.6964584168732084,0.6960974022002396,0.6957357193301716,0.6953748690202645,0.6950131992294539,0.6946521589309643,0.6942915819234916,0.693931078112755,0.6935702155217872,0.6932099222883823,0.6928497551460295,0.6924894072723662,0.6921296903207115,0.6917699760754291,0.6914105453253316,0.6910504592707393,0.690691670563366,0.6903326591227245,0.6899742306974291,0.6896148398392292,0.6892569850058072,0.688898409868902,0.6885409434022571,0.6881830706322989,0.6878257384054942,0.6874682753916936,0.6871116030605224,0.6867547669833369,0.6863985768030774,0.6860423946301418,0.6856870691371344,0.685330968638034,0.6849762338087004,0.6846200739775434,0.684266828549403,0.6839120967384665,0.6835579348205424,0.6832044014949251,0.6828507077096045,0.6824982353408852,0.6821453982624933,0.6817933250498907,0.6814416117653906,0.681089278090361,0.6807391070186909,0.6803878559799603,0.680037936346453,0.67968783096115,0.6793384182442913,0.678989052272739,0.6786407410249067,0.6782921451279766,0.6779436217105592,0.6775972971366838,0.677249928811681,0.6769034583373855,0.6765569458741978,0.6762119077547204,0.6758665562896119,0.6755216422126832,0.6751784857362024,0.674833985745376,0.674491677911705,0.674148967692759,0.6738069810493608,0.6734655962659419,0.6731241511056333,0.6727835620952827,0.672444081918641,0.6721043090774927,0.6717661360380858,0.6714269789652716,0.6710896994164827,0.6707532420966029,0.6704168133190769,0.6700809904919532,0.6697456673529553,0.669411039776093,0.6690774111824709,0.6687442128996708,0.6684113245504056,0.6680796150420873,0.6677479881539342,0.6674178331236702,0.6670870166113623,0.6667585048123565,0.6664295923573894,0.6661014689786222,0.6657743718443005,0.6654481484510334,0.6651221557150054,0.6647966790603947,0.664472952423269,0.6641488678602914,0.6638262801362708,0.6635044290595884,0.6631830677984693,0.662862589322061,0.6625429659953576,0.6622234380845999,0.6619051708792858,0.6615882101054202,0.6612721037257516,0.6609559414666574,0.6606412671065844,0.6603275477571875,0.6600137501299276,0.6597014699925641,0.6593904726396006,0.659079816574511,0.6587700207858249,0.6584608301101164,0.6581540603137555,0.6578463497506256,0.6575408269470966,0.6572355691431756,0.6569315087020696,0.6566281945716594,0.656325820802852,0.6560241186150145,0.6557242503086419,0.6554251851210736,0.6551260712098024,0.6548294180324112,0.6545323658699972,0.6542371299431144,0.6539430825283422,0.6536495922943745,0.6533575087493144,0.653066126280607,0.652775942806768,0.6524868065727697,0.6521988695569217,0.6519117403999317,0.6516259706310809,0.6513407293178953,0.651058001070901,0.650774674942253,0.6504935482402169,0.6502130654572273,0.6499336298449263,0.6496557107515909,0.6493789604857162,0.6491027579676192,0.6488288296600371,0.6485553511295965,0.6482830352643646,0.6480116801161144,0.6477422568546003,0.6474732640887725,0.6472063857323151,0.6469396218909275,0.6466754097092892,0.6464112188160892,0.6461494903617332,0.6458874772087491,0.6456278301359052,0.6453694705763807,0.6451119025258419,0.6448557713070718,0.644600693342697,0.6443476794212464,0.6440951373934309,0.6438444350311754,0.6435946735174313,0.6433462480530012,0.6431002361769018,0.6428540550747501,0.6426108395993589,0.6423674009967604,0.6421267044977822,0.6418862604760337,0.6416483703580449,0.6414109506903206,0.6411746868331528,0.6409408526275953,0.6407070169126343,0.6404756747448501,0.6402452714379866,0.6400162923347358,0.6397886089918682,0.6395621151068631,0.6393375327919522,0.6391138910726707,0.6388916646766353,0.638671432956839,0.6384517161289357,0.638233809841023,0.6380177078434587,0.6378021439943334,0.637588150758421,0.6373753142105401,0.6371633380287236,0.6369540884613647,0.6367448478474854,0.636538127203187,0.6363286474181695,0.6361025575212244,0.6358948801536917,0.6353938590895293,0.6335896326641307,0.6310781905784857,0.6384764228251121,0.6358125933304961,0.6343379429571352,0.6340610606270333,0.6339459929016672,0.6337917197283515,0.6336459794139965,0.633504416184215,0.6333636491718285,0.6332246259858584,0.6330851158707138,0.6329478486055982,0.6328107381374615,0.6326748669306231,0.6325399724209967,0.6324062897848591,0.6322729237155204,0.6321416070752827,0.6320106950040831,0.6318809461807087,0.6317517964861132,0.6316247083479494,0.6314979492837611,0.6313724774681109,0.6312480780345305,0.6311247680019613,0.6310031224469703,0.6308822051910719,0.6307627670035557,0.6306442632276281,0.6305280844341166,0.6304122966174257,0.630298844837138,0.6301866573524902,0.6300756424801022,0.62996612216866,0.6298575523529311,0.6297509247976325,0.6296457188179095,0.629543018109502,0.629441912692811,0.629344178657761,0.6292501612325883,0.6290786622024626,0.6286201962689494,0.6292445531697349,0.6327291620909125,0.6169684783402829,0.583579017466612,0.4025282133248054
N,500
