time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg],u0
442.60000000003214,26222.614004298677,51699.57566274086,-18.731778926742386,-1566.7906080900668,1.5862634035620955,-0.026358338253582664,4.700434041137543,-3.114170637575447,973760.8430943922,526926.1990806807,1.0
442.70000000003216,26220.760696742807,51543.14443654274,-18.533075558682746,-1564.312261981256,1.583069748930717,-0.03193654631378462,4.700542107498871,-3.1174723585681536,973041.3149161484,526206.670902437,1.0
442.8000000000322,26218.925502788235,51386.96189336082,-18.351939545710827,-1561.8254318191298,1.579378564434901,-0.03691184495815964,4.700639206930444,-3.1212606424955434,972321.7867379047,525487.1427241932,1.0
442.9000000000322,26217.106282116547,51231.02900489169,-18.192206716901588,-1559.3288846913345,1.5752621298526508,-0.04116434582250096,4.700722819658472,-3.125460689805821,971602.2585596609,524767.6145459494,1.0
443.00000000003223,26215.300555842412,51075.346842990504,-18.057262741365427,-1556.8216190117969,1.5708032696702154,-0.044588601824352876,4.700790700385657,-3.129987430715441,970882.7303814171,524048.0863677056,1.0
443.10000000003225,26213.505516029054,50919.9165550684,-17.950398133579075,-1554.302879221054,1.5660946766201715,-0.04708593050043851,4.700840651942312,-3.1347459753221405,970163.2022031733,523328.5581894618,1.0
443.2000000000323,26211.718068486418,50764.73929715484,-17.874475426344794,-1551.7725791355435,1.561237372387201,-0.048573042329704566,4.700870742988292,-3.139633370601091,969443.6740249295,522609.03001121804,1.0
443.3000000000323,26209.934861830425,50609.81630108342,-17.832066559945737,-1549.2299607142522,1.5563394356043811,-0.048979367828199644,4.70087921129159,-3.1445397756872087,968724.1458466857,521889.50183297426,1.0
443.4000000000323,26208.153159718506,50455.147593012225,-17.817021119172306,-1546.6870807119333,1.551494447412699,-0.048449881916820786,4.700870016201106,-3.1493755687884075,968004.617668442,521169.9736547305,1.0
443.50000000003234,26206.368586065542,50300.73233857658,-17.84573652963229,-1544.152544356506,1.5468336220044026,-0.04660825408296575,4.700832517168594,-3.1539988951641917,967285.0894901982,520450.4454764867,1.0
443.60000000003237,26204.57717449878,50146.5697139132,-17.91411566763135,-1541.6262466337355,1.542477074772183,-0.043565472322196534,4.700769231789029,-3.158292157016846,966565.5613119544,519730.9172982429,1.0
