time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],masspropellant[kg],u0,u1_vref
294.0749999999896,4940.0616252405525,29926.174164155625,-215.6814106764045,-1021.3926317992217,1.3690654147574994,-0.11742301413866513,-3.135216743663764,4.504282158421264,1554957.21442312,1210675.8453727907,1.0,0.9567416846799868
294.1749999999895,4918.533435919387,29824.155691612035,-215.06884572877297,-1019.453947754106,1.3531149702323844,-0.11135426147917256,-3.151357995326275,4.5044729655586595,1553678.0532173533,1209396.684167024,1.0,0.9544360730835282
294.2749999999894,4897.061840750254,29722.33224355477,-214.5035068743693,-1017.5026312022618,1.3532112157904408,0.06865892297842738,-3.1514063548774836,4.504617570667924,1552398.8920115866,1208117.5229612573,1.0,0.9521051489072265
294.3749999999893,4875.646767943723,29620.70409744652,-213.92427334817057,-1015.5515780414413,1.3695495435771008,0.1749055893302605,-3.1352263496336885,4.504775893210789,1551119.7308058199,1206838.3617554905,1.0,0.9497491305930994
294.4749999999892,4854.29746840411,29519.269541016532,-213.2363302475712,-1013.6212018882001,1.373150460156383,-0.047677034455087454,-3.1318911884989973,4.50504164865538,1549840.5696000531,1205559.2005497238,1.0,0.9473681943127326
294.57499999998913,4833.016158161654,29418.028362142148,-212.5788440364732,-1011.6815928661111,1.3571382074975964,-0.17146621080971491,-3.1481395719655985,4.505277779463195,1548561.4083942864,1204280.039343957,1.0,0.9449624687554732
294.67499999998904,4811.792937334054,29316.982941839116,-212.0215165529827,-1009.7180362791369,1.351829478125913,0.01828063761519743,-3.153585587575811,4.505415065701724,1547282.2471885197,1203000.8781381904,1.0,0.9425321165385983
294.77499999998895,4790.625506874237,29216.134029145287,-211.4702072790364,-1007.7505282325914,1.3656532371961527,0.21048467659127068,-3.13989314955948,4.505546386755633,1546003.085982753,1201721.7169324236,1.0,0.9400773630847492
294.87499999998886,4769.521036904021,29115.480369773257,-210.7850664408711,-1005.8088492196597,1.3753395262597663,0.009182722560408273,-3.1304713183325785,4.505810844592345,1544723.9247769862,1200442.555726657,1.0,0.9375983958821195
294.97499999998877,4748.485778932712,29015.020893156863,-210.09293874219722,-1003.8659791253277,1.3619019269539132,-0.2119330622032121,-3.144180857980894,4.506082784934807,1543444.7635712195,1199163.3945208902,1.0,0.9350953528447221
295.0749999999887,4727.510685229331,28914.757796890462,-209.54364139829661,-1001.890084758448,1.3523711705920871,-0.02012043781219669,-3.1538414496899643,4.506212620282051,1542165.6023654528,1197884.2333151235,1.0,0.9325683747692335
295.1749999999886,4706.59093115541,28814.692365481635,-208.99291799259566,-999.9118536853006,1.3630006634383394,0.18244227624944342,-3.1433432109030663,4.506343874341406,1540886.441159686,1196605.0721093568,1.0,0.930017684512545
295.2749999999885,4685.732413113406,28714.823624803023,-208.3213962422863,-997.9564774955246,1.3749203241485464,0.027396055004220328,-3.1316759039573387,4.506596228105885,1539607.2799539194,1195325.91090359,1.0,0.9274434834947127
295.3749999999884,4664.943943973551,28615.149972142615,-207.62437440796612,-996.0038319362908,1.362738702765246,-0.19972140145855163,-3.1441359805366176,4.506874683301864,1538328.1187481526,1194046.7496978233,1.0,0.9248459151996073
295.4749999999883,4644.215370621126,28515.673830071413,-207.0814347830121,-994.0158888451945,1.3549488973776942,0.0012797021200024877,-3.1520497159325993,4.5069986133102935,1537048.957542386,1192767.5884920566,1.0,0.9222251050543524
295.5749999999882,4623.541193116007,28416.396627075494,-206.53897577978054,-992.0251513455003,1.3681084479425816,0.2034413946940035,-3.1390135720457786,4.50712201998836,1535769.7963366192,1191488.4272862899,1.0,0.9195812838915274
295.67499999998813,4602.931061383941,28317.31659967491,-205.83678540048362,-990.0654355436211,1.3743871903447888,-0.03330921391351102,-3.1330196326286566,4.507406822973445,1534490.6351308525,1190209.2660805231,1.0,0.9169146581159093
295.77499999998804,4582.390063124649,28218.4329434232,-205.18368821683666,-988.0926102636704,1.3594677010391771,-0.141252579756967,-3.148174816603011,4.507642517642188,1533211.4739250857,1188930.1048747564,1.0,0.9142253483218865
295.87499999998795,4561.903255883886,28119.739693009626,-204.67774000591007,-986.2363398547152,1.3591729918128612,0.08040872629980775,-3.148586641937155,4.507759633750016,1531994.9454149008,1187713.5763645715,0.9020722403091896,0.9115134992158715
295.97499999998786,4541.467363120843,28021.222750316105,-204.13256687174953,-984.5363687830076,1.3743259591906332,0.10558968025768853,-3.1336210062249332,4.507946965415567,1530841.1419323022,1186559.7728819728,0.804000117259011,0.9087791105562997
296.07499999998777,4521.093830719616,27922.867894453848,-203.4958376501964,-982.9558332122343,1.368177376390566,-0.16211877606121355,-3.1400710311343634,4.508248407524929,1529729.9802419404,1185448.611191611,0.7373286265291883,0.906021946328851
296.1749999999877,4500.774405448176,27824.668953284065,-203.03264679192588,-981.4052515683335,1.357878063200636,-0.016317956492904975,-3.1505092707998523,4.5083873340004885,1528647.3296738751,1184365.9606235458,0.69275078572432,0.9032417509324002
296.2749999999876,4480.497831978834,27726.623111187724,-202.60013234713506,-979.8912137577423,1.3700363216343543,0.18584094884304606,-3.1384677577587627,4.508504079393117,1527583.3875123737,1183302.0184620444,0.6634997320191589,0.9004384834887502
296.3749999999875,4460.276583795078,27628.724495435967,-201.98108024232917,-978.4426385825817,1.3713026571167903,-0.09168548768564376,-3.1375146419555318,4.508817299072322,1526531.2389335092,1182249.86988318,0.6450601755600021,0.8976121932275671
296.4749999999874,4440.110969039059,27530.97113705476,-201.49831681286443,-976.9801532612719,1.3596074473755333,-0.04189059620584235,-3.149387414190099,4.508994861565633,1525485.9647602197,1181204.5957098904,0.6343118734011797,0.894762836627812
296.5749999999873,4419.98667042662,27433.36506693084,-201.08568979903194,-975.509643309378,1.3699841700385207,0.17715014468323512,-3.139118205752389,4.50910237579091,1524444.23608304,1180162.8670327107,0.6287684030497305,0.8918904786802162
296.6749999999872,4399.91581055638,27335.90344213217,-200.47738153384415,-974.0810064571301,1.3720557375653606,-0.08751325911458092,-3.137355694488779,4.509411432054139,1523403.7167230537,1179122.3476727244,0.6268776058806225,0.8889953012005956
