V,L_u,L_v,sigma_u,sigma_v,u_std,v_std,u_acf1,v_acf1,u_spectral_width,v_spectral_width
50.0,114.27679081817901,211.90182931055745,0.9558876303078743,1.5603944965976755,0.4891417067617308,2.878266504302803,0.9857839151626151,0.9929620275427226,1.518348379452596,1.089984899688095
50.0,292.284793433682,272.20607389429756,1.461762546066446,0.8129739664873143,4.312959427070915,2.4051244898985367,0.9926551062793004,0.9940174829042627,1.0926104327426713,1.0338325229151555
50.0,382.879798604493,96.0812436293905,0.7633066595347069,1.9582915380488517,4.873948513436991,0.8011891494083565,0.99655372335994,0.98700957402319,0.7618494609361204,1.4664213042920278
50.0,256.9635794555473,241.91984501281826,1.0926459861151046,1.9463453365168135,2.7714064559617646,4.094740086477824,0.9934169265132695,0.9918148141069507,1.0372941569302936,1.1607820919034852
50.0,117.93105159732676,229.57671221965956,1.1019682263887134,1.2705906526364714,0.7448948371231449,2.489958105145243,0.9907550083307148,0.9920171514579044,1.2358353686267516,1.1560034678873725
50.0,420.8192669658519,67.63173184567381,0.8228915080512786,1.524867993876688,4.881091162217066,0.275121538292341,0.994827803390644,0.9759735415445884,0.9351256381736627,1.9444212750779186
50.0,284.2667909544741,293.2859372710368,1.987821627303878,1.0175853888695605,7.7679748088203935,4.206154312504666,0.9963387756142315,0.9963989128210172,0.8488380869165882,0.7834607144345023
50.0,200.94578481147954,202.88318382670747,0.8580586905257727,1.9289018197248975,1.4679593273179563,3.256434762586942,0.9933803095127433,0.992616947562584,1.081865101055475,1.1178507861641462
50.0,123.63282994792431,235.58862349565442,0.5828959279531781,1.8736173350923255,0.4169202118609512,4.022923710717041,0.9908182619811035,0.992836196833525,1.2373961115968817,1.099923178683766
50.0,445.1039564938566,122.4532476397509,0.6898418914086233,1.6265124407444644,5.032762229549286,0.8988024697386833,0.9958985409634056,0.985027367861845,0.8433517640318925,1.5598159449917646
80.0,135.90491082896426,254.88372772643672,0.9596664411638365,1.5370624126920929,0.29487282587218333,1.6747348337155499,0.9840362522867692,0.991013879873827,1.5981480653823343,1.224237980994016
80.0,177.18844916761918,193.77388149849176,0.6816511464726464,1.8617635069544929,0.349576794122817,0.9662107835627107,0.9869853180761974,0.9835896348171874,1.4777644528700156,1.6408133323398566
80.0,386.4837872506064,39.90168326793748,0.6780147103594402,1.3003977750098163,1.5295266799952605,0.03732719616830225,0.9932176879414463,0.9540906540840023,1.0760512283642671,2.580830008245632
80.0,480.4739283936143,158.76438598171688,1.5085376766227168,0.6295016131425761,4.224497242443242,0.263499532146157,0.9912510391417805,0.9861785454733628,1.2121834626506927,1.490980758275625
80.0,228.69753055861054,299.3730433647145,1.8243777970359114,0.7931371702376877,1.3963691697655847,0.9498490641478485,0.9875496047902462,0.9887110110120264,1.4379646170684395,1.3637220143740947
80.0,215.61381325619408,168.99981646179828,1.8740737363202125,0.6508203983261934,1.2509382521324277,0.2927173133300281,0.9866063951076666,0.985758941002783,1.4664410798160405,1.5177598126756917
80.0,378.62683520536825,51.1167018322932,0.7011128507204045,1.5112693915309285,1.6480535820406952,0.06289625748923228,0.993958431540865,0.9542135259975781,1.0230047435467353,2.5873482835493076
80.0,421.6339868235144,37.78113647981297,1.527041136977919,0.9688139846955872,4.484190499471477,0.02215693273317532,0.9946632377768091,0.9374169009518896,0.9503183512370518,2.9195662464775394
80.0,248.99904886441783,249.87374537630905,0.9990231775657387,1.5442957597174445,1.0841101193990343,1.72659939072711,0.9918043355449553,0.992351229243033,1.1791220829147064,1.1327698455531998
