Name,Mean,Std Dev,Min,Max,Skewness,Kurtosis
Base Case (U),0.013234512450445674,0.48258691887643773,-1.6041629550558503,1.1888745718859806,-0.16223175333942544,-0.417429763806048
Base Case (V),0.011372334215894585,1.2148100187664748,-3.0664129160122617,4.192405624853801,0.40277194845180114,-0.020092537241088504
High V (U),-0.003306810925721891,0.17566411787405758,-0.5659939442727129,0.6954380350058792,0.34403068199067843,0.4931386774140236
High V (V),-7.619020610216517e-05,0.06308780078009217,-0.2143166533125583,0.21387833845287188,-0.029092542153132502,0.13755132751203547
Low V (U),0.0649728244264181,1.6815219973005815,-4.991217253606929,5.861021335863123,0.016243805353801516,0.223026338476227
Low V (V),-0.07349873489740523,1.7646788690396191,-4.839723663830009,5.060725295882283,0.04643259352717907,-0.34207711610064395
