swarm_idx,best_fitness,avg_fitness,min_fitness,max_fitness,std_fitness,num_particles,generation,global_best_fitness,global_avg_fitness
0,-19.554013686656333,14169.991557260013,-19.554013686656333,19092.704743949274,6090.766079720745,75,0,-19.554013686656333,13521.257634219475
0,-133.53376453760916,13584.63393340479,-133.53376453760916,19094.120116565136,6983.299495715329,75,1,-133.53376453760916,12345.294755852427
0,-171.40430734021123,11139.334109632171,-171.40430734021123,19093.108531256497,7410.65152332089,75,2,-171.40430734021123,10588.362904175592
0,-179.97901755130334,8900.284887095419,-179.97901755130334,19092.037215574495,7465.183824276002,75,3,-179.97901755130334,9829.50937062748
0,-264801.17923975573,2854.0277701450077,-264801.17923975573,19091.325166156716,31821.546199195876,75,4,-264801.17923975573,6298.9595960818615
0,-264801.17923975573,8630.952248683283,-182.5549491848602,19091.569936395626,7854.876922001529,75,5,-264801.17923975573,8773.337938992152
0,-264801.17923975573,8406.276546574241,-186.60358774560297,19091.856353058265,7681.248876161995,75,6,-264801.17923975573,8692.480463881186
0,-264801.17923975573,8449.001841756512,-193.85911131094252,19094.876740137574,7694.639326057346,75,7,-264801.17923975573,9810.976663237449
0,-264801.17923975573,8979.226508666723,-186.7826868175426,19091.631540211296,7754.517984104939,75,8,-264801.17923975573,11472.653518572992
0,-264801.17923975573,7316.645964603491,-193.5662261868002,19091.65884781273,7482.253325719216,75,9,-264801.17923975573,10475.304171773856
0,-264801.17923975573,5369.675300419932,-188.35633314100036,19091.564257351623,6489.2680029680505,75,10,-264801.17923975573,9049.029086969389
0,-264801.17923975573,7831.235859538064,-193.71248772223922,19091.352306147106,7595.7920241604015,75,11,-264801.17923975573,8684.621989933321
0,-264801.17923975573,7464.667488352883,-178.07617868111052,19091.271448825402,7343.854346196122,75,12,-264801.17923975573,8546.499594778821
0,-264801.17923975573,6472.800328904099,-183.9479710569945,19091.262419207676,7562.363443697664,75,13,-264801.17923975573,9270.69699389179
0,-264801.17923975573,3285.4963030708086,-230984.41736460314,19091.861592458423,28135.42855300057,75,14,-264801.17923975573,7396.611292736901
0,-264801.17923975573,6713.538289381312,-186.61149027382325,19091.59665211281,6889.732594452414,75,15,-264801.17923975573,8177.027368850433
0,-264801.17923975573,2814.7968672696484,-174832.59589243517,19091.276886691794,21504.642555920324,75,16,-264801.17923975573,5533.519872011645
0,-269271.4886803685,2304.538314038044,-269271.4886803685,19091.266535271992,32309.733957915356,75,17,-269271.4886803685,5826.2729583541595
0,-269271.4886803685,6541.844326582705,-194.02281117721952,19091.28698613664,7293.3556876855055,75,18,-344589.9906449376,5241.174387153045
0,-269271.4886803685,2288.4380722914043,-267762.64542627917,19092.17304384257,32077.727866046916,75,19,-344589.9906449376,6011.893710384101
0,-269271.4886803685,6043.278440842217,-193.90018707961437,19091.50775078148,7200.5146209950835,75,20,-344589.9906449376,7299.147726497323
0,-269271.4886803685,5648.34890735801,-193.35801252924466,19092.208638189746,6913.2146657316425,75,21,-344589.9906449376,6167.885634579969
0,-269271.4886803685,4955.958094996773,-191.5659718042737,19091.262789784767,6262.994778323674,75,22,-344589.9906449376,1461.1042474979786
0,-269271.4886803685,5337.673335374347,-190.1398661987773,19094.572106914886,6927.944608502679,75,23,-344589.9906449376,6235.683826020958
0,-269271.4886803685,5111.83719390383,-191.12153298328798,19093.108840180717,7223.851804319138,75,24,-344589.9906449376,1807.331983889849
0,-280533.6280655919,961.4537763983541,-280533.6280655919,19091.261971054926,33240.79628498145,75,25,-344589.9906449376,2612.1893312193424
0,-280533.6280655919,4834.288875212051,-193.39294123252546,19091.274245230896,5933.87552737818,75,26,-344589.9906449376,5901.586907123789
0,-280533.6280655919,4589.769042739932,-191.397045530606,19091.262802796726,5848.166103416197,75,27,-344589.9906449376,5057.698997255718
0,-280533.6280655919,4754.269535397587,-194.36666208387834,19094.525504182395,6650.926367008171,75,28,-344589.9906449376,3254.2113677741004
