time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],mass_propellant[kg],gimbalanglecommanded[deg],u0
105.1999999999983,34592.35584248105,60172.43139277159,1387.1535189012138,1370.991142919541,0.6312719424798672,-0.0011074130776388882,-0.14826641551502787,0.779538357994895,1490610.9352260525,1146329.566175723,-10.0,-1.0
105.29999999999829,34731.16691463251,60309.49948767903,1388.1107215146355,1370.6809490743833,0.6330722340116952,0.018002915318281205,-0.14600811252287405,0.7790803465345694,1490131.24977389,1145849.8807235605,-10.0,-1.0
105.39999999999829,34870.0745354467,60446.53540210702,1389.0762081418884,1370.3591442799489,0.6375978897518262,0.04525655740130908,-0.1410174451196848,0.778615334871511,1489651.5643217275,1145370.195271398,-10.0,-1.0
105.49999999999828,35009.07925806191,60583.53836690936,1390.0472261521036,1370.0296480233428,0.645581439160922,0.07983549409095805,-0.13256430769830319,0.7781457468592252,1489171.878869565,1144890.5098192354,-10.0,-1.0
105.59999999999827,35148.18133269403,60720.50806938677,1391.020746321221,1369.6970247741724,0.6576817719267711,0.12100332765849128,-0.11999256771405332,0.7776743396408244,1488692.1934174024,1144410.824367073,-10.0,-1.0
105.69999999999827,35287.38067755437,60857.444708574585,1391.9934486033662,1369.3663918781422,0.6744915145874211,0.16809742660649973,-0.10271266047615435,0.7772041750635754,1488212.50796524,1143931.1389149104,-10.0,-1.0
105.79999999999826,35426.676845229624,60994.34904024266,1392.9616767524944,1369.0433166807627,0.6965436869027716,0.22052172315350546,-0.08019491133757828,0.7767385982403499,1487732.8225130774,1143451.4534627479,-10.0,-1.0
105.89999999999826,35566.0689817344,61131.22241037823,1393.921365047774,1368.733701355657,0.7243177012617535,0.277740143589818,-0.05196352019826456,0.776281221460018,1487253.137060915,1142971.7680105853,-10.0,-1.0
105.99999999999825,35705.5557758928,61268.06677564931,1394.8679415839686,1368.4436527108207,0.7582447652220373,0.33927063960283904,-0.01759114557249919,0.7758359107945365,1486773.4516087524,1142492.0825584228,-10.0,-1.0
106.09999999999825,35845.13539727659,61404.88470895685,1395.7962138378773,1368.179333075408,0.7987127434107107,0.4046797818867328,0.02330597151046743,0.7754067719002432,1486293.7661565898,1142012.3971062603,-10.0,-1.0
106.19999999999824,35984.80542163776,61541.67938769574,1396.7002436117352,1367.9467873888484,0.8460705308332687,0.47357787422558034,0.07107240014471305,0.7749981306885556,1485814.0807044273,1141532.7116540978,-10.0,-1.0
106.29999999999824,36124.56274364507,61678.45456179407,1397.5732200731154,1367.7517409832728,0.9006319853880023,0.5456145455473357,0.12601748161377824,0.774614503774224,1485334.3952522648,1141053.0262019353,-10.0,-1.0
106.39999999999823,36264.40267515201,61815.21531690349,1398.3993150693752,1367.6075510942082,0.9621150090840975,0.6148302369609526,0.1878485939404585,0.774266415143639,1484854.7098001023,1140573.3407497727,-4.348066649205862,-0.43480666492058617
106.49999999999822,36404.31878795957,61951.96772637081,1399.1611280756485,1367.5240946732108,1.029684542063936,0.6756953297983839,0.25572087591499715,0.7739636661489389,1484375.0243479398,1140093.6552976102,1.4596528336338892,0.14596528336338893
106.59999999999822,36544.30289966109,62088.71831679169,1399.8411170151535,1367.5059042087923,1.102052543438089,0.7236800137415293,0.32833840127706476,0.7737141421610242,1483895.3388957772,1139613.9698454477,6.798029543063521,0.6798029543063521
106.69999999999821,36684.34545453673,62225.473333997885,1400.4255487564296,1367.5501720619748,1.1777358254675134,0.7568328202942414,0.40421415026733915,0.773521675200174,1483415.6534436147,1139134.2843932852,10.0,1.0
106.7999999999982,36824.43624988566,62362.23809469153,1400.9079534892649,1367.6476069364123,1.2553974822391776,0.776616567716643,0.48201235085262906,0.7733851313865485,1482935.9679914522,1138654.5989411226,10.0,1.0
106.8999999999982,36964.56464259629,62499.01687089008,1401.283927106312,1367.7877619855071,1.333833249374229,0.784357671350514,0.5605310283131637,0.7733022210610655,1482456.2825392897,1138174.9134889601,10.0,1.0
106.9999999999982,37104.71976673047,62635.81283278682,1401.5512413417691,1367.9596189673905,1.4119588737861866,0.7812562441195744,0.6386891969486985,0.7732696768374882,1481976.5970871272,1137695.2280367976,10.0,1.0
107.09999999999819,37244.890749480786,62772.62804702117,1401.7098275031317,1368.152142343543,1.4887985046344805,0.7683963084829392,0.7155150400200658,0.7732834646144146,1481496.9116349646,1137215.542584635,10.0,1.0
107.19999999999818,37385.066914495634,62909.463524541825,1401.7616501485059,1368.354775206545,1.5634740821683837,0.7467557753390331,0.7901350709577617,0.7733390112106223,1481017.226182802,1136735.8571324726,10.0,1.0
107.29999999999818,37525.237963911124,63046.3193101853,1401.7104941549285,1368.557856434748,1.635195679670895,0.7172159750251121,0.8617642469271418,0.7734314327437533,1480537.5407306396,1136256.17168031,10.0,1.0
107.39999999999817,37665.394133134396,63183.19460487223,1401.5616922326876,1368.7529468692587,1.7032527412577048,0.6805706158680971,0.9296969914101019,0.7735557498476029,1480057.855278477,1135776.4862281475,10.0,1.0
107.49999999999817,37805.52631517722,63320.08791091755,1401.3218204282828,1368.9330604531976,1.7670061520323785,0.6375341077467398,0.9932990732847528,0.7737070787476261,1479578.1698263146,1135296.800775985,10.0,1.0
107.59999999999816,37945.62615389246,63456.997191248505,1400.998387152331,1369.0928033095233,1.8258810750231216,0.5887492299074275,1.0520002844771246,0.7738807905459969,1479098.484374152,1134817.1153238225,10.0,1.0
107.69999999999816,38085.686107644855,63593.92003416186,1400.5995375239247,1369.2284291336173,1.879360489995354,0.5347941497223246,1.1052878556406645,0.7740726343546895,1478618.7989219895,1134337.42987166,10.0,1.0
107.79999999999815,38225.69948665467,63730.85381644417,1400.133790098087,1369.3378228230897,1.9269793716403096,0.47618881644955413,1.1527005488127804,0.774278822827529,1478139.113469827,1133857.7444194974,10.0,1.0
107.89999999999814,38365.660624486925,63867.79593721333,1399.6113783226178,1369.4212076915367,1.9684051803089877,0.41425808668678316,1.1939093712666784,0.7744958090423094,1477659.4280176645,1133378.058967335,9.143952715497523,0.9143952715497523
107.99999999999814,38505.56530808655,64004.74422871739,1399.0468359963,1369.482915040647,2.00368645047726,0.35281270168272294,1.2289664447842301,0.7747200056930301,1477179.742565502,1132898.3735151724,5.671676854685273,0.5671676854685274
108.09999999999813,38645.41064279796,64141.69708741025,1398.4533471140494,1369.5285869285383,2.0332218340554373,0.2953538357817723,1.2582730551213706,0.7749487789340668,1476700.0571133394,1132418.6880630099,2.129424226955539,0.2129424226955539
108.19999999999813,38785.194865393045,64278.65350165775,1397.8422259508816,1369.5641424749904,2.0577082749050777,0.24486440849640426,1.2825280179421377,0.7751802569629399,1476220.371661177,1131939.0026108474,-1.2381687116956535,-0.12381687116956534
108.29999999999812,38924.917123634055,64415.61299281633,1397.2225824101122,1369.5949115857873,2.0780730009038084,0.20364725998730696,1.302659866410938,0.7754131344928705,1475740.6862090144,1131459.3171586848,-4.216754954576093,-0.4216754954576093
108.39999999999812,39064.57723473113,64552.57549544637,1396.6011109707579,1369.6250263004088,2.0953947569447493,0.17321756040941036,1.3197482292541414,0.7756465276906079,1475261.0007568519,1130979.6317065223,-6.634411427664936,-0.6634411427664937
108.49999999999811,39204.175432533855,64689.5412047149,1395.9819780272678,1369.65709268529,2.1108202445631647,0.15425487618415293,1.3349403478937236,0.775879896669441,1474781.3153046893,1130499.9462543598,-8.370264492362702,-0.8370264492362702
108.5999999999981,39343.712114123235,64826.510415910765,1395.366815893789,1369.6921119586525,2.1254818943476894,0.1466164978452455,1.3493688734236062,0.7761130209240832,1474301.6298525268,1130020.2608021973,-9.359134211843234,-0.9359134211843234
108.6999999999981,39483.18759884995,64963.48337433948,1394.754847267158,1369.7295842871372,2.1404227298788285,0.1494083553113891,1.3640767351796868,0.7763459946991419,1473821.9444003643,1129540.5753500347,-9.591985630994829,-0.9591985630994829
108.7999999999981,39622.601914711035,65100.46014595406,1394.1431586108022,1369.7677161458296,2.156533175042622,0.1611044516379348,1.3799539684209177,0.7765792066217047,1473342.2589482018,1129060.8898978722,-9.11234381212639,-0.911234381212639
108.89999999999809,39761.95462682644,65237.440512141206,1393.5271211540137,1369.8036618714953,2.1745033456233918,0.1797017058076963,1.3976900670385426,0.7768132785848492,1472862.5734960393,1128581.2044457097,-8.009212771252205,-0.8009212771252205
108.99999999999808,39901.24472022216,65374.4238877444,1392.9009339572297,1369.8337560319771,2.194792871459149,0.2028952583575717,1.4177439143781145,0.7770489570810344,1472382.8880438767,1128101.5189935472,-6.407334101568331,-0.6407334101568332
109.09999999999808,40040.47054451882,65511.40926023967,1392.258242966633,1369.853724952725,2.21761883175007,0.22825960290921213,1.4403318625872843,0.7772869691627856,1471903.2025917142,1127621.8335413847,-4.455768466372893,-0.4455768466372893
109.19999999999807,40179.629822243725,65648.39514940939,1391.5927772490438,1369.858891697245,2.2429610952829204,0.25342263532850196,1.4654332259959855,0.7775278692869348,1471423.5171395517,1127142.1480892221,-2.315784167621308,-0.23157841676213078
109.29999999999806,40318.719716186104,65785.37958946821,1390.8989394238101,1369.8444005882416,2.2705832934229253,0.2762219814000489,1.4928113842857855,0.7777719091371396,1470943.8316873892,1126662.4626370596,-0.1489398437827667,-0.01489398437827667
109.39999999999806,40457.73694531478,65922.36013769922,1390.172291286756,1369.8054823100001,2.3000668127815005,0.2948351935857526,1.5220478534829598,0.7780189592985407,1470464.1462352267,1126182.777184897,1.893887882906867,0.1893887882906867
109.49999999999805,40596.67793406787,66059.33391392241,1389.4098875309517,1369.7377622320025,2.330854560630319,0.3078774784881846,1.5525860598931607,0.7782685007371587,1469984.4607830641,1125703.0917327346,3.681917392217347,0.3681917392217347
109.59999999999805,40735.538977058815,66196.29767300315,1388.610429909474,1369.6375908073858,2.362300833831576,0.3144627320125713,1.5837811453701593,0.778519688461417,1469504.7753309016,1125223.406280572,5.1118303722950245,0.5111830372295024
109.69999999999804,40874.31640097902,66333.24790851572,1387.7742392020793,1369.5023551257652,2.3937234394488605,0.314226056172843,1.614951965827572,0.7787714736212886,1469025.089878739,1124743.7208284095,6.112746466819729,0.611274646681973
109.79999999999804,41013.00670783741,66470.18098074988,1386.903068583925,1369.3307223415832,2.4244543034097337,0.3073086396087367,1.6454315455453303,0.7790227578644036,1468545.4044265766,1124264.035376247,6.648615552101219,0.6648615552101219
109.89999999999803,41151.606688183565,66607.09325791053,1385.9998034615326,1369.1227716064861,2.453885169034832,0.29430865625097896,1.6746126208510383,0.7792725481837938,1468065.718974414,1123784.3499240845,6.718025295588891,0.6718025295588891
109.99999999999802,41290.11349859684,66743.98125680535,1385.068104132744,1368.8799889481782,2.481505595165874,0.2762042613104238,1.7019855123254997,0.7795200828403744,1467586.0335222515,1123304.664471922,6.351616874925833,0.6351616874925833
110.09999999999802,41428.5247032259,66880.84176912285,1384.112046290608,1368.6051231750469,2.5069312414179055,0.2542564625203116,1.7271663335024319,0.7797649079154737,1467106.348070089,1122824.9790197595,5.607476866161127,0.5607476866161127
110.19999999999801,41566.83828342806,67017.67196145601,1383.1358020215498,1368.3019233315765,2.5299212847614845,0.22990043343579206,1.7499143882038046,0.7800068965576797,1466626.6626179265,1122345.293567597,4.565001373271134,0.45650013732711336
110.29999999999801,41705.05262196993,67154.46944087578,1382.1433854187403,1367.974794197616,2.550384661572956,0.204633768114718,1.7701384461786827,0.7802462153942734,1466146.977165764,1121865.6081154344,3.3177957151192103,0.33177957151192106
110.399999999998,41843.16646879937,67291.23228223599,1381.1384682943506,1367.6284136020217,2.5683756084496503,0.17990946876694167,1.7878923565336278,0.7804832519160226,1465667.2917136014,1121385.922663272,1.9661819834196272,0.19661819834196273
110.499999999998,41981.1788945688,67427.95901768965,1380.1242576943337,1367.2673545366172,2.584079644461894,0.15704036012243588,1.8033611231107496,0.7807185213511442,1465187.606261439,1120906.2372111094,0.6098514034979559,0.06098514034979559
110.59999999999799,42119.08923661242,67564.64859253632,1379.1034204361342,1366.8957484667071,2.5977916761555306,0.13712031693637058,1.816839104616349,0.7809525715391823,1464707.9208092764,1120426.5517589469,-0.658864954701329,-0.0658864954701329
110.69999999999798,42256.8970406501,67701.30029417889,1378.0780403768892,1366.5170164256483,2.609888301497317,0.12096625341786536,1.8287024008692527,0.7811859006280648,1464228.2353571139,1119946.8663067843,-1.7607131899516144,-0.17607131899516143
110.79999999999798,42394.60200057181,67837.91366253777,1377.049599217051,1366.133683588849,2.6207966285428057,0.10908327045488163,1.8393777318900577,0.7814188966527481,1463748.5499049514,1119467.1808546218,-2.6339182937226973,-0.26339182937226974
110.89999999999797,42532.20389838736,67974.48839079382,1376.0189781554807,1365.7472825604254,2.6309619991736457,0.1016537063084047,1.849310197268422,0.781651801905224,1463268.8644527888,1118987.4954024593,-3.2370690872757066,-0.3237069087275707
110.99999999999797,42669.7025466644,68111.02422495584,1374.9864827703873,1365.358341620133,2.6408169152247134,0.09854916051066953,1.8589322153325027,0.7818846998922104,1462789.1790006263,1118507.8099502968,-3.550395940248018,-0.3550395940248018
111.09999999999796,42807.09773620102,68247.52086969564,1373.951895366273,1364.9664473981102,2.6507532142821972,0.0993629905748432,1.8686356947769664,0.7821175195052308,1462309.4935484638,1118028.1244981342,-3.5754665288774046,-0.35754665288774046
111.19999999999796,42944.38919193806,68383.97790642253,1372.9145573704081,1364.5703672689147,2.661099161586261,0.103459473040637,1.8787491115078785,0.7823500500783824,1461829.8080963013,1117548.4390459717,-3.3334359497549872,-0.3333435949754987
111.29999999999795,43081.57653994473,68520.39472793664,1371.8734800666505,1364.168215141137,2.672102651908312,0.1100349032205138,1.8895206899484631,0.7825819619598493,1461350.1226441388,1117068.7535938092,-2.8620827858046045,-0.28620827858046044
111.39999999999795,43218.659287605624,68656.77049241035,1370.827476608973,1363.7576447370961,2.6839211963448104,0.1181854443649759,1.9011083670315743,0.7828128293132357,1460870.4371919762,1116589.0681416467,-2.2119328123477953,-0.22119328123477952
111.49999999999794,43355.63681796225,68793.10409801405,1369.7753035662727,1363.3360560370102,2.6966188478215996,0.126976514767898,1.9135766936633474,0.7830421541582523,1460390.7517398137,1116109.3826894842,-1.441811992738364,-0.14418119927383638
111.59999999999793,43492.508397717465,68929.39417825296,1368.7157975521077,1362.9008023890847,2.7101697332399106,0.13550885418311237,1.9269003409076526,0.7832693923322581,1459911.0662876512,1115629.6972373216,-0.6141804202406451,-0.06141804202406451
111.69999999999793,43629.27319696608,69065.63911697613,1367.6479924861908,1362.4493872317921,2.7244674383344014,0.1429770509449095,1.940973455721786,0.7834939826126154,1459431.3808354887,1115150.0117851591,0.20941713554815067,0.020941713554815066
111.79999999999792,43765.93031753725,69201.8370810052,1366.5712057116812,1361.979640290667,2.739339153915463,0.14871715581061412,1.955623774290825,0.7837153796246379,1458951.6953833262,1114670.3263329966,0.9724849217443676,0.09724849217443676
111.89999999999792,43902.4788261305,69337.98606738672,1365.4850859325277,1361.4898638151822,2.7545632529785133,0.15224099063050198,1.9706301632735135,0.7839330897049994,1458472.0099311636,1114190.640880834,1.6270467492792804,0.16270467492792803
111.99999999999791,44038.917788300176,69474.08396143402,1364.3896216967275,1360.9789404729263,2.7698888352162263,0.15325582237713498,1.985742128040372,0.7841467071758546,1457992.324479001,1113710.9554286716,2.1362687600748878,0.21362687600748878
112.0999999999979,44175.246299772916,69610.12860107615,1363.285114727386,1360.4463964212873,2.7850557509382594,0.1516691572203374,2.0006998038042942,0.7843559471339656,1457512.6390268386,1113231.269976509,2.4761197929782623,0.24761197929782625
112.1999999999979,44311.46351244298,69746.11784267865,1362.1721267005953,1359.8924160249355,2.799813695741881,0.14757944803620912,2.0152530253968144,0.7845606703450665,1457032.953574676,1112751.5845243465,2.636028051505697,0.2636028051505697
112.2999999999979,44447.568653478724,69882.04962352554,1361.0514103574483,1359.3178084689212,2.813939138655082,0.14125442913201222,2.0291782423028026,0.7847608963522794,1456553.2681225135,1112271.899072184,2.618564745395708,0.2618564745395708
112.39999999999789,44583.56103706935,70017.92201658504,1359.923835906252,1358.7239305950122,2.827249091336992,0.13309952681909898,2.042292288989736,0.784956802347256,1456073.582670351,1111792.2136200215,2.43825081290768,0.243825081290768
112.49999999999788,44719.440069253484,70153.73327398492,1358.7903218413635,1358.1125739987867,2.8396110208839387,0.12361929546946375,2.0544623135231985,0.7851487073607397,1455593.8972181885,1111312.528167859,2.1196368370865093,0.21196368370865093
112.59999999999788,44855.20524688297,70289.48185670422,1357.6517762948856,1357.4858271929681,2.850948528384069,0.11337507500131312,2.065611484946618,0.7853370434374516,1455114.211766026,1110832.8427156964,1.6948451790829564,0.16948451790829563
112.69999999999787,44990.856152055625,70425.16644921742,1356.5090517265678,1356.845925131938,2.861242734816335,0.10294206432265267,2.0757204175921617,0.785522317224173,1454634.5263138635,1110353.157263534,1.2007853440141147,0.12007853440141147
112.79999999999787,45126.3924433491,70560.78595907165,1355.3629129347337,1356.1950985423723,2.8705296132442304,0.09286878427895609,2.084824546738684,0.7857050665055465,1454154.840861701,1109873.4718113714,0.6762587532247615,0.06762587532247614
112.89999999999786,45261.813845003504,70696.33950251927,1354.2140165440926,1355.535434476118,2.878893763551627,0.0836415030739653,2.093007947014594,0.7858858165370333,1453675.1554095384,1109393.7863592089,0.1591589832256135,0.01591589832256135
112.99999999999785,45397.12013494737,70831.8263782772,1353.0628994386955,1354.8687575793144,2.8864593296528134,0.0756556610118695,2.1003942890584337,0.7860650405943802,1453195.469957376,1108914.1009070463,-0.31604943550322595,-0.031604943550322596
113.09999999999785,45532.31113233471,70967.24603218496,1351.9099738733996,1354.1965390776875,2.8933789000577494,0.06919570404935321,2.107135771892961,0.7862431281647878,1452715.7845052134,1108434.4154548838,-0.7204236276186755,-0.07204236276186755
113.19999999999784,45667.38668511622,71102.59801595638,1350.7555278150548,1353.5198377140853,2.89982130617599,0.06442406118241081,2.1134009432749465,0.7864203629010436,1452236.0990530509,1107954.7300027213,-1.0320966635818225,-0.10320966635818225
113.29999999999784,45802.34665811371,71237.8819433666,1349.5997299749665,1352.8392741022687,2.9059592385533985,0.06137932377408735,2.119362327442986,0.7865969111104132,1451756.4136008883,1107475.0445505588,-1.2372284402143103,-0.12372284402143104
113.39999999999783,45937.1909220754,71373.09744710638,1348.442639616944,1352.1550373977382,2.91195754357115,0.05998305017750471,2.1251847231953684,0.7867728203757809,1451276.7281487258,1106995.3590983963,-1.330333990269609,-0.1330333990269609
113.49999999999783,46071.919344210706,71508.24413920654,1347.2842213530046,1351.4669210015525,2.9179629503971816,0.06005406826031762,2.1310149233484137,0.7869480270487674,1450797.0426965633,1106515.6736462337,-1.3140141768942888,-0.13140141768942887
113.59999999999782,46206.53178068721,71643.3215774387,1346.124364765062,1350.7743823217234,2.9240958220423074,0.061328716451265225,2.1369734511811256,0.7871223708611821,1450317.3572444008,1106035.9881940712,-1.198153041035849,-0.1198153041035849
113.69999999999781,46341.028071485016,71778.32923948596,1344.9629079780073,1350.0766204725587,2.9304443394693,0.06348517426991893,2.1431487247344725,0.787295614734827,1449837.6717922383,1105556.3027419087,-0.9986780142228646,-0.09986780142228646
113.79999999999781,46475.40803783655,71913.2665060049,1343.7996635152892,1349.372665189491,2.9370613290711174,0.06616989601818488,2.1495938611363288,0.787467467934789,1449357.9863400757,1105076.6172897462,-0.7360019496129748,-0.07360019496129748
113.8999999999978,46609.671482252365,72048.13265301735,1342.6344441581725,1348.6614701244741,2.943963746384074,0.0690241731295622,2.1563261354926198,0.7876376108914542,1448878.3008879132,1104596.9318375837,-0.43327853003900074,-0.043327853003900074
113.9999999999978,46743.81819088251,72182.92685341652,1341.4670863015176,1347.9420039915608,2.9511346461081436,0.0717089972406991,2.1633289258971358,0.7878057202110084,1448398.6154357507,1104117.2463854211,-0.11460506410576432,-0.011460506410576433
