t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg]
120.19999999999743,53155.50646120414,42704.977306938825,1615.938479756826,596.7412111015046,863602.3495213854
120.29999999999742,53317.338577448936,42764.728683559624,1618.3211624479638,597.5137662080193,862882.8213431416
120.39999999999742,53479.39747637306,42824.57726482543,1620.588989241241,598.48581265805,862163.2931648978
120.49999999999741,53641.664852265385,42884.553812181905,1622.6737589232548,599.7654735647744,861443.764986654
120.59999999999741,53804.114391909156,42944.70104998632,1624.495396437733,601.4723780441539,860724.2368084103
120.6999999999974,53966.7089338549,43005.07780860632,1625.9454194574107,603.7675862000702,860004.7086301665
120.7999999999974,54129.39620298647,43065.76508965332,1626.872691315724,606.8728104700245,859285.1804519227
120.89999999999739,54292.10253744961,43126.874661273345,1627.0633446313923,611.095716200205,858565.6522736789
120.99999999999739,54454.72372425985,43188.5609761279,1626.2118681024158,616.8631485455132,857846.1240954351
121.09999999999738,54617.11163990576,43251.03730748879,1623.8791564591018,624.7633136089621,857126.5959171914
121.19999999999737,54779.05489070027,43314.59676021446,1619.4325079450919,635.5945272566781,856407.0677389476
121.29999999999737,54940.251383641866,43379.63754036691,1611.9649294159917,650.4078015244535,855687.5395607038
121.39999999999736,55100.27198906949,43446.68797828057,1600.2060542762501,670.5043791366332,854968.01138246
121.49999999999736,55258.52081036732,43516.41770272293,1582.4882129783018,697.2972444236184,854248.4832042162
121.59999999999735,55414.215507826724,43589.60672640559,1556.9469745940048,731.8902368266024,853528.9550259724
121.69999999999735,55566.437738828885,43667.03829737108,1522.222310021635,774.3157096549141,852809.4268477287
121.79999999999734,55714.292114321855,43749.31874506473,1478.5437549296707,822.804476936522,852089.8986694849
121.89999999999733,55857.11446510471,43836.703130717375,1428.2235078285194,873.8438565264128,851370.3704912411
121.99999999999733,55994.614323389826,43929.02598509953,1374.9985828512183,923.2285438215147,850650.8423129973
122.09999999999732,56126.915402720064,44025.77857615106,1323.0107933024103,967.5259105153468,849931.3141347535
122.19999999999732,56254.51613557042,44126.256507831116,1276.007328503534,1004.779316800538,849211.7859565098
