time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,inertia,fuel_percentage_consumed,control_force_parallel,aero_force_x,d_thrust_cg,drag,lift,control_force_y,speed_of_sound,gravity_force_y,CD,d_cp_cg,air_density,control_force_perpendicular,g_load_1_sec_window,alpha_effective,aero_force_y,control_force_x,mach_number_max,x_cog,CL,mach_number,ug,vg,atmospheric_pressure,mass_flow,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_x_component_lift,moment_dict_aero_moment_z,moment_dict_theta_dot_dot,moment_dict_M_wind_z,moment_dict_moments_z,moment_dict_control_moment_z
339.84999999994955,30401.853865840218,2760.2807884709496,-7.040607820131777,-308.75020381907115,1.547989410253951,0.0007238432494248618,4.689589358765825,-3.1415999485118737,1193542.332286667,849260.9632363378,0.4980145990848541,-0.003970818128436804,0.45382235073628696,44476.63751223204,393.86867736438535,23078968.916190155,0.800444890468548,22214396.46200681,31195.489626547984,8.082917317141737,1366843.9962560833,-9.921366402597696,22208610.07175368,329.50361036465955,-11694487.929494502,0.28584157621435885,-32.78431933082117,0.9311543758283073,0.0,0.9756695364882277,7.282717171985809e-06,1366487.9624887637,506999.8540647046,1.1339676219812496,4.9829173171417365,-2.074808111596216e-06,0.9380153586324331,0.0,0.0,72212.77058223248,6370.4091796875,0.4247858164304578,9.592469069509567e-07,18.60730823782761,9.951439895818956,0.0,0.0,-9.798134186903477,8.3103779145677e-06,0.02610785159070059,0.0,0.4508625497874078,1.8950630966333986e-07,1.0809593490997014,4.6837419514933195e-08,0.0,1.0809593490997014,0.0
339.94999999994945,30401.152634374375,2729.4686617655448,-6.995358182735329,-307.7439695400243,1.5480617990840388,0.0007239112818202635,4.6896617967254794,-3.141599997641441,1192901.3764761202,848620.0074257909,0.5010750889778137,0.002150197047740221,0.454337816983784,44327.64766311735,394.01448830804344,23077750.217226516,0.8005952409029641,22347965.532695998,30730.047834237514,8.083205272568604,1350741.7564790964,-9.681169496686328,22342181.212863263,329.6257151600154,-11688320.858015802,0.28342361671848393,-32.7840313753943,0.9340955321549131,0.0,0.983134214925682,7.3316297184433665e-06,1350392.1493218425,508431.0200490837,1.1317615718386618,4.983205272568604,-2.0313816905814797e-06,0.9346211571016104,0.0,0.0,72494.56183031031,6409.55810546875,0.426213792753773,9.489669223351198e-07,18.729277753759483,10.060404501324602,0.0,0.0,-9.798228997390868,8.113553653911473e-06,0.025732146754063604,0.0,0.45191384997292033,1.8442997933894894e-07,7.277035618979939,3.153269079733758e-07,0.0,7.277035618979939,0.0
340.04999999994936,30400.45593400328,2698.7578234957027,-6.9500105951948425,-306.72709743391084,1.5481341963276354,0.0007240049844837227,4.689734243937899,-3.1416000476102637,1192256.5922964327,847975.2232461034,0.5040679574012756,0.00813587661832571,0.4548515887435784,44174.5808911023,394.1597676599083,23076523.561332203,0.8007464958194297,22478480.96471679,30259.353977371695,8.083495095026555,1334305.8275302374,-9.43344509564293,22472699.827485222,329.74737612633373,-11682115.78471835,0.280945021220806,-32.78374155293635,0.9370341487582001,0.0,0.9913134309606665,7.381391161409567e-06,1333962.6730036389,509773.4250435655,1.1295686188725675,4.983495095026555,-1.9862608540699433e-06,0.9311982670676154,0.0,0.0,72776.3180361057,6447.841796875,0.42757022971177644,9.384355692645526e-07,18.848878649687347,10.1667111840378,0.0,0.0,-9.798323498649866,7.91023045139029e-06,0.02535172496060847,0.0,0.4528888987576404,1.7923485048282126e-07,13.624534386454153,5.90406711402747e-07,0.0,13.624534386454153,0.0
340.1499999999493,30399.763774012248,2668.14931924513,-6.904573223338382,-305.6998792514782,1.5482066044845528,0.0007241236496279215,4.6898067029017465,-3.141600098417194,1191608.0742910616,847326.7052407323,0.5069869160652161,0.013973779045045376,0.4553636485237549,44017.52465393815,394.3045110501737,23075289.113379553,0.8008986334799482,22605672.54087614,29782.30427871175,8.083786745302513,1317483.8741348148,-9.187488254817355,22599895.75168117,329.8685895778326,-11675873.631617678,0.27839285650560386,-32.783449902660394,0.9399700666659638,0.0,1.0001828456776303,7.431994898610128e-06,1317147.210087597,511021.563600654,1.127388760329284,4.983786745302513,-1.9413756400243898e-06,0.9277475806773519,0.0,0.0,73058.0229015824,6485.18017578125,0.4288503700385569,9.276148400738624e-07,18.96588000641638,10.270084516821418,0.0,0.0,-9.798417687429781,7.708193600060045e-06,0.024965639652431343,0.0,0.4537820010589633,1.740981620980684e-07,19.802684796411636,8.581771044822841e-07,0.0,19.802684796411636,0.0
340.2499999999492,30399.076162867765,2637.644165162645,-6.8590542744351115,-304.6626111540758,1.5482790260028396,0.0007242666194545011,4.689879176063876,-3.141600150061036,1190955.9165151827,846674.5474648534,0.5098323225975037,0.019664635881781578,0.45587397932482415,43856.5702137663,394.44871425224915,23074047.041671783,0.8010516317593688,22729552.047776487,29297.432449894124,8.084080183378147,1300207.0599001183,-8.9463629765609,22723780.752014052,329.9893519481824,-11669595.316103201,0.27575046289990546,-32.783156464584756,0.9429031287645048,0.0,1.0097204369814161,7.483436089028572e-06,1299876.9400008568,512176.3631563291,1.1252219912465324,4.984080183378146,-1.8973622034068605e-06,0.9242700182481484,0.0,0.0,73339.66026832498,6521.57763671875,0.43005484590478515,9.164549291010959e-07,19.080287050846824,10.370471202927234,0.0,0.0,-9.798511560569953,7.510014792429389e-06,0.024572643337752536,0.0,0.45459254333686566,1.690775210911343e-07,25.690633955986613,1.113399565736746e-06,0.0,25.690633955986613,0.0
340.3499999999491,30398.393119737386,2607.2438596607317,-6.813276550043742,-303.6073488699552,1.5483514642626275,0.0007244509440765923,4.6899516672095585,-3.1416002029469308,1190297.427989792,846016.0589394628,0.5147814750671387,0.02956293895840645,0.45638255607934874,43690.04243182044,394.5923707648476,23072793.527719893,0.8012059592792861,22950233.217824075,28799.80169926936,8.084376311050898,1282254.5642227498,-8.636068630745484,22944443.28736999,330.1096585822107,-11663254.46515345,0.2729795932211289,-32.78286033691201,0.9458331503764412,0.0,1.0207519308450768,7.536020369069973e-06,1281931.09758939,515487.13386271603,1.1230683260887377,4.984376311050898,-1.8385354730865444e-06,0.9207478934761234,0.0,0.0,73621.2112902472,6584.88525390625,0.4330742230816085,9.048027981948468e-07,19.276226889038323,10.551791089241002,0.0,0.0,-9.798605114060175,7.253560898184083e-06,0.02416869315308667,0.0,0.4572064565238342,1.6277773431986406e-07,33.66891167423375,1.459247300669664e-06,0.0,33.66891167423375,0.0
340.449999999949,30397.714679417608,2576.950607154971,-6.767099788138057,-302.5277184190222,1.5484239244156164,0.0007246919463319577,4.690024181812271,-3.1416002573966546,1189630.4215811007,845349.0525307714,0.5214404463768005,0.04288094863295555,0.45688934190893205,43515.96838435526,394.735470759224,23071524.136952322,0.8013621594573535,23243564.640975073,28282.321903681033,8.084676175480322,1263302.57319349,-8.272409135781363,23237738.47382995,330.2295018843148,-11656829.63906191,0.27002074012664895,-32.78256047248258,0.9487598736243419,0.0,1.0339438699348809,7.5900718696786384e-06,1262985.946783836,520392.0071158071,1.120927831564467,4.984676175480321,-1.7681607596409243e-06,0.9171604112561031,0.0,0.0,73902.65003422294,6670.06396484375,0.43744006346455927,8.924309736225564e-07,19.533577867776277,10.79365552579441,0.0,0.0,-9.798698341598545,6.952024937952474e-06,0.02374783950163897,0.0,0.461149464283499,1.5550656558216135e-07,43.14670756560909,1.8701281852681553e-06,0.0,43.14670756560909,0.0
340.5499999999489,30397.0408807983,2546.7668091642727,-6.7205391626197155,-301.4242382582341,1.5484964123212284,0.000724990250570104,4.690096725722924,-3.1416003134016957,1188954.9956167452,844673.6265664159,0.5280225276947021,0.056045059114694595,0.4573942966377708,43334.04376304459,394.87800348761874,23070237.94107403,0.8015203434247771,23533393.530373186,27733.851204527004,8.08497999540519,1242840.9405454628,-7.88288057490934,23527532.842288908,330.3488728083493,-11650321.790746931,0.26676246910354023,-32.78225665255771,0.9516830029940861,0.0,1.048491840585079,7.645653462340363e-06,1242531.4632054335,525175.5996115438,1.1188005995215242,4.984979995405189,-1.6919757124256307e-06,0.9135043523952178,0.0,0.0,74183.9468785608,6754.25927734375,0.4417119247975573,8.789755604761926e-07,19.788413294890525,11.031725502763555,0.0,0.0,-9.798791235746963,6.628444312473867e-06,0.023300656633675292,0.0,0.46497213039330315,1.4778745016206002e-07,53.08924407265432,2.301200542805618e-06,0.0,53.08924407265432,0.0
340.6499999999488,30396.371769426325,2516.6951818703774,-6.673480098753006,-300.29160653673597,1.5485689344913591,0.0007253589557527677,4.6901693057285545,-3.141600371237195,1188269.3030508272,843987.9340004979,0.5360485911369324,0.07209718227386475,0.4578973748259633,43143.16650585946,395.01995672988556,23068932.312504344,0.8016808308527066,23887343.64769981,27154.850513834866,8.085288390884413,1220879.1882660184,-7.394339891298156,23881433.40491876,330.467761650908,-11643712.810092587,0.263207989962822,-32.78194825707849,0.9546022243688836,0.0,1.0648107746810562,7.7030028053926e-06,1220577.1612189617,531342.7046029739,1.1166867325834173,4.9852883908844134,-1.5941375351435916e-06,0.9097680619071837,0.0,0.0,74465.07033418652,6856.92578125,0.44715680463913,8.644417167307217e-07,20.09766081106721,11.32291893405346,0.0,0.0,-9.798883788546826,6.221245136156715e-06,0.022827574638057003,0.0,0.4699414474848919,1.3825679673310246e-07,65.89486047683192,2.8564330409480678e-06,0.0,65.89486047683192,0.0
340.7499999999487,30395.70740286786,2486.739000230586,-6.625799011758023,-299.12406281992384,1.5486414988370731,0.0007258124452675463,4.690241930047893,-3.1416004312108203,1187571.3535879366,843289.9845376073,0.5456305742263794,0.09126117080450058,0.4583985216856669,42941.731849610085,395.1613156441712,23067603.481787473,0.8018440809097194,24310364.71880764,26552.95526863721,8.085602251543953,1197747.4139524621,-6.806758633783339,24304388.980746422,330.5861565594828,-11636983.18064301,0.2594323211650603,-32.78163439641895,0.9575171680451661,0.0,1.0835000917969257,7.762416116552373e-06,1197453.0505379508,538988.8997180905,1.1145863704742531,4.985602251543953,-1.474345234564467e-06,0.905934559842149,0.0,0.0,74745.98347346601,6979.49462890625,0.45385811815827015,8.490617922005641e-07,20.46562415581772,11.671814436330157,0.0,0.0,-9.798975990356206,5.730257261322848e-06,0.022334998001945043,0.0,0.4761471987413111,1.2692904924218533e-07,81.64774804123581,3.5394985051524326e-06,0.0,81.64774804123581,0.0
