time,x,y,z,vx,vy,vz,m
0.0,6351887.130535269,0.0,578067.013164929,0.0,463.1874552184475,0.0,26216.208366352817
0.003559239972852378,6351887.130550474,1.6485953055385845,578067.0131663127,0.008544097943391005,463.1874552195563,0.000777573825986489,26215.798892116287
0.03915163970137616,6351887.132375564,18.134548362661555,578067.013332409,0.09402225994005545,463.18745535268306,0.008556695964146368,26211.704149750974
0.13915163970137617,6351887.153799363,64.45329396148304,578067.0152821274,0.33454275724591465,463.18745691664293,0.030445775953328223,26200.199608341733
0.23915163970137618,6351887.199301935,110.77203980469943,578067.0194231858,0.5755978256128121,463.1874602418818,0.052383505720163294,26188.69506693249
0.3391516397013762,6351887.268936772,157.0907860688291,578067.0257604525,0.8171881981920961,463.18746533621146,0.0743699519866511,26177.19052552325
0.43915163970137616,6351887.3627574425,203.40953293117232,578067.0342988024,1.0593146093453139,463.18747220745973,0.09640518158492789,26165.685984114007
0.5391516397013761,6351887.480817586,249.72828056981308,578067.0450431171,1.3019777946440856,463.1874808634705,0.11848926145725518,26154.181442704765
0.6391516397013761,6351887.623170918,296.0470291636205,578067.0579982852,1.5451784908698167,463.1874913121038,0.1406222586559936,26142.676901295523
0.7391516397013761,6351887.789871226,342.36577889225043,578067.0731692016,1.7889174360135078,463.18750356123587,0.1628042403435855,26131.17235988628
0.8391516397013761,6351887.980972372,388.6845299361473,578067.0905607683,2.033195369275547,463.18751761875905,0.1850352737925362,26119.66781847704
0.939151639701376,6351888.196528291,435.00328247654556,578067.1101778937,2.2780130310654614,463.18753349258196,0.2073154263853912,26108.163277067797
1.039151639701376,6351888.436592994,481.3220366954712,578067.1320254931,2.5233711630016478,463.18755119062956,0.22964476561471178,26096.658735658555
1.1391516397013761,6351888.701220565,527.6407927757436,578067.1561084886,2.769270507911198,463.18757072084304,0.2520233590830592,26085.154194249313
1.2391516397013762,6351888.990465161,573.9595509009773,578067.1824318089,3.015711809829595,463.18759209117997,0.2744512745029667,26073.64965284007
1.3391516397013763,6351889.304381017,620.2783112555829,578067.2110003898,3.2626958140005007,463.1876153096143,0.29692857969692066,26062.14511143083
1.4391516397013764,6351889.6430224385,666.5970740247698,578067.2418191734,3.510223266875489,463.1876403841363,0.31945534259733593,26050.640570021587
1.5391516397013765,6351890.00644381,712.9158393945468,578067.2748931091,3.7582949161137478,463.1876673227527,0.34203163124652886,26039.136028612345
1.6391516397013766,6351890.394699587,759.2346075517244,578067.3102271528,4.006911510581878,463.1876961334869,0.36465751379669903,26027.631487203103
1.7391516397013767,6351890.807844302,805.5533786839161,578067.3478262672,4.256073800353543,463.1877268243786,0.3873330585098973,26016.12694579386
1.8391516397013767,6351891.245932561,851.8721529795405,578067.3876954222,4.505782536709281,463.18775940348416,0.41005833375800865,26004.62240438462
1.9391516397013768,6351891.709019049,898.1909306278225,578067.4298395939,4.756038472136134,463.18779387887645,0.43283340802271864,25993.117862975378
2.0391516397013767,6351892.197158521,944.5097118187949,578067.474263766,5.006842360327413,463.187830258645,0.45565834989549187,25981.613321566136
2.139151639701377,6351892.710405811,990.8284967433009,578067.5209729285,5.258194956182391,463.1878685508961,0.4785332280775439,25970.108780156894
2.239151639701377,6351893.248815827,1037.1472855929944,578067.5699720784,5.510097015806003,463.18790876375255,0.5014581113798144,25958.604238747652
2.339151639701377,6351893.812443554,1083.466078560343,578067.6212662199,5.762549296508549,463.18795090535394,0.5244330687229398,25947.09969733841
2.439151639701377,6351894.4013440525,1129.7848758386287,578067.6748603636,6.015552556805426,463.1879949838567,0.5474581691372289,25935.595155929168
2.539151639701377,6351895.015572458,1176.1036776219503,578067.7307595274,6.269107556416707,463.1880410074339,0.5705334817626244,25924.090614519926
2.6391516397013772,6351895.655183981,1222.4224841052244,578067.788968736,6.523215056266959,463.1880889842756,0.5936590758486868,25912.586073110684
2.7391516397013773,6351896.320233911,1268.7412954841877,578067.8494930209,6.777875818484819,463.1881389225887,0.6168350207545557,25901.081531701442
2.8391516397013774,6351897.010777612,1315.0601119553987,578067.9123374207,7.0330906064027525,463.18819083059685,0.6400613859489271,25889.5769902922
2.9391516397013775,6351897.726870526,1361.3789337162384,578067.977506981,7.288860184556651,463.1882447165408,0.663338241010018,25878.07244888296
3.0391516397013776,6351898.468568168,1407.6977609649134,578068.0450067542,7.545185318685547,463.1883005886782,0.6866656556255395,25866.567907473716
3.1391516397013777,6351899.235926134,1454.0165939004564,578068.1148417998,7.802066775731264,463.1883584552837,0.710043699592665,25855.063366064474
3.2391516397013778,6351900.029000093,1500.335432722729,578068.1870171842,8.059505323838055,463.1884183246491,0.7334724428179981,25843.558824655232
3.339151639701378,6351900.847845794,1546.654277632422,578068.2615379808,8.317501732352316,463.18848020508307,0.7569519553175456,25832.05428324599
3.439151639701378,6351901.69251906,1592.9731288310588,578068.3384092699,8.576056771822136,463.18854410491156,0.7804823072166771,25820.54974183675
3.539151639701378,6351902.563075795,1639.2919865209958,578068.4176361392,8.83517121399708,463.1886100324776,0.8040635687501049,25809.045200427507
3.639151639701378,6351903.459571976,1685.6108509054245,578068.499223683,9.09484583182771,463.18867799614134,0.8276958102618408,25797.540659018265
3.739151639701378,6351904.38206366,1731.9297221883735,578068.583177003,9.355081399465266,463.1887480042802,0.8513791022051668,25786.036117609023
3.8391516397013783,6351905.33060698,1778.2486005747096,578068.6695012075,9.615878692261328,463.188820065289,0.8751135151426043,25774.53157619978
3.9391516397013784,6351906.305258148,1824.5674862701405,578068.7582014124,9.87723848676743,463.18889418757954,0.8988991197458791,25763.02703479054
