time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],gimbalanglecommanded[deg],u0
100.29999999999858,13212.16194510661,41810.0853668838,524.7378937506106,1016.6281349004581,1.0378879010456938,-0.0061554915667591786,-0.05642034675535923,3838383.8044323777,-45.0,-1.0
100.39999999999857,13264.658237669422,41911.69022547794,524.9629256281119,1016.0485859414027,1.0372655221248412,-0.006223789208525712,-0.056635449371392976,3837904.1189802154,45.0,1.0
100.49999999999856,13317.179586422935,42013.23554535795,525.2134875351327,1015.453198800126,1.036693724170064,-0.005717979547772356,-0.05677347803053113,3837424.433528053,-37.49248397167101,-0.833166310481578
100.59999999999856,13369.728189343441,42114.719762786386,525.4860292050582,1014.8421742843701,1.036223858146241,-0.004698660238228509,-0.05678588996219402,3836944.748075891,-37.40325517455589,-0.8311834483234641
100.69999999999855,13422.305928913922,42216.14137159427,525.7773957048144,1014.2160880788119,1.0359015540419407,-0.0032230410430041843,-0.0566297085842673,3836465.0626237285,-37.21475871241489,-0.8269946380536642
100.79999999999855,13474.914409436147,42317.498950460365,526.0848052222585,1013.5757886609712,1.0357671136717723,-0.0013444037016845534,-0.05626710743541041,3835985.3771715662,-36.93704701216059,-0.820823266936902
100.89999999999854,13527.55499134025,42418.79118195301,526.405819041036,1012.9223149264436,1.0358559262558948,0.0008881258412258038,-0.055664985202639856,3835505.691719404,-36.579517487418755,-0.8128781663870834
100.99999999999854,13580.228822104536,42520.01686502373,526.738307642867,1012.2568307071955,1.036198885183355,0.0034295892746007807,-0.05479454924849959,3835026.0062672417,-36.1508634396057,-0.8033525208801267
101.09999999999853,13632.9368636742,42621.17492237071,527.0804156966333,1011.5805734697664,1.0368227916683046,0.006239064849495351,-0.053630918704725465,3834546.3208150794,-35.65906551141036,-0.7924236780313414
101.19999999999852,13685.679916453133,42722.26440384168,527.4305277893296,1010.8948147096529,1.0377507364180398,0.009279447497352013,-0.052152753587735745,3834066.635362917,-35.111410177228024,-0.780253559493956
