time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant
0.09935979255212624,-5.58274350860376e-06,0.043916028703612296,-5.618714940125238e-05,0.4419899395479618,1.5708033168267765,7.035070928038237e-05,1.5709234499352016,-0.00012013310842506897,6939484.65670682,4162665.3627881757
0.19871958510425247,-1.647079554993902e-05,0.13180898993031914,-0.00010958207300627324,0.8845928415218496,1.5708167985516264,0.00013568591986264919,1.570920205337998,-0.00010340678637166256,6936618.929917186,4159799.635998541
0.2980793776563787,-3.2959452315379495e-05,0.26374060130028143,-0.00016594898541872637,1.3278168963642734,1.5708361385421719,0.00019464604392577294,1.5709213056116365,-8.516706946459784e-05,6933753.132313846,4156933.8383952016
0.39743917020850494,-5.599738679102259e-05,0.4397730196554761,-0.00023186375377703118,1.7716665245938827,1.570860634998102,0.0002465429456016643,1.5709272000429004,-6.656504479840564e-05,6930887.256753461,4154067.9628348174
0.4967989627606312,-8.562846497843703e-05,0.659972055198888,-0.0002982200085801242,2.216178495218686,1.5708889409614528,0.0002848834787577587,1.5709308917712392,-4.195080978641741e-05,6928021.230767233,4151201.936848589
0.5961587553127574,-0.00012354731525009366,0.9244011127454427,-0.00038163173752364286,2.661328599371115,1.5709201485262283,0.0003140864526181921,1.57093972574796,-1.9577221731736927e-05,6925155.105127743,4148335.8112090994
0.6955185478648837,-0.00017180170183213236,1.233123787957818,-0.0004856530528354658,3.1071187578256363,1.5709533265623965,0.00033391813042202203,1.5709526301378756,6.964245209406528e-07,6922288.877791409,4145469.583872765
0.7948783404170099,-0.00023272531356475636,1.5862037078916695,-0.0006131616237087269,3.5535492865347758,1.5709875458868052,0.00034439810641474376,1.5709688758629359,1.867002386934935e-05,6919422.549958885,4142603.2560402397
0.8942381329691361,-0.0003088272329897443,1.983704496764119,-0.0007659226883456232,4.000620156930302,1.5710218872987578,0.00034562684835088214,1.5709877777822294,3.410951652838001e-05,6916556.123526846,4139736.829608201
0.9935979255212624,-0.0004022008614285985,2.425690792181661,-0.0009397526508508802,4.448341568201914,1.5710552594876452,0.00033587216750585307,1.5710075858950494,4.767359259583159e-05,6913689.579775962,4136870.285857317
1.0929577180733885,-0.0005147182300584874,2.912227469977263,-0.0011324235461830285,4.896715917964047,1.571086536696874,0.00031478738456845224,1.5710275886334364,5.8948063437647136e-05,6910822.915508778,4134003.6215901333
1.1923175106255148,-0.0006484172556694889,3.4433784674502976,-0.00134560491902054,5.345733760407981,1.5711147744226035,0.0002841967057707212,1.571048042452823,6.67319697804647e-05,6907956.152083958,4131136.858165313
1.2916773031776412,-0.0008048508247516713,4.019207890752502,-0.0015744152142841287,5.7953967949370675,1.571139005447658,0.000243871534269499,1.5710679932969949,7.101215066307454e-05,6905089.287695983,4128269.9937773393
1.3910370957297675,-0.00098473847065594,4.639780484072384,-0.0018104672049299607,6.245711443029804,1.5711581567558408,0.0001927470628804902,1.571086200441916,7.195631392487023e-05,6902222.311274404,4125403.0173557596
1.4903968882818939,-0.0011907557351032308,5.305155142725121,-0.0020734470066371153,6.6966188390909425,1.5711722093076443,0.0001414309696366616,1.571105952740497,6.625656714742689e-05,6899355.343094763,4122536.0491761193
1.5897566808340202,-0.0014249043651641876,6.015390707130235,-0.002356573258122671,7.148118430626852,1.5711811623276906,9.01070726522818e-05,1.5711260042051993,5.515812249123897e-05,6896488.385986681,4119669.0920680375
1.6891164733861466,-0.0016884649993327927,6.7705460657350045,-0.0026525884102499074,7.6002107010096545,1.5711850150407707,3.8775373630734235e-05,1.5711453418955164,3.9673145254326414e-05,6893621.4406957505,4116802.1467771064
