time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],masspropellant[kg],u0,u1,u2,u3
379.81000000001785,13678.41626579683,43413.708954991744,-59.990645442708185,-1277.991960738756,1.3556833181269174,-0.0073321626588971085,-3.309798762570459,4.665482080697377,402365.8231489984,129314.09566787789,-1.0,-0.3585291344676079,0.0,0.0
379.82000000001784,13677.816858661432,43400.9303128388,-59.94071353987107,-1277.8642152947084,1.35561001050437,-0.007330762254749669,-3.3099063765248697,4.66551638702924,402340.1865146541,129288.45903353361,-1.0,-0.9316355933944578,0.0,0.0
379.83000000001783,13677.218291625539,43388.15445069826,-59.85670358926508,-1277.5862140537113,1.3555367384091621,-0.0073272095207931745,-3.310035076687602,4.665571815096764,402297.3278993197,129245.60041819925,-1.0,-0.7490752587636962,0.0,0.0
379.8400000000178,13676.62046389973,43375.380891572044,-59.782772580896044,-1277.3559126219093,1.355463507501637,-0.007323090752517312,-3.3101576305083165,4.6656211380099535,402259.92296131136,129208.19548019092,-1.0,-0.8068818749168714,0.0,0.0
379.8500000000178,13676.023416055592,43362.60978724949,-59.704784413806074,-1277.110432255823,1.3553903303291104,-0.007317717252652963,-3.3102827640496626,4.665673094378773,402220.766733125,129169.03925200456,-1.0,-0.7883120986982248,0.0,0.0
379.8600000000178,13675.427143383102,43349.84109005718,-59.62726724907184,-1276.869719230349,1.3553172164978757,-0.007311383123466298,-3.3104076603819914,4.665724876879867,402182.14546447864,129130.41798335817,-1.0,-0.7939765896971949,0.0,0.0
379.8700000000178,13674.831655563317,43337.07481551329,-59.54878197841008,-1276.6274543891213,1.355244176609107,-0.0073039888768753804,-3.310533202656422,4.665777379265529,402143.3346621187,129091.60718099821,-1.0,-0.7919599352338992,0.0,0.0
379.8800000000178,13674.236957618064,43324.3109591423,-59.4697945252113,-1276.3856370990804,1.355171220757,-0.0072955852107116125,-3.3106590899726562,4.665830310729656,402104.56365487,129052.83617374954,-1.0,-0.7923733277042629,0.0,0.0
379.8900000000178,13673.643055983646,43311.549522786,-59.39016344179976,-1276.1436356297959,1.3550983590853523,-0.007286167164759182,-3.3107853999930397,4.665883759078392,402065.7599959582,129014.0325148377,-1.0,-0.7920177160991443,0.0,0.0
379.90000000001777,13673.049956577945,43298.790506292455,-59.30994057007852,-1275.9016493548427,1.3550256015878184,-0.007275749753378001,-3.3109120897525486,4.665937691340367,402026.94659370463,128975.21911258415,-1.0,-0.7919039967731806,0.0,0.0
