time,y,v,a,m,tau
0.1,43557.022567199354,1279.6529600576762,-3.0531133177191805e-16,402331.9806848568,0.11835352516045752
0.2,43684.988325364866,1279.6575816551142,0.046215974380123676,402217.90173117834,0.11891016619766057
0.30000000000000004,43812.95500736277,1279.666819979052,0.09238323937677191,402103.2902690128,0.1194652262736485
0.4,43940.92307437879,1279.6806701602625,0.13850181210539003,401988.1478057328,0.1200187151402295
0.5,44068.89298711192,1279.6991273312306,0.1845717096814208,401872.4758395862,0.12057064230856607
0.6,44196.865205774535,1279.7221866261525,0.23059294922031176,401756.27585992095,0.12112101705542021
0.7,44324.840190092626,1279.7498431809363,0.2765655478375058,401639.54934740433,0.12166984842923115
0.7999999999999999,44452.81839930594,1279.782092133201,0.32248952264844827,401522.297774236,0.12221714525603053
0.8999999999999999,44580.80029216817,1279.818928622278,0.3683648907685825,401404.5226043562,0.12276291614519931
0.9999999999999999,44708.78632694709,1279.8603477892093,0.4141916693133566,401286.22529364796,0.12330716949507138
1.0999999999999999,44836.776961424766,1279.9063447767492,0.4599698753982168,401167.40729013446,0.12384991349838775
1.2,44964.7726528977,1279.956914729363,0.5056995261386046,401048.0700341711,0.12439115614760585
1.3,45092.773858177025,1280.012052793228,0.5513806386499599,400928.2149586328,0.12493090524006786
1.4000000000000001,45220.781033588646,1280.0717541162326,0.5970132300477371,400807.8434890962,0.12546916838303243
1.5000000000000002,45348.79463497344,1280.1360138479772,0.642597317447374,400686.9570440176,0.1260059529985728
1.6000000000000003,45476.815117687416,1280.2048271397737,0.6881329179643213,400565.55703490577,0.12654126632834622
1.7000000000000004,45604.84293660188,1280.278189144645,0.7336200487140176,400443.64486649056,0.12707511543823707
1.8000000000000005,45732.87854610362,1280.3560950173262,0.7790587268119121,400321.2219368875,0.12760750722287836
1.9000000000000006,45860.92240009504,1280.4385399142636,0.8244489693734509,400198.2896377575,0.12813844841005403
2.0000000000000004,45988.9749519944,1280.525518993615,0.8697907935140702,400074.8493544632,0.1286679455649861
2.1000000000000005,46117.03665473593,1280.6170274152498,0.9150842163492259,399950.90246622055,0.12919600509450951
2.2000000000000006,46245.10796077,1280.7130603407493,0.9603292549943545,399826.450346247,0.12972263325113767
2.3000000000000007,46373.18932206334,1280.8136129334057,1.005525926564906,399701.49436190585,0.1302478361370223
2.400000000000001,46501.281190099166,1280.9186803582234,1.0506742481763258,399576.03587484674,0.1307716197078097
2.500000000000001,46629.38401587736,1281.0282577819178,1.0957742369440526,399450.0762411425,0.13129398977639706
2.600000000000001,46757.49824991465,1281.1423403729161,1.140825909983537,399323.6168114228,0.13181495201659116
2.700000000000001,46885.62434224479,1281.2609233013573,1.1858292844102236,399196.65893100394,0.13233451196667204
2.800000000000001,47013.762742418694,1281.3840017390912,1.2307843773395513,399069.20394001564,0.1328526750328647
2.9000000000000012,47141.91389950466,1281.51157085968,1.2756912058869683,398941.2531735246,0.13336944649272098
3.0000000000000013,47270.0782620885,1281.6436258383967,1.3205497871679273,398812.80796165456,0.13388483149841449
3.1000000000000014,47398.25627827372,1281.7801618522265,1.3653601382978668,398683.8696297037,0.13439883507994985
3.2000000000000015,47526.448395681706,1281.9211740798658,1.410122276392222,398554.4399002138,0.1349110431704822
3.3000000000000016,47654.65506145188,1282.0666577017223,1.454836218566444,398424.52071186854,0.13542123047461976
3.4000000000000017,47782.87672224187,1282.216607899916,1.499501981935991,398294.113324858,0.13593010422001242
3.5000000000000018,47911.113824227694,1282.3710198582776,1.5441195836162975,398163.2189967632,0.13643766712619546
3.600000000000002,48039.36681310393,1282.5298887623499,1.5886890407228023,398031.83898260456,0.13694392186203613
3.700000000000002,48167.63613408387,1282.693209799387,1.6332103703709573,397899.9745348899,0.13744887104681422
3.800000000000002,48295.922231899705,1282.8609781583546,1.6776835896762061,397767.62690366065,0.13795251725128163
3.900000000000002,48424.2255508027,1283.0331890299299,1.7221087157539905,397634.7973365374,0.13845486299870155
4.000000000000002,48552.54653456335,1283.2098376065019,1.7664857657197532,397501.48707876465,0.13895591076586752
4.100000000000001,48680.885626471565,1283.3909190821707,1.8108147566889594,397367.69737325434,0.13945566298410314
4.200000000000001,48809.24326933684,1283.5764286527485,1.8550957057770379,397233.4294606286,0.1399541220402412
4.300000000000001,48937.61990548841,1283.7663615157585,1.899328630099413,397098.68457926135,0.14045129027758538
4.4,49066.01597677546,1283.9607128704356,1.943513546771571,396963.4639653194,0.14094716999685328
4.5,49194.43192456723,1284.1594779177265,1.9876504729089273,396827.7688528022,0.14144176345709938
4.6,49322.86818975326,1284.3626518602891,2.0317394256269448,396691.6004735811,0.1419350728766227
4.699999999999999,49451.32521274351,1284.5702299024933,2.0757804220410496,396554.9600574375,0.14242710043385487
4.799999999999999,49579.80343346855,1284.78220725042,2.119773479266708,396417.8488321002,0.14291784826823284
4.899999999999999,49708.303291379736,1284.998579111862,2.163718614419348,396280.26802328223,0.1434073184810531
4.999999999999998,49836.82522544937,1285.2193406963233,2.2076158446144043,396142.21885471634,0.1438955131363104
5.099999999999998,49965.36967417087,1285.44448721502,2.251465186967354,396003.7025481902,0.14438243426152103
5.1999999999999975,50093.937075558955,1285.6740138808793,2.2952666585936172,395864.7203235806,0.14486808384852776
5.299999999999997,50222.52786714981,1285.9079159085402,2.3390202766086317,395725.27339888684,0.14535246385429204
5.399999999999997,50351.14248600124,1286.146188514353,2.382726058127886,395585.3629902635,0.14583557620167012
5.4999999999999964,50479.78136869288,1286.3888269163797,2.4263840202667986,395444.99031205237,0.14631742278017243
