time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg]
449.7000000000337,26080.495599792062,40290.773198858806,-18.22779594898162,-1637.8219710654055,1.5637732396589805,-0.03219000055601298,4.701260149684346,-3.1374869100253657,972964.5433917766,526129.8993780651
449.8000000000337,26078.691827874976,40127.449829286685,-18.037719170847787,-1633.2336957212015,1.5603125428719813,-0.034606967869992414,4.701345254128403,-3.1410327112564214,971449.7607990032,524615.1167852917
449.90000000003374,26076.895521942068,39964.588833343805,-17.9630593290926,-1628.6099594287919,1.5568262703220375,-0.034862725499437204,4.701359739864461,-3.1445334695424236,969936.0441241985,523101.400110487
450.00000000003376,26075.09790875013,39802.18931537895,-17.976131919401947,-1623.995179648559,1.5534848927401423,-0.033413775818951115,4.701320352825753,-3.14783546008561,968423.4147296672,521588.77071595576
450.1000000000338,26073.282479752022,39640.248175126246,-18.154289981069404,-1619.4114025270535,1.550578678320662,-0.029062144194802263,4.701179025023795,-3.150600346703133,966911.8836017376,520077.2395880261
450.2000000000338,26071.436210364525,39478.76319638832,-18.462693874979394,-1614.8497873793115,1.5483372596693716,-0.022414186512903857,4.700956406512384,-3.152619146843013,965401.4559894329,518566.8119757214
450.30000000003383,26069.549042490613,39317.73262827309,-18.871678739142023,-1610.3056811523163,1.5469363378509633,-0.014009218184083313,4.700670202347032,-3.153733864496069,963892.1395831829,517057.4955694714
450.40000000003386,26067.614794066958,39157.155539500935,-19.342484236543868,-1605.7708877215227,1.5464825575473684,-0.004537803035949375,4.700343956430104,-3.1538613988827358,962383.9429279094,515549.29891419795
450.5000000000339,26065.631841433013,38997.03201155002,-19.829526339469027,-1601.2352795090983,1.5470026434202426,0.005200858728742402,4.700005720412985,-3.153003076992743,960876.877132011,514042.2331182995
450.6000000000339,26063.6034101226,38837.3631971825,-20.284313104120656,-1596.6881436752187,1.5484393428630643,0.014366994428216054,4.699685671944545,-3.1512463290814807,959370.9553790813,512536.3113653698
450.7000000000339,26061.537417797113,38678.15123713933,-20.659923254858413,-1592.1196004316569,1.550654969946226,0.022156270831616382,4.699413344790276,-3.14875837484405,957866.1942706829,511031.5502569714
450.80000000003395,26059.44589149317,38519.39900205165,-20.915263039407577,-1587.5223508768534,1.5534420949327463,0.027871249865203365,4.699214959223859,-3.1457728642911125,956362.6128497844,509527.96883607295
450.90000000003397,26057.344836804874,38361.10975375912,-21.010546882975714,-1582.892482925341,1.556527686715259,0.030855917825127522,4.699116244985889,-3.1425885582706305,954860.2327228313,508025.5887091198
451.000000000034,26055.248062617742,38203.28729950414,-20.96774187132247,-1578.2245425498145,1.5596714699330632,0.03143783217804039,4.699104110092275,-3.139432640159212,953359.0768390422,506524.43282533076
451.100000000034,26053.165839319336,38045.93108374392,-20.822232984072826,-1573.5621576022058,1.5626874884531392,0.030160185200759852,4.699157207057533,-3.136469718604394,951859.1702228313,505024.5262091198
451.20000000003404,26051.11499120249,37889.03710980027,-20.508481168468876,-1568.9397394364366,1.5652907657626602,0.02603277309520962,4.699318170392096,-3.1340274046294354,950360.5263019329,503525.8822882214
451.30000000003406,26049.110153373924,37732.60265766064,-20.048378285650994,-1564.3445213963705,1.5672355217715868,0.019447560089265906,4.699573848870852,-3.132338327099265,948863.1489825969,502028.50496888545
451.4000000000341,26047.161859297576,37576.62568218806,-19.48294076347745,-1559.7697547257646,1.5683459448041857,0.011104230325989105,4.699898721781847,-3.131552776977661,947367.0441241985,500532.400110487
451.5000000000341,26045.275668778893,37421.10525077195,-18.861905186804805,-1555.2043141610782,1.5685302682489242,0.001843234447384788,4.700261325986068,-3.1317310577371433,945872.2205158,499037.5765020886
451.60000000003413,26043.451482478187,37266.04176348742,-18.24186300706398,-1550.6348728453236,1.567791153888045,-0.007391143608793031,4.700625397692861,-3.1328342438048162,944378.6901202922,497544.04610658076
451.70000000003415,26041.68344210123,37111.43694996877,-17.680403769550402,-1546.048135186516,1.5662263676204713,-0.015647862675736608,4.700953609981118,-3.134727242360647,942886.4690509563,496051.8250372448
451.8000000000342,26039.960428262326,36957.29362613086,-17.230138389046186,-1541.4332383791336,1.5640196985093155,-0.022066691111558477,4.701211447428938,-3.137191748919623,941395.5772052532,494560.9331915417
451.9000000000342,26038.266438936513,36803.615298409466,-16.939893258140994,-1536.783277213872,1.5614330825789526,-0.02586615930362805,4.701366471575318,-3.139933388996365,939906.038875175,493071.3948614636
452.0000000000342,26036.585360331286,36650.40666626821,-16.81078605225142,-1532.0863214126045,1.5587322261896048,-0.02700856389347794,4.701416941003201,-3.142684714813596,938417.88067205,491583.2366583386
452.10000000003424,26034.906021119416,36497.66862452528,-16.793392118719375,-1527.3804174292977,1.5561078703546039,-0.026243558350009803,4.701394525256912,-3.1452866549023084,936931.1327472454,490096.4887335339
452.20000000003427,26033.214596801274,36345.39797735367,-16.914243181434408,-1522.7064717160981,1.553787785320032,-0.023200850345720243,4.701281424282561,-3.147493638962529,935445.8148761516,488611.17086244014
452.3000000000343,26031.493356181254,36193.591785940174,-17.212406200199684,-1518.061914134929,1.5520538486697817,-0.017339366502503076,4.701051057675037,-3.1489972090052554,933961.933406425,487127.2893927136
452.4000000000343,26029.730788063414,36042.248212452505,-17.625681178396807,-1513.4357348766946,1.5510891505690283,-0.009646981007532886,4.700743369034839,-3.1496542184658107,932479.4960284954,485644.8520147839
452.50000000003433,26027.921261325846,35891.366453288836,-18.095267375685445,-1508.8175916367213,1.5509825103992647,-0.0010664016976359523,4.7003965434000445,-3.14941403300078,930998.5131183391,484163.86910462764
452.60000000003436,26026.065660090328,35740.94697334409,-18.556012355176303,-1504.194799447448,1.5517193517783974,0.0073684137913265675,4.700053429726251,-3.1483340779478532,929518.9989581829,482684.3549444714
452.7000000000344,26024.17133693895,35590.99144234524,-18.943231513750405,-1499.555309988515,1.5531833988708843,0.01464047092487029,4.69975708623612,-3.146573687365236,928040.9790607219,481206.33504701045
452.8000000000344,26022.25156807226,35441.50238829874,-19.19768866688949,-1494.8905404650518,1.5551663368962054,0.019829380253211765,4.69954748271198,-3.144381145815774,926564.4992023235,479729.855188612
452.9000000000344,26020.325588851887,35292.484220633225,-19.25979220373105,-1490.1816766551221,1.5573699244903132,0.022035875941078482,4.699465240805069,-3.142095316314756,925089.5862384563,478254.9422247448
453.00000000003445,26018.40473354366,35143.93923801813,-19.208553082276538,-1485.4498261509752,1.5596104313184695,0.022405068281564522,4.699458565500595,-3.139848134182125,923616.3306232219,476781.68660951045
453.10000000003447,26016.5000990019,34995.86658070921,-19.046345417598594,-1480.7265730891777,1.5617077000424464,0.02097268723976855,4.699526852125769,-3.1378191520833223,922144.7765460735,475310.132532362
453.2000000000345,26014.62629599571,34848.262281290896,-18.738030061899444,-1476.0429941831387,1.563432512986407,0.017248129439607268,4.699694889736068,-3.136262376749661,920674.9418292766,473840.29781556514
453.3000000000345,26012.798858165504,34701.123352531475,-18.274378302063596,-1471.389287594193,1.564547039176782,0.011145261903748892,4.699969806937572,-3.13542276776079,919206.8325763469,472372.18856263545
453.40000000003454,26011.025907374475,34554.44837064413,-17.72950791031308,-1466.749818873431,1.5649269092754958,0.003798700987138387,4.700301953497698,-3.1353750442222026,917740.4579425579,470905.8139288464
453.50000000003456,26009.308641182542,34408.23725051334,-17.17266191933067,-1462.1112013079169,1.5645540648530691,-0.003728444224266933,4.7006444069717315,-3.1360903421186626,916275.8336749797,469441.18966126826
453.6000000000346,26007.641257458625,34262.49126301116,-16.673837239173984,-1457.4598750218156,1.5635170024793015,-0.010370623737675552,4.700949138952092,-3.137432136472791,914812.9804034954,467978.3363897839
453.7000000000346,26006.01094238793,34117.21290887717,-16.303150706963496,-1452.7835413399055,1.5620093152168344,-0.015076872624671767,4.701167441921564,-3.1391581267047295,913351.9241290813,466517.2801153698
453.80000000003463,26004.40139028314,33972.40681635394,-16.095521047888088,-1448.0609252322809,1.5602772815669896,-0.01732033649844681,4.701274214452514,-3.1409969328855247,911892.6962238079,465058.0522100964
453.90000000003465,26002.801547400355,33828.07534899417,-15.998428827847455,-1443.3146735976854,1.5584928023249334,-0.017844792420561653,4.701304929244313,-3.1428121269193796,910435.3374591594,463600.69344544795
454.0000000000347,26001.200564846156,33684.218230566694,-16.009825541991727,-1438.571184274783,1.556823909888327,-0.01668892436606496,4.7012604628632,-3.144436552974873,908979.8800616985,462145.236047987
454.1000000000347,25999.58822207984,33540.833076480754,-16.123427663164666,-1433.8515408593653,1.5554273828738794,-0.013965270144476176,4.701144616744309,-3.14571723387043,907526.3456378704,460691.7016241589
454.2000000000347,25997.948818397403,33397.91624537545,-16.394036824376066,-1429.1683110530612,1.5545335791151191,-0.008938037587601783,4.700918450506034,-3.146384871390915,906074.7472491985,459240.103235487
454.30000000003474,25996.273955488195,33255.46643954901,-16.748629092071816,-1424.4980582643684,1.5542654868781942,-0.0026809223692501423,4.7006319567228,-3.146366469844606,904625.0925861126,457790.4485724011
454.40000000003477,25994.563175657673,33113.483625924426,-17.107798305209954,-1419.8281362458652,1.5546296872165646,0.003642003383702925,4.700340359838046,-3.1457106726214814,903177.3991046672,456342.75509095576
454.5000000000348,25992.823813869243,32971.96899677437,-17.3936178843002,-1415.1462915005995,1.5555194396302385,0.00889752413673849,4.700098560527991,-3.1445791208977525,901731.6892658,454897.0452520886
454.6000000000348,25991.070573845896,32830.92594039026,-17.53240023346025,-1410.4305638410494,1.55672260497174,0.012031653415013922,4.699959090007744,-3.143236485036004,900287.9917560344,453453.34774232295
454.70000000003483,25989.31279148639,32690.356994760863,-17.57782359505169,-1405.6894562939926,1.558099974813127,0.013773698413870179,4.699884861931088,-3.1417848871179612,898846.3450275188,452011.7010138073
454.80000000003486,25987.561484544218,32550.26312109648,-17.513069421715283,-1400.9387366438505,1.5594882321963397,0.013882573832127048,4.6998886784292555,-3.140400446232916,897406.7846027141,450572.14058900264
454.9000000000349,25985.8261089223,32410.643789200087,-17.35375621915702,-1396.1933189639287,1.5607462105717256,0.012579783753859925,4.6999602841468935,-3.139214073575168,895969.3394122844,449134.69539857295
455.0000000000349,25984.115696613346,32271.496763064006,-17.10412308956952,-1391.4702613608224,1.5617402322128724,0.009940216411467308,4.700097476795902,-3.1383572445830294,894534.0317950969,447699.38778138545
455.1000000000349,25982.43870705766,32132.81956670526,-16.769895556846976,-1386.7719635874487,1.562347365041947,0.006071328290746078,4.700296813379828,-3.1379494483378814,893100.8759113079,446266.2318975964
455.20000000003495,25980.801786990316,31994.610277477386,-16.369200673451022,-1382.0928922787439,1.5624732588513492,0.001258938094021265,4.700545756653193,-3.1380724978018444,891669.8853107219,444835.24129701045
455.30000000003497,25979.20339616337,31856.86936799839,-15.983908269436535,-1377.4090947899615,1.562139440350888,-0.0033381850046125122,4.700785172248755,-3.1386457318978667,890241.0758624797,443406.43184876826
