step,state_mean,state_min,state_max,state_std,state_kurtosis,action_mean,action_min,action_max,action_std,action_kurtosis,reward_mean,reward_min,reward_max,reward_std,reward_kurtosis,critic_loss,actor_loss,alpha_loss,alpha_value,q_value_mean,q_value_min,q_value_max,q_value_std,log_prob_mean,log_prob_min,log_prob_max,log_prob_std,target_q_mean,target_q_min,target_q_max,target_q_std
4.5,1.60739541,1.4324773799999997,1.7715124799999997,0.09067202109999999,-0.8818907490000001,0.4300629880000001,-0.9391439370000001,0.9975634299999999,0.554665934,-0.44226975490000003,0.0891555435,-1.49859017,0.22897056800000004,0.151808895,62.73551560000001,1.661450031399727,0.5621563337743283,-2.567039680480957,0.19966979063612494,-0.6807101595,-0.7179261670000001,-0.6364380437,0.019274227300000002,-0.593621501,-2.15247618,0.07713611259999999,0.41010754299999996,0.00943407136,-1.548522544,0.308836519,0.18034439900000004
14.5,1.6076865400000002,1.4331510199999997,1.7708600200000002,0.09002077149999999,-0.8772646080000002,0.41063354700000004,-0.938224651,0.9975634299999999,0.5702606109999999,-0.49342414770000004,0.0908393981,-1.239703619,0.22925791000000006,0.1388814726,47.779474949999994,0.08516421541571617,-0.06956742675974965,-2.661520218849182,0.19906699645631593,-0.0597098405,-0.0905686812,-0.0347546331,0.0163449462,-0.649215982,-1.6110639159999998,-0.15881367880000002,0.2609695590000001,0.08001018709999999,-1.2394184940000001,0.363076952,0.1533925215
24.5,1.6085034099999997,1.4322068699999997,1.77167217,0.09010491490000001,-0.9601708600000001,0.397979329,-0.934501423,0.9977535699999999,0.5761170270000001,-0.616544887,0.09191111360000001,-1.53788284,0.22839478000000005,0.16744742,66.91161989999999,0.08124177120625972,-0.15266482830047606,-2.712558627128601,0.19846406129792957,0.018123426999999998,0.0034000869999999996,0.0312397105,0.00778568273,-0.6776902359999999,-1.3178957450000002,-0.32640498000000007,0.15670668940000002,0.1258294845,-1.4953455239999998,0.362386174,0.172478283
34.5,1.6088297900000001,1.4323278699999995,1.77163261,0.0922482499,-1.018836318,0.36907847899999996,-0.9414390099999999,0.9980327979999999,0.59480875,-0.7651789650000002,0.0915065105,-1.53788284,0.22897056799999999,0.157590375,64.27089790000001,0.06062673144042492,-0.2213897868990898,-2.715113568305969,0.1978615302861987,0.087570768,0.0698540175,0.1038856035,0.008448503940000001,-0.676117839,-1.5465386300000001,-0.376779687,0.152525994,0.15880121000000003,-1.4673871520000001,0.406976502,0.160578746
44.5,1.60961282,1.4327391799999998,1.7713730599999997,0.0930470025,-1.05602982,0.38371713400000007,-0.9391866729999998,0.99737329,0.5755264619999999,-0.6098973050000001,0.07920594950000001,-1.7388912250000002,0.22882643700000002,0.21546522,48.08285879999999,0.1003306481987238,-0.2967949002981186,-2.7200167417526244,0.19726130136913103,0.163405607,0.131586782,0.196315933,0.0176488728,-0.675999581,-1.72344847,-0.29113874900000003,0.20506543439999997,0.164793068,-1.6624187400000001,0.39140685799999997,0.21831038500000002
54.5,1.6097318399999998,1.4333110699999998,1.77097244,0.0955337752,-1.1417903,0.368148845,-0.9450275399999999,0.9984130779999998,0.585131718,-0.711925336,0.0849093759,-1.6854233630000004,0.22911433100000003,0.18026710800000004,58.73720352999999,0.07272744923830032,-0.340073835849762,-2.7341012954711914,0.19666377465863047,0.206000723,0.169770937,0.24381424899999998,0.0189698981,-0.6815327099999999,-1.79694992,-0.2423356183,0.20855913799999998,0.196380164,-1.5846211940000003,0.46171839200000003,0.184306099
64.5,1.61014999,1.43259846,1.7714729200000001,0.0961067654,-1.15682317,0.34649268699999997,-0.9446106329999999,0.996679065,0.593842165,-0.885468217,0.07698649989999999,-1.6095229449999997,0.22882645199999999,0.19417818999999997,48.7962364,0.08589441925287247,-0.3438330560922623,-2.718347191810608,0.1960685664142946,0.21267435500000004,0.18272011100000002,0.24442597,0.0156954024,-0.668735933,-1.45164853,-0.33086796,0.15981935899999997,0.213690754,-1.47936511,0.531461319,0.19766651500000001
74.5,1.61041944,1.4334678899999997,1.7708342299999997,0.09502785049999998,-1.1129317539999999,0.34564502999999996,-0.940736956,0.997281664,0.59582342,-0.875859116,0.07847752919999999,-1.5187402650000001,0.22868267400000003,0.18163832739999997,46.8739735,0.07458196356892585,-0.3686785280704498,-2.747689938545227,0.1954767623744696,0.235006173,0.201801596,0.268314876,0.0162395953,-0.683621133,-1.34183354,-0.302074301,0.17160016900000002,0.23764513599999998,-1.3789831870000002,0.42937467199999996,0.184310262
84.5,1.61147995,1.43375883,1.77061448,0.0951539914,-1.14998726,0.31034848400000004,-0.9364319569999999,0.9994023399999998,0.60518041,-1.094504367,0.0775538531,-1.7391431050000001,0.228394979,0.19793420499999997,57.5890259,0.08713506478816271,-0.3903725117444992,-2.7427378416061403,0.19488636992565428,0.258301707,0.23034505000000002,0.285584262,0.0119229496,-0.677477259,-1.7091994499999998,-0.384952223,0.160526223,0.256485148,-1.574694939,0.45731425200000003,0.19994390450000005
94.5,1.6119038500000002,1.43221524,1.7716719399999998,0.09609669030000001,-1.1234474700000001,0.33528123200000004,-0.9465778229999999,0.9984130779999999,0.5949178210000001,-0.9457612,0.0710351856,-1.84740234,0.22695544800000006,0.212289809,64.4592237,0.1013911796733737,-0.40260264873504636,-2.7543403625488283,0.19429803230882847,0.270154505,0.246822183,0.290285515,0.00911981276,-0.681466439,-1.80802971,-0.444328112,0.1375815585,0.269410382,-1.662528262,0.5341308130000001,0.21348672800000004
