time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,aero_force_y,vg,fuel_percentage_consumed,alpha_effective,control_force_y,control_force_parallel,control_force_perpendicular,mach_number,gravity_force_y,CD,d_thrust_cg,mach_number_max,d_cp_cg,CL,drag,mass_flow,air_density,inertia,speed_of_sound,aero_force_x,ug,atmospheric_pressure,x_cog,lift,g_load_1_sec_window,control_force_x,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component,moment_dict_moments_z,moment_dict_control_moment_z,moment_dict_M_wind_z,moment_dict_theta_dot_dot,moment_dict_aero_moment_z
367.949999999924,30435.49794994834,2592.5688235847188,0.0003371109613315162,-12.44684635114252,1.5707863832941238,-1.8953074086089663e-05,4.71241606443086,-3.1416296811367364,1009977.6389196627,665696.2698693334,0.25583261251449585,-0.4883347451686859,0.45662805960626557,73.86371778028023,394.6616993622931,1137.6396128972258,0.0,0.8435881151202431,3.626346800889024e-05,11378308.943279969,11378308.943790141,0.0,0.037806381272869116,-9896440.234674968,0.14325571382195823,8.171198417773795,1.1215178922938553,-32.69603823018911,0.00018506716546351498,1137.639652683831,3272.511474609375,0.9479516157297451,22702654.5162556,330.1964380300043,-1.500159506597685,0.0,73824.90614719075,5.071198417773794,1.4696778245282296,0.1545224622048399,107.74887546428636,0.0,-9.798672617406499,3.941158746101443e-11,0.0,0.00010519055663293584,1.1152730398031586e-09,11.26590184259024,0.00010668441687435923,-1.455158775159868e-06,-3.05074921335611e-08,0.0,1.4674430192845325,49.401509487314975,0.0,0.0,2.1760234888806687e-06,49.401509487314975
368.0499999999239,30435.497984345147,2591.333232083508,0.00034819664208574953,-12.301311829644753,1.570784555543015,-1.765954218925335e-05,4.712417286035893,-3.141632730492878,1009650.8036535494,665369.4346032201,0.2555074691772461,-0.4889850318431854,0.45664873022470936,72.1574939203284,394.6675360690888,1111.3156481256651,0.0,0.8436649232700209,3.93203397806019e-05,11363784.350485396,11363784.351214744,0.0,0.03736426055108774,-9893241.530025905,0.1432499666121144,8.171366022587412,1.121430463493281,-32.69587062537549,0.0017202824596954658,1111.3160221160906,3268.3525390625,0.9480713043206309,22701934.76292383,330.20133576656525,-13.376850912636797,0.0,73836.41764934175,5.071366022587412,13.345744541787372,0.1533885320922883,128.748987192049,0.0,-9.79867642775696,3.7414915001399355e-10,0.0,0.00011426009844644981,1.0901724055129748e-09,11.255162982453044,0.0001275183327999685,-1.3218178491165195e-05,-3.115584475395494e-08,0.0,1.456676376850595,437.7794586387838,0.0,0.0,1.9283795113082303e-05,437.7794586387838
368.1499999999238,30435.498019903793,2590.1121273008052,0.00036011679059059517,-12.156845124441846,1.570782960495392,-1.4730267633730136e-05,4.712418602937811,-3.141635642442419,1009324.3814733736,665043.0124230443,0.255184531211853,-0.48963093757629395,0.456669158490053,70.48326055941513,394.67330426071607,1085.5487500992383,0.0,0.8437416342082233,4.228256375693462e-05,11349357.787540285,11349357.788499016,0.0,0.036925399673975165,-9890046.825543785,0.1432524391504014,8.171533453485647,1.1213440678380329,-32.695703194477254,0.0032078810405968827,1085.549462440087,3264.2216796875,0.9481896025661104,22701215.7358825,330.20617607310083,-24.34071994997203,0.0,73847.7957653232,5.071533453485648,24.308930164432283,0.15226296555021507,147.51943843863162,0.0,-9.798680193484149,7.13440186559362e-10,0.0,0.00012203089745138602,1.0655849740670719e-09,11.24450968971236,0.00014615661837405366,-2.408435840842518e-05,-3.185967485038255e-08,0.0,1.445995865766612,796.2982916275259,0.0,0.0,3.507734127070839e-05,796.2982916275259
368.2499999999237,30435.49805669618,2588.905425197732,0.0003726721657022761,-12.013082294595277,1.5707817507889257,-1.0350623164009562e-05,4.712420002578365,-3.1416382517894395,1008998.2665136568,664716.8974633275,0.254944384098053,-0.49011126160621643,0.45668934580821074,68.83745450818483,394.67900433707035,1060.216820369296,0.0,0.8438182667530583,4.4982524665115875e-05,11338616.251154993,11338616.252317106,0.0,0.036488965272115634,-9886855.084223492,0.14325464313529598,8.17170075141686,1.1212586984321802,-32.69553589654604,0.00456312405980186,1060.2178564764613,3261.149658203125,0.9483065190615257,22700497.259334832,330.21095932015885,-33.80388222892201,0.0,73859.04131009188,5.071700751416861,33.77137036284517,0.15118184895752088,162.3376945887233,0.0,-9.79868391487437,1.038318921522109e-09,0.0,0.00012737725298275367,1.0413920885817493e-09,11.237498246981898,0.00016088996381494384,-3.3470196597347366e-05,-3.259696747520528e-08,0.0,1.438957073790606,1105.7323426787877,0.0,0.0,4.8709608870972715e-05,1105.7323426787877
368.3499999999236,30435.498094767132,2587.7130570795707,0.00038555098311369854,-11.869996282616926,1.5707810556540425,-4.782116480910994e-06,4.712421461522324,-3.141640405868282,1008672.4506872408,664391.0816369115,0.25471052527427673,-0.49057894945144653,0.45670929332839916,67.21851101428966,394.6846366255105,1035.294865993043,0.0,0.8438948285472385,4.726367987517577e-05,11328153.739908183,11328153.741208488,0.0,0.0360546197141338,-9883666.22708337,0.14325642970400732,8.171867932961193,1.1211743500625695,-32.69536871500171,0.005706848352406202,1035.2961909154033,3258.158203125,0.9484220601141313,22699779.26212,330.2156857843117,-41.27592043144343,0.0,73870.15487875174,5.071867932961193,41.24267492625299,0.1501470473333742,171.63951762539207,0.0,-9.79868759214085,1.3280911950654963e-09,0.0,0.00012923230987638693,1.017570006106036e-09,11.23075556608089,0.00017016378062913146,-4.088807508958634e-05,-3.333847181088575e-08,0.0,1.4321874335911318,1350.0443087656863,0.0,0.0,5.947389589900363e-05,1350.0443087656863
368.44999999992353,30435.49813412446,2586.5349552726457,0.00039835066407176265,-11.727586968674457,1.5707809742744505,1.653620079315217e-06,4.712422947360588,-3.141641973086138,1008346.933749985,664065.5646996556,0.2544768452644348,-0.491046279668808,0.4567290021827535,65.62609271868074,394.69020144852016,1010.7770280454212,0.0,0.843971320108762,4.8988520459758433e-05,11317699.25351729,11317699.254858274,0.0,0.035622341970712255,-9880480.251987334,0.14325766883913874,8.172034999151096,1.1210910176414322,-32.6952016488118,0.0065695016182456545,1010.7785858029865,3255.169189453125,0.9485362318745937,22699061.73984479,330.22035573539125,-46.386180731879506,0.0,73881.1370515517,5.0720349991510965,46.35222399561067,0.14915796566343834,174.22308857386577,0.0,-9.798691225491597,1.5614118735366454e-09,0.0,0.00012676846355460933,9.941137212786449e-10,11.224013159267923,0.0001727808978661144,-4.5968527713462485e-05,-3.404888804328188e-08,0.0,1.42541849535632,1517.1142620914427,0.0,0.0,6.683598993998843e-05,1517.1142620914427
368.54999999992344,30435.49817473133,2585.371052076239,0.0004106016017686877,-11.585854827635725,1.5707815709260642,8.593473437852438e-06,4.712424420290308,-3.141642849364244,1008021.7157018892,663740.3466515599,0.2542431950569153,-0.49151360988616943,0.4567484735038615,64.05994600147181,394.6956991286592,986.6589890981897,0.0,0.8440477414519677,5.0045573760648665e-05,11307247.791762635,11307247.793029737,0.0,0.035192132766112744,-9877297.159191262,0.14325825555839922,8.172201949919693,1.121008696085919,-32.69503469804321,0.007094694836095261,986.6607035753542,3252.180419921875,0.9486490405017678,22698344.69283709,330.2249694432344,-48.89780560720638,0.0,73891.98840973181,5.072201949919693,48.86319864324056,0.14821352411706581,169.2774786217766,0.0,-9.798694815134676,1.717926430331574e-09,0.0,0.0001194120745606202,9.710197314005817e-10,11.217266072377575,0.00016793038878523372,-4.8474351148805526e-05,-3.468889772876684e-08,0.0,1.4186453019023677,1599.1983885534196,0.0,0.0,7.045440582537625e-05,1599.1983885534196
368.64999999992335,30435.498216501222,2584.2212797315833,0.00042179430359136127,-11.444800533121409,1.5707828720637564,1.5652682488327817e-05,4.712425835050892,-3.1416429629871354,1007696.7965429537,663415.4274926244,0.25400954484939575,-0.4919808804988861,0.45676770842528197,62.51982093101879,394.7011299887109,962.936745850499,0.0,0.8441240925768558,5.0354668429619664e-05,11296797.354406718,11296797.35548959,0.0,0.03476399365475982,-9874116.948950835,0.14325811463752788,8.172368785168864,1.1209273803151583,-32.69486786279404,0.0072418820590255395,962.9385236508815,3249.191650390625,0.9487604921665775,22697628.121559028,330.22952717784483,-48.71293713571131,0.0,73902.70953589458,5.072368785168863,48.67778161129788,0.14731288080803756,156.4160007128422,0.0,-9.798698361278301,1.780300779463889e-09,0.0,0.00010687181181064564,9.482848350805104e-10,11.210512321922604,0.0001552212939938376,-4.830598027624499e-05,-3.521771427290944e-08,0.0,1.4118658661093608,1593.098959085069,0.0,0.0,7.01879046811894e-05,1593.098959085069
368.74999999992326,30435.49825929579,2583.085570595516,0.00043140880432085237,-11.304421806255776,1.5707848654039245,2.2444739440789897e-05,4.712427143221454,-3.14164227781753,1007372.1754186861,663090.8063683568,0.25377655029296875,-0.4924469292163849,0.4567867080786397,61.00544466412159,394.7064943508617,939.6061913587688,0.0,0.8442003736339863,4.987056616823082e-05,11286376.941167496,11286376.941983167,0.0,0.03433791958368654,-9870939.613148343,0.14325720381811077,8.172535505129648,1.120847065256883,-32.69470114283325,0.006988210490968094,939.6079267932124,3246.211181640625,0.9488705930427768,22696912.025058914,330.2340292090189,-45.87045085423049,0.0,73913.3010131143,5.072535505129648,45.83488855296925,0.14645567780117802,135.6905735312058,0.0,-9.798701864130566,1.7363884095881306e-09,0.0,8.915561638432266e-05,9.259057252309942e-10,11.203780704461714,0.00013469755949414606,-4.5499458529854906e-05,-3.559568628055362e-08,0.0,1.4051089759397684,1500.0900150749035,0.0,0.0,6.60922513784564e-05,1500.0900150749035
368.84999999992317,30435.49830292567,2581.963857020269,0.00043894463907815506,-11.164720113131951,1.5707875009462229,2.860035744247765e-05,4.712428295713189,-3.1416407947669662,1007047.8525732271,662766.4835228978,0.2535433769226074,-0.49291327595710754,0.4568054735956365,59.516568228391264,394.71179253727007,916.6638160009176,0.0,0.8442765846305286,4.858486874770307e-05,11275948.551764863,11275948.552278077,0.0,0.033913911810067636,-9867765.15443063,0.14325551546977294,8.172702109719944,1.1207677458506973,-32.69453453824296,0.006329491359227668,916.6653980304002,3243.228515625,0.9489793493023134,22696196.403729983,330.2384758061593,-40.53702818831639,0.0,73923.76342448904,5.072702109719944,40.5012379251858,0.14564089712609682,107.58221955104717,0.0,-9.798705323899291,1.581175580863419e-09,0.0,6.657061389754088e-05,9.038796781749759e-10,11.197033510326596,0.00010682930237739063,-4.021778884726779e-05,-3.5786781279647796e-08,0.0,1.3983369245079214,1325.6252066381876,0.0,0.0,5.8407372894443634e-05,1325.6252066381876
