episode,reward,steps,updates
91,-2.4159241338061728,110,110
92,-1.730423244626424,109,109
93,-1.8044892941350312,109,109
94,-2.3683929333833404,108,108
95,-2.0641670104185543,109,109
96,-2.2872592746067424,108,108
97,-1.9859100914918297,112,112
98,-1.3851564086131027,112,112
99,-1.1025679185300898,112,112
100,-1.32757578204804,115,115
101,-0.9588709105790496,115,115
102,-0.6033159101594787,116,116
103,-0.7804950931284722,114,114
104,-1.6187088831652403,115,115
105,-1.037032518913625,117,117
106,-0.7019562411621898,116,116
107,-1.0851438161826987,114,114
108,-1.0666384944419462,116,116
109,-1.094847617115553,117,117
110,-1.1866605919971018,117,117
111,-1.0007776192745794,116,116
112,-0.7722725522536997,117,117
113,-1.44231638242284,114,114
114,-1.5111108305265493,114,114
115,-1.0730985864326108,115,115
116,-1.2319809472879424,113,113
117,-1.6761851448742089,113,113
118,-1.7249954403852676,113,113
119,-0.8503294602427207,113,113
120,-0.9296232646589964,113,113
121,-1.8501543117886463,112,112
122,-1.452489922939284,112,112
123,-0.8873772624242822,113,113
124,-0.828797423786277,113,113
125,-1.1036250601040205,112,112
126,-0.9706324957260772,113,113
127,-1.2138063617095671,113,113
128,-1.6694891999508812,113,113
129,-1.6876218816148132,112,112
130,-1.7610549143766203,113,113
131,-0.9756311945666809,112,112
132,-1.0538884398647799,115,115
133,-1.9409947140833061,113,113
134,-1.4091929647834611,113,113
135,-1.3827756601262777,112,112
136,-1.3943389430096058,114,114
137,-0.5017535725074644,115,115
138,-1.7833887730002065,114,114
139,-1.045048686370265,114,114
140,-1.3877712084554723,114,114
141,-1.1467571963288758,116,116
142,-0.5677388107231707,115,115
143,-1.357653209909211,114,114
144,-1.0204674821594093,114,114
145,-0.8996366842720516,115,115
146,-0.8423165079158181,118,118
147,-0.9544054283519561,116,116
148,-0.15831815103637936,117,117
149,-0.6020440769072462,117,117
150,-0.7471699522724009,116,116
151,-1.6903891427132312,115,115
152,-1.1610906491567565,114,114
153,-1.4925911948562707,113,113
154,-1.3566518893455513,114,114
155,-1.2873615428910377,116,116
156,-0.4968235869764719,117,117
157,-0.9169808490155926,117,117
158,-0.6872390897897418,119,119
159,-0.5086895808904828,119,119
160,-0.29305908495921074,120,120
161,0.388996938876792,124,124
162,0.027828004992167976,123,123
163,-0.48741395054357106,122,122
164,-0.10421820235829315,119,119
165,-0.505007656971797,121,121
166,-0.12112680291760647,120,120
167,-0.1250373541792431,120,120
168,0.500127988524957,123,123
169,0.7084267724224578,124,124
170,0.2935239977208415,123,123
171,0.7097751680274254,126,126
172,1.2089631518702806,127,127
173,1.4209912678476826,129,129
174,1.1588314157715232,127,127
175,0.40515092408415576,126,126
176,1.1695258046179866,129,129
177,0.9317365698183941,133,133
178,1.7635681093546385,131,131
179,1.23248325634634,129,129
180,0.42688333541630996,129,129
181,0.8639747375751874,130,130
182,0.21891249781689304,125,125
183,0.8451859823020946,126,126
184,0.766655171088594,126,126
185,0.5581861422207126,125,125
186,0.14764899394324438,122,122
187,-0.27037611433570596,123,123
188,0.17798288268020634,125,125
189,1.1592630917077837,130,130
190,1.071366204201711,130,130
191,1.9112774158838093,133,133
192,2.0638009731670515,134,134
193,2.582752843282181,137,137
194,1.771291257689695,137,137
195,2.36447991587651,141,141
196,3.1238201122174694,142,142
197,2.5779606937904394,141,141
198,4.00595481378325,148,148
199,3.635444823848104,146,146
200,5.025443754323376,153,153
201,7.125760116456291,167,167
202,7.555514729605527,168,168
203,6.257869681478976,163,163
204,6.161724153233681,157,157
205,5.059901871825538,156,156
206,5.300586867763702,156,156
207,4.783602416531796,153,153
208,4.143690929657042,149,149
209,4.204366900503736,151,151
210,4.4259665473290895,151,151
211,3.940220065857307,148,148
212,3.6383669440403548,147,147
213,4.1935162297617605,148,148
214,5.459015613649054,156,156
215,4.307054185230836,155,155
216,4.7997249152867205,151,151
217,4.94137346192257,151,151
218,3.6609600375537497,150,150
219,4.390558984545889,151,151
220,4.96021453109681,156,156
221,5.001960366395393,154,154
222,4.443909297517644,152,152
223,5.270649126671362,155,155
224,3.6507789522909366,150,150
225,4.3711492071567175,151,151
226,4.876939220340379,154,154
227,4.554156924566994,154,154
228,5.10965440962609,154,154
229,5.6399280236831455,157,157
230,5.628181768075024,160,160
231,5.687504890167862,157,157
232,5.84783547936234,161,161
233,9.117390730158707,183,183
234,103.7752973334563,459,459
235,113.5953585150468,448,448
236,108.61709940441148,440,440
237,105.37531883510036,435,435
238,103.1556833467422,431,431
239,100.49867911300348,426,426
240,99.93510753987557,425,425
241,99.0904415935155,423,423
242,99.09576536501558,423,423
243,99.82113500925692,424,424
244,100.10481669614074,424,424
245,99.53692885859239,423,423
246,101.79375388712437,426,426
247,102.9141943595991,427,427
248,102.17382904865087,426,426
