time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,CD,drag,aero_force_y,atmospheric_pressure,CL,ug,x_cog,vg,g_load_1_sec_window,mass_flow,gravity_force_y,aero_force_x,lift,d_thrust_cg,inertia,control_force_perpendicular,speed_of_sound,fuel_percentage_consumed,control_force_parallel,control_force_x,air_density,d_cp_cg,mach_number_max,alpha_effective,mach_number,control_force_y,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_gravity,moment_dict_moments_z,moment_dict_theta_dot_dot,moment_dict_control_moment_z,moment_dict_M_wind_z,moment_dict_aero_moment_z
306.4499999999799,30999.91290752759,19373.291648130504,-44.21760738150885,-968.8981426670981,1.5251233954141856,0.00046159338849040564,4.666783621191708,-3.141660225777523,1557218.6802175753,1212937.311167246,0.684572696685791,0.3691454231739044,0.17589780338740107,45986.71145305919,352.67550038385144,0.19338785703496064,956143.6821681145,955146.3301241732,6076.802053472935,-1.200296247999555e-05,0.0,4.839610773525139,0.0,0.943644853878727,8756.7880859375,-15178531.004184933,43660.4228349344,-59.34476403280034,7.939610773525139,23679891.393356454,0.0,295.0694935090715,0.7149920406407032,31464501.572798286,1436939.1623574574,0.09771348504135383,-32.927625874437766,3.9090399905583713,6.761898664775501e-05,3.287983368178315,31431672.960062265,0.02799231912266769,3.8069836570644895e-05,0.0,11.047732783235462,0.9506638245172103,0.0,1.7373932433446478e-06,0.0,20.18449518963555,0.9227600340349679,3.938874648982934e-07,-9.747205833713851,174.80298400574736,7.381916627150978e-06,0.0,0.0,174.80298400574736
306.54999999997983,30995.4971990317,19276.47336663229,-44.12077262539023,-967.7533729758117,1.5251695277058512,0.00046171543855737967,4.666829602239047,-3.1416600745331955,1556326.1583059542,1212044.7892556249,0.6977399587631226,0.3954799473285675,0.17751750840582298,46580.6238723917,352.67550038385144,0.19351211622874115,969114.4476708663,968105.5443755401,6169.746047003679,-1.2252157955583431e-05,0.0,4.83991410576567,0.0,0.9834483422999281,8925.21875,-15170291.219468419,44209.40396222476,-61.35917234177771,7.93991410576567,23678627.28339854,0.0,295.0694935090715,0.7152007324310966,32068120.206600238,1463027.8331084936,0.09920800163768755,-32.92732254219723,3.879484438152317,6.746772969279391e-05,3.2841273246936695,32034729.32841032,0.028359723174256442,3.938474125934207e-05,0.0,11.455062051153881,0.9683196336483062,0.0,1.7955868329034463e-06,0.0,20.58355773142039,0.940052202618624,3.996896984083748e-07,-9.747501279539716,132.5252076575555,5.596828146810311e-06,0.0,0.0,132.5252076575555
306.64999999997974,30991.091283415764,19179.772091233524,-44.022187314271136,-966.5681307992395,1.525215678990066,0.00046184910920092414,4.666875596628622,-3.141659917638556,1555416.9291799776,1211135.5601296483,0.7108010053634644,0.4216019809246063,0.17913525599055022,47177.285455437166,352.67550038385144,0.19364142744727705,982183.9400379454,981163.3935634681,6264.000610289142,-1.2679283291072707e-05,0.0,4.8402233760500835,0.0,1.0246148220365587,9092.291015625,-15161887.519298822,44762.61090980006,-64.31159170768753,7.940223376050083,23677338.41878978,0.0,295.0694935090715,0.7154133572430972,32666793.630658448,1488834.8745405832,0.1007235918739056,-32.92701327191282,3.850186462168238,6.731062361353679e-05,3.280133793006019,32632848.126150116,0.028729970747107654,4.130403385394295e-05,0.0,11.85997917961296,0.9858278965753526,0.0,1.8811854614425959e-06,0.0,20.98012919491258,0.9571934357982739,4.055544924689027e-07,-9.7477963849167,59.2627594314512,2.5029316379758994e-06,0.0,0.0,59.2627594314512
306.74999999997965,30986.695334553373,19083.19184846187,-43.921870351794546,-965.342747622757,1.5252618510202738,0.0004619948610757523,4.666921606243394,-3.14165975522312,1554491.1681326143,1210209.799082285,0.7237250804901123,0.44745010137557983,0.18075097878047128,47776.59149365165,352.67550038385144,0.19377580961183455,995351.1619292826,994318.892002054,6359.578366510066,-1.3235451403859066e-05,0.0,4.840538540285202,0.0,1.0660204684893286,9257.6103515625,-15153321.579375684,45319.76592826294,-67.98537939219169,7.940538540285202,23676024.982541617,0.0,295.0694935090715,0.7156298762107153,33259109.783334453,1514296.5874066125,0.1022604587276551,-32.9266981076777,3.821144811621575,6.71478168445816e-05,3.276003821811718,33224618.725054804,0.029103036028360316,4.3689613945961244e-05,0.0,12.261582763373069,1.0031476643576143,0.0,1.9878220084835428e-06,0.0,21.37330813205392,0.9741429340031008,4.1148191329241137e-07,-9.748091137487213,-37.856541690537036,-1.5989399284065606e-06,0.0,0.0,-37.856541690537036
306.84999999997956,30982.309524173386,18986.73662605738,-43.819844709164535,-964.0776451342409,1.525308045476291,0.0004621497885409702,4.666967632949771,-3.1416595874734803,1553549.089519333,1209267.7204690038,0.7364814877510071,0.47296300530433655,0.18236461006336524,48378.44345135054,352.67550038385144,0.19391527134951508,1008615.1987348917,1007571.133147995,6456.491912725732,-1.3888784117732644e-05,0.0,4.840859541044444,0.0,1.1073942297656372,9420.7861328125,-15144595.456651768,45880.671142736326,-72.23999768354474,7.9408595410444445,23674687.213199973,0.0,295.0694935090715,0.7158502412694624,33843660.606395274,1539349.711278813,0.10381880475655643,-32.92637710691846,3.7923582136441403,6.697943046152233e-05,3.2717387657788874,33808634.48451087,0.02947889489250828,4.645201870661024e-05,0.0,12.658970946495065,1.0202381804165506,0.0,2.111365465659607e-06,0.0,21.762192590239447,0.9908600389029784,4.1747204211827326e-07,-9.748385525002943,-154.2115434608454,-6.513773215760324e-06,0.0,0.0,-154.2115434608454
306.94999999997947,30977.93402146785,18890.410364255153,-43.71613719385496,-962.7733304873424,1.5253542639799575,0.0004623093143409806,4.6670136785934595,-3.141659414613502,1552590.944850754,1208309.5758004247,0.7490413188934326,0.49808260798454285,0.1839760839217374,48982.749299599905,352.67550038385144,0.1940598111395928,1021975.2229282947,1020919.2961675772,6554.753824739872,-1.4614183804884107e-05,0.0,4.841186308032419,0.0,1.1486512793633792,9581.4462890625,-15135711.570839148,46445.16029972747,-76.96252853285576,7.941186308032419,23673325.402910575,0.0,295.0694935090715,0.7160743955148269,34419114.045235366,1563934.696481888,0.105398832176446,-32.926050339930484,3.763825371800484,6.68055814108115e-05,3.2673402733939927,34383564.67738705,0.029857525007058766,4.951936156315293e-05,0.0,13.051287625541034,1.0370609519011684,0.0,2.2484993458960183e-06,0.0,22.1459263249099,1.007306336333312,4.2352497654634776e-07,-9.748679535351856,-286.0904823898819,-1.208493008568656e-05,0.0,0.0,-286.0904823898819
307.0499999999794,30973.56899269705,18794.21694697072,-43.61077862595498,-961.4304005078556,1.5254005081048454,0.0004624690094595016,4.667059744994536,-3.1416592368896907,1551617.0243795626,1207335.6553292333,0.7613742351531982,0.5227484107017517,0.18558533538028166,49589.42442087562,352.67550038385144,0.1942094168619156,1035430.5072466861,1034362.6623580706,6654.3766626004135,-1.537949601632116e-05,0.0,4.841518757780312,0.0,1.1897041777868513,9739.2041015625,-15126672.719976375,47013.02776892044,-81.99602068060469,7.941518757780312,23671939.8986903,0.0,295.0694935090715,0.7163022730337901,34984078.04946,1587989.5150541735,0.10700074294981074,-32.92571789018259,3.7355449645392276,6.66264147630713e-05,3.262810293805214,34948018.63154458,0.030238906130334392,5.2791245250800025e-05,0.0,13.43763491158749,1.0535757164389843,0.0,2.3946271189313473e-06,0.0,22.523611227789328,1.0234416676944849,4.2964083366063126e-07,-9.748973156584823,-428.33060198474055,-1.8094444469607617e-05,0.0,0.0,-428.33060198474055
307.1499999999793,30969.214600823554,18698.160193586245,-43.50380327049291,-960.049529534862,1.5254467793948858,0.00046262670626337764,4.667105833943753,-3.1416590545488665,1550627.65180571,1206346.2827553807,0.7734541296958923,0.5469082593917847,0.1871923005432919,50198.39151493928,352.67550038385144,0.19436406647510318,1048980.423024459,1047900.6170166022,6755.372976691118,-1.613145215062506e-05,0.0,4.841856794788062,0.0,1.2304654459488222,9893.7265625,-15117482.028905356,47583.95028218337,-87.06124443598755,7.9418567947880625,23670531.097669125,0.0,295.0694935090715,0.716533799729322,35537364.57284607,1611461.647696712,0.10862473888374015,-32.92537985317484,3.707515643792982,6.644213508444352e-05,3.258151049975847,35500809.457551494,0.030623020107007494,5.6088253868193444e-05,0.0,13.817242976145604,1.069748112100229,0.0,2.5415900815550004e-06,0.0,22.894477224245747,1.0392318528694884,4.358197507729268e-07,-9.749266376941627,-571.7408359639232,-2.4154119466302278e-05,0.0,0.0,-571.7408359639232
307.2499999999792,30964.87100516783,18602.243851181436,-43.39524885297513,-958.6314700535469,1.525493079395243,0.00046278500378290894,4.667151947197913,-3.1416588678026693,1549623.1842458956,1205341.8151955663,0.7852548360824585,0.570509672164917,0.18879691672463372,50809.58095824074,352.67550038385144,0.19452372819786554,1062624.445578068,1061532.6582388438,6857.755313819737,-1.6783005110543314e-05,0.0,4.84220031202021,0.0,1.2708469178328339,10044.6748046875,-15108142.949059362,48157.4110369738,-91.68049402479352,7.94220031202021,23669099.44502602,0.0,295.0694935090715,0.7167688937003656,36077753.573589444,1634297.347907318,0.11027102172782238,-32.92503633594269,3.6797360338857867,6.625303514917746e-05,3.2533650279551107,36040718.293275855,0.03100985097248043,5.910256375023074e-05,0.0,14.189318261426363,1.0855427164229545,0.0,2.675449890714334e-06,0.0,23.257730433876162,1.0546417764797626,4.4206188631430115e-07,-9.749559184874707,-700.59206458603,-2.9599438973723056e-05,0.0,0.0,-700.59206458603
307.3499999999791,30960.538361075294,18506.471586982574,-43.285156332788915,-957.1770479866913,1.525539409703817,0.00046295395500993344,4.6671980864755716,-3.1416586767717547,1548604.0101583712,1204322.6411080419,0.7967517971992493,0.5935035943984985,0.1903991225740671,51422.931247144275,352.67550038385144,0.19468836061152692,1076362.1610467455,1075258.4055513258,6961.5362239993465,-1.7207986650613627e-05,0.0,4.842549191203139,0.0,1.3107623358651093,10191.7412109375,-15098659.238314716,48732.6592281793,-95.1367901005449,7.942549191203138,23667645.432752702,0.0,295.0694935090715,0.7170074654856009,36604141.01460846,1656448.3482594467,0.1119397932831864,-32.92468745675976,3.6522047305387484,6.605950781679581e-05,3.2484549689849955,36566642.15219781,0.03139938514023672,6.137118400099056e-05,0.0,14.553138779711858,1.1009273430369098,0.0,2.775308182951935e-06,0.0,23.61264849653737,1.0696397125370007,4.4836742249844586e-07,-9.7498515690726,-791.2735927074008,-3.3432712812757836e-05,0.0,0.0,-791.2735927074008
