time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,speed_of_sound,alpha_effective,fuel_percentage_consumed,control_force_parallel,inertia,mach_number,x_cog,aero_force_y,vg,mass_flow,control_force_perpendicular,CL,mach_number_max,d_cp_cg,control_force_x,lift,CD,aero_force_x,gravity_force_y,atmospheric_pressure,g_load_1_sec_window,air_density,ug,d_thrust_cg,control_force_y,drag,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component_gravity,moment_dict_control_moment_z,moment_dict_M_wind_z,moment_dict_theta_dot_dot,moment_dict_aero_moment_z,moment_dict_moments_z
296.0499999999894,31500.400794076886,29784.47232711689,-52.08117336842884,-1031.179834505455,1.5202598310504098,0.00047945004331871155,4.661925467875579,-3.141665636825169,1628260.7859152071,1283979.4168648778,0.6940316557884216,0.3880632817745209,0.0017257221181991324,10108.600873148134,360.44082031344664,301.5834430566826,7.306673026352684e-05,0.6983013398229684,31943559.308734808,23778115.821884625,3.4244094260871876,4.816040154838944,205747.91657779372,0.0,8877.7841796875,0.0,5.811678284278754e-05,8.68354056695209,-32.95119649312396,1614010.887913981,63.161759440990394,0.18955251068383422,10330.797922680995,-15819397.667652842,1231.4637764666625,0.1022869360157613,0.0189554756704507,0.0,7.916040154838944,31902757.7203657,206007.1032086374,0.9974571147660843,0.0,-9.715518425852853,0.006381920143417631,-3.8741554334846404e-05,19.593149940311257,0.9912483933013122,10.001304500833225,0.0,7.760345432056683e-08,-1.956696145869856e-06,0.0,0.0,0.0,0.00010838729678007186,2577.2456964575313,2577.2456964575313
296.1499999999893,31495.199132267422,29681.421282727708,-51.97788756145354,-1030.1086475798998,1.5203078266651706,0.0004773456193793739,4.661973092942873,-3.141665266277702,1627341.1619528048,1283059.7929024755,0.718927264213562,0.437854528427124,0.0034496970862309476,10249.286766924424,360.3595043011316,301.51539590762917,7.263867124596146e-05,0.6985155175897065,33088955.738717556,23776890.70398374,3.4216762191519425,4.816334090074819,208673.00316200565,0.0,9196.2392578125,0.0,-8.027566793272767e-05,8.616854654224637,-32.950902557888085,1670296.4487323198,-88.45841984087484,0.1896150165303642,10620.419337510402,-15810972.275724022,1250.5981492520325,0.21187226464197892,0.019258693946836557,0.0,7.91633409007482,33046771.425544154,208943.07294251933,1.0327763261323097,0.0,-9.715831348327047,0.006470424735035659,5.4288569357423844e-05,20.307217809133594,1.0263959935284674,10.71672922227074,0.0,7.879861566520075e-08,2.7393277015602363e-06,0.0,0.0,0.0,-0.00010155564523750546,-2414.677477184714,-2414.677477184714
296.2499999999892,31490.007991063343,29578.481274158312,-51.871531715701984,-1028.9747773658971,1.5203552619192449,0.0004755481973444416,4.662020730267627,-3.141665468348382,1626393.7448232882,1282112.3757729589,0.7406549453735352,0.4813098907470703,0.005171814499349048,10390.503271503942,360.2782549609475,301.4474034947179,7.279420656747249e-05,0.6987364628350107,34088558.763423204,23775625.931019947,3.4187256406565867,4.816637542698753,211631.60467496508,0.0,9474.171875,0.0,3.4824974482206006e-05,8.550719024875026,-32.95059910526415,1719138.9114310702,38.90352868786814,0.18968356531363956,10632.110838223405,-15802275.74989152,1270.0184933477617,0.3278547406236675,0.019566582832504523,0.0,7.916637542698753,34045181.74383213,211898.50486658094,1.063407403751143,0.0,-9.716143953571635,0.0065595706372004944,-2.3889781231287334e-05,20.93292712923661,1.0570250389261422,11.343839405342624,0.0,8.00065189146636e-08,-1.2043050734364718e-06,0.0,0.0,0.0,7.529379153156205e-05,1790.157022382617,1790.157022382617
296.3499999999891,31484.827654247565,29475.65812653236,-51.762472798470824,-1027.7853162162228,1.5204033186758135,0.00048136421143538864,4.6620683791196855,-3.141665060443872,1625421.793163132,1281140.4241128026,0.7598351836204529,0.5196703672409058,0.0068919769071352785,10532.358548815831,360.1970769458423,301.37946982696263,7.252684396741316e-05,0.6989633633952066,34970916.45042373,23774326.068627167,3.415582507036082,4.816949417499668,214600.56036394558,0.0,9719.5166015625,0.0,-2.800451944734439e-05,8.485132752298318,-32.95028723046323,1761964.2046703768,-31.711396272678478,0.1897567289645582,10842.268138580019,-15793339.697691975,1289.727719128897,0.4495104263358772,0.01987919255710219,0.0,7.9169494174996675,34926501.10623705,214874.2755224451,1.0905117053918083,0.0,-9.716456223315145,0.006649375658612278,1.948494579465371e-05,21.487654006575585,1.0840042948123196,11.89999390565595,0.0,8.122733120177389e-08,9.813226174397503e-07,0.0,0.0,0.0,-2.2351729023903864e-05,-531.3972940118881,-531.3972940118881
296.449999999989,31479.65837321352,29372.95701558235,-51.651016881848186,-1026.5463983915683,1.5204509298684428,0.0004739412968848404,4.6621160497817336,-3.1416651199132906,1624428.1256826632,1280146.7566323339,0.7768117785453796,0.5536235570907593,0.008610097723050636,10674.94527587134,360.115974400616,301.3115984725526,7.239637131695176e-05,0.699195531221834,35751858.8579606,23772994.982644964,3.4122678301993563,4.817268787118389,217595.6231716452,0.0,9936.6748046875,0.0,-2.9354900531741723e-05,8.42009441755959,-32.94996786084452,1799604.3186221027,-33.69053249843336,0.1898346893008618,10984.727905883223,-15784191.459509041,1309.7288492428804,0.5762132376443098,0.02019657518515939,0.0,7.917268787118388,35706537.72204654,217872.71131459056,1.1144304722237754,0.0,-9.716768141327128,0.006739902095165057,2.07137310374634e-05,21.980989591054346,1.1078386849931092,12.394792162714824,0.0,8.246179708036465e-08,1.0422181337136108e-06,0.0,0.0,0.0,-2.4833881270203498e-05,-590.3757348361485,-590.3757348361485
296.5499999999889,31474.5003698987,29270.38255693084,-51.53744665145383,-1025.263305349954,1.5204988022545913,0.00048208366234907203,4.66216373249701,-3.1416649302424187,1623415.1704824679,1279133.8014321385,0.7918901443481445,0.5837802886962891,0.010326099730820479,10818.344811081948,360.03495103178665,301.24379261902277,7.24064849300099e-05,0.6994323729399964,36445438.03748109,23771636.006135203,3.4087997251381235,4.81759485198251,220618.56772157794,0.0,10129.5517578125,0.0,3.21100774635652e-05,8.355602183977448,-32.94964179598039,1832781.1849269648,37.34769277831581,0.18991715925991293,11055.190947554209,-15774854.586629873,1330.0250086696988,0.7074240323251934,0.0205187844618559,0.0,7.917594851982511,36399325.088139355,220895.37857446726,1.1355990948233652,0.0,-9.717079693139553,0.006831192336464409,-2.2976621858807356e-05,22.421451856533857,1.1289664025883623,12.836751770541465,0.0,8.371040230045116e-08,-1.1549778648078392e-06,0.0,0.0,0.0,7.393677756990975e-05,1757.5981638584763,1757.5981638584763
296.64999999998884,31469.35384178985,29167.938881929043,-51.421984502476285,-1023.9406164289297,1.5205467308132101,0.0004758471284998815,4.662211440863413,-3.141664710050203,1622385.0329092257,1278103.6638588964,0.8053227066993713,0.6106454133987427,0.012039913815705386,10962.628913086308,359.9540101669445,301.17605512538154,7.202352676172197e-05,0.6996733749823536,37063270.03467843,23770252.02322539,3.405193865763275,4.817926920195708,223656.80058854193,0.0,10301.3759765625,0.0,-7.261773993760823e-05,8.29165386119585,-32.949309727767194,1862071.0257109953,-85.58921568168884,0.19000338904376152,11320.34798736399,-15765349.499611672,1350.6194159354463,0.8426754585055951,0.020845875676682828,0.0,7.917926920195708,37016464.94681387,223943.08965124146,1.1545311404055332,0.0,-9.717390865805504,0.006923263122552109,5.2688781584547504e-05,22.816078918354382,1.1477368121252758,13.232901760444276,0.0,8.497337022793251e-08,2.646014492074811e-06,0.0,0.0,0.0,-9.628255153484004e-05,-2288.6605154223344,-2288.6605154223344
296.74999999998875,31464.21896491823,29065.6297025039,-51.30484376423951,-1022.5822946440601,1.520594409077787,0.0004800336661646084,4.662259166380011,-3.141664757302224,1621339.5359609835,1277058.1669106542,0.817330002784729,0.634660005569458,0.013751477879653277,11107.86092794236,359.8731548055105,301.1083885659791,7.21720214240662e-05,0.6999180924871132,37615506.89020657,23768845.531546783,3.4014638243599724,4.818264392562063,226736.04035127626,0.0,10454.96875,0.0,5.260323721767435e-05,8.228246959010912,-32.94897225540084,1888028.3417890707,62.82095151233631,0.1900941131585619,11315.578562195555,-15755693.880082928,1371.515375739539,0.9815629573800377,0.021177905549190662,0.0,7.9182643925620635,37568094.27676335,227018.21593409823,1.171277043819186,0.0,-9.71770164769613,0.007016183105046655,-3.869765226767993e-05,23.171022135407547,1.1644867098550202,13.589408060634506,0.0,8.625153662378031e-08,-1.941532739257182e-06,0.0,0.0,0.0,0.00010979640214119479,2609.7337224136513,2609.7337224136513
296.84999999998865,31459.09589624226,28963.458366722418,-51.1861946480832,-1021.1917841450115,1.5206425703252913,0.00047949055533797114,4.6623069164772435,-3.141664346151952,1620280.2643850558,1275998.8953347264,0.8280985355377197,0.6561970114707947,0.015460735911744935,11254.096941597318,359.79238766223546,301.04079526849756,7.173943317972942e-05,0.7001661391531547,38110732.64037409,23767418.699344855,3.3976213807062976,4.818606748887989,229827.80656193965,0.0,10592.7158203125,0.0,-6.949263888444968e-05,8.16537873362521,-32.948629899074916,1911051.452461092,-84.08355408272405,0.1901881311364933,11606.824243343328,-15745903.098551283,1392.716272456959,1.1237350156165153,0.021514932128330118,0.0,7.9186067488879885,38062787.92642653,230120.69000427614,1.186426899023057,0.0,-9.718012028324814,0.007109943961578954,5.182938299667452e-05,23.491484012410954,1.1794573410954878,13.911454471277743,0.0,8.754483002420432e-08,2.5978948594646173e-06,0.0,0.0,0.0,-9.367857574618852e-05,-2226.4979329179546,-2226.4979329179546
296.94999999998856,31453.984777208858,28861.427905916426,-51.066192267828875,-1019.7720856658038,1.5206902111168448,0.0004775364185318936,4.662354691033626,-3.1416644799167814,1619208.5994070284,1274927.230356699,0.8377872705459595,0.675574541091919,0.01716763719982877,11401.386811008739,359.71171120409326,300.9732773460526,7.181993902349859e-05,0.7004171785433967,38556259.317764774,23765973.414438255,3.393676789937418,4.818953536239296,232962.78804075753,0.0,10716.6494140625,0.0,3.024630538783768e-05,8.103046226659199,-32.948283111723605,1931555.833028527,37.075892795263215,0.19028647118539516,11631.531362965714,-15735990.551289702,1414.2255646645715,1.2688853405634206,0.0218570147078001,0.0,7.918953536239297,38507846.273748115,233252.97802803878,1.1998861024718432,0.0,-9.71832199819862,0.007204617222812826,-2.28688842416621e-05,23.781893381649592,1.1929011701987524,14.203487727191556,0.0,8.885415764852844e-08,-1.1451841603145798e-06,0.0,0.0,0.0,7.462533468414993e-05,1773.543720147064,1773.543720147064
