time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,alpha_effective,x_cog,speed_of_sound,control_force_y,mach_number,atmospheric_pressure,ug,vg,air_density,control_force_perpendicular,drag,inertia,mass_flow,aero_force_x,CL,lift,control_force_parallel,aero_force_y,CD,g_load_1_sec_window,d_cp_cg,gravity_force_y,mach_number_max,fuel_percentage_consumed,d_thrust_cg,control_force_x,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_wind,moment_dict_aero_moment_z,moment_dict_theta_dot_dot,moment_dict_moments_z,moment_dict_M_wind_z,moment_dict_control_moment_z
296.0499999999894,31500.4034526091,29784.524852574992,-52.03863531995642,-1030.3392904319408,1.5202599719040668,0.00048251263089970134,4.661925550356054,-3.1416655784519874,1627879.8222616427,1283598.4532113133,0.991854727268219,0.983709454536438,0.0017248434024569798,10096.200911709371,360.4408617551403,7.306083373359584e-05,4.816132253036622,301.58346385665,45589715.5406539,3.4223165276669687,1231.4579733067253,0.0,0.0,0.01895538372983744,0.0,205806.65180449773,23777731.95652133,12687.4208984375,10286.21192779654,8.997552045997281e-05,97.66612492876237,45648021.724936835,205549.46195460152,0.18960064836954252,0.18807896032425492,-32.95110439492628,-15815696.252532411,8.683561027218074,0.6983684649427355,7.916132253036622,2306452.757497032,0.0,-3.026314379450795e-06,7.756423514906047e-08,28.00557812511939,-9.715518330191832,1.4168446134387462,1.4228861485174216,0.0,0.006377191991561782,-5.9919530771236844e-05,18.410847695443657,0.0,3713.672838966107,0.00015618280354731594,3713.672838966107,0.0,0.0
296.1499999999893,31495.20847925904,29681.606010211948,-51.89639281484521,-1028.4976143943238,1.5203082929641245,0.00047944093499442496,4.661973290974327,-3.1416649980102025,1626611.4670370333,1282330.097986704,0.9915522336959839,0.9831044673919678,0.003446606719116035,10220.86232138515,360.3596500855456,7.239025969330015e-05,4.816541378420237,301.515491280125,45575619.85439276,3.416965165339559,1250.5711211560435,0.0,0.0,0.01925826554215729,0.0,208483.6150768261,23776026.736723483,12683.5517578125,10628.786216518056,-0.00010925657989824256,-120.05955922215463,45633796.32939194,208212.53822323837,0.18972422434075062,0.3763058097622496,-32.95069526954266,-15803881.969660187,8.616947770046846,0.6986664635749693,7.916541378420238,2303528.2330168793,0.0,3.7195862390520456e-06,7.869589948373415e-08,28.018749884636794,-9.715830909791796,1.4161514779020272,1.422408507688921,0.0,0.006459067405642196,7.371582813178994e-05,18.425437020002256,0.0,-3458.7480159823817,-0.00014547207800032208,-3458.7480159823817,0.0,0.0
296.2499999999892,31490.02772649242,29578.871424418317,-51.754212384285275,-1026.6545142805348,1.5203558254455107,0.0004771310647228105,4.662021073046821,-3.1416652476013107,1625343.5156515352,1281062.146601206,0.9912365674972534,0.9824730753898621,0.005165287546749902,10346.753437824635,360.278562941504,7.257413916583744e-05,4.816950799339364,301.44762284513854,45560907.91099778,3.4116054827419484,1269.95535186259,0.0,0.0,0.019565581566990564,0.0,211192.04925602712,23774320.309290536,12679.5126953125,10571.18526307284,5.77311559745719e-05,64.22083655928864,45618955.92844761,210927.32358660846,0.1898505499057645,0.5646770821767145,-32.95028584862354,-15792069.933092877,8.550931590768363,0.6989643683366259,7.916950799339364,2300610.85958181,0.0,-1.989303554127229e-06,7.984286618250525e-08,28.031556081690358,-9.71614294518071,1.4154613085957937,1.4216880092150155,0.0,0.006541881368994148,-3.946205303936105e-05,18.439695950297303,0.0,2621.126621939638,0.00011025032841487179,2621.126621939638,0.0,0.0
296.3499999999891,31484.86118723922,29476.32123369319,-51.61210143422177,-1024.8100528879488,1.5204042642639657,0.000485523477613236,4.662068892865434,-3.1416646286014682,1624075.99795134,1279794.6289010106,0.9908974766731262,0.9817949533462524,0.006880883568361543,10473.881990727623,360.19760053038794,7.215306247765341e-05,4.8173605070109575,301.3798587262177,45545123.62784876,3.406237663501068,1289.6140111781074,0.0,0.0,0.019877388622372944,0.0,213930.84049752104,23772612.710087594,12675.1767578125,10801.596622279705,-3.429062201659727e-05,-38.61398685005506,45603040.529186994,213657.97789323318,0.18997835208469266,0.7531863469983403,-32.94987614095194,-15780260.434457406,8.485506819958218,0.6992621729543719,7.917360507010958,2297611.636165709,0.0,1.1959041923087145e-06,8.100477653122146e-08,28.04371450923528,-9.716454435853445,1.4147192859595166,1.42109292951123,0.0,0.006625598905613864,2.374587750763779e-05,18.45332040313042,0.0,-763.7195263608941,-3.2126023995537515e-05,-763.7195263608941,0.0,0.0
296.449999999989,31479.70885546935,29373.95557187499,-51.47005013885708,-1022.9642667043506,1.5204520696310908,0.0004749587899971769,4.662116762195417,-3.1416646925643263,1622808.9316671602,1278527.562616831,0.9905446171760559,0.9810892343521118,0.008593392544923738,10602.255434926234,360.11676305593613,7.194234102936292e-05,4.8177704945621835,301.31219909441575,45528692.62410305,3.4008618468483425,1309.5504777482977,0.0,0.0,0.020193744114146542,0.0,216701.36364847748,23770903.967017516,12670.662109375,10933.002724343665,-3.596311788472972e-05,-40.99370813519457,45586478.138533995,216425.39624319342,0.19010860547111838,0.941829940533516,-32.94946615340072,-15768453.64772208,8.420667840925796,0.6995598725672698,7.917770494562184,2294588.63742129,0.0,1.2693895433644314e-06,8.218221435997869e-08,28.055485606262998,-9.716765381321062,1.4139610601378625,1.4204208846228752,0.0,0.006710260124334211,2.522904368437072e-05,18.466583616233173,0.0,-837.0385061220029,-3.5212733486425515e-05,-837.0385061220029,0.0,0.0
296.5499999999889,31474.570723913974,29271.774569165354,-51.328077222354956,-1021.1171921488195,1.5205002555500948,0.00048671285292967614,4.662164664988388,-3.1416644094382926,1621542.3349569552,1277260.9659066258,0.9901775121688843,0.9803550243377686,0.010302812298250311,10731.881099388254,360.03605071905696,7.194389795239786e-05,4.818180755932896,301.24464411841785,45511610.86752753,3.3954781546608652,1329.7681629865313,0.0,0.0,0.020514706034733442,0.0,219504.1965688115,23769194.1045958,12665.9677734375,10960.61917448871,5.364706031030231e-05,61.89896484414176,45569264.763343595,219230.3833188117,0.19024154767922527,1.1306040597476454,-32.94905589203001,-15756649.751047874,8.356409090320504,0.6998574629237921,7.918180755932896,2291542.5622182563,0.0,-1.9164015857104422e-06,8.337546402103148e-08,28.06686565401061,-9.717075781105736,1.4131870089466931,1.4196691598246232,0.0,0.006795884090045165,-3.812475962722989e-05,18.479482426206545,0.0,2559.843525960498,0.00010769584844551165,2559.843525960498,0.0,0.0
296.64999999998884,31469.446785609103,29169.778351895693,-51.18616764732452,-1019.2688694823474,1.5205485404642705,0.00047793881064413024,4.6622126183015675,-3.141664077837297,1620276.2269247286,1275994.8578743993,0.9897955060005188,0.9795910120010376,0.012009140714901343,10862.766322280968,359.9554637176395,7.137989177818937e-05,4.818591284810824,301.17719396444767,45493832.22962609,3.390086713792782,1350.2705112835135,0.0,0.0,0.020840332967236707,0.0,222339.15494876914,23767483.148388594,12661.080078125,11269.898313592688,-9.923179133120019e-05,-115.89184405215232,45551352.41048433,222053.37792128624,0.19037675005588017,1.3195046834057909,-32.94864536315208,-15744848.93183096,8.292725057567091,0.700154939607512,7.918591284810825,2288435.1611464424,0.0,3.5874076826508587e-06,8.458452147105836e-08,28.07782492493457,-9.717385634741156,1.4123734725713246,1.4190517968682812,0.0,0.006882461825858771,7.14359589930927e-05,18.491975104782092,0.0,-3295.566307934309,-0.00013865861552773393,-3295.566307934309,0.0,0.0
296.74999999998875,31464.337033443968,29067.967042481643,-51.04433778604915,-1017.4193367612564,1.5205964527353497,0.0004837171931362857,4.6622606084063545,-3.1416641556710045,1619010.6264303438,1274729.2573800145,0.989398717880249,0.9787974953651428,0.013712375746945199,10994.91843145557,359.875002246513,7.159446544724446e-05,4.819002074798863,301.1098487961331,45475373.59929019,3.3846876528147556,1371.0610002315743,0.0,0.0,0.021170684089778423,0.0,225208.8090778118,23765771.124315657,12656.0048828125,11190.159332281732,8.229910107598881e-05,97.28563282271337,45532761.08682625,224930.65038997863,0.19051613279089075,1.5085278539582607,-32.948234573164044,-15733051.375139114,8.22961028426992,0.7004522981589856,7.919002074798863,2285328.90302014,0.0,-3.010930337477995e-06,8.58104318375813e-08,28.08837252634717,-9.71769494177314,1.41155892723133,1.4181934993393037,0.0,0.006970073749279874,-6.001407560288642e-05,18.50409318409385,0.0,3736.637433635224,0.00015722769583571936,3736.637433635224,0.0,0.0
296.84999999998865,31459.24145945282,28966.34075937725,-50.902581574403676,-1015.5686351354061,1.5206450826615572,0.00048344146154285687,4.662308643656367,-3.1416635609948096,1617745.5530355684,1273464.1839852391,0.988986611366272,0.9779732823371887,0.015412515412725026,11128.344758378793,359.794666497406,7.097933009703183e-05,4.819413119345305,301.04260877456016,45456206.68971266,3.3792811041529927,1392.14314079273,0.0,0.0,0.021505819178949056,0.0,228112.36864574667,23764058.058941122,12650.7333984375,11532.157559689762,-9.226457767069762e-05,-110.38934964975353,45513458.79924931,227820.70638333124,0.19065871319416086,1.6976694136764714,-32.9478235286176,-15721257.272904389,8.167059363800341,0.7007495340255652,7.919413119345306,2282149.2617895077,0.0,3.4158803278707356e-06,8.705296405759647e-08,28.09848965705254,-9.718003701759354,1.4106972864226017,1.417548692544858,0.0,0.007058693207934349,6.815098203400346e-05,18.515792308104114,0.0,-3103.621923221781,-0.0001306015123984288,-3103.621923221781,0.0,0.0
296.94999999998856,31454.160056459325,28864.899616526174,-50.76090282706225,-1013.7168114184042,1.5206929572040206,0.0004800819136345762,4.662356723017195,-3.141663765813175,1616481.0292318575,1272199.6601815282,0.988556981086731,0.9771139025688171,0.017109557806039673,11263.05272928345,359.7144566585078,7.10917284703072e-05,4.81982441109771,300.97547405794813,45436228.09384269,3.3738672174716773,1413.5204775858695,0.0,0.0,0.02184579861515459,0.0,231051.41139557216,23762343.982166376,12645.2373046875,11502.46879215258,4.589587701508968e-05,55.57652587977236,45493345.55469946,230764.92586249262,0.1908055063483847,1.886924577686616,-32.94741223686519,-15709466.845576696,8.10506694053718,0.7010466420953801,7.919824411097711,2278961.685415648,0.0,-1.7194504944127786e-06,8.831279008357515e-08,28.10811093491999,-9.718311914270807,1.409828908724402,1.4166676009926036,0.0,0.007148368079327579,-3.4338157430459676e-05,18.52703273647212,0.0,2372.2917640197147,9.983408058565763e-05,2372.2917640197147,0.0,0.0
