time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,atmospheric_pressure,CD,g_load_1_sec_window,x_cog,CL,aero_force_x,control_force_y,inertia,d_thrust_cg,speed_of_sound,mach_number,d_cp_cg,control_force_perpendicular,alpha_effective,mass_flow,mach_number_max,gravity_force_y,air_density,control_force_x,vg,fuel_percentage_consumed,control_force_parallel,drag,aero_force_y,ug,lift,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_control,moment_dict_aero_moment_z,moment_dict_moments_z,moment_dict_theta_dot_dot,moment_dict_control_moment_z,moment_dict_M_wind_z
344.24999999994554,30422.287286126873,3116.398696308209,-2.3723936964065677,-148.7466414964482,1.5548299898762499,0.0010533365713040303,4.696441107264203,-3.141611117387953,1122765.6040914766,778484.2350411473,0.9527551531791687,0.9055103063583374,0.44786473660031867,10031.995165201202,392.17960430719955,69057.70930335364,0.14150230050095525,2.567487827255557,5.015513027824702,8.278800244293505e-05,2348.6143002873487,42472840.97649297,22940661.261837658,8.115513027824703,328.10621011807933,0.4555526243817413,-32.7517236201382,0.0,1.8394865862525478e-05,12187.2744140625,1.159582290695538,-10999792.652098713,0.8980723039687714,679312.059691381,0.0,0.8170383712114218,42478273.09918451,152620.34100756323,152602.2951116173,0.0,89.2927755905313,-1.268269608469406e-06,-9.797051683819227,0.0,28.157334435220676,0.0021677424500919722,0.6069617213829583,1.2105395696338602e-07,0.0,-7.9519198292249e-05,0.6050346191724221,0.0,37.82876926556838,3016.440501309039,3016.440501309039,0.00013148882095770102,0.0,0.0
344.34999999994545,30422.053863405858,3101.7022534250677,-2.31137127426509,-145.89466932604176,1.5549361642488602,0.0010668827764488517,4.69654756592327,-3.1416114016744094,1121535.8888815157,777254.5198311864,0.9613450169563293,0.9226900339126587,0.44811059824878446,9668.686299872665,392.2494499130435,69187.74173819901,0.14168261274105037,2.64230933896947,5.016093981609755,9.05046823963529e-05,2242.905351531275,42852747.13637998,22938189.58917127,8.116093981609755,328.164933202549,0.44680717346767024,-32.75114266635315,0.0,1.8677325912541676e-05,12297.15234375,1.1584921104294659,-10987795.98224582,0.8994413467372008,680851.787941646,0.0,0.8173266240444627,42858155.54000972,147280.62946810495,147263.58016585914,0.0,94.08060971820098,-1.3288095477468451e-06,-9.797097080151147,0.0,28.53268573240541,0.002080215117882286,0.6089038304416653,1.1707516681355287e-07,0.0,-8.387498439750172e-05,0.6070708879594082,0.0,38.20898426988023,3171.3395861193735,3171.3395861193735,0.00013825587995037363,0.0,0.0
344.44999999994536,30421.82654887276,3087.292995901155,-2.250254673093704,-143.01087507690312,1.5550437363185576,0.0010811180039400933,4.696655428727731,-3.1416116924091737,1120297.0540426485,776015.6849923192,0.968474268913269,0.9369485378265381,0.44835165547849415,9306.944169043221,392.31791889619114,69315.44551038965,0.14187854571081832,2.709035878528227,5.016679989449002,9.8893094401864e-05,2138.4477352976246,43167722.8001892,22935696.175269686,8.116679989449002,328.2225075364032,0.43796512065055804,-32.7505566585139,0.0,1.896635467968366e-05,12388.34765625,1.1574244406220757,-10975708.868509734,0.9007853958512761,681226.7360558098,0.0,0.8176171290830826,43173097.66069481,141966.35819949413,141950.28599359834,0.0,98.95430202623578,-1.3896656997950664e-06,-9.797141596421532,0.0,28.851271500611936,0.0019937059276346793,0.6098171156067878,1.1310070133109457e-07,0.0,-8.831769584498504e-05,0.6080768788934762,0.0,38.532389819661034,3328.992109272599,3328.992109272599,0.0001451445852714979,0.0,0.0
344.54999999994527,30421.60534641611,3073.173803225104,-2.1891323901213626,-140.10010515183546,1.5551527754484276,0.0010960491551569472,4.6967647647519755,-3.1416119893035477,1119050.696376633,774769.3273263036,0.9743553400039673,0.9487106204032898,0.4485878601175311,8947.710369759698,392.3849982796098,69440.78297271012,0.14208000279721852,2.767919416574159,5.017270273765472,0.00010797571950049711,2035.3336681192889,43427200.885487884,22933184.32274332,8.117270273765472,328.2789217816707,0.4290418280761239,-32.74996637419743,0.0,1.9261582286933532e-05,12463.576171875,1.1563794195571862,-10963546.946763406,0.9021040821220276,680601.3202102927,0.0,0.8179094952512582,43432533.83013236,136680.4750990575,136665.35947200484,0.0,103.87227160710215,-1.450208418298766e-06,-9.797185223388185,0.0,29.121283620764643,0.001908258792639872,0.6098442501970861,1.0913245996362004e-07,0.0,-9.281044527620461e-05,0.6081952519345257,0.0,38.80717917972844,3488.0336558256713,3488.0336558256713,0.0001520954790550615,0.0,0.0
344.6499999999452,30421.390251867866,3059.3471163146346,-2.1280802220176622,-137.1664675985334,1.5552633520024415,0.0011116908167314778,4.696875644367599,-3.1416122923651573,1117798.164028,773516.7949776708,0.9791825413703918,0.9583650827407837,0.4488191713309764,8591.787288518644,392.45067716371074,69563.72056952036,0.14229237864591435,2.819397027393864,5.017864175048758,0.00011793139744403769,1933.7262842971456,43639731.4089388,22930656.83295016,8.117864175048759,328.33416641233663,0.4200503367887441,-32.749372472914146,0.0,1.9563011367296212e-05,12525.32421875,1.1553571526989779,-10951323.418666353,0.9033970793347785,679122.5096948433,0.0,0.818203391216609,43645015.34914949,131439.7609724072,131425.58097404303,0.0,108.93678803247235,-1.5118160565473771e-06,-9.79722795321395,0.0,29.35017812492177,0.001824110520383646,0.6091130978801008,1.0518352355555464e-07,0.0,-9.744485475210877e-05,0.6075537888232135,0.0,39.04079717905643,3651.8217923638626,3651.8217923638626,0.00015925500167602633,0.0,0.0
344.7499999999451,30421.18125418991,3045.815007164175,-2.0671626093900297,-134.21339975634154,1.5553755383394339,0.001128063766704401,4.696988139808238,-3.141612601468804,1116540.5840719454,772259.2150216161,0.983128547668457,0.9662570953369141,0.44904555445575056,8239.853822350373,392.5149463934858,69684.228241721,0.14250368286368068,2.8640407512661885,5.018461139889821,0.00012884540495461394,1833.6109669551984,43813008.32112181,22928116.05670095,8.11846113988982,328.3882334290362,0.4110015751839384,-32.74877550807308,0.0,1.9870509567088135e-05,12575.7998046875,1.1543577181757845,-10939049.32163144,0.9046640979003604,676920.5842914602,0.0,0.8184985392317767,43818237.294808276,126242.9692056987,126229.70400568617,0.0,114.14320081496442,-1.574355444823003e-06,-9.797269779247516,0.0,29.544667042372055,0.0017412452473784077,0.6077370902971713,1.0125271267664003e-07,0.0,-0.00010221721102867018,0.6062659915350127,0.0,39.23996041535619,3820.200759037636,3820.200759037636,0.00016661642629469978,0.0,0.0
344.849999999945,30420.978331795748,3032.578934245933,-2.0065096094415935,-131.2486566358997,1.555489407599717,0.0011451579605906204,4.697102322498555,-3.141612914898838,1115280.461421799,770999.0923714696,0.9851163625717163,0.9702326655387878,0.4492669850925903,7892.922275782661,392.57779971818974,69802.28052206598,0.1427054145971783,2.9020088954971888,5.019060147424007,0.00014030766229616853,1735.5499312752574,43899034.597704545,22925566.335563157,8.119060147424007,328.4411168338278,0.4019158072319792,-32.7481765005389,0.0,2.0182635323884313e-05,12601.2265625,1.1533811581916136,-10926749.194164775,0.9059048962866386,673268.5389331324,0.0,0.8187944317159737,43904197.16992873,121098.81200527285,121086.43322760597,0.0,119.06409625216129,-1.6318955479026972e-06,-9.797310696391982,0.0,29.661544545471365,0.001659783414045985,0.605061685574437,9.734663630181013e-08,0.0,-0.0001067446163350017,0.6036764403411371,0.0,39.36143070393299,3979.171632358901,3979.171632358901,0.0001735691748729554,0.0,0.0
344.9499999999449,30420.78145383261,3019.639815888473,-1.9461914916498477,-128.27622623977746,1.5556050302545206,0.0011629614597585785,4.697218264495412,-3.141613234240891,1114019.085689377,769737.7166390477,0.9860959649085999,0.9721919298171997,0.44948344787847355,7551.7348307796665,392.63923344043883,69917.8577162731,0.14288575128734765,2.93383058092882,5.019660443227007,0.00015301009743701188,1639.060285321196,43940176.47000425,22923010.878510952,8.119660443227007,328.4928131397585,0.3928079686005137,-32.74757620473589,0.0,2.0500321435079627e-05,12613.7568359375,1.1524274698380392,-10914435.670663971,0.9071192933335664,668837.4174383293,0.0,0.8190906943340145,43945266.54494294,116010.48953232694,115998.97670299611,0.0,124.23055586109098,-1.6917072606003457e-06,-9.797350701500687,0.0,29.738514183902456,0.0015797706617934149,0.6016833545660045,9.346779948352708e-08,0.0,-0.00011150281163149101,0.600382368695631,0.0,39.44292968985644,4146.131593412787,4146.131593412787,0.0001808720335817471,0.0,0.0
345.0499999999448,30420.59058330329,3006.998225719713,-1.8862644047772543,-125.29923094098613,1.555722480755445,0.0011815263565320246,4.697336039370923,-3.1416135586154783,1112757.4644735567,768476.0954232274,0.9862878322601318,0.9725757241249084,0.44969493321698945,7216.801552270937,392.69924548635504,70030.94356083334,0.1430196101669419,2.960079989172424,5.020261515763113,0.00016706373680763775,1544.0241324852298,43946280.2564168,22920451.86165265,8.120261515763113,328.5433203044651,0.3836881378304377,-32.74697513219979,0.0,2.0823471379216585e-05,12616.2119140625,1.1514966249782856,-10902118.624020915,0.9083071435476049,663788.0282882311,0.0,0.8193870738009569,43951293.07451634,110969.0729811713,110958.40639808774,0.0,129.6249373122617,-1.7534484464220964e-06,-9.79738979255348,0.0,29.784240358598552,0.0015010888541531486,0.5977434815689177,8.960901841395578e-08,0.0,-0.00011647664096025765,0.5965253431054429,0.0,39.49313454141392,4320.495041077165,4320.495041077165,0.0001884995578252811,0.0,0.0
345.1499999999447,30420.405680589705,2994.654620832566,-1.82673663099988,-122.31766095479819,1.5558418358900346,0.0012008679185206263,4.697455725235633,-3.1416138893455985,1111495.6018026583,767214.232752329,0.9864766597747803,0.9729533791542053,0.4499014334612795,6888.310761153316,392.7578343213494,70141.52371963147,0.14309810840786727,2.981584162828047,5.020863244402288,0.0001826638686599491,1450.437666093893,43952319.28366494,22917889.797461107,8.120863244402289,328.59263704795035,0.3745585782451452,-32.74637340356062,0.0,2.1152404362290156e-05,12618.626953125,1.150588582934069,-10889798.0955543,0.909468321253901,658653.3800153096,0.0,0.8196835102297672,43957254.17594041,105976.17233766092,105966.33254973017,0.0,135.27794210804785,-1.8174295431476506e-06,-9.797427968129504,0.0,29.830065322126238,0.0014237666797321505,0.5937194160004957,8.577175697623302e-08,0.0,-0.00012169446153071588,0.5925829836367188,0.0,39.54340369173004,4503.267940315179,4503.267940315179,0.0001964957498318218,0.0,0.0
