generation,global_best_fitness,global_avg_fitness
0,-80.42935756171606,14684.970255548385
1,-184.06073184049046,11848.576699178448
2,-184.06073184049046,10257.121232477255
3,-184.06073184049046,9287.878515593597
4,-184.06073184049046,10746.577320035594
5,-184.06073184049046,10617.8874874531
6,-184.06073184049046,10684.997643328394
7,-184.06073184049046,10484.975538113275
8,-184.06073184049046,10403.8866906814
9,-184.06073184049046,10589.80477084301
10,-184.06073184049046,9982.013820695616
11,-184.06073184049046,9151.30968648896
