time,x,y,vx,vy,theta,theta_dot,alpha,mass,MomentsApplied,ParallelThrust,PerpendicularThrust
32.54,317.916989150561,3858.88090038342,27.6663181555469,254.678146157016,1.45814580569263,-0.00524955743070601,0.00444236698926903,6867407.4685849,32425246.5090238,118627029.743596,690430.010962894
32.55,318.193652332116,3861.42768184499,27.686710693276,254.751585046415,1.45809331011832,-0.00523356366270543,0.0044466986717373,6867067.60162842,32447277.9703453,118467031.128464,690899.907729475
32.56,318.470519439049,3863.97519769546,27.7070875710802,254.824798107563,1.4580409744817,-0.00521755860952834,0.00445086418533247,6866728.19872599,32469009.805743,118308059.538997,691363.424549138
32.57,318.74759031476,3866.52344567653,27.7274488938023,254.897786806228,1.4579887988956,-0.00520154241954936,0.00445486350710977,6866389.25691391,32490441.8167876,118150108.957848,691820.557179776
32.58,319.024864803698,3869.0724235446,27.747794765641,254.970552599714,1.45793678347141,-0.00518551524124793,0.0044586966155018,6866050.77324583,32511573.8076133,117993173.402785,692271.301433885
32.59,319.302342751354,3871.62212907059,27.7681252901527,255.043096936908,1.45788492831899,-0.00516947722320703,0.00446236349032381,6865712.74479273,32532405.5849195,117837246.926493,692715.653178599
32.6,319.580024004256,3874.17256003996,27.7884405702551,255.115421258327,1.45783323354676,-0.00515342851411196,0.00446586411277683,6865375.16864276,32552936.9579701,117682323.616373,693153.608335679
32.61,319.857908409958,3876.72371425255,27.808740708229,255.187526996169,1.45778169926162,-0.00513736926274908,0.00446919846545279,6865038.04190118,32573167.7385978,117528397.594353,693585.162881599
32.62,320.135995817041,3879.27558952251,27.8290258057219,255.259415574359,1.45773032556899,-0.00512129961800459,0.0044723665323374,6864701.36169025,32593097.7412069,117375463.016683,694010.312847605
32.63,320.414286075098,3881.82818367825,27.8492959637499,255.331088408594,1.45767911257281,-0.00510521972886327,0.00447536829881501,6864365.1251491,32612726.7827715,117223514.073749,694429.05431968
32.64,320.692779034735,3884.38149456234,27.8695512827011,255.402546906395,1.45762806037552,-0.00508912974440721,0.0044782037516724,6864029.32943369,32632054.6828395,117072544.989876,694841.383438631
32.65,320.971474547562,3886.9355200314,27.8897918623377,255.473792467149,1.45757716907808,-0.00507302981381461,0.00448087287910215,6863693.97171665,32651081.2635336,116922550.023134,695247.296400102
32.66,321.250372466186,3889.49025795607,27.910017801799,255.54482648216,1.45752643877994,-0.00505692008635851,0.00448337567070678,6863359.04918724,32669806.3495542,116773523.465153,695646.789454646
32.67,321.529472644204,3892.04570622089,27.9302291996038,255.61565033469,1.45747586957908,-0.00504080071140553,0.00448571211750348,6863024.55905119,32688229.7681788,116625459.640926,696039.858907703
32.68,321.8087749362,3894.60186272424,27.9504261536535,255.686265400012,1.45742546157196,-0.00502467183841464,0.00448788221192542,6862690.49853066,32706351.3492645,116478352.908623,696426.501119658
32.69,322.088279197736,3897.15872537824,27.9706087612343,255.756673045448,1.45737521485358,-0.00500853361693592,0.00448988594782773,6862356.86486413,32724170.9252527,116332197.659403,696806.712504308
32.7,322.367985285349,3899.7162921087,27.99077711902,255.826874630422,1.45732512951741,-0.0049923861966093,0.00449172332049042,6862023.65530626,32741688.3311649,116186988.317459,697180.475132729
32.71,322.647893056539,3902.274560855,28.0109313230749,255.896871506499,1.45727520565544,-0.00497622972736158,0.00449339432662033,6861690.86712787,32758903.4046084,116042719.339137,697547.799934335
32.72,322.92800236977,3904.83352957006,28.0310714688352,255.966665017437,1.45722544335817,-0.00496006435900862,0.00449489896444066,6861358.49761578,32775815.9857806,115898304.326897,697908.683490061
32.73,323.208313084458,3907.39319622024,28.0511976510704,256.036256498466,1.45717584271458,-0.00494389024139886,0.0044962372335271,6861026.54404214,32792425.9174656,115754682.537897,698263.122436012
32.74,323.488825060969,3909.95355878522,28.0713097854855,256.105645712506,1.45712640381217,-0.00492770752451222,0.00449740916178754,6860695.00681367,32808733.0450365,115611983.288774,698611.11345631
32.75,323.769538158824,3912.51461524235,28.0914079430506,256.174833782767,1.45707712673692,-0.00491151635842109,0.00449841475477042,6860363.88365418,32824737.2164569,115470207.668416,698952.65329641
32.76,324.050452238254,3915.07636358018,28.1114922163886,256.243822019968,1.45702801157334,-0.00489531689328092,0.00449925401607398,6860033.17191764,32840438.2822822,115329351.112738,699287.73875784
32.77,324.331567160418,3917.63880180038,28.1315626986045,256.312611736662,1.4569790584044,-0.00487910927932835,0.00449992695057988,6859702.868955,32855836.095661,115189408.278187,699616.366697406
32.78,324.612882787404,3920.20192791774,28.1516194823497,256.381204239042,1.45693026731161,-0.00486289366687983,0.00450043356459906,6859372.97213032,32870930.5123387,115050373.813397,699938.534027231
32.79,324.894398982227,3922.76573996013,28.1716626596905,256.449600825814,1.45688163837494,-0.00484667020633042,0.00450077386589465,6859043.47882301,32885721.3906549,114912242.393217,700254.237714687
32.8,325.176115608824,3925.33023596839,28.1916923221041,256.517802788181,1.45683317167288,-0.0048304390481525,0.0045009478636866,6858714.38642787,32900208.591548,114775008.72342,700563.474782504
32.81,325.458032532045,3927.89541399627,28.2117085604802,256.585811409878,1.4567848672824,-0.00481420034289452,0.00450095556865437,6858385.69235502,32914391.978556,114638667.540758,700866.242308774
32.82,325.74014961765,3930.46127211037,28.2317114651239,256.653627967218,1.45673672527897,-0.00479795424117976,0.00450079699294026,6858057.39402976,32928271.4178155,114503213.612823,701162.537426941
32.83,326.022466732301,3933.02780839004,28.2517011257579,256.721253729132,1.45668874573656,-0.00478170089370506,0.00450047215015204,6857729.48889254,32941846.778067,114368641.737867,701452.357325907
32.84,326.304983743559,3935.59502092734,28.2716776315253,256.788689957211,1.45664092872762,-0.0047654404512396,0.00449998105536564,6857401.97439885,32955117.9306519,114234946.744632,701735.699249965
32.85,326.587700519874,3938.16290782691,28.2916410709923,256.855937905751,1.45659327432311,-0.00474917306462359,0.00449932372512873,6857074.8480191,32968084.7495181,114102123.492175,702012.560498934
