step,state_mean,state_min,state_max,state_std,state_kurtosis,action_mean,action_min,action_max,action_std,action_kurtosis,reward_mean,reward_min,reward_max,reward_std,reward_kurtosis,critic_loss,actor_loss,alpha_loss,alpha_value,q_value_mean,q_value_min,q_value_max,q_value_std,log_prob_mean,log_prob_min,log_prob_max,log_prob_std,target_q_mean,target_q_min,target_q_max,target_q_std
14,1.6502333,1.5474315,1.7515444,0.05885086,-1.0854013,-0.046788577,-0.9965608,0.9965462,0.70196587,-1.5312346,0.015811834,-5.978674,0.20187505,0.6587193,77.37276,0.8644866943359375,-0.3394656479358673,-2.705799102783203,0.1991005574731601,0.20466876,0.114959836,0.25027484,0.0387577,-0.6768253,-2.2323744,-0.58554447,0.14714997,0.24591385,-5.753187,0.5531343,0.6587519
15,1.6503745,1.5474315,1.7481215,0.05674991,-1.0668397,-0.111043915,-0.99961925,0.99618036,0.6869714,-1.4679086,0.08343506,-0.7962805,0.20187505,0.10948315,33.308216,0.049446094781160355,-0.3661819100379944,-2.71793270111084,0.19904051800161118,0.22999105,0.1393336,0.28199688,0.041344948,-0.6840305,-1.4457319,-0.49858105,0.12812296,0.3135349,-0.5883651,0.5754535,0.12271267
16,1.6499509,1.5471647,1.7515444,0.05986466,-1.0716636,-0.03588779,-0.99961925,0.9965462,0.70101017,-1.5018728,0.042614922,-5.978674,0.20187505,0.40372595,190.6621,0.34431952238082886,-0.4065362215042114,-2.689250946044922,0.1989804810692939,0.27398562,0.18393509,0.32477233,0.04245145,-0.6659478,-1.8936017,-0.3935809,0.16642877,0.27654725,-5.8113427,0.56493604,0.41286722
17,1.647676,1.5471647,1.750404,0.059648182,-1.158689,-0.0070202313,-0.99961925,0.9965462,0.7053917,-1.5422184,0.025492512,-5.979085,0.20024785,0.5488551,109.016624,0.6247275471687317,-0.4431082606315613,-2.7005443572998047,0.19892043554799432,0.3092678,0.21507414,0.3561894,0.040264685,-0.67263126,-1.7194324,-0.28418744,0.21343993,0.25244248,-5.80581,0.5857943,0.5516301
18,1.653862,1.5471647,1.7515444,0.056846667,-1.0287762,-0.06497025,-0.99961925,0.9965462,0.6834642,-1.4769908,0.041477706,-5.979085,0.20187505,0.54542553,113.02119,0.6069977283477783,-0.46532291173934937,-2.690126419067383,0.19886040175963338,0.33286828,0.24073571,0.3641203,0.031440124,-0.6658673,-1.213316,-0.18025148,0.22562028,0.26991522,-5.7058487,0.7263348,0.5459672
19,1.651582,1.5471647,1.750404,0.05761075,-1.0415994,-0.02900197,-0.9965608,0.9965462,0.7338597,-1.6376625,0.03624217,-5.979085,0.20187505,0.5453501,112.69885,0.6435978412628174,-0.44967636466026306,-2.640778064727783,0.19880045212237135,0.32339948,0.25073734,0.35073295,0.028506812,-0.6350026,-2.802359,-0.09639621,0.329603,0.25958133,-5.865961,0.5872747,0.5590687
20,1.6472633,1.5471647,1.7515444,0.05890629,-0.8511003,-0.0561701,-0.99961925,0.9909677,0.6725526,-1.4323919,0.024728311,-5.979085,0.20024785,0.54381806,113.092926,0.6105654835700989,-0.42477530241012573,-2.648890495300293,0.19874056671311524,0.29759884,0.22979434,0.3216533,0.023336036,-0.63971925,-1.5330691,-0.048568487,0.30036506,0.2536761,-5.8276477,0.545705,0.54867935
21,1.6465372,1.5474315,1.7492633,0.058013637,-1.0994128,-0.043968704,-0.99961925,0.9965462,0.67479676,-1.4323723,0.081375904,-0.7962805,0.19861764,0.09745344,33.269672,0.03846166655421257,-0.3999921679496765,-2.6633362770080566,0.19868071922829916,0.27113795,0.21339016,0.29717386,0.021827908,-0.64835393,-1.1782463,-0.038551092,0.30353922,0.29810357,-0.46158072,0.6332655,0.13607465
22,1.648552,1.5471647,1.7515444,0.06091641,-1.152015,-0.0024022488,-0.99928164,0.9965462,0.6779636,-1.4380087,-0.005654284,-5.979085,0.1969858,0.6656043,73.05787,0.9090651273727417,-0.3625544607639313,-2.6966171264648438,0.19862085951752162,0.22970846,0.17980802,0.25974366,0.020967498,-0.66864073,-1.5344241,-0.051771164,0.31387866,0.21823725,-5.8673587,0.5920599,0.671585
23,1.6486572,1.5471647,1.7515444,0.061474994,-1.1987882,-0.084601626,-0.99928164,0.9965462,0.6832491,-1.4600475,0.053704068,-5.978674,0.20024785,0.39138687,217.61942,0.3153892755508423,-0.34818124771118164,-2.7034096717834473,0.19856098327380436,0.21460237,0.15965371,0.24055484,0.019170769,-0.6725321,-2.0507436,-0.088056326,0.28431222,0.28862387,-5.652991,0.67951906,0.3936431
24,1.6502756,1.5471647,1.7515444,0.05974416,-1.055161,-0.05956067,-0.9965608,0.9965462,0.68422633,-1.4963356,-0.022369403,-5.979085,0.20187505,0.76643866,54.035103,1.145975947380066,-0.3205086886882782,-2.6818151473999023,0.1985011289425157,0.18968429,0.14498018,0.22083023,0.020867687,-0.6588626,-1.5525613,-0.14691687,0.27890512,0.20730564,-5.713204,0.56125844,0.7579762
25,1.6479337,1.5484847,1.7513723,0.05765438,-1.0249819,-0.025120508,-0.99961925,0.9965462,0.6828115,-1.4860827,-0.017216317,-5.979085,0.20187505,0.7563878,57.305744,1.1718883514404297,-0.3041345477104187,-2.6741864681243896,0.19844130898876775,0.17434749,0.13359593,0.20731412,0.019476613,-0.6538354,-1.6688538,-0.22720587,0.25438204,0.21354431,-5.833314,0.6355212,0.766626
26,1.6478655,1.5471647,1.750404,0.05886884,-1.0810096,-0.08777935,-0.99961925,0.9965462,0.69529873,-1.4571902,0.054961007,-5.979085,0.20024785,0.39327615,213.72272,0.3433109521865845,-0.3192819058895111,-2.682608127593994,0.198381509802038,0.18856177,0.15223816,0.21778429,0.016481878,-0.65873444,-2.4484503,-0.3255371,0.23051324,0.28746182,-5.786631,0.5823801,0.4016396
27,1.6472172,1.5471647,1.750404,0.058235466,-0.9832693,-0.0031385683,-0.99961925,0.9965462,0.68685913,-1.4955721,0.07635507,-0.9378575,0.19861764,0.11634558,36.89773,0.05845988541841507,-0.35402151942253113,-2.690199851989746,0.19832172076147303,0.222471,0.19261572,0.24808192,0.014659432,-0.66311884,-1.0655968,-0.43061066,0.12725034,0.3075914,-0.66376317,0.51799417,0.12968992
28,1.6503325,1.5471647,1.7515444,0.05938121,-1.0678122,-0.08090344,-0.9965608,0.99618036,0.6660998,-1.411066,-0.0026548104,-5.979085,0.20187505,0.6657577,73.1288,0.8793346285820007,-0.38948482275009155,-2.712794780731201,0.19826190939481292,0.2552657,0.22539578,0.2768824,0.012989085,-0.67677474,-1.4808547,-0.53533363,0.10513954,0.23771757,-5.7316904,0.51847446,0.6637947
29,1.6464677,1.5471647,1.7515444,0.058109116,-0.940185,-0.076168545,-0.99961925,0.9965462,0.65714324,-1.364586,0.050011028,-5.978674,0.19861764,0.39412475,211.10822,0.3133929669857025,-0.4232097566127777,-2.7009034156799316,0.19820210099354524,0.29055,0.25755584,0.31307945,0.014177442,-0.6691136,-1.1617773,-0.57472193,0.06892081,0.2876473,-5.6906962,0.5200972,0.39323473
30,1.6499302,1.5471647,1.7515444,0.059671797,-1.157142,-0.058879267,-0.99961925,0.9965462,0.68149924,-1.4671818,-0.019661384,-5.979085,0.20187505,0.76224166,55.39945,1.1581766605377197,-0.4412384033203125,-2.718642234802246,0.19814227119472086,0.306508,0.2515694,0.33350414,0.019127887,-0.6797627,-3.1619735,-0.503548,0.2350428,0.22418001,-5.7388744,0.48207515,0.7600797
31,1.6484879,1.5471647,1.7515444,0.058808286,-1.0816555,-0.07276595,-0.99961925,0.9965462,0.6882982,-1.468948,0.031097699,-5.979085,0.20187505,0.5465433,111.312035,0.5963218808174133,-0.4444066882133484,-2.70059871673584,0.19808245520591075,0.31198764,0.23722273,0.34284174,0.030008007,-0.6683029,-1.4949243,-0.4457581,0.15590273,0.27629513,-5.7054467,0.5226102,0.54536426
32,1.6520171,1.5472741,1.7486421,0.057699744,-1.1312566,-0.07256895,-0.99928164,0.9909677,0.6816645,-1.4690932,0.067020535,-5.979085,0.20024785,0.39065328,221.24277,0.30539757013320923,-0.4399831295013428,-2.6895320415496826,0.19802267286518954,0.30901963,0.2256423,0.34632474,0.0327496,-0.66115665,-1.2920072,-0.39550805,0.15259245,0.31461462,-5.72281,0.54538333,0.3924079
33,1.648631,1.5471647,1.750404,0.05803639,-1.0610025,-0.02369846,-0.99928164,0.9965462,0.6805209,-1.4447658,0.07830301,-0.9378575,0.19756639,0.1293197,37.690067,0.04164408519864082,-0.4390175938606262,-2.6751151084899902,0.1979629470547592,0.30991793,0.22238633,0.34934917,0.03281884,-0.65194404,-1.8863969,-0.33353043,0.20779885,0.32723778,-0.67895746,0.5687665,0.13662145
34,1.646469,1.5472741,1.7492633,0.059301477,-1.021179,-0.11407928,-0.99961925,0.99618036,0.69214517,-1.3981498,0.023021655,-5.979085,0.20187505,0.5450335,111.948425,0.5944477319717407,-0.4333629012107849,-2.693645715713501,0.19790324435451093,0.3020981,0.21513063,0.34287667,0.03292106,-0.6630775,-2.1715798,-0.2768309,0.29248038,0.27005124,-5.7443633,0.5775491,0.54734564
35,1.6434295,1.5474315,1.7492633,0.054655474,-0.67156065,-0.028437752,-0.99961925,0.9965462,0.67858225,-1.4568329,0.074635446,-0.7962805,0.19861764,0.099366546,35.17436,0.029022015631198883,-0.43719610571861267,-2.682008743286133,0.19784358463131602,0.30745375,0.22379862,0.34195173,0.029492069,-0.6555846,-2.589189,-0.26378047,0.2798241,0.32202974,-0.5121493,0.6369006,0.11186859
36,1.6484855,1.5471647,1.7515444,0.057150472,-0.9840148,-0.023397423,-0.99928164,0.99618036,0.6978605,-1.5587374,-0.015252748,-5.979085,0.20024785,0.7593568,56.447495,1.1626255512237549,-0.4236164093017578,-2.6684255599975586,0.1977839886383021,0.29563278,0.21874702,0.32836685,0.024371753,-0.6468932,-1.5499966,-0.2621318,0.22510062,0.23595272,-5.708075,0.7278525,0.75691
37,1.6478398,1.5471647,1.7515444,0.05896712,-1.0010703,-0.07167938,-0.99961925,0.98879385,0.6829564,-1.4872599,0.022642173,-5.979085,0.20187505,0.54890853,108.745125,0.6015961170196533,-0.40688106417655945,-2.695861339569092,0.19772440659737497,0.27564812,0.20632355,0.30448994,0.024337359,-0.6635165,-1.8106198,-0.27813375,0.2538918,0.27189416,-5.723221,0.57095426,0.5488703
38,1.648633,1.5471647,1.7515444,0.05908065,-1.050601,-0.10482131,-0.99961925,0.9965462,0.67662835,-1.4310497,0.0076408843,-5.979085,0.19861764,0.66115206,75.795265,0.868309736251831,-0.37922459840774536,-2.6308183670043945,0.19766494917040342,0.2560266,0.18832085,0.28097448,0.020362929,-0.62307936,-1.2465336,-0.30583477,0.20367432,0.25936142,-5.694161,0.5085567,0.6586883
39,1.6485195,1.5471647,1.7515444,0.056698643,-0.90986794,-0.059626278,-0.99961925,0.99618036,0.7001975,-1.5160882,0.037119396,-5.978674,0.20024785,0.41029602,178.07365,0.34253689646720886,-0.372949481010437,-2.7200393676757812,0.19760545462853504,0.23896968,0.16514947,0.26886165,0.02249786,-0.6778127,-1.8664145,-0.36507106,0.20641175,0.29104254,-5.706043,0.7038738,0.41047165
40,1.6485447,1.5472741,1.7515444,0.059051745,-0.9975014,0.01853844,-0.99928164,0.99618036,0.6704497,-1.4567535,0.039303932,-5.978674,0.20024785,0.4033308,190.97874,0.32828572392463684,-0.3717106878757477,-2.709150552749634,0.19754594914418983,0.23915973,0.18004428,0.26586956,0.0204722,-0.6707859,-3.2498584,-0.41441107,0.23465317,0.29240125,-5.709918,0.48673815,0.40249938
41,1.6497288,1.5472741,1.7515444,0.05939784,-0.9416938,0.011638436,-0.99961925,0.9965462,0.6587461,-1.3597755,0.01383446,-5.979085,0.20187505,0.6574053,77.91764,0.8616686463356018,-0.37680160999298096,-2.7236251831054688,0.19748641299468794,0.24258873,0.17696586,0.27017304,0.021240631,-0.6794007,-2.5461864,-0.472682,0.18188822,0.2689454,-5.7130404,0.62353665,0.65692514
42,1.6462994,1.5474315,1.7515444,0.05552595,-0.7437298,0.023205146,-0.9965608,0.99618036,0.6626212,-1.416772,0.052572187,-5.978674,0.20187505,0.388309,224.39587,0.30720317363739014,-0.3936220109462738,-2.7053916454315186,0.1974268843276238,0.26173115,0.21110478,0.2873308,0.01740196,-0.66784775,-1.7930491,-0.53722453,0.11421437,0.30325454,-5.6928053,0.6470102,0.38762265
43,1.6503427,1.5471647,1.7515444,0.05942658,-1.0168282,-0.111301936,-0.99928164,0.9908895,0.679442,-1.4152782,0.03561486,-5.978674,0.20187505,0.5437774,113.95663,0.5908321738243103,-0.4179038405418396,-2.738879442214966,0.19736730866048358,0.2820388,0.22799358,0.31225693,0.017903762,-0.6881789,-2.3944159,-0.5837889,0.17029671,0.28660733,-5.7281938,0.5185518,0.54308033
44,1.6490594,1.5471647,1.7515444,0.05885301,-1.0499187,-0.05955006,-0.99961925,0.9965462,0.68968356,-1.4588275,-0.05212471,-5.979085,0.20187505,0.84949076,43.29686,1.4483323097229004,-0.4128366708755493,-2.7223727703094482,0.19730772345947165,0.2790823,0.22883849,0.3125618,0.021747101,-0.67769253,-1.9248767,-0.5558744,0.121742256,0.20355223,-5.7611933,0.68721443,0.84910196
45,1.6475047,1.5471647,1.750404,0.0589906,-1.0210919,-0.0041517764,-0.99961925,0.9965462,0.691892,-1.4622113,0.06734282,-0.9378575,0.20187505,0.12990817,25.093645,0.04116681590676308,-0.4152027368545532,-2.708937406539917,0.19724815663903486,0.2831837,0.22385073,0.3126613,0.02385966,-0.6691022,-1.8485451,-0.5071049,0.12979697,0.32001543,-0.6283895,0.69504297,0.13522775
46,1.6449549,1.5472741,1.7486421,0.05406744,-0.8304223,-0.12163355,-0.99928164,0.9965462,0.65540236,-1.3177029,0.0569139,-5.979085,0.20187505,0.38445497,234.3581,0.2994254231452942,-0.4199935495853424,-2.7241110801696777,0.19718858343688647,0.2862318,0.22337362,0.31589368,0.026091918,-0.6781393,-1.8039184,-0.47275412,0.17193252,0.30629194,-5.697706,0.59617805,0.38661325
47,1.6509105,1.5471647,1.7515444,0.05857067,-1.0685716,-0.117850944,-0.99961925,0.99618036,0.65496284,-1.337738,-0.0019994602,-5.979085,0.19756639,0.66793764,72.181725,0.8871703147888184,-0.4121769368648529,-2.736727237701416,0.1971289864139159,0.27698493,0.21055925,0.3068632,0.026959995,-0.6855975,-2.276851,-0.44065404,0.18763015,0.25329092,-5.7315125,0.640312,0.6665934
48,1.6490523,1.5471647,1.7515444,0.058247276,-1.0525972,-0.066334665,-0.9964825,0.9965462,0.6883996,-1.5108018,-0.02586443,-5.979085,0.20024785,0.7629272,54.94723,1.16001296043396,-0.38659602403640747,-2.6726841926574707,0.1970694838526349,0.25928104,0.19911337,0.28450176,0.02360187,-0.645846,-1.3854167,-0.41192305,0.15814583,0.22137119,-5.726497,1.035273,0.7605236
49,1.6466212,1.5474913,1.7515444,0.05278304,-0.6856991,-0.022843665,-0.99928164,0.9965462,0.67062414,-1.3915825,0.0129457265,-5.979085,0.20187505,0.6566506,78.24179,0.8672247529029846,-0.3714883327484131,-2.704522132873535,0.19701001244489263,0.24040908,0.18075112,0.2677907,0.022947889,-0.6651423,-2.1669014,-0.40020096,0.23403467,0.26592314,-5.7873726,0.8150893,0.66032755
