time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,alpha_effective,control_force_y,g_load_1_sec_window,atmospheric_pressure,speed_of_sound,ug,drag,fuel_percentage_consumed,control_force_parallel,vg,control_force_perpendicular,mach_number_max,CD,d_thrust_cg,d_cp_cg,inertia,air_density,aero_force_x,x_cog,control_force_x,mach_number,lift,gravity_force_y,mass_flow,CL,aero_force_y,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component,moment_dict_aero_moment_z,moment_dict_moments_z,moment_dict_theta_dot_dot,moment_dict_M_wind_z,moment_dict_control_moment_z
296.0499999999894,31500.402144106545,29784.499000075288,-52.05957242362262,-1030.7530038663094,1.5202599025880223,0.00048100546736178345,4.66192550974687,-3.1416656071588474,1628067.32317717,1283785.9541268407,0.8452736139297485,0.6905471682548523,0.0017252758974657934,10102.303088812969,360.4408413579581,7.306372251303372e-05,38853334.58961082,0.1458523667198463,1231.4608295316345,301.58345361921766,0.0,205905.27568528426,0.6983354276114231,38903025.45735247,0.0,0.0,8.68355095697585,0.18957692531008033,7.916086921880606,-32.9511497260823,23777920.89665836,0.018955428981573288,10308.153403123202,4.816086921880605,1965650.2748874975,3.4233466311083167,80.68489613509168,-15817517.997768309,10812.412109375,7.42865595713682e-05,205647.10316098074,1.2073519607601577,7.75835309386713e-08,-4.9495608841099335e-05,0.0,-9.715518377274753,0.0,-2.4998425650464635e-06,0.006379518313612025,0.0,23.86469775327756,1.2134820123685401,14.271510411895482,3154.3839676420844,3154.3839676420844,0.00013266020950071318,0.0,0.0
296.1499999999893,31495.203770623033,29681.512950534023,-51.938234096644834,-1029.3247745814867,1.520308057560511,0.00047828155475552667,4.661973190132786,-3.1416651325722746,1626986.0819662325,1282704.7129159032,0.8452736139297485,0.6905471682548523,0.0034481635452135026,10235.35974767215,360.35957664412393,7.251282549569638e-05,38853189.39326913,0.29187994232207204,1250.584664101683,301.5154434916462,0.0,208717.82589369023,0.6985894446483566,38902785.210212655,0.0,0.0,8.616901112201711,0.18966833238678607,7.916435597665224,-32.95080105029768,23776467.624739654,0.019258480202500726,10626.505821115581,4.816435597665223,1963764.518138545,3.4193691294341306,-105.93804221829564,-15807522.02247877,10812.412109375,-9.626916971672284e-05,208447.16223228216,1.2069952778977135,7.874803004828762e-08,6.503032680821849e-05,0.0,-9.715831129529509,0.0,3.28133590150873e-06,0.0064648475755155815,0.0,23.88046820063425,1.2133250994372597,14.288767494929278,-2992.0422198790106,-2992.0422198790106,-0.00012584048510072877,0.0,0.0
296.2499999999892,31490.017529503948,29578.66983193058,-51.816922212939815,-1027.8948164518647,1.5203555235115056,0.0004761521256499428,4.66202089301728,-3.141665369505774,1625904.8406637423,1281623.471613413,0.8452736139297485,0.6905471682548523,0.005168660054080256,10369.94542223595,360.2784038065289,7.269299103995763e-05,38853035.92678971,0.4380831521095775,1269.9877801527482,301.44751018946795,0.0,211566.2215238129,0.6988434616996292,38902538.15673952,0.0,0.0,8.550822418906547,0.18976156538660563,7.91678458194631,-32.950452066016595,23775013.084706806,0.019566095798118185,10602.475313051407,4.816784581946309,1961905.7847313792,3.4153832503786283,51.79130161839616,-15797524.689201798,10812.4130859375,4.645353307219935e-05,211300.39349096853,1.2066547412027333,7.992910650627907e-08,-3.181343605768328e-05,0.0,-9.71614346307794,0.0,-1.603738354491932e-06,0.006551232607989882,0.0,23.896254537829382,1.2129740506950328,14.306075973943136,2213.304367586175,2213.304367586175,9.309371816959694e-05,0.0,0.0
296.3499999999891,31484.843417538712,29475.9698174452,-51.69564026504466,-1026.463125035479,1.5204037523894907,0.0004832066734995643,4.662068615123281,-3.14166486273379,1624823.5994528048,1280542.2304024755,0.8452736139297485,0.6905471682548523,0.006886762526876596,10506.073493053656,360.19732305480693,7.235564708585329e-05,38852880.62521384,0.5844624310589814,1289.673901350827,301.3796538879766,0.0,214449.5581391689,0.6990974787437323,38902288.30819555,0.0,0.0,8.48530979171386,0.1898554709183501,7.917133874851306,-32.950102773111595,23773557.275583252,0.01987833875730877,10825.660562258876,4.817133874851306,1960026.2082053514,3.4113889753478217,-36.52434406555023,-15787526.00012042,10812.412109375,-3.233555994575088e-05,214176.14104634352,1.2063009232912627,8.112648134259006e-08,2.2450505687961632e-05,0.0,-9.716455377332787,0.0,1.1306721474023645e-06,0.006638644679711105,0.0,23.912060754347984,1.2127618329848293,14.323421045646972,-692.2061190781204,-692.2061190781204,-2.9116640436013087e-05,0.0,0.0
296.449999999989,31479.681432644113,29373.41308062339,-51.57437792484688,-1025.0296966464778,1.520451424505851,0.00047403717184836823,4.662116366642524,-3.1416649421366727,1623742.3582418673,1279460.989191538,0.8452736139297485,0.6905471682548523,0.00860246806030232,10643.757377385045,360.1163345990025,7.220004273555958e-05,38852718.16155906,0.7310182080341203,1309.646794043054,301.3118747628215,0.0,217369.04159267724,0.6993514957806659,38902031.67589082,0.0,0.0,8.420358191621148,0.18995079665828773,7.917483476537276,-32.94975317142563,23772100.19626873,0.02019527282264755,10963.512369299893,4.8174834765372765,1958152.1826638954,3.407386285646943,-37.860791247864896,-15777525.954749733,10812.412109375,-3.3085150520750783e-05,217092.3837284182,1.2059500528052465,8.234067348094351e-08,2.3287535529836357e-05,0.0,-9.71676687170562,0.0,1.1717125487031783e-06,0.006727118619003683,0.0,23.927883610567047,1.2125002059238037,14.340810573364951,-730.3885150868832,-730.3885150868832,-3.0724610322882835e-05,0.0,0.0
296.5499999999889,31474.531571840304,29270.999795492822,-51.45314961885546,-1023.5945260682723,1.5204994143818713,0.00048399407770666463,4.662164133626937,-3.1416647192450657,1622661.1170614474,1278379.748011118,0.8452736139297485,0.6905471682548523,0.010315773742991148,10783.010524431635,360.0354386496623,7.222149505459186e-05,38852552.52483067,0.8777509408563164,1329.9102675994973,301.2441729900471,0.0,220325.14398050687,0.6996055128104299,38901772.27117994,0.0,0.0,8.355962625610932,0.19004761712370466,7.9178333871613855,-32.94940326080152,23770641.845662355,0.020516962496935832,11014.833019656486,4.817833387161385,1956284.2697364972,3.4033751620114736,49.00191802051607,-15767524.5537912,10812.412109375,4.226797534789828e-05,220049.6419555554,1.2056024817302726,8.357192609573676e-08,-3.0160411169365786e-05,0.0,-9.717077945606626,0.0,-1.5160770294702299e-06,0.006816669699821079,0.0,23.943725597610033,1.2121886788225322,14.358247424267077,2138.881819519995,2138.881819519995,8.997997754571765e-05,0.0,0.0
296.64999999998884,31469.393832610327,29168.730136507726,-51.33194029359862,-1022.157609601331,1.520547466457826,0.0004762554171915535,4.662211930893747,-3.1416644644359213,1621579.8758810274,1277298.506830698,0.8452736139297485,0.6905471682548523,0.012026676656440537,10923.846416167464,359.95463541779156,7.176531091790395e-05,38852385.02695641,1.0246610839042092,1350.4681747619265,301.17654874610645,0.0,223317.61260599055,0.699859529840194,38901510.105462566,0.0,0.0,8.292118146239845,0.19014538359144284,7.918183606890796,-32.949053041072105,23769182.22262133,0.020843473049855593,11305.466614350444,4.818183606890797,1954396.6338846842,3.3993555850472275,-102.21216248723204,-15757521.797353463,10812.412109375,-8.702927913767367e-05,223031.2824964185,1.2052422843634716,8.482020840675929e-08,6.295312328700419e-05,0.0,-9.717388598444574,0.0,3.161455665456983e-06,0.006907286905878058,0.0,23.959587563238202,1.2120121311108036,14.375722246397315,-2839.7373435380246,-2839.7373435380246,-0.00011947139438543338,0.0,0.0
296.74999999998875,31464.268212486888,29066.604278563944,-51.21076243326199,-1020.71894217558,1.5205951988930761,0.00048126654785545826,4.662259746366711,-3.141664547473635,1620498.6346395724,1276217.265589243,0.8452736139297485,0.6905471682548523,0.013735173874760169,11066.278566134963,359.8739251148661,7.197032802341852e-05,38852209.449860506,1.1717490901388172,1371.3244120083084,301.10900220782366,0.0,226348.2833947023,0.7001135468842969,38901241.19018259,0.0,0.0,8.228819851182928,0.19024532877083425,7.918534135902714,-32.94870251206019,23767721.325960837,0.021174870524883527,11264.435215815427,4.818534135902714,1952533.4826652405,3.3953275353100074,80.28274350931312,-15747517.685249059,10812.412109375,6.747750283098153e-05,226067.83128148963,1.2048967156948691,8.608628362639144e-08,-4.947976508875735e-05,0.0,-9.71769882962696,0.0,-2.482462498259479e-06,0.006999027443644546,0.0,23.975465711208034,1.2116458203429852,14.393250114136913,3181.958457584206,3181.958457584206,0.00013387730417844637,0.0,0.0
296.84999999998865,31459.15470847381,28964.622397026036,-51.08960847564143,-1019.2785197333337,1.5206435208246398,0.00048060686480511745,4.662307587569952,-3.141664066745312,1619417.3934591524,1275136.024408823,0.8452736139297485,0.6905471682548523,0.01544126246421839,11210.32051966353,359.79330795285335,7.14647241739641e-05,38852032.47524303,1.3190154119931476,1392.482919888304,301.0415335524511,0.0,229416.1452482212,0.7003675639140611,38900969.536828175,0.0,0.0,8.166062882871737,0.19034625802114327,7.918884974315077,-32.94835167364783,23766259.154742807,0.021511221745754264,11587.016493139576,4.818884974315076,1950641.8040980264,3.391290993636384,-99.72257610526151,-15737512.21906998,10812.412109375,-8.273968330052561e-05,229123.37003006221,1.20453306971797,8.736983477624502e-08,6.150208294586308e-05,0.0,-9.718008638559764,0.0,3.0826876828157204e-06,0.007091857759964562,0.0,23.99136419811649,1.2114859031365695,14.410813080900843,-2745.500951181395,-2745.500951181395,-0.00011552095486737556,0.0,0.0
296.94999999998856,31454.053318457907,28862.784667669977,-50.968479944252586,-1017.8363375651265,1.5206911889855366,0.00047795318486126213,4.66235545313517,-3.1416642641496333,1618336.152248215,1274054.7831978856,0.8452736139297485,0.6905471682548523,0.017144939484200847,11355.985845856023,359.7127841441674,7.15919483917915e-05,38851851.50850562,1.4664605217912778,1413.9476833964982,300.9741429576037,0.0,232523.47712517806,0.7006215809509946,38900695.15692679,0.0,0.0,8.103842428020775,0.19044973000398246,7.919236122315198,-32.94800052564771,23764795.707739837,0.021852594323532804,11584.549801142035,4.819236122315197,1948773.4740541903,3.3872459401802395,47.40512454506551,-15727505.398332916,10812.412109375,3.882744780026037e-05,232234.72580028576,1.2041833653329237,8.867179771751149e-08,-2.9255850804538973e-05,0.0,-9.718318024647752,0.0,-1.4649960803622723e-06,0.007185847223262946,0.0,24.00728146283582,1.2111393777371784,14.428432367482012,2110.383128201531,2110.383128201531,8.880291478854206e-05,0.0,0.0
