time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,aero_force_y,alpha_effective,mach_number_max,air_density,speed_of_sound,mass_flow,fuel_percentage_consumed,ug,d_thrust_cg,d_cp_cg,control_force_x,control_force_parallel,g_load_1_sec_window,lift,drag,aero_force_x,CD,x_cog,control_force_perpendicular,control_force_y,inertia,mach_number,CL,gravity_force_y,vg,atmospheric_pressure,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_lift,moment_dict_M_wind_z,moment_dict_control_moment_z,moment_dict_theta_dot_dot,moment_dict_moments_z,moment_dict_aero_moment_z
375.14999999991744,30465.70686474643,3298.350112095369,0.0008095497687480062,-48.31927783755278,1.5707842137705947,2.40526629454544e-06,4.712405734562419,-3.1416215207918246,999948.5484655611,655667.1794152318,0.21620875597000122,-0.5675824880599976,0.4448208112517277,1028.9742168638545,391.31386495493905,15826.136207794587,2.8867468068849433e-05,1.1729424029184332,0.8815647956386887,327.3918545705946,2765.65869140625,0.8459472358651359,0.0,8.17636380802924,-32.69087283993366,117.4217564170126,9645958.436119396,0.013803745163582248,-0.8029152128311544,15826.136196595842,0.5387087555775054,0.14305689719827025,5.07636380802924,0.0,9645958.4354047,22680463.06419822,0.14757821554997647,-7.257776480251721e-06,-9795996.059702862,0.0,67493.49896735398,-1.3452876348038248e-11,-9.796500104665379,9.646454760304012,0.0,0.0,-2.651675418724845e-07,0.00011742779825741873,0.00011795837849625587,-0.13488644639391367,0.0,1.5827764878053837e-08,8.029565260638179e-07,0.0,0.0,-4.987918978100604e-07,-11.312831215002408,-11.312831215002408
375.24999999991735,30465.706946431288,3293.517332947762,0.0008211994334757726,-48.3328686281271,1.5707844512141764,2.3560515563987016e-06,4.712405970881151,-3.1416215196669746,999672.0564001314,655390.6873498021,0.21615105867385864,-0.5676978826522827,0.44490166041076223,1030.068673032206,391.33688382225176,15842.960441529058,2.8866343954270235e-05,1.1725798403237588,0.8820062749189087,327.4111124586013,2764.920654296875,0.8460121967475905,0.0,8.176506555185572,-32.69073009277733,115.08653076315221,9643194.457675833,0.01381294455660054,-0.7961743056792447,15842.96043031934,0.5279234867697935,0.14305681550211538,5.076506555185572,0.0,9643194.456989083,22679849.518349867,0.14761103814936785,-7.189196820633903e-06,-9793302.25400887,0.0,67535.24350437339,-1.3531834401016661e-11,-9.79651495839049,9.646357918330441,0.0,0.0,-2.692680678516707e-07,0.00011512428503561908,0.0001156443853972303,-0.13497693605132,0.0,1.58533567368081e-08,7.964354914864674e-07,0.0,0.0,-4.884124925389318e-07,-11.07712183366515,-11.07712183366515
375.34999999991726,30465.707029266803,3288.683194167272,0.0008326206887502934,-48.34646829019697,1.570784683800686,2.30786512091543e-06,4.712406202339428,-3.1416215185387424,999395.6380651705,655114.2690148412,0.21609342098236084,-0.5678131580352783,0.4449825323155445,1031.1645953454024,391.35990784609885,15859.807201956426,2.8865216676443595e-05,1.172217329948572,0.8824480482541155,327.43037466017444,2764.183349609375,0.8460771403030982,0.0,8.176649291784354,-32.69058735617855,112.79972000243305,9640432.480600758,0.013821972114253867,-0.7895468980911791,15859.807190740545,0.517320827678073,0.14305673376907996,5.076649291784355,0.0,9640432.47994084,22679236.002904627,0.14764388213371488,-7.121776389840129e-06,-9790609.166613484,0.0,67577.02076089807,-1.3605763748025259e-11,-9.796529816327894,9.646262313696617,0.0,0.0,-2.7330205494644876e-07,0.00011286793308485241,0.0001133777270919869,-0.13506615974062797,0.0,1.587899470846289e-08,7.900243586240314e-07,0.0,0.0,-4.781954074552567e-07,-10.845106501182906,-10.845106501182906
375.44999999991717,30465.707113230426,3283.84769492596,0.0008438182178887318,-48.3600758463233,1.5707849116317556,2.260687223576949e-06,4.7124064290384196,-3.141621517406664,999119.2931631319,654837.9241128026,0.21603602170944214,-0.5679279565811157,0.44506342697992535,1032.26195478599,391.3829370295428,15876.676043281872,2.886408564606313e-05,1.1718548717755235,0.8828901159113005,327.44964117797394,2763.448974609375,0.846142066589015,0.0,8.17679201793363,-32.690444630029276,110.56041273364114,9637682.504867086,0.013830997808652646,-0.7830700839224516,15876.676032063711,0.5069364990617004,0.14305665200419249,5.076792017933631,0.0,9637682.50423293,22678622.517400425,0.147676745276062,-7.055846215187067e-06,-9787916.794604214,0.0,67618.83077011365,-1.3675562901594348e-11,-9.796544678480235,9.646177959111165,0.0,0.0,-2.7727081675195333e-07,0.00011065786987619437,0.00011115756700498052,-0.13514410638354768,0.0,1.5904678411300028e-08,7.837603468992269e-07,0.0,0.0,-4.681941555152476e-07,-10.61799851778337,-10.61799851778337
375.5499999999171,30465.707198300064,3279.0108343635625,0.0008547965868709143,-48.37369244529325,1.570785134806648,2.2144910583075637e-06,4.712406651076001,-3.141621516269353,998843.0219763033,654561.652925974,0.21597838401794434,-0.5680432319641113,0.4451443444182964,1033.3607767387784,391.40597137579914,15893.567355298073,2.8862949659202997e-05,1.1714924657888832,0.8833324781557925,327.46891201457584,2762.711669921875,0.8462069755748706,0.0,8.17693473354842,-32.69030191441448,108.36732848684838,9634920.53049851,0.013839932892518819,-0.7768064501746484,15893.567344080124,0.4968317389262882,0.14305657020214538,5.076934733548419,0.0,9634920.529889088,22678009.062204868,0.1477096292450672,-6.991964992320021e-06,-9785225.14074887,0.0,67660.67356506112,-1.3742606882889011e-11,-9.796559544850098,9.646080833428167,0.0,0.0,-2.811756363838057e-07,0.00010849285233272551,0.00010898272364560176,-0.1352347935841145,0.0,1.5930408281764734e-08,7.777062390808766e-07,0.0,0.0,-4.5849898220230106e-07,-10.397844073395492,-10.397844073395492
375.649999999917,30465.70728445409,3274.172611587473,0.0008655602857460439,-48.3873179102657,1.5707853534215293,2.1692448501415716e-06,4.712406868548841,-3.141621515127312,998566.8244436495,654285.4553933202,0.2159208059310913,-0.5681583881378174,0.44522528464559036,1034.4610717079179,391.42901088823663,15910.481299349623,2.886180871009003e-05,1.1711301119680748,0.8837751352591553,327.4881871728164,2761.975341796875,0.8462718672517028,0.0,8.177077438590988,-32.69015920937191,106.21966802351136,9632161.557504836,0.013849018976739994,-0.770755761260293,15910.481288134044,0.4870049885966678,0.14305648836147677,5.077077438590988,0.0,9632161.556919163,22677395.63748249,0.14774253464030337,-6.930124274273641e-06,-9782534.204452094,0.0,67702.5491793838,-1.3807193710047707e-11,-9.796574415440272,9.64598594819702,0.0,0.0,-2.850177815144012e-07,0.00010637211794282425,0.00010685243321271841,-0.13532321160730376,0.0,1.595618453901816e-08,7.718619748522119e-07,0.0,0.0,-4.4910956265349685e-07,-10.18463523687008,-10.18463523687008
375.7499999999169,30465.70737167131,3269.3330256238773,0.0008761136924307449,-48.40095364175058,1.5707855675696432,2.1249210560032004e-06,4.712407081550605,-3.141621513980962,998290.7009466402,654009.3318963109,0.2158629298210144,-0.5682741403579712,0.4453062476780985,1035.56288345731,391.4520555706096,15927.418547757452,2.8860663299212774e-05,1.1707678102894594,0.8842180874970278,327.50746665569756,2761.23486328125,0.846336741558571,0.0,8.177220132909252,-32.69001651505365,104.11630311133182,9629388.585926915,0.013858119086316425,-0.7648851942616315,15927.418536546676,0.4774221269603347,0.14305640647558954,5.077220132909252,0.0,9629388.585364044,22676782.243889406,0.1477754644317945,-6.870022722538227e-06,-9779843.989453688,0.0,67744.4576471234,-1.3869020109778058e-11,-9.796589290253673,9.64587627254553,0.0,0.0,-2.887984884999152e-07,0.00010429457372747475,0.00010476556886697091,-0.13542638827901676,0.0,1.59820079012055e-08,7.661948502685766e-07,0.0,0.0,-4.3997856238827575e-07,-9.977298051258439,-9.977298051258439
375.8499999999168,30465.707459930964,3264.492075592376,0.000886461128951838,-48.414597284578456,1.5707857773420368,2.081503105151745e-06,4.712407290175095,-3.1416215128330585,998014.65079863,653733.2817483007,0.21580559015274048,-0.568388819694519,0.4453872335305493,1036.666155096822,391.4751054262266,15944.378226891826,2.8859515724732887e-05,1.1704055607294326,0.8846613351453517,327.5267504662221,2760.501708984375,0.8464015985922634,0.0,8.177362816698057,-32.68987383126485,102.0567384294767,9626640.61571164,0.0138672554585493,-0.7590785892710928,15944.378215690122,0.467965728507271,0.1430563245572539,5.077362816698057,0.0,9626640.615170663,22676168.88059043,0.14780841440367468,-6.810613218166672e-06,-9777154.489029568,0.0,67786.39900236319,-1.3926218276460652e-11,-9.796604169293213,9.645790878387652,0.0,0.0,-2.925189755725806e-07,0.00010225975976185218,0.00010272155323608327,-0.1355052578889353,0.0,1.6007877570082698e-08,7.605886231594135e-07,0.0,0.0,-4.309385273387037e-07,-9.772034823085383,-9.772034823085383
375.9499999999167,30465.70754921272,3259.6497606196303,0.0008966067820611629,-48.428250164085355,1.570785982828962,2.0389852940001517e-06,4.712407494511855,-3.141621511682893,997738.6743276827,653457.3052773534,0.21574798226356506,-0.5685040354728699,0.44546824221755305,1037.770904648142,391.49816045836167,15961.36061362085,2.8858366186490514e-05,1.1700433632718694,0.8851048784712482,327.5460386069975,2759.7646484375,0.8464664383384413,0.0,8.177505489907862,-32.68973115805504,100.03965694971579,9623879.646875836,0.013876324043717369,-0.7533228617931989,15961.360602432529,0.45862146740981113,0.14305624260411265,5.077505489907862,0.0,9623879.646355882,22675555.547800876,0.14784138569094554,-6.75177641557001e-06,-9774465.706396034,0.0,67828.3732783647,-1.3978725710451003e-11,-9.796619052561503,9.6456916966167,0.0,0.0,-2.9618042029737033e-07,0.00010026639191582567,0.0001007190880520106,-0.1355978840347678,0.0,1.603379386878838e-08,7.550302309086187e-07,0.0,0.0,-4.219705848831796e-07,-9.568417437056564,-9.568417437056564
376.0499999999166,30465.707639496657,3254.8060799289838,0.0009065547918776653,-48.44190992295665,1.570786184119905,1.9973594077371977e-06,4.7124076946507705,-3.1416215105308654,997462.7708700411,653181.4018197118,0.21569091081619263,-0.5686181783676147,0.44554927375210285,1038.8770738792373,391.52122066982747,15978.364813425473,2.8857214779076656e-05,1.1696812179010483,0.8855487177416586,327.56533108061205,2759.03466796875,0.8465312608903083,0.0,8.177648152725814,-32.68958849523709,98.06455543259216,9621143.67936515,0.013885199265979776,-0.7476220263474196,15978.364802254573,0.4493921458369696,0.1430561606265981,5.077648152725813,0.0,9621143.678865384,22674942.244718574,0.14787437399760534,-6.693547056457749e-06,-9771777.635052877,0.0,67870.38050838499,-1.4026786699884161e-11,-9.796633940061144,9.645616818834553,0.0,0.0,-2.997839910999949e-07,9.831400057874335e-05,9.875770660989034e-05,-0.13566618120002083,0.0,1.605975597563187e-08,7.4952373968242e-07,0.0,0.0,-4.130805628321311e-07,-9.366577904634415,-9.366577904634415
