C_N_alpha,
X,Y
0.5134933458317403,0.2699258112658337
0.668037791235492,0.2593941561725273
0.7661605634150257,0.24317531482417948
0.8041923110129876,0.25200118405959765
0.8798241178139301,0.2644449103938231
0.903523810698472,0.2503647766937602
0.914747708968018,0.23577309224564302
0.9324037643228043,0.22378078863302786
0.9502324950355836,0.21387168987505703
0.9675863685138821,0.19823377776681425
1.0095464805061856,0.1794525574453914
1.0772352208394491,0.1710688604659768
1.1388371548034588,0.1642521923603488
1.2437806036237158,0.15531994277045277
1.349069403159959,0.15055410288984544
1.4740431935074068,0.1582736164386941
1.5122907853028604,0.1697034917424177
1.5446674149265511,0.18530440198823342
1.5770872133897413,0.2014261134477102
1.5911170862266737,0.22068650788756367
1.6044130887921362,0.23109328169517868
1.611665453827843,0.24358788559024136
1.6918731576155996,0.23623654057254212
1.7782540054516078,0.22835976910837846
1.8458995769453728,0.21945527091530276
2.0188339479753816,0.2057849328416197
2.1856383437966382,0.1931608224280622
2.3463991020881387,0.18262454210195245
2.537896074102396,0.16789872590253707
2.816464595384634,0.15362895765753543
3.0702542027948745,0.14041929277106946
3.262139694364616,0.13038068749460388
3.47897677516435,0.12136518371424693
