Generation,Global_Best_Fitness,Average_Fitness,Subswarm_1_Best,Subswarm_1_Average,Subswarm_2_Best,Subswarm_2_Average,Subswarm_3_Best,Subswarm_3_Average,Subswarm_4_Best,Subswarm_4_Average,Subswarm_5_Best,Subswarm_5_Average
0,-142.411973579592,13349.88921766309,4304.125771410908,14308.370150732817,5821.255539068533,13611.640859347886,3400.5931041468734,14352.136912260194,-142.411973579592,11680.157098588073,-63.92523776892,12797.141067386488
1,-142.411973579592,11540.471763857722,3855.874732994305,11482.143184073417,3668.7060084801888,13968.652128398777,3400.5931041468734,13332.944725067435,-142.411973579592,8957.675992640878,-138.19885963775172,9960.942789108103
2,-183.3438346765896,8949.534492181738,-183.3438346765896,11767.339968680812,-45.343251740012676,10661.566418283275,947.9496434284496,8688.838099189132,-142.411973579592,7797.119836857762,-144.75431191118201,5832.808137897702
3,-194.66837162819132,8598.992237554996,-183.3438346765896,11805.948204221138,-174.07096459077863,9860.94119749877,947.9496434284496,9123.484901371405,-194.66837162819132,7847.058866160135,-158.6919906075843,4357.528018523523
4,-194.66837162819132,7427.469022636752,-183.3438346765896,7943.438648172807,-174.07096459077863,10482.964561772835,-56.26183624962863,7943.130978675023,-194.66837162819132,6650.249601348352,-170.86135356790527,4117.561323214746
5,-194.66837162819132,7152.972142900735,-183.3438346765896,7481.7317569157785,-191.16585414766732,13036.813128261134,-56.26183624962863,6576.333193131326,-194.66837162819132,6122.560957514124,-170.86135356790527,2547.421678681316
6,-194.66837162819132,7787.894943937613,-183.3438346765896,9365.769948556392,-191.16585414766732,10775.04778600481,-114.32753969620734,8563.547517769817,-194.66837162819132,7007.094629124656,-170.86135356790527,3319.4183499857177
7,-197.74101974595808,8208.223445067955,-197.74101974595808,8174.8732253898415,-191.16585414766732,10301.638564157705,-114.32753969620734,10311.110847834334,-194.66837162819132,7632.79847123148,-170.86135356790527,4631.348166136057
8,-197.74101974595808,7147.848301823738,-197.74101974595808,7486.033080959156,-191.22640102641884,7514.769419249566,-114.32753969620734,9501.38896821727,-194.66837162819132,6678.993823595658,-170.86135356790527,4534.464611264957
9,-197.74101974595808,6925.200981021482,-197.74101974595808,8237.217104338379,-191.22640102641884,6396.76130607715,-114.32753969620734,8424.025263346453,-194.66837162819132,7624.938264572268,-173.7259572156979,3914.7632644230976
10,-197.74101974595808,6335.561036348276,-197.74101974595808,6450.080666638634,-191.22640102641884,7400.904750748871,-132.50812278824912,7016.606965503444,-194.66837162819132,6812.726170867041,-174.24330884745945,3997.919673603731
