generation,global_best_fitness,global_avg_fitness
0,-142.411973579592,13349.88921766309
1,-142.411973579592,11540.471763857722
2,-183.3438346765896,8949.534492181738
3,-194.66837162819132,8598.992237554996
4,-194.66837162819132,7427.469022636752
5,-194.66837162819132,7152.972142900735
6,-194.66837162819132,7787.894943937613
7,-197.74101974595808,8208.223445067955
8,-197.74101974595808,7147.848301823738
9,-197.74101974595808,6925.200981021482
10,-197.74101974595808,6335.561036348276
11,-197.74101974595808,5520.60070822985
