swarm_idx,best_fitness,avg_fitness,min_fitness,max_fitness,std_fitness,num_particles,generation,global_best_fitness,global_avg_fitness
2,3400.5931041468734,14352.136912260194,3400.5931041468734,19093.085186018612,5952.810201008057,50,0,-142.411973579592,13349.88921766309
2,3400.5931041468734,13332.944725067435,3400.5931041468734,18997.195644362684,4448.044724392426,50,1,-142.411973579592,11540.471763857722
2,947.9496434284496,8688.838099189132,947.9496434284496,18982.201033532376,4878.488098958015,50,2,-183.3438346765896,8949.534492181738
2,947.9496434284496,9123.484901371405,1398.969752137921,19094.1313724528,5068.027977084528,50,3,-194.66837162819132,8598.992237554996
2,-56.26183624962863,7943.130978675023,-56.26183624962863,18984.21886401419,4198.033055631079,50,4,-194.66837162819132,7427.469022636752
2,-56.26183624962863,6576.333193131326,-11.978354619893793,18139.23560199208,3578.9772493573273,50,5,-194.66837162819132,7152.972142900735
2,-114.32753969620734,8563.547517769817,-114.32753969620734,19091.26415607644,5609.810544935248,51,6,-194.66837162819132,7787.894943937613
2,-114.32753969620734,10311.110847834334,-42.331693888559585,18792.224424085423,5768.333229771366,51,7,-197.74101974595808,8208.223445067955
2,-114.32753969620734,9501.38896821727,-57.299989305025804,19092.159287652106,5963.585542187212,51,8,-197.74101974595808,7147.848301823738
2,-114.32753969620734,8424.025263346453,-62.369651246700926,19008.590074263233,5216.328704854513,51,9,-197.74101974595808,6925.200981021482
2,-132.50812278824912,7016.606965503444,-132.50812278824912,18983.87736296075,4664.250644084441,51,10,-197.74101974595808,6335.561036348276
2,-132.50812278824912,6572.524885162298,-58.53555108719172,18867.964015841804,4923.07294153423,51,11,-197.74101974595808,5520.60070822985
