t,x,y,vx,vy,theta
0.0,2000.0,1500.0,-80.0,-50.0,-0.3490658503988659
0.1,1991.9811549899653,1495.0041666666666,-80.37690020069684,-49.916666666666664,-0.34033920413889424
0.2,1983.925141002075,1490.0166666666667,-80.74337955710814,-49.83333333333333,-0.3316125578789226
0.30000000000000004,1975.8329969987778,1485.0375,-81.09950050883151,-49.74999999999999,-0.3228859116189509
0.4,1967.705755804727,1480.0666666666666,-81.44532337218874,-49.66666666666666,-0.31415926535897926
0.5,1959.54444431696,1475.1041666666665,-81.78090638315227,-49.58333333333332,-0.3054326190990076
0.6,1951.3500837108797,1470.1499999999999,-82.10630573845144,-49.499999999999986,-0.29670597283903594
0.7,1943.123689642211,1465.2041666666664,-82.42157563492275,-49.41666666666665,-0.2879793265790643
0.7999999999999999,1934.8662724451065,1460.2666666666664,-82.72676830716537,-49.333333333333314,-0.2792526803190926
0.8999999999999999,1926.5788373265702,1455.3374999999996,-83.02193406355973,-49.24999999999998,-0.27052603405912096
0.9999999999999999,1918.2623845573569,1450.4166666666663,-83.30712132070391,-49.16666666666664,-0.2617993877991493
1.0999999999999999,1909.9179096595058,1445.5041666666662,-83.58237663632003,-49.08333333333331,-0.25307274153917764
1.2,1901.5464035906557,1440.5999999999995,-83.84774474067946,-48.99999999999997,-0.24434609527920598
1.3,1893.1488529252922,1435.704166666666,-84.10326856659373,-48.916666666666636,-0.23561944901923432
1.4000000000000001,1884.7262400330617,1430.816666666666,-84.34898927801504,-48.8333333333333,-0.22689280275926266
1.5000000000000002,1876.2795432542966,1425.937499999999,-84.58494629728801,-48.749999999999964,-0.218166156499291
1.6000000000000003,1867.8097370728776,1421.0666666666657,-84.81117733109214,-48.66666666666663,-0.20943951023931934
1.7000000000000004,1859.3177922865675,1416.2041666666657,-85.0277183951121,-48.58333333333329,-0.20071286397934768
1.8000000000000005,1850.8046761749383,1411.349999999999,-85.23460383747101,-48.49999999999996,-0.19198621771937602
1.9000000000000006,1842.2713526650168,1406.5041666666657,-85.43186636095982,-48.41666666666662,-0.18325957145940436
2.0000000000000004,1833.7187824947641,1401.6666666666656,-85.61953704409386,-48.333333333333286,-0.1745329251994327
2.1000000000000005,1825.147923374508,1396.837499999999,-85.79764536102618,-48.24999999999995,-0.16580627893946104
2.2000000000000006,1816.5597301464395,1392.0166666666655,-85.96621920034494,-48.166666666666615,-0.15707963267948938
2.3000000000000007,1807.9551549422831,1387.2041666666655,-86.12528488278086,-48.08333333333328,-0.14835298641951772
2.400000000000001,1799.3351473392518,1382.3999999999987,-86.2748671778491,-47.99999999999994,-0.13962634015954606
2.500000000000001,1790.700654514387,1377.6041666666654,-86.41498931944795,-47.91666666666661,-0.1308996938995744
2.600000000000001,1782.0526213973928,1372.8166666666652,-86.54567302043561,-47.83333333333327,-0.12217304763960275
2.700000000000001,1773.391990822061,1368.0374999999985,-86.66693848620467,-47.749999999999936,-0.1134464013796311
2.800000000000001,1764.719703676387,1363.266666666665,-86.77880442727243,-47.6666666666666,-0.10471975511965946
2.9000000000000012,1756.0366990514783,1358.504166666665,-86.88128807090402,-47.583333333333265,-0.09599310885968781
3.0000000000000013,1747.343914389344,1353.7499999999982,-86.97440517178345,-47.49999999999993,-0.08726646259971617
3.1000000000000014,1738.6422856296674,1349.0041666666648,-87.05817002174712,-47.41666666666659,-0.07853981633974452
3.2000000000000015,1729.9327473556505,1344.2666666666648,-87.13259545859232,-47.33333333333326,-0.06981317007977288
3.3000000000000016,1721.2162329390221,1339.537499999998,-87.19769287397249,-47.24999999999992,-0.06108652381980123
3.4000000000000017,1712.493674684304,1334.8166666666648,-87.2534722203894,-47.166666666666586,-0.052359877559829585
3.5000000000000018,1703.76600397242,1330.1041666666647,-87.29994201729168,-47.08333333333325,-0.04363323129985794
3.600000000000002,1695.0341514037411,1325.399999999998,-87.3371093562874,-46.999999999999915,-0.03490658503988629
3.700000000000002,1686.299046940653,1320.7041666666646,-87.36497990547754,-46.91666666666658,-0.026179938779914647
3.800000000000002,1677.5616200497332,1316.0166666666646,-87.38355791291615,-46.83333333333324,-0.017453292519943
3.900000000000002,1668.822799843627,1311.3374999999978,-87.39284620920144,-46.74999999999991,-0.008726646259971353
4.000000000000002,1660.0835152227069,1306.6666666666645,-87.39284620920144,-46.66666666666657,2.949029909160572e-16
4.100000000000001,1651.344695016601,1302.0041666666643,-87.38355791291615,-46.583333333333236,0.008726646259971943
4.200000000000001,1642.6072681256812,1297.3499999999976,-87.36497990547754,-46.4999999999999,0.01745329251994359
4.300000000000001,1633.8721636625928,1292.7041666666642,-87.3371093562874,-46.416666666666565,0.026179938779915236
4.4,1625.1403110939139,1288.066666666664,-87.29994201729168,-46.33333333333323,0.03490658503988688
4.5,1616.4126403820298,1283.4374999999975,-87.2534722203894,-46.24999999999989,0.04363323129985853
4.6,1607.6900821273118,1278.816666666664,-87.19769287397249,-46.16666666666656,0.052359877559830174
4.699999999999999,1598.9735677106837,1274.2041666666642,-87.13259545859232,-46.08333333333322,0.06108652381980182
4.799999999999999,1590.2640294366668,1269.5999999999974,-87.05817002174712,-45.999999999999886,0.06981317007977347
4.899999999999999,1581.5624006769904,1265.004166666664,-86.97440517178345,-45.91666666666655,0.07853981633974512
4.999999999999998,1572.8696160148559,1260.416666666664,-86.88128807090402,-45.833333333333215,0.08726646259971677
5.099999999999998,1564.186611389947,1255.8374999999974,-86.77880442727243,-45.74999999999988,0.09599310885968841
5.1999999999999975,1555.5143242442732,1251.266666666664,-86.66693848620467,-45.66666666666654,0.10471975511966006
