inertia,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component_wind,mach_number,mach_number_max,CL,CD,drag,lift,moment_dict_control_moment_z,moment_dict_aero_moment_z,moment_dict_moments_z,moment_dict_theta_dot_dot,moment_dict_M_wind_z,d_cp_cg,d_thrust_cg,x_cog,dynamic_pressure,mass_flow,fuel_percentage_consumed,control_force_parallel,control_force_perpendicular,control_force_x,control_force_y,aero_force_x,aero_force_y,gravity_force_y,atmospheric_pressure,air_density,speed_of_sound,action_info_throttle,action_info_acs_info_alpha_local_left_rad,action_info_acs_info_alpha_local_right_rad,action_info_acs_info_C_n_L,action_info_acs_info_C_a_L,action_info_acs_info_C_n_R,action_info_acs_info_C_a_R,action_info_acs_info_F_n_L,action_info_acs_info_F_a_L,action_info_acs_info_F_n_R,action_info_acs_info_F_a_R,action_info_acs_info_F_perpendicular_L,action_info_acs_info_F_perpendicular_R,action_info_acs_info_F_perpendicular,action_info_acs_info_F_parallel_L,action_info_acs_info_F_parallel_R,action_info_acs_info_F_parallel,action_info_acs_info_Fx,action_info_acs_info_Fy,action_info_acs_info_Mz,action_info_acs_info_d_fin_cg,action_info_acs_info_delta_left_rad,action_info_acs_info_delta_right_rad,ug,vg,alpha_effective,state,actions,g_load_1_sec_window
23676906.304326974,5.455407989607973,27.079804860337237,0.026892309485539084,8.189739547787326e-08,0.2035400878206559,0.9639049336018567,0,-9.715089038453272,6.444963195078519,17.283282729172665,0.0,0.0,3.462545451014687,8.77583879591965,-1.408187907137673,0.18605388952129923,202407.8755817879,-1531966.4825984233,0.0,-50503182.20650682,-50503182.20650682,-2.133014404727248,0.0,-32.92690958409145,7.940327063871459,4.840327063871459,10118.75424457165,11939.015,0.7154846087376577,42956266.20733194,0.0,8483391.137601081,42110246.749237165,1540724.0378018713,-118573.56890140014,-15107376.094843164,1205.696617496497,0.01854736730608353,301.6767931004862,0.9333471,-0.009374472673009393,-0.009374472673009393,-0.06555433358375376,0.036299959235984905,-0.06555433358375376,0.036299959235984905,-3316.6409560033712,1836.5518329845008,-3316.6409560033712,1836.5518329845008,-3316.6409560033712,-3316.6409560033712,0.0,1836.5518329845008,1836.5518329845008,7346.207331938003,1450.795324573759,7201.524497633442,0.0,44.51598846674575,0.0,0.0,0.0,0.0,-0.009374472673009393,"[np.float64(4940.059206817729), np.float64(29926.162081127826), np.float64(-215.72013546298194), np.float64(-1021.585993581986), np.float64(1.3690641662488066), np.float64(-0.11745302256206208), 4.504284132178217, np.float64(-3.1352199659294104), np.float64(1555042.474139629), np.float64(1210761.1050892996), np.float64(294.0749999999896)]",[0.8666943],0.18586619974635266
23675204.564671896,5.893691602434288,27.00218376952644,0.028081790056885183,8.56662878745197e-08,-0.17028813478860153,-0.8071947458040819,0,-9.7153989522635,5.113606626124937,17.58496833564041,0.0,0.0,3.4572690548781098,8.709129414731738,1.16399363392982,0.19195127655926386,211389.21984406922,1281865.4326787947,0.0,42254696.52329146,42254696.52329146,1.7847658468110494,0.0,-32.9265012462873,7.940735401675603,4.8407354016756035,10243.072021949805,11935.992,0.7157650399140074,42945120.17335675,0.0,9157906.0652494,41957312.869202204,-1210608.2634884196,471478.5489676399,-15096261.730848443,1224.2379231580296,0.018841004886203213,301.60941965024415,0.93311083,0.0069497548384482855,0.0069497548384482855,0.04868598656940027,0.03631807596786834,0.04868598656940027,0.03631807596786834,2493.4703344502395,1860.0433391875988,2493.4703344502395,1860.0433391875988,2493.4703344502395,2493.4703344502395,0.0,1860.0433391875988,1860.0433391875988,7440.173356750395,1586.59257292202,7269.037321822411,0.0,44.51558012894161,0.0,0.0,0.0,0.0,0.0069497548384482855,"[np.float64(4918.52460592797), np.float64(29824.112149919674), np.float64(-215.14864774568915), np.float64(-1019.841213498324), np.float64(1.3531187906074447), np.float64(-0.11122461952140425), 4.504474746773457, np.float64(-3.1513559561660127), np.float64(1553848.8748659473), np.float64(1209567.505815618), np.float64(294.1749999999895)]",[0.8662217],0.3719201198538762
23673501.62466131,6.015147041018656,26.98966119078764,0.028448209838410676,8.691203160823877e-08,-0.17260808240871453,-0.8187686703922599,0,-9.715708348719403,5.223833863608544,17.576289771499894,0.0,0.0,3.451983494360265,8.643008863070937,1.1654567898241721,0.19208346939404156,214127.50519204946,1299207.8683368783,0.0,42855938.03968058,42855938.03968058,1.810291469304077,0.0,-32.92609262427666,7.9411440236862365,4.841144023686237,10368.617674347115,11932.914,0.716045399086828,42933771.12832214,0.0,9339451.638715547,41905648.14422086,-1227078.4342079666,477566.94811298617,-15085148.815142376,1243.0408466967115,0.019138918661831577,301.54214472171833,0.9328702,0.011477201291320682,0.011477201291320682,0.08054718605680364,0.03633622416604695,0.08054718605680364,0.03633622416604695,4175.8148848374985,1883.7820805355657,4175.8148848374985,1883.7820805355657,4175.8148848374985,4175.8148848374985,0.0,1883.7820805355657,1883.7820805355657,7535.128322142263,1639.1284694239184,7354.686716092976,0.0,44.51517150693097,0.0,0.0,0.0,0.0,0.011477201291320682,"[np.float64(4897.042325147513), np.float64(29722.23782313715), np.float64(-214.62666413178314), np.float64(-1018.0843560141111), np.float64(1.3532336411887547), np.float64(0.0688840758115365), 4.504617080048789, np.float64(-3.1513834388600337), np.float64(1552655.5834841114), np.float64(1208374.214433782), np.float64(294.2749999999894)]",[0.8657404],0.5581339967997844
23671797.49060229,5.647906549434475,27.08303316537884,0.028064149082797068,8.58717241984502e-08,0.11668770628366165,0.5539425417009503,0,-9.716017226179083,6.228716864096628,17.3783113472479,0.0,0.0,3.4466892683244135,8.577471888123588,-0.778347029896757,0.18719750161233037,211232.46487533225,-878281.8159291949,0.0,-28932438.4523947,-28932438.4523947,-1.2222324250569012,0.0,-32.92568371971845,7.94155292824445,4.84155292824445,10495.400452665312,11929.792,0.7163256851735212,42922259.08016884,0.0,8762515.803839896,42018313.16619687,902963.1658608441,25605.146118592675,-15074037.388826774,1262.108553099668,0.019441162394000625,301.4749687325852,0.9326261,-0.002080781124261133,-0.002080781124261133,-0.014629198570454215,0.03635440211765238,-0.014629198570454215,0.03635440211765238,-767.6964864923796,1907.770042209928,-767.6964864923796,1907.770042209928,-767.6964864923796,-767.6964864923796,0.0,1907.770042209928,1907.770042209928,7631.080168839712,1557.8737469277714,7470.3690626295,0.0,44.514762602372755,0.0,0.0,0.0,0.0,-0.002080781124261133,"[np.float64(4875.612290859318), np.float64(29620.539273227165), np.float64(-214.08920600003358), np.float64(-1016.3291635376165), np.float64(1.369555045334437), np.float64(0.17410208223725437), 4.5047748233836, np.float64(-3.135219778049163), np.float64(1551462.604266582), np.float64(1207181.2352162527), np.float64(294.3749999999893)]",[0.86525226],0.7445047961681815
23670092.164681166,5.404689639747101,27.146720857637128,0.02829405551204917,8.675688509504801e-08,0.2135661466069011,1.015192701364473,0,-9.716325588700574,6.4469312255130875,17.346051893815027,0.0,0.0,3.441387897514307,8.512512087011341,-1.408096691905385,0.18655000616945316,213069.85003946364,-1608270.9250238172,0.0,-53026020.72642326,-53026020.72642326,-2.2402118402202476,0.0,-32.925274533282604,7.9419621146802974,4.841962114680298,10623.43897816895,11926.66,0.7166058977725939,42910708.042909145,0.0,8378727.873416573,42084745.26437127,1617678.0576252248,-122685.90444988091,-15062927.469234958,1281.4445945670657,0.019747796046926794,301.407890860755,0.9323814,-0.01089044118597604,-0.01089044118597604,-0.07670417838488583,0.036372604601145914,-0.07670417838488583,0.036372604601145914,-4074.310792212102,1932.010727286704,-4074.310792212102,1932.010727286704,-4074.310792212102,-4074.310792212102,0.0,1932.010727286704,1932.010727286704,7728.042909146816,1508.9746005840527,7579.290392933007,0.0,44.51435341593691,0.0,0.0,0.0,0.0,-0.01089044118597604,"[np.float64(4854.244023893322), np.float64(29519.01462453293), np.float64(-213.4406615907461), np.float64(-1014.5962048009725), np.float64(1.3730527332184383), np.float64(-0.04885804104778626), 4.505042385632461, np.float64(-3.1319896524140223), np.float64(1550269.9381288867), np.float64(1205988.5690785574), np.float64(294.4749999999892)]",[0.8647627],0.9309868512648084
23668385.642190844,5.759476526129972,27.08793643389495,0.029421573993900933,9.038908566027709e-08,-0.13585605239656878,-0.6465501993346021,0,-9.716633439504461,5.141367896300163,17.641935051723458,0.0,0.0,3.4360781563927105,8.448123311549272,0.8852721589239084,0.19171836564550446,221638.01819484012,1023428.1217990526,0.0,33713333.78325672,33713333.78325672,1.4244036028870481,0.0,-32.92486506398487,7.942371583978035,4.842371583978036,10752.734813705105,11923.576,0.7168860376153373,42899322.020145394,0.0,8921875.961830119,41961315.03075004,-955965.6334037405,427385.3522869707,-15051819.018712196,1301.0525191959168,0.0200588795916141,301.3409104656003,0.93214023,0.0023562531042573553,0.0023562531042573553,0.01662550064833018,0.03639083582446206,0.01662550064833018,0.03639083582446206,893.8479980828835,1956.5050363476003,893.8479980828835,1956.5050363476003,893.8479980828835,893.8479980828835,0.0,1956.5050363476003,1956.5050363476003,7826.020145390401,1627.5963750468668,7654.901786175358,0.0,44.51394394663917,0.0,0.0,0.0,0.0,0.0023562531042573553,"[np.float64(4832.939702704418), np.float64(29417.66356774099), np.float64(-212.82555621572413), np.float64(-1012.8544394408564), np.float64(1.3570861893945818), np.float64(-0.16834149555293715), 4.505277525426203, np.float64(-3.148191336031622), np.float64(1549077.5804628711), np.float64(1204796.2114125418), np.float64(294.57499999998913)]",[0.8642804],1.117638968113215
23666677.925231174,6.025777409115637,27.044166075336747,0.029923264298688353,9.206286285906227e-08,-0.18196962180767373,-0.8665891389993912,0,-9.716940772479834,5.188124063436031,17.646458841019673,0.0,0.0,3.430758537818043,8.384301418533417,1.1713864857499947,0.19262395041989727,225388.51725872897,1370634.6619129074,0.0,45214707.66469703,45214707.66469703,1.910479696708653,0.0,-32.92445531247414,7.942781335488766,4.842781335488766,10883.2823478721,11920.453,0.7171661043145974,42887797.01051613,0.0,9327213.689569196,41861273.47805307,-1295045.3775317075,502291.578948876,-15040712.0675751,1320.9353137371913,0.02037446415866695,301.27402893680375,0.9318961,0.012219636076396867,0.012219636076396867,0.0863754570812,0.03640910096243593,0.0863754570812,0.03640910096243593,4700.24243670604,1981.2526290318601,4700.24243670604,1981.2526290318601,4700.24243670604,4700.24243670604,0.0,1981.2526290318601,1981.2526290318601,7925.0105161274405,1723.5267775092032,7735.324629770832,0.0,44.51353419512844,0.0,0.0,0.0,0.0,0.012219636076396867,"[np.float64(4811.68907372631), np.float64(29316.488452013593), np.float64(-212.31233161671364), np.float64(-1011.0894270535977), np.float64(1.3521071216100207), np.float64(0.02168562298776302), 4.505412366778486, np.float64(-3.1533052451684656), np.float64(1547885.5351442676), np.float64(1203604.1660939383), np.float64(294.67499999998904)]",[0.86379224],1.3044706989354655
23664969.022697948,5.774947371764896,27.112868185608605,0.030301050744826252,9.335680553807476e-08,-0.17942977285835698,-0.8550414105614641,0,-9.71724758400892,4.94926312211153,17.714184889305173,0.0,0.0,3.425430532804784,8.32104177067096,1.1410363793486507,0.19269155102609237,228198.38094408045,1351292.534514911,0.0,44512233.84519699,44512233.84519699,1.8809335352395204,0.0,-32.924045281029734,7.943191366933172,4.843191366933173,11015.095871186155,11917.259,0.7174460963719435,42876005.02494226,0.0,8932075.348847777,41935305.37460505,-1275606.1760352375,500894.09914870234,-15029606.681463314,1341.0961396066423,0.020694603708050718,301.2072471223891,0.9316463,0.002983448436696623,0.002983448436696623,0.02112660664955587,0.036427394895605515,0.02112660664955587,0.036427394895605515,1163.557988388484,2006.2562355632595,1163.557988388484,2006.2562355632595,1163.557988388484,1163.557988388484,0.0,2006.2562355632595,2006.2562355632595,8025.024942253038,1671.8005191689017,7848.955876286346,0.0,44.51312416368404,0.0,0.0,0.0,0.0,0.002983448436696623,"[np.float64(4790.489760602263), np.float64(29215.489935725393), np.float64(-211.80532992889033), np.float64(-1009.3215032368023), np.float64(1.3662583710389915), np.float64(0.2128994076914821), 4.505541202239909, np.float64(-3.1392828312009176), np.float64(1546693.809283672), np.float64(1202412.4402333426), np.float64(294.77499999998895)]",[0.8632926],1.4914606867678861
23663258.93918481,5.391805746579299,27.20560428966231,0.029756431243418837,9.187256369633167e-08,0.22397132550564375,1.068727776404756,0,-9.717553876203793,6.489033841413155,17.400767903195636,0.0,0.0,3.420094806417952,8.258338594735834,-1.4080052173974942,0.18706506445535037,224211.853687694,-1687602.4431060327,0.0,-55639804.36583409,-55639804.36583409,-2.3513162117200266,0.0,-32.92363497089849,7.943601677064416,4.843601677064416,11148.187808663524,11914.041,0.717726012998728,42864126.07358873,0.0,8333048.749218117,42046326.862113215,1697701.425021022,-126818.10908980307,-15018502.887447957,1361.5385628589897,0.021019358689127514,301.140564623427,0.9313948,-0.010994106207785403,-0.010994106207785403,-0.07799198835996628,0.03644571534044162,-0.07799198835996628,0.03644571534044162,-4347.346669040018,2031.5183971816625,-4347.346669040018,2031.5183971816625,-4347.346669040018,-4347.346669040018,0.0,2031.5183971816625,2031.5183971816625,8126.07358872665,1579.7584963785469,7971.037263902397,0.0,44.512713853552796,0.0,0.0,0.0,0.0,-0.010994106207785403,"[np.float64(4769.349598145349), np.float64(29114.66651351158), np.float64(-211.15713174748157), np.float64(-1007.5820704950285), np.float64(1.3751734989526825), np.float64(0.0011664976175363856), 4.505810411664279, np.float64(-3.1306369127115965), np.float64(1545502.4051088672), np.float64(1201221.036058538), np.float64(294.87499999998886)]",[0.8627896],1.6785596187568488
23661547.668646153,5.632284734538159,27.170977110340974,0.03025605594862123,9.361243163255618e-08,0.11922788680210875,0.5696838558849375,0,-9.717859654676314,6.23102473923722,17.473176608222374,0.0,0.0,3.4147513126278795,8.196185474629452,-0.7409828111340485,0.18803669168312287,228093.11121968785,-898830.2933806889,0.0,-29607169.20129317,-29607169.20129317,-1.2512777953458025,0.0,-32.923224380774336,7.944012267188567,4.844012267188567,11282.56807591489,11910.887,0.7180058551484976,42852472.165339455,0.0,8698001.052530078,41960447.42815999,926496.3906758081,39074.310606745305,-15007400.635551356,1382.2664316841306,0.02134879410708052,301.0739802784076,0.93114823,-0.0019755521034134915,-0.0019755521034134915,-0.014039677877224816,0.03646406245498907,-0.014039677877224816,0.03646406245498907,-792.0181070685262,2057.0413348641323,-792.0181070685262,2057.0413348641323,-792.0181070685262,-792.0181070685262,0.0,2057.0413348641323,2057.0413348641323,8228.16533945653,1670.115798846992,8056.886375758035,0.0,44.51230326342864,0.0,0.0,0.0,0.0,-0.0019755521034134915,"[np.float64(4748.274535374354), np.float64(29014.01707204258), np.float64(-210.5102100274778), np.float64(-1005.8407589715016), np.float64(1.361213526036707), np.float64(-0.20748392773283952), 4.506078992417848, np.float64(-3.144865466381141), np.float64(1544311.31636375), np.float64(1200029.9473134207), np.float64(294.97499999998877)]",[0.86229646],1.8658117191491872
