Propellant mass [kg],X cog inertia [m]
0.0,6706805432.527976
27.502462376574407,6708767801.965086
55.00492475314881,6710724578.279895
82.50738712972321,6712675783.964536
110.00984950629763,6714621441.511134
137.51231188287204,6716561573.411825
165.01477425944643,6718496202.158735
192.51723663602084,6720425350.243996
220.01969901259525,6722349040.159739
247.52216138916967,6724267294.398092
275.0246237657441,6726180135.451185
302.52708614231847,6728087585.8111515
330.02954851889285,6729989667.9701185
357.5320108954673,6731886404.4202175
385.0344732720417,6733777817.653578
412.5369356486161,6735663930.162331
440.0393980251905,6737544764.438605
467.5418604017649,6739420342.974533
495.04432277833934,6741290688.262243
522.5467851549138,6743155822.793866
550.0492475314882,6745015769.061531
577.5517099080625,6746870549.55737
605.0541722846369,6748720186.773512
632.5566346612113,6750564703.202087
660.0590970377857,6752404121.335228
687.5615594143602,6754238463.665061
715.0640217909346,6756067752.683718
742.566484167509,6757892010.883328
770.0689465440834,6759711260.756023
797.5714089206577,6761525524.793935
825.0738712972322,6763334825.489189
852.5763336738066,6765139185.333918
880.078796050381,6766938626.820253
907.5812584269554,6768733172.440324
935.0837208035298,6770522844.686259
962.5861831801043,6772307666.05019
990.0886455566787,6774087659.024246
1017.591107933253,6775862846.100559
1045.0935703098276,6777633249.771257
1072.596032686402,6779398892.528473
1100.0984950629763,6781159796.864334
1127.6009574395507,6782915985.270972
1155.103419816125,6784667480.240517
1182.6058821926995,6786414304.265099
1210.1083445692739,6788156479.836848
1237.6108069458483,6789894029.447894
1265.1132693224226,6791626975.590368
1292.615731698997,6793355340.756399
1320.1181940755714,6795079147.438118
1347.620656452146,6796798418.127657
1375.1231188287204,6798513175.317142
1402.6255812052948,6800223441.498706
1430.1280435818692,6801929239.164478
1457.6305059584436,6803630590.80659
1485.132968335018,6805327518.91717
1512.6354307115923,6807020045.988349
1540.1378930881667,6808708194.512257
1567.640355464741,6810391986.981026
1595.1428178413155,6812071445.886783
1622.64528021789,6813746593.721661
1650.1477425944645,6815417452.977788
1677.6502049710389,6817084046.147295
