Propellant mass [kg],d_cp_cg [m]
0.0,4.1
27.502462376574407,4.098664886515354
55.00492475314881,4.097329773030708
82.50738712972321,4.0959946595460615
110.00984950629763,4.094659546061415
137.51231188287204,4.093324432576769
165.01477425944643,4.091989319092123
192.51723663602084,4.090654205607477
220.01969901259525,4.089319092122831
247.52216138916967,4.087983978638184
275.0246237657441,4.086648865153538
302.52708614231847,4.085313751668892
330.02954851889285,4.083978638184246
357.5320108954673,4.082643524699599
385.0344732720417,4.081308411214954
412.5369356486161,4.079973297730307
440.0393980251905,4.078638184245661
467.5418604017649,4.0773030707610145
495.04432277833934,4.075967957276369
522.5467851549138,4.074632843791722
550.0492475314882,4.073297730307076
577.5517099080625,4.0719626168224305
605.0541722846369,4.070627503337784
632.5566346612113,4.069292389853137
660.0590970377857,4.0679572763684915
687.5615594143602,4.066622162883846
715.0640217909346,4.065287049399199
742.566484167509,4.063951935914552
770.0689465440834,4.062616822429907
797.5714089206577,4.06128170894526
825.0738712972322,4.059946595460614
852.5763336738066,4.058611481975968
880.078796050381,4.057276368491322
907.5812584269554,4.055941255006676
935.0837208035298,4.054606141522029
962.5861831801043,4.053271028037384
990.0886455566787,4.051935914552737
1017.591107933253,4.050600801068091
1045.0935703098276,4.0492656875834445
1072.596032686402,4.047930574098799
1100.0984950629763,4.046595460614152
1127.6009574395507,4.045260347129506
1155.103419816125,4.04392523364486
1182.6058821926995,4.042590120160214
1210.1083445692739,4.041255006675567
1237.6108069458483,4.0399198931909215
1265.1132693224226,4.038584779706275
1292.615731698997,4.037249666221629
1320.1181940755714,4.035914552736982
1347.620656452146,4.034579439252337
1375.1231188287204,4.03324432576769
1402.6255812052948,4.031909212283044
1430.1280435818692,4.030574098798398
1457.6305059584436,4.029238985313752
1485.132968335018,4.027903871829105
1512.6354307115923,4.026568758344459
1540.1378930881667,4.025233644859814
1567.640355464741,4.023898531375167
1595.1428178413155,4.022563417890521
1622.64528021789,4.0212283044058745
1650.1477425944645,4.019893190921229
1677.6502049710389,4.018558077436582
1705.1526673476133,4.0172229639519355
1732.6551297241876,4.01588785046729
1760.157592100762,4.014552736982644
1787.6600544773364,4.013217623497997
1815.1625168539108,4.0118825100133515
1842.6649792304852,4.010547396528705
1870.1674416070596,4.009212283044059
1897.669903983634,4.007877169559412
1925.1723663602086,4.006542056074767
1952.674828736783,4.00520694259012
1980.1772911133573,4.003871829105474
2007.6797534899317,4.002536715620828
2035.182215866506,4.001201602136182
2062.6846782430807,3.9998664886515356
2090.187140619655,3.9985313751668894
2117.6896029962295,3.997196261682243
2145.192065372804,3.995861148197597
2172.6945277493783,3.9945260347129508
2200.1969901259527,3.9931909212283045
2227.699452502527,3.9918558077436583
2255.2019148791014,3.990520694259012
2282.704377255676,3.989185580774366
2310.20683963225,3.9878504672897197
2337.7093020088246,3.9865153538050735
2365.211764385399,3.9851802403204273
2392.7142267619734,3.983845126835781
2420.2166891385477,3.982510013351135
2447.719151515122,3.981174899866489
2475.2216138916965,3.9798397863818424
2502.724076268271,3.9785046728971962
2530.2265386448453,3.97716955941255
2557.7290010214197,3.975834445927904
2585.231463397994,3.9744993324432576
2612.7339257745684,3.9731642189586114
2640.236388151143,3.9718291054739656
2667.7388505277177,3.970493991989319
2695.241312904292,3.969158878504673
2722.7437752808664,3.967823765020027
2750.246237657441,3.9664886515353808
2777.748700034015,3.9651535380507346
2805.2511624105896,3.9638184245660883
2832.753624787164,3.962483311081442
2860.2560871637384,3.9611481975967955
2887.7585495403127,3.9598130841121497
2915.261011916887,3.9584779706275035
2942.7634742934615,3.9571428571428573
2970.265936670036,3.955807743658211
2997.7683990466103,3.954472630173565
3025.2708614231847,3.9531375166889187
3052.773323799759,3.9518024032042725
3080.2757861763334,3.9504672897196262
3107.778248552908,3.94913217623498
3135.280710929482,3.947797062750334
3162.7831733060566,3.9464619492656876
3190.285635682631,3.9451268357810414
3217.7880980592054,3.943791722296395
3245.29056043578,3.942456608811749
3272.7930228123546,3.9411214953271028
3300.295485188929,3.9397863818424566
3327.7979475655034,3.9384512683578103
3355.3004099420777,3.937116154873164
3382.802872318652,3.935781041388518
3410.3053346952265,3.934445927903872
3437.807797071801,3.9331108144192255
3465.3102594483753,3.9317757009345797
3492.8127218249497,3.930440587449933
3520.315184201524,3.9291054739652873
3547.8176465780984,3.9277703604806407
3575.320108954673,3.926435246995995
3602.822571331247,3.9251001335113487
3630.3250337078216,3.9237650200267025
3657.827496084396,3.9224299065420563
3685.3299584609704,3.92109479305741
3712.8324208375448,3.919759679572764
3740.334883214119,3.9184245660881176
3767.8373455906935,3.9170894526034714
3795.339807967268,3.915754339118825
3822.8422703438428,3.914419225634179
3850.344732720417,3.913084112149533
3877.8471950969915,3.9117489986648866
3905.349657473566,3.9104138851802404
3932.8521198501403,3.909078771695594
3960.3545822267147,3.907743658210948
3987.857044603289,3.9064085447263017
4015.3595069798635,3.9050734312416555
4042.861969356438,3.9037383177570093
4070.364431733012,3.902403204272363
4097.866894109587,3.9010680907877173
4125.369356486161,3.8997329773030707
4152.871818862735,3.898397863818425
4180.37428123931,3.8970627503337782
4207.876743615884,3.8957276368491325
4235.379205992459,3.894392523364486
4262.881668369033,3.89305740987984
4290.384130745608,3.8917222963951934
4317.886593122182,3.8903871829105476
4345.3890554987565,3.8890520694259014
4372.8915178753305,3.887716955941255
4400.393980251905,3.886381842456609
4427.896442628479,3.885046728971963
4455.398905005054,3.8837116154873166
4482.901367381628,3.8823765020026704
4510.403829758203,3.881041388518024
4537.906292134777,3.879706275033378
