Propellant mass [kg],Inertia [kg m^2]
0.0,13877492029.195524
5701.947640003568,13881547703.833584
11403.895280007137,13885591743.323885
17105.842920010706,13889624194.455904
22807.790560014273,13893645104.019115
28509.73820001784,13897654518.802996
34211.68584002141,13901652485.59702
39913.633480024975,13905639051.190662
45615.581120028546,13909614262.373398
51317.52876003212,13913578165.934702
57019.47640003568,13917530808.664055
62721.42404003925,13921472237.350925
68423.37168004282,13925402498.784792
74125.31932004639,13929321639.75513
79827.26696004995,13933229707.051414
85529.21460005353,13937126747.46312
91231.16224005709,13941012807.779722
96933.10988006066,13944887934.790697
102635.05752006423,13948752175.285519
108337.0051600678,13952605576.053665
114038.95280007136,13956448183.88461
119740.90044007494,13960280045.567827
125442.8480800785,13964101207.892794
131144.79572008207,13967911717.648985
136846.74336008565,13971711621.625875
142548.6910000892,13975500966.612942
148250.63864009277,13979279799.399658
153952.58628009635,13983048166.775501
159654.5339200999,13986806115.529945
165356.48156010348,13990553692.452465
171058.42920010706,13994290944.332537
176760.3768401106,13998017917.959635
182462.32448011418,14001734660.123236
188164.27212011776,14005441217.612816
193866.2197601213,14009137637.21785
199568.1674001249,14012823965.727812
205270.11504012847,14016500249.932177
210972.06268013202,14020166536.62042
216674.0103201356,14023822872.58202
222375.95796013917,14027469304.60645
228077.90560014272,14031105879.483185
233779.8532401463,14034732644.001698
239481.80088014988,14038349644.95147
245183.74852015343,14041956929.121973
250885.696160157,14045554543.302681
256587.6438001606,14049142534.283073
262289.59144016413,14052720948.852623
267991.5390801677,14056289833.800804
273693.4867201713,14059849235.917093
279395.43436017487,14063399201.990967
285097.3820001784,14066939778.811897
290799.32964018197,14070471013.169363
296501.27728018555,14073992951.85284
302203.2249201891,14077505641.6518
307905.1725601927,14081009129.35572
313607.1202001963,14084503461.754076
319309.0678401998,14087988685.636343
325011.0154802034,14091464847.791996
330712.96312020696,14094931995.01051
336414.91076021054,14098390174.081364
342116.8584002141,14101839431.794027
347818.8060402177,14105279814.937977
353520.7536802212,14108711370.302694
359222.7013202248,14112134144.677647
364924.64896022837,14115548184.852314
370626.59660023195,14118953537.616169
376328.5442402355,14122350249.758688
382030.49188023905,14125738368.069347
387732.4395202426,14129117939.337622
393434.3871602462,14132489010.352987
399136.3348002498,14135851627.904919
404838.28244025336,14139205838.78289
410540.23008025694,14142551689.776379
416242.17772026046,14145889227.674858
421944.12536026404,14149218499.267807
427646.0730002676,14152539551.344696
433348.0206402712,14155852430.695004
439049.96828027477,14159157184.108206
444751.91592027835,14162453858.373774
450453.86356028187,14165742500.281185
456155.81120028545,14169023156.619919
461857.758840289,14172295874.179447
467559.7064802926,14175560699.749243
473261.6541202962,14178817680.118784
478963.60176029976,14182066862.077547
484665.5494003033,14185308292.415009
490367.49704030686,14188542017.920637
496069.44468031044,14191768085.383913
501771.392320314,14194986541.594313
507473.3399603176,14198197433.341309
513175.2876003212,14201400807.414377
518877.2352403247,14204596710.602995
524579.1828803283,14207785189.696634
530281.1305203319,14210966291.484776
535983.0781603354,14214140062.756887
541685.025800339,14217306550.30245
547386.9734403426,14220465800.910936
553088.9210803461,14223617861.371826
558790.8687203497,14226762778.474586
564492.8163603533,14229900599.008701
570194.7640003568,14233031369.763641
575896.7116403604,14236155137.528881
581598.6592803639,14239271949.0939
587300.6069203676,14242381851.248173
593002.5545603711,14245484890.781168
598704.5022003746,14248581114.48237
604406.4498403782,14251670569.14125
610108.3974803818,14254753301.547283
615810.3451203854,14257829358.489944
621512.2927603889,14260898786.75871
627214.2404003926,14263961633.143055
632916.1880403961,14267017944.432457
638618.1356803996,14270067767.416388
644320.0833204032,14273111148.884323
650022.0309604068,14276148135.625742
655723.9786004104,14279178774.430117
661425.9262404139,14282203112.086924
667127.8738804174,14285221195.385635
672829.8215204211,14288233071.11573
678531.7691604246,14291238786.066685
684233.7168004282,14294238387.027971
689935.6644404317,14297231920.789066
695637.6120804354,14300219434.139444
701339.5597204389,14303200973.868582
707041.5073604424,14306176586.765955
712743.4550004461,14309146319.621037
718445.4026404496,14312110219.223305
724147.3502804532,14315068332.36223
729849.2979204567,14318020705.827295
735551.2455604603,14320967386.40797
741253.1932004639,14323908420.893732
746955.1408404674,14326843856.074059
752657.088480471,14329773738.738419
758359.0361204746,14332698115.676292
764060.9837604781,14335617033.677153
769762.9314004817,14338530539.530478
775464.8790404852,14341438680.025742
781166.8266804889,14344341501.95242
786868.7743204924,14347239052.099985
792570.721960496,14350131377.257917
798272.6696004996,14353018524.215689
803974.6172405031,14355900539.762777
809676.5648805067,14358777470.688656
815378.5125205102,14361649363.782799
821080.4601605139,14364516265.834686
826782.4078005174,14367378223.63379
832484.3554405209,14370235283.969582
838186.3030805246,14373087493.631544
843888.2507205281,14375934899.40915
849590.1983605317,14378777548.091873
855292.1460005352,14381615486.469189
860994.0936405389,14384448761.330574
866696.0412805424,14387277419.465504
872397.9889205459,14390101507.663454
878099.9365605495,14392921072.713898
883801.8842005531,14395736161.406311
889503.8318405567,14398546820.530172
895205.7794805602,14401353096.874954
900907.7271205637,14404155037.230133
906609.6747605674,14406952688.385181
912311.6224005709,14409746097.129578
918013.5700405745,14412535310.252796
923715.517680578,14415320374.544312
929417.4653205816,14418101336.793602
935119.4129605852,14420878243.79014
940821.3606005887,14423651142.3234
946523.3082405924,14426420079.182861
952225.2558805959,14429185101.157997
957927.2035205995,14431946255.038282
963629.151160603,14434703587.613194
969331.0988006066,14437457145.672203
975033.0464406102,14440206976.00479
980734.9940806137,14442953125.400429
986436.9417206174,14445695640.648592
992138.8893606209,14448434568.538757
997840.8370006244,14451169955.860401
1003542.784640628,14453901849.402998
1009244.7322806315,14456630295.956022
1014946.6799206352,14459355342.308949
1020648.6275606387,14462077035.251255
1026350.5752006423,14464795421.572414
1032052.5228406459,14467510548.061901
1037754.4704806494,14470222461.509195
1043456.418120653,14472931208.70377
1049158.3657606565,14475636836.435099
1054860.3134006602,14478339391.49266
1060562.2610406638,14481038920.665926
1066264.2086806672,14483735470.744373
1071966.1563206709,14486429088.517477
1077668.1039606745,14489119820.774714
