time,x,y,vx,vy,theta,theta_dot,alpha,MomentsApplied,ParallelThrust,PerpendicularThrust
0.44,-0.00812812412058897,0.243477600223753,-0.0395985121829608,1.78102566806049,1.57065008921663,-0.000715139296195399,0.0223761188823499,-36823069.7884551,131669763.862241,-774523.522566208
0.45,-0.00852410924241858,0.261287856904358,-0.040532208900353,1.84556502622649,1.57064293782367,-0.000732273438753833,0.0221118101662348,-36828623.220553,131669775.013038,-774645.370214958
0.46,-0.00892943133142211,0.279743507166623,-0.0414649727442298,1.91011211039629,1.57063561508928,-0.000749410623661632,0.0218654383539074,-36833889.4056784,131669786.749404,-774761.177518211
0.47,-0.00934408105886441,0.298844628270586,-0.0423967683081968,1.97466692217933,1.57062812098305,-0.000766550717367811,0.0216352466631904,-36838868.294913,131669799.071457,-774870.943329147
0.48,-0.00976804874194638,0.318591297492379,-0.0433275601741582,2.0392294631848,1.57062045547587,-0.000783693586289961,0.0214197003470529,-36843559.8416445,131669811.979314,-774974.66654942
0.49,-0.010201324343688,0.338983592124227,-0.0442573129125913,2.10379973502162,1.57061261854001,-0.000800839096815321,0.0212174526904962,-36847964.001565,131669825.473088,-775072.34612913
0.5,-0.0106438974728139,0.360021589474443,-0.0451859910828203,2.16837773929834,1.57060461014904,-0.000817987115301845,0.0210273170704485,-36852080.7326722,131669839.55289,-775163.981066844
0.51,-0.0110957573836421,0.381705366867427,-0.0461135592332908,2.2329634776232,1.57059643027789,-0.000835137508079277,0.0208482438538224,-36855909.9952722,131669854.218826,-775249.570409662
0.52,-0.011556892975975,0.404035001643659,-0.0470399819018438,2.29755695160404,1.57058807890281,-0.000852290141450219,0.0206793011837474,-36859451.751977,131669869.471003,-775329.113253161
0.53,-0.0120272927949934,0.427010571159699,-0.0479652236159903,2.36215816284832,1.57057955600139,-0.000869444881691204,0.0205196589113523,-36862705.9677059,131669885.30952,-775402.60874143
0.54,-0.0125069450311533,0.450632152788182,-0.0488892488931863,2.42676711296305,1.57057086155258,-0.000886601595053767,0.0203685750882632,-36865672.6096867,131669901.734477,-775470.056067094
0.55,-0.0129958375200852,0.474899823917813,-0.0498120222411068,2.49138380355479,1.57056199553663,-0.000903760147765517,0.0202253845560363,-36868351.6474551,131669918.745985,-775531.453511707
0.56,-0.0134939577424963,0.499813661953361,-0.0507335081579214,2.5560082362296,1.57055295793515,-0.00092092040601791,0.0200894892623202,-36870743.0528566,131669936.344457,-775586.779875598
0.57,-0.0140012928240755,0.525373744315657,-0.0516536711313832,2.62064041259308,1.57054374873109,-0.000938082235696564,0.0199603500059455,-36872846.8000442,131669954.529646,-775636.055942862
0.58,-0.0145178295353893,0.551580148441588,-0.0525724756149702,2.68528033425064,1.57053436790873,-0.000955245502963687,0.019837479362677,-36874662.8654882,131669973.30164,-775679.281100989
0.59,-0.015043554291539,0.578432951784094,-0.0534898860799786,2.74992800280675,1.5705248154537,-0.000972410073961857,0.0197204356338201,-36876191.2279669,131669992.660521,-775716.45478601
0.6,-0.0155784531523388,0.605932231812161,-0.0544058669893008,2.81458341986526,1.57051509135296,-0.000989575814815106,0.0196088175988238,-36877431.8685695,131670012.606371,-775747.576482546
0.61,-0.0161225118222318,0.634078066010814,-0.0553203827977009,2.87924658702941,1.57050519559482,-0.00100674259162999,0.0195022599822436,-36878384.7706949,131670033.139267,-775772.645723796
0.62,-0.0166757156502088,0.662870531881108,-0.05623339795209,2.94391750590179,1.5704951281689,-0.00102391027049665,0.0194004295165195,-36879049.9200551,131670054.259284,-775791.662091602
0.63,-0.0172380496297297,0.692309706940126,-0.0571448768918022,3.0085961780843,1.57048488906619,-0.00104107871748993,0.0193030215111643,-36879427.3046712,131670075.966493,-775804.625216374
0.64,-0.0178094983986477,0.722395668720969,-0.0580547840488699,3.07328260517817,1.57047447827902,-0.00105824779867038,0.0192097568539626,-36879516.9148764,131670098.260964,-775811.534777148
0.65,-0.0183900462391364,0.75312849477275,-0.0589630838483004,3.13797678878385,1.57046389580103,-0.00107541738008541,0.0191203793820247,-36879318.7433159,131670121.142762,-775812.390501587
0.66,-0.0189796770776194,0.784508262660589,-0.059869740708351,3.20267873050109,1.57045314162723,-0.0010925873277703,0.0190346535705455,-36878832.784947,131670144.611949,-775807.192165991
0.67,-0.0195783744847029,0.8165350499656,-0.0607747190408056,3.2673884319288,1.57044221575395,-0.00110975750774932,0.0189523624953614,-36878059.0370377,131670168.668587,-775795.939595257
0.68,-0.020186121675111,0.849208934284888,-0.0616779832512509,3.3321058946651,1.57043111817888,-0.00112692778603677,0.0188733060321979,-36876997.49917,131670193.312731,-775778.632662963
0.69,-0.0208029015076235,0.882529993231539,-0.0625794977393523,3.39683112030729,1.57041984890102,-0.0011440980286381,0.0187972992611347,-36875648.173237,131670218.544435,-775755.271291296
0.7,-0.021428696485017,0.916498304434612,-0.0634792268991303,3.46156411045177,1.57040840792073,-0.00116126810155093,0.0187241710495163,-36874011.0634464,131670244.363751,-775725.855451143
0.71,-0.0220634887540083,0.951113945539129,-0.0643771351192374,3.52630486669406,1.57039679523971,-0.00117843787076618,0.0186537627904491,-36872086.1763168,131670270.770755,-775690.383281613
0.72,-0.0227072601052007,0.98637699420607,-0.065273186783234,3.59105339062875,1.57038501086101,-0.00119560720224307,0.0185859272773117,-36869873.5206795,131670297.765786,-775648.836222906
0.73,-0.0233599919730331,1.02228752811236,-0.0661673462675401,3.65580968384954,1.57037305478898,-0.00121277596167826,0.0185205276968392,-36867373.1076809,131670325.348562,-775601.234902685
0.74,-0.0240216654357084,1.05884562495085,-0.0670595779210004,3.72057374794947,1.57036092702937,-0.00122994401504896,0.0184574367220629,-36864584.9507846,131670353.519123,-775547.579487079
0.75,-0.0246922612149185,1.09605136243035,-0.0679498461135602,3.78534558452022,1.57034862758922,-0.00124711122832997,0.0183965357163081,-36861509.0657662,131670382.277505,-775487.870190866
0.76,-0.0253717596760541,1.13390481827555,-0.0688381152111815,3.85012519515242,1.57033615647693,-0.00126427746749476,0.0183377139981002,-36858145.4707172,131670411.623741,-775422.107277548
0.77,-0.0260601408281659,1.17240607022707,-0.0697243495761193,3.91491258143565,1.57032351370226,-0.00128144259851655,0.0182808681852744,-36854494.1860392,131670441.557861,-775350.291059235
