time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant
0.4,9.948413734385715e-05,0.38294887218925144,0.00022776914018822746,1.532508766036444,1.570899142239969,0.0004186816602022371,1.5706477017797849,0.0002514404601841047,6931319.793038104,4154500.49911946
0.5,0.00011702262115108234,0.5746456985740692,0.00017538483807225195,1.9169682638481778,1.570951516697251,0.0005237445728209449,1.570704836058774,0.0002466806384768816,6928562.212291079,4151742.9183724346
0.6,0.0001295206287270444,0.8048653567388699,0.00012498007575962054,2.302196581648007,1.5710139383333048,0.000624216360538473,1.570742039477891,0.000271898855413788,6925804.179277721,4148984.885359077
0.7,0.00014816405453664842,1.0737241182522372,0.00018643425809604022,2.688587615133673,1.571085158657964,0.0007122032465910888,1.5707269839708995,0.00035817468706444977,6923044.901218333,4146225.607299689
0.7999999999999999,0.00018654172726114023,1.3813496500644649,0.00038377672724491816,3.0762553181222767,1.5711636986120103,0.000785399540463916,1.5706715722847644,0.0004921263272459342,6920284.150485377,4143464.8565667327
0.8999999999999999,0.00025847254615662724,1.7278734954947472,0.0007193081889548703,3.4652384543028245,1.5712480000564852,0.0008430144447490907,1.5705887485320702,0.0006592515244150388,6917521.852865276,4140702.5589466314
0.9999999999999999,0.0003782252739416921,2.1134310457715437,0.0011975272778506484,3.855575502767965,1.5713364252265063,0.0008842517002094772,1.5704857305587492,0.0008506946677571126,6914757.933681661,4137938.639763017
1.0999999999999999,0.0005607488137374055,2.538161557826586,0.0018252353979571342,4.247305120550423,1.571427256268481,0.0009083104197469502,1.5703665871755867,0.001060669092894262,6911992.318728115,4135173.0248094713
1.2,0.0008219150458617635,3.0022081605462607,0.00261166232124358,4.640466027196749,1.5715186947523447,0.0009143848386370709,1.5702335251214887,0.001285169630856009,6909224.933335749,4132405.639417106
1.3,0.0011798524679333434,3.505721242041765,0.0035793742207157996,5.035130814955044,1.5716087922759425,0.0009009752359787042,1.5700854468298442,0.0015233454460983342,6906455.634994883,4129636.341076239
1.4000000000000001,0.001654625889340272,4.048856538544356,0.004747734214069286,5.431352965025903,1.5716954881775027,0.0008669590156020142,1.56992219229556,0.0017732958819427491,6903684.319902348,4126865.0259837043
1.5000000000000002,0.0022683128166607405,4.631774459398963,0.0061368692732046825,5.829179208546078,1.5717766230207464,0.0008113484324368292,1.5697435427259265,0.0020330802948198556,6900910.897548791,4124091.603630147
1.6000000000000003,0.0030453893059619788,5.254640303360332,0.007770764893012383,6.228658439613683,1.5718499334748448,0.0007331045409833959,1.5695487450023293,0.0023011884725154808,6898135.27393253,4121315.9800138855
1.7000000000000004,0.004014333923512374,5.917627977720805,0.00968944617550395,6.629876743604734,1.5719129730735928,0.0006303959874801592,1.5693348457370173,0.0025781273365754753,6895357.280451953,4118537.9865333093
1.8000000000000005,0.005206774163312226,6.6209163692860376,0.01192440239799851,7.032883915652323,1.5719631864393255,0.0005021336573268072,1.5691008074156052,0.0028623790237203295,6892576.82055176,4115757.5266331155
1.9000000000000006,0.006618475659825193,7.364569699207154,0.014117014965129676,7.4365332992111615,1.5720004013166342,0.0003721487730870959,1.5688979962906833,0.0031024050259509384,6889796.20320699,4112976.909288346
2.0000000000000004,0.008248025028447573,8.148639610421196,0.016295493686223794,7.84069911214042,1.5720245475889185,0.0002414627228420246,1.5687180082685945,0.003306539320323987,6887015.68295638,4110196.389037736
2.1000000000000005,0.010096038571383512,8.973177518403613,0.01848013542935939,8.245379079824174,1.572035551008581,0.00011003419662589207,1.5685550587698858,0.0034804922386952875,6884235.26534611,4107415.971427466
2.2000000000000006,0.012165175335452673,9.838234622381282,0.020691367640691606,8.650571039776695,1.572033333192546,-2.2178160349386035e-05,1.5684044236377856,0.0036289095547603623,6881454.956389164,4104635.66247052
2.3000000000000007,0.014460005644583098,10.743862056060543,0.022948303091304252,9.056274336792608,1.572017814316727,-0.00015518875819098122,1.5682623649115515,0.0037554494051754705,6878674.75860202,4101855.4646833767
2.400000000000001,0.016987080062356108,11.690110852585361,0.02527074417773011,9.462487965248185,1.5719889120745885,-0.0002890224213842862,1.5681257094908778,0.0038632025837106454,6875894.6754342355,4099075.381515592
2.500000000000001,0.01975413991835968,12.677032851844352,0.02767059856003573,9.86921999258991,1.571946556658583,-0.00042355416005326906,1.5679926071416697,0.003953949516913413,6873114.692151601,4096295.3982329583
2.600000000000001,0.02277005252967604,13.704680794829052,0.030159126113163605,10.27647942984701,1.5718906921710951,-0.0005586448748791208,1.5678615630235322,0.0040291291475629265,6870334.792155696,4093515.4982370534
2.700000000000001,0.026045622707650665,14.773107405128812,0.032755701779746245,10.684266102997595,1.5718212616784835,-0.0006943049261156487,1.5677305477474368,0.004090713931046652,6867554.977266185,4090735.683347543
2.800000000000001,0.029593602821795746,15.882365365552964,0.035479801141450794,11.092579604241514,1.571738207207064,-0.0008305447141934812,1.5675978209995012,0.004140386207562852,6864775.249303297,4087955.955384655
