time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],non_nominal_throttle,gimbalanglecommand[deg],gimbalangle[deg],u0,u1
356.2000000000125,11488.740874793943,47510.8595216805,-149.46232372805594,-1193.132305913468,1.3961047253215702,-0.0013861835906722434,-3.1916645456416726,4.587769270963242,1559905.0811694236,1.0,-20.0,-2.0,-1.0,1.0
356.3000000000125,11473.892800907675,47391.95671111352,-148.4807388626635,-1189.0281056697943,1.3960112727297123,-0.0009345259185808101,-3.192145084580183,4.588156357309894,1557666.855140388,1.0,-0.9499965788272783,-1.894999657882728,-0.04749982894136392,1.0
356.40000000001254,11459.143773836893,47273.46488734106,-147.4902707078303,-1184.9182377245593,1.3959667573676173,-0.0004451536209465616,-3.19258620184057,4.5885529592081875,1555428.6824603383,1.0,-3.4802041588723998,-2.053520107981695,-0.17401020794362,1.0
356.50000000001256,11444.494568330572,47155.38464128539,-146.49205506320573,-1180.8024605567207,1.3959744599787245,7.702611106849176e-05,-3.1929837517634327,4.588958211742157,1553190.559696383,1.0,-3.4331400345283183,-2.191482100636357,-0.17165700172641593,1.0
356.6000000000126,11429.945848109854,47037.716588217125,-145.48720220718405,-1176.6805306826552,1.3960371953586248,0.0006273537990045463,-3.193334063947082,4.589371259305707,1550952.4823705587,1.0,-3.3758127835985445,-2.309915168932576,-0.16879063917992723,1.0
356.7000000000126,11415.49816872641,46920.46136773126,-144.47679383444353,-1172.5522048586815,1.396157337556758,0.001201421981326981,-3.193633920980885,4.589791258537643,1548714.4452528744,1.0,-3.3094422982055853,-2.409867881859877,-0.16547211491027927,1.0
356.80000000001263,11401.151980455665,46803.6196435885,-143.46188270745037,-1168.4172414275606,1.3963368440904704,0.001795065337126293,-3.193880534848652,4.590217378939124,1546476.4425970146,1.0,-3.234672068262837,-2.492348300500173,-0.16173360341314186,1.0
356.90000000001265,11386.90763122258,46687.192103424764,-142.44349233084515,-1164.2754016373267,1.3965772792186533,0.0024043512818283735,-3.194071524260735,4.590648803479388,1544238.4683425557,1.0,-3.1521257657120394,-2.55832604702136,-0.15760628828560197,1.0
357.0000000000127,11372.76536955916,46571.1794583421,-141.4226166342068,-1160.1264508266702,1.3968798363210981,0.003025571024448017,-3.1942048928697027,4.5910847291908015,1542000.5162872174,1.0,-3.0624077851629545,-2.6087342208355193,-0.15312038925814772,1.0
357.1000000000127,11358.725347592685,46455.582442393716,-140.4002196647611,-1155.970159483843,1.397245359426775,0.0036552310567695024,-3.1942790083257915,4.591524367752567,1539762.580232315,1.0,-2.9661036383347925,-2.6444711625854467,-0.14830518191673964,1.0
357.2000000000127,11344.787624063516,46340.40181197515,-139.37723529168224,-1151.8063041856324,1.3976743639313527,0.004290045045777223,-3.1942925821311388,4.591966946062492,1537524.654104273,1.0,-2.863780323329631,-2.666402078659865,-0.14318901616648153,1.0
357.30000000001274,11330.952167371146,46225.63834513289,-138.35456692369888,-1147.6346684226032,1.39816705654153,0.004926926101773589,-3.194244650254431,4.592411706795961,1535286.7320547893,1.0,-2.7559866712334955,-2.675360537917228,-0.13779933356167479,1.0
357.40000000001277,11317.218858646971,46111.29284080124,-137.33308724175845,-1143.4550433165057,1.3987233544811153,0.005562979395854904,-3.1941345544702275,4.592857908951344,1533048.8085419892,1.0,-2.643253672093512,-2.6721498513348565,-0.13216268360467562,1.0
357.5000000000128,11303.587494852118,45997.36611797769,-136.31363794852936,-1139.2672282355118,1.3993429039912888,0.006195495101734341,-3.1939619243896114,4.5933048283809,1530810.8783946943,1.0,-2.5260947823843876,-2.65754434443981,-0.12630473911921938,1.0
357.6000000000128,11290.057791898465,45883.85901484641,-135.29702953652784,-1135.0710313127374,1.4000250981551159,0.0068219416382669104,-3.1937266601511727,4.593751758306287,1528572.9368617295,1.0,-2.405006215708827,-2.6322905315667118,-0.12025031078544135,1.0
357.70000000001284,11276.629387790801,45770.77238785908,-134.2840410766465,-1130.8662698733435,1.4007690940741582,0.007439959190424181,-3.1934289157435267,4.594198009817685,1526334.979648017,1.0,-2.280467218563029,-2.5971082002663435,-0.11402336092815143,1.0
357.80000000001286,11263.301845787917,45658.10711078154,-133.27542002883627,-1126.652770775369,1.401573829422944,0.00804735348786124,-3.1930690829325834,4.594642912355528,1524097.0029390466,1.0,-2.1529403326925323,-2.5526914135089624,-0.10764701663462661,1.0
357.9000000000129,11250.074657580251,45545.864073714605,-132.27188207665134,-1122.4303706693336,1.4024380384051043,0.008642089821600536,-3.1926477757688008,4.595085814173904,1521859.003415161,1.0,-2.022871645520183,-2.4997094367100843,-0.10114358227600914,1.0
358.0000000000129,11236.94724648152,45434.04418209645,-131.27411098731108,-1118.19891618155,1.4033602671331757,0.00922228728071532,-3.192165815651365,4.59552608278454,1519620.9782569772,1.0,-1.8906910300780955,-2.4388075960468854,-0.09453455150390479,1.0
358.1000000000129,11223.918970631634,45322.64835569385,-130.2827584988616,-1113.958264025996,1.4043388884523973,0.00978621319221526,-3.1916242169280453,4.595963105380442,1517382.9251431276,1.0,-1.7568123756136351,-2.3706080740035604,-0.08784061878068175,1.0
358.20000000001295,11210.98912620804,45211.677527588894,-129.29844423593667,-1109.708281049521,1.4053721162272588,0.010332277748616931,-3.191024173010899,4.596396289238157,1515144.8422414144,1.0,-1.621633810187191,-2.2957106476219233,-0.08108169050935955,1.0
358.300000000013,11198.156950642488,45101.13264316739,-128.32175565552205,-1105.4488442150894,1.40645801910815,0.010859028808909004,-3.190367042989578,4.596825062097728,1512906.7281943595,1.0,-1.4855379161973399,-2.214693374479465,-0.074276895809867,1.0
358.400000000013,11185.421625840085,44991.01465911462,-127.35324802401988,-1101.1798405276886,1.40759453379413,0.01136514685980012,-3.18965433872527,4.5972488725194,1510668.5821000473,1.0,-1.3488919400167996,-2.1281132310331983,-0.06744459700083998,1.0
358.500000000013,11172.782281397405,44881.32454242387,-126.3934444267936,-1096.9011669074653,1.4087794778066558,0.011849440125257753,-3.1888877124095454,4.5976671902162005,1508430.4034890744,1.0,-1.2120479966055173,-2.03650670759043,-0.06060239983027586,1.0
358.60000000001304,11160.23799781628,44772.06326942241,-125.44283581124773,-1092.6127300145713,1.410010561787997,0.012310839813410098,-3.188068944573533,4.59807950636153,1506192.192298343,1.0,-1.075343270027683,-1.9403903638341555,-0.053767163501384156,1.0
358.70000000001306,11147.787809709844,44663.2318248194,-124.50188106436404,-1088.3144460301323,1.4112854013370857,0.012748395490888518,-3.1871999325339226,4.598485333871009,1503953.9488423655,1.0,-0.939100210705439,-1.8402613485212842,-0.04695501053527195,1.0
358.8000000000131,11135.430708997295,44554.831200779634,-123.57100712547536,-1084.0062403976608,1.4126015283946494,0.013161270575636997,-3.1862826792631673,4.598884207657816,1501715.673782684,1.0,-0.8036267302566453,-1.7365978866948204,-0.04018133651283227,1.0
358.9000000000131,11123.165648083805,44446.86239602672,-122.65060913491445,-1079.6880475291475,1.4139564021886597,0.013548737940103655,-3.185319282672232,4.599275684860892,1499477.3680959456,1.0,-0.6692163945563843,-1.6298597374809771,-0.03346081972781922,1.0
359.00000000001313,11110.991543021903,44339.32641497872,-121.74105061902596,-1075.3598104799694,1.4153474197504161,0.013910175617564599,-3.184311925294956,4.599659345045373,1497239.0330411247,1.0,-0.5361486158506253,-1.520488625317942,-0.026807430792531266,1.0
359.10000000001315,11098.907276650714,44232.22426691906,-120.84266371187903,-1071.02148059664,1.4167719260109268,0.014245062605107717,-3.1832628643638463,4.600034790374774,1495000.6701263252,1.0,-0.404688844476188,-1.4089086472337666,-0.020234442223809403,1.0
359.2000000000132,11086.911701709329,44125.55696520493,-119.9557494138654,-1066.6730171413164,1.4182272234866797,0.014552974757529176,-3.182174422267777,4.600401645754457,1492762.2810755542,1.0,-0.2750887608774011,-1.29552665859813,-0.013754438043870056,1.0
359.3000000000132,11075.003643920607,44019.32552651525,-119.08057788721561,-1062.31438689685,1.4197105815633866,0.014833580767068194,-3.1810489773826474,4.600759558946034,1490523.8677958113,1.0,-0.14758646847962786,-1.1807326395862798,-0.0073793234239813935,1.0
359.4000000000132,11063.181905041776,43913.53097013965,-118.21738878831444,-1057.9455637560347,1.4212192453858394,0.015086638224527675,-3.1798889552665766,4.601108200652416,1488285.432344796,1.0,-0.022406687942260244,-1.064900044421878,-0.0011203343971130121,1.0
359.50000000001324,11051.445265878121,43808.17431730979,-117.36639163654793,-1053.566528298563,1.42275044436163,0.015311989757903537,-3.178696820211696,4.601447264573326,1486046.9768995012,1.0,0.1002390466518588,-0.9483861353145043,0.00501195233259294,1.0
359.60000000001327,11039.792489256195,43703.25659057389,-116.52776621926837,-1049.1772673590497,1.4243014002861474,0.01550955924517365,-3.177475067145018,4.601776467431165,1483808.5037259203,1.0,0.22015218924730906,-0.8315323028583231,0.011007609462365453,1.0
359.7000000000133,11028.222322952963,43598.77881321496,-115.70166303232222,-1044.777773589322,1.4258693350959855,0.015679348098382263,-3.1762262138712223,4.602095548967208,1481570.0151500655,1.0,0.33714698044114094,-0.7146643745283767,0.016857349022057048,1.0
359.8000000000133,11016.733502577417,43494.742008713154,-114.88820375545012,-1040.3680450180093,1.4274514782576455,0.015821431616598693,-3.174952793650548,4.602404271908194,1479331.5135304637,1.0,0.45105024290364304,-0.5980929127851747,0.02255251214518215,1.0
359.90000000001334,11005.324754401243,43391.147200252126,-114.08748176173765,-1035.9480846102929,1.4290450737982183,0.01593595540573232,-3.173657348105235,4.6027024219034525,1477093.0012322674,1.0,0.5617011732294701,-0.48211350418371024,0.028085058661473507,1.0
360.00000000001336,10993.994731169669,43287.99495339748,-113.30023231574467,-1031.5224685464914,1.4306473782614433,0.016023044632246276,-3.172342268401681,4.602989646663124,1474856.3756906483,0.9990740510207293,0.6695179574688677,-0.36695035801845244,0.033475897873443385,0.9981481020414587
360.1000000000134,10982.741615784245,43185.282583163214,-112.53115385423305,-1027.1237023426752,1.4322556309385208,0.016082526770774416,-3.171009082362561,4.603264713301082,1472635.0825438397,0.991579649703302,0.7789512113079893,-0.25236020108580826,0.03894756056539947,0.9831592994066041
360.2000000000134,10971.563608930559,43083.00742671486,-111.78006853685942,-1022.7515644835694,1.4338671219818362,0.016114910433156278,-3.1696604672490434,4.60352758923088,1470428.9476984222,0.9841714352415452,0.8880789145157135,-0.13831628952565606,0.044403945725785675,0.9683428704830903
360.3000000000134,10960.458930713658,42981.1668386582,-111.04678216901954,-1018.4058805666053,1.4354791965032254,0.016120745213888812,-3.168299067945476,4.603778264448701,1468237.8165797298,0.9768398331574473,0.9945020826618145,-0.025034452306909,0.049725104133090725,0.9536796663148945
360.40000000001345,10949.425822782221,42879.7581906103,-110.33107931437257,-1014.0864804790193,1.4370892583448722,0.01610061841647132,-3.1669274938213157,4.604016752166188,1466061.536501472,0.9695838763944727,1.0981231898900967,0.08728131191279158,0.054906159494504836,0.9391677527889455
360.5000000000135,10938.462550355605,42778.77887080667,-109.63272426615524,-1009.7931980362545,1.438694773627516,0.016055152826436554,-3.1655483146660788,4.604243088293595,1463899.956647489,0.9624026007679949,1.198786461647755,0.19843182688628794,0.05993932308238775,0.9248052015359898
360.6000000000135,10927.56740415358,42678.226283748416,-108.95146202024722,-1005.5258705825728,1.4402932740774355,0.015985004499195172,-3.164164056817704,4.604457330895139,1461752.928032361,0.9552950559033144,1.2963432363556955,0.30822296783322867,0.06481716181778478,0.9105901118066289
360.7000000000135,10916.738702228007,42578.0978498874,-108.2870192557302,-1001.2843386101017,1.441882360133944,0.01589086056508973,-3.1627771994825573,4.604659559616502,1459620.3034636758,0.9482603050427093,1.3906520783018295,0.41646587888008874,0.06953260391509147,0.8965206100854186
360.80000000001354,10905.974791695895,42478.39100534768,-107.63910532112347,-997.0684453972692,1.4434597038392554,0.015773437053111506,-3.1613901712466594,4.604849875085914,1457501.937505934,0.9412974248718405,1.4815789418514713,0.522977185177227,0.07407894709257357,0.8825948497436811
360.90000000001356,10895.274050373446,42379.10320168093,-107.0074132244952,-992.8780366674795,1.4450230515127374,0.015633476734820708,-3.1600053467775835,4.605028398290321,1455397.6864460919,0.9344055053503459,1.5689973233121428,0.6275791989907188,0.07844986616560715,0.8688110107006919
361.0000000000136,10884.63488831088,42280.231905654065,-106.39162062566078,-988.7129602687102,1.4465702262117452,0.015471746990081832,-3.1586250437163965,4.605195269928142,1453307.4082607352,0.9275836495459726,1.6527884001127557,0.7301001191029225,0.08263942000563779,0.8551672990919452
361.1000000000136,10874.055749228011,42181.77459906661,-105.79139082869682,-984.5730658745441,1.448099129981374,0.015289037696283245,-3.1572515197588182,4.605350649740192,1451230.9625848667,0.9208309734716138,1.7328411568875246,0.8303742228813827,0.08664205784437623,0.8416619469432276
361.20000000001363,10863.53511185071,42083.72877859591,-105.20637377302313,-980.4582047069872,1.4496077458956491,0.015086159142753849,-3.1558869699246674,4.605494715820316,1449168.2106822887,0.9141466059247118,1.809052498131066,0.9282420504063511,0.09045262490655331,0.8282932118494235
361.30000000001365,10853.071491148576,41986.09195566778,-104.63620702133379,-976.3682292812649,1.451094139892861,0.01486393997212101,-3.1545335240145302,4.6056276639073905,1447119.0154175526,0.9075296883284267,1.8813273470878724,1.0235505800745033,0.09406636735439362,0.8150593766568535
361.4000000000137,10842.663439474307,41888.86165635052,-104.08051674269194,-972.30299317264,1.4525564624078984,0.014623225150374689,-3.153193244252354,4.605749706660252,1445083.2412294387,0.9009793745741713,1.9495787305232304,1.116153395119376,0.09747893652616152,0.8019587491483426
361.5000000000137,10832.309547605393,41792.035421270004,-103.53891868914275,-968.2623508051488,1.4539929498046396,0.014364873967409405,-3.151868123112605,4.605861072917245,1443060.7541059293,0.8944948308650057,2.0137278492511257,1.205910840532551,0.10068639246255628,0.7889896617300114
361.6000000000137,10822.008445688969,41695.6108055438,-103.01101916424211,-964.2461572620173,1.455401925611621,0.01408975806981523,-3.1505600813303802,4.6059620069420015,1441051.4215606274,0.8880752355595637,2.073704134042012,1.292690169883497,0.10368520670210062,0.7761504711191274
361.70000000001374,10811.758804090774,41599.58537873206,-102.49641598194742,-960.2542681173884,1.4567818015643887,0.013798759527676209,-3.149270966092711,4.606052767657101,1439055.1126105704,0.8817197790161343,2.1294452868434335,1.3763656815794907,0.10647226434217168,0.7634395580322686
361.80000000001377,10801.559334149337,41503.956724803174,-101.99469941436877,-956.2865392888742,1.4581310784581003,0.013492768937112655,-3.148002549409144,4.606133627867244,1437071.6977553822,0.8754276634366346,2.1808973071702615,1.4568188441385677,0.10904486535851307,0.7508553268732692
361.9000000000138,10791.408788836643,41408.72244211214,-101.50545312693521,-952.3428269103339,1.4594483468141275,0.013172683560274288,-3.1467565266594812,4.60620487347361,1435101.0489577055,0.8691981027102242,2.2280145035147902,1.53393841007619,0.11140072517573951,0.7383962054204485
362.0000000000138,10781.305963326684,41313.880143389724,-101.0282550995899,-948.4229872241772,1.4607322873645727,0.012839405504452634,-3.1455345153163745,4.606266802680948,1433143.0396248482,0.8630303222563637,2.2707594897758265,1.6076205180461536,0.11353797448879133,0.7260606445127273
362.10000000001384,10771.249695473414,41219.427455740486,-100.56267853269048,-944.5268764924036,1.4619816713587659,0.012493839941933984,-3.1443380538403196,4.606319725199087,1431197.5445915763,0.856923558867162,2.309103166742879,1.677768782915826,0.11545515833714395,0.713847117734324
362.20000000001386,10761.23886619978,41125.36202064794,-100.10829273635575,-940.6543509255036,1.4631953606959822,0.0121368933721625,-3.1431686007443926,4.606363961440375,1429264.4401039844,0.850877060548914,2.3430246885849844,1.7442943734827419,0.11715123442924923,0.701754121097828
362.3000000000139,10751.272399799573,41031.68149398511,-99.66466400206636,-936.805266628277,1.4643723078887547,0.011769471927722614,-3.1420275338258876,4.606399841714643,1427343.603804369,0.84489008636275,2.372511414522065,1.807116077586674,0.11862557072610326,0.6897801727255
362.4000000000139,10741.349264154032,40938.383546028956,-99.23135645539635,-932.9794795615633,1.4655115558613132,0.011392479725584277,-3.1409161495618885,4.606427705423202,1425434.9147170295,0.8389619062643618,2.397558845798877,1.8661603544078942,0.11987794228994385,0.6779238125287237
362.5000000000139,10731.468470865151,40845.465861477074,-98.80793288882153,-929.1768455188278,1.4666122375878117,0.01100681726498488,-3.139835662665544,4.606447900253356,1423538.2532349222,0.8330918009428245,2.418170548080396,1.9213613737751443,0.12090852740401979,0.6661836018856491
362.60000000001395,10721.629075307788,40752.926139465424,-98.39395557362188,-925.3972201165033,1.4676735755751362,0.010613379873244653,-3.1387872057997686,4.606460781374905,1421653.5011070876,0.8272790616585434,2.4343580596178103,1.972661042359411,0.12171790298089051,0.6545581233170867
362.700000000014,10711.830176602793,40660.76209358573,-97.98898704996608,-921.640458796958,1.4686948811952096,0.010213056200734247,-3.137771829444815,4.606466710640024,1419780.541426774,0.8215229900803862,2.4461407853066626,2.0200090166541362,0.12230703926533314,0.6430459801607724
362.800000000014,10702.070917513358,40568.97145190143,-97.59259089433749,-917.9064168429394,1.4696755538718227,0.009806726766128697,-3.136790501916091,4.606466055787913,1417919.2586201807,0.8158228981221178,2.4535458770758445,2.063362702696307,0.12267729385379224,0.6316457962442357
362.900000000014,10692.350484267005,40477.5519569612,-97.20433246353221,-914.1949494023272,1.4706150801271223,0.009395262552996123,-3.1358441095283953,4.606459189655518,1416069.5384357392,0.8101781077782528,2.456608100874935,2.10268724251417,0.12283040504374676,0.6203562155565057
363.00000000001404,10682.668106305551,40386.501365808996,-96.82377961453007,-910.5059115220294,1.4715130324929901,0.008979523658680696,-3.1349334569026395,4.606446489395629,1414231.2679338616,0.8045879509594592,2.4553696906598197,2.137955487328735,0.12276848453299098,0.6091759019189185
363.10000000001406,10673.02305596559,40295.81744999001,-96.45050339960927,-906.8391581898575,1.472369068292625,0.008560357996347885,-3.1340592674109415,4.6064283357035665,1412404.3354770765,0.7990517693277014,2.4498801898291083,2.169147957578773,0.12249400949145542,0.5981035386554028
363.2000000000141,10663.414648091975,40205.49799555169,-96.08407873614394,-903.1945443832318,1.4731829282977218,0.008138600050967684,-3.133222183755911,4.606405112053633,1410588.6307204815,0.7935689141312977,2.4401962805202073,2.1962527898729163,0.12200981402601035,0.5871378282625954
363.3000000000141,10653.842239586917,40115.54080303933,-95.72408505059114,-899.571925123587,1.4739544352667135,0.007715069689917589,-3.1324227686797705,4.606377203946484,1408784.0446024411,0.7881387460400769,2.4263816012762836,2.219265671013253,0.12131908006381419,0.5762774920801539
363.40000000001413,10644.305228897292,40025.94368748579,-95.37010689623963,-895.9711555353778,1.4746834923695928,0.007290571028792817,-3.1316615057988866,4.606344998168479,1406990.46933546,0.7827606349808658,2.4085065535657217,2.2381897592685,0.12042532767828609,0.5655212699617316
363.50000000001415,10634.803055442857,39936.70447839493,-95.0217345443566,-892.392090908618,1.4753700815048842,0.006865891352916443,-3.130938800559161,4.606308882064045,1405207.7983971697,0.777433959973517,2.3866480977049362,2.2530355931121435,0.11933240488524681,0.5548679199470341
363.6000000000142,10625.335198988014,39847.82101971854,-94.67856454843105,-888.8345867639283,1.4760142615143792,0.006441800094947624,-3.1302549813076452,4.606269242822025,1403435.9265213625,0.7721581089677024,2.3608895387246425,2.2638209876733932,0.11804447693623213,0.5443162179354049
363.7000000000142,10615.901178959886,39759.291169826625,-94.34020028127249,-885.2984989191123,1.4766161663012687,0.006019047868891561,-3.1296103004756874,4.606226466776956,1401674.7496890184,0.7669324786806923,2.3313203027733462,2.2705709191833887,0.11656601513866732,0.5338649573613845
363.8000000000142,10606.500553715408,39671.11280147099,-94.00625244478185,-881.7836835563332,1.4771760028573406,0.0055983655607224955,-3.129004935868794,4.606180938726134,1399924.1651192668,0.761756474436379,2.2980357045750415,2.273317397722554,0.11490178522875207,0.5235129488727579
363.90000000001424,10597.13291976018,39583.28380174209,-93.6763395522677,-878.2899972890197,1.4776940492049144,0.005180463475738169,-3.128438992058373,4.606133041263288,1398184.071260235,0.7566295100057453,2.2611367066201025,2.272099328612309,0.11305683533100513,0.5132590200114906
364.00000000001427,10587.797910921858,39495.802072019316,-93.35008838323468,-874.8172972276844,1.4781706522591818,0.004766030542673201,-3.127912501870476,4.6060831541296565,1396454.3677797362,0.751551007449021,2.220729670670915,2.2669623628181697,0.11103648353354575,0.5031020148980421
364.1000000000143,10578.495197480795,39408.66552791493,-93.02713441062251,-871.3654410439079,1.4786062256166328,0.004355733574511213,-3.1274254279665463,4.606031653583179,1394734.9555557554,0.7465203969597506,2.1769261021067234,2.257958736747025,0.10884630510533617,0.4930407939195012
364.2000000000143,10569.224485260744,39321.872099211745,-92.70712220052422,-867.9342870317977,1.4790012472752172,0.003950216585846453,-3.1269776645112617,4.60597891178648,1393025.7366666964,0.7415371167109723,2.1298423878938433,2.245147101861707,0.10649211939469215,0.48307423342194467
364.30000000001434,10559.985514682297,39235.41972979512,-92.38970578445864,-864.5236941663046,1.4793562572918735,0.003550100166562606,-3.1265690389224106,4.605925296214284,1391326.6143813564,0.7366006127037448,2.0795995285955278,2.2285923445350893,0.10397997642977638,0.47320122540748955
364.40000000001436,10550.778059781866,39149.306377579334,-92.07454900431821,-861.1335221578441,1.4796718553830248,0.0031559809115119927,-3.1261993136978226,4.605871169080848,1389637.4931486011,0.7317103386181816,2.0263228652267493,2.2083653966042553,0.10131614326133746,0.46342067723636315
364.5000000000144,10541.60192719885,39063.53001442906,-91.76132583015617,-857.7636315027387,1.4799486984736048,0.0027684309057992022,-3.12586818831433,4.6058168867879345,1387958.2785867166,0.7268657556672055,1.9701418014127037,2.1845430370851004,0.09850709007063518,0.4537315113344109
364.6000000000144,10532.456955133748,38978.088626076154,-91.44972065101787,-854.413883529067,1.4801874981911385,0.0023879971753364656,-3.125575301202713,4.605762799393851,1386288.8774724198,0.7220663324531857,1.911189521550865,2.157207685531677,0.09555947607754325,0.4441326649063715
364.7000000000144,10523.343012279855,38892.980212032395,-91.1394285389347,-851.0841404375825,1.480389018316038,0.0020152012489923553,-3.125320231788084,4.6057092501041215,1384629.197729512,0.7173115448276132,1.8496026821998355,2.1264471851984927,0.09248013410999177,0.43462308965522634
364.80000000001445,10514.259996731222,38808.20278549865,-90.83015548632397,-847.7742653374247,1.4805540722332267,0.00165053917188854,-3.1251025025510626,4.605656574784289,1382979.1484171674,0.7126008757539575,1.7855211143363914,2.0923545781122828,0.08927605571681957,0.42520175150791495
364.9000000000145,10505.207834869458,38723.75437327101,-90.52161861763136,-844.4841222763819,1.4806835203303523,0.0012944809712566198,-3.1249215811642266,4.605605101494579,1381338.639717853,0.7079338151738332,1.7190876265663355,2.0550278829576887,0.08595438132831677,0.4158676303476665
365.0000000000145,10496.186480231936,38639.63301564445,-90.213546375208,-841.213576265579,1.480778267371381,0.0009474704102874048,-3.1247768826758007,4.605555150047182,1379707.582924877,0.7033098598765929,1.6504476525873113,2.014569859920651,0.08252238262936556,0.4066197197531858
365.1000000000145,10487.195912363955,38555.836766314605,-89.90567867981098,-837.9624932985074,1.4808392598507463,0.0006099247936523309,-3.1246677717357088,4.6055070315864555,1378085.8904295706,0.6987285133724198,1.5797489595121785,1.9710877698798037,0.07898744797560893,0.3974570267448396
365.20000000001454,10478.236135657342,38472.363692278166,-89.59776706613903,-834.7307403643721,1.4808674833331288,0.00028223482382501674,-3.1245935648591385,4.605461048192268,1376473.4757081077,0.6941892857690234,1.5071413539281124,1.9246931282846347,0.07535706769640563,0.3883785715380468
