generation,global_best_fitness,global_avg_fitness
0,1262.727294399024,13938.795372599056
1,-114.49297990429824,7635.985617444967
2,-114.49297990429824,8728.522222016636
3,-150.07348822176226,8914.301074317429
4,-150.07348822176226,9119.129378320024
5,-187.68337328257076,8011.049998658569
6,-187.68337328257076,7803.715766024862
7,-187.68337328257076,8451.156429659994
8,-187.68337328257076,9749.74523224322
9,-187.68337328257076,8723.760339447326
10,-187.68337328257076,8505.320898878175
11,-187.68337328257076,7694.89878444481
12,-189.82791589497728,9268.28675903957
13,-189.82791589497728,8690.883252973179
14,-189.82791589497728,6744.127326625115
15,-189.82791589497728,8225.905826826749
16,-190.66447288055068,7984.492320414351
17,-190.66447288055068,7495.286966792625
18,-190.66447288055068,6964.858544752363
19,-190.66447288055068,8004.540778420514
20,-190.66447288055068,7723.389985429274
21,-190.66447288055068,6850.626402499326
