time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,control_force_y,control_force_parallel,d_cp_cg,inertia,alpha_effective,speed_of_sound,CL,g_load_1_sec_window,gravity_force_y,drag,aero_force_x,ug,aero_force_y,lift,fuel_percentage_consumed,mach_number,CD,atmospheric_pressure,x_cog,air_density,control_force_x,vg,mass_flow,control_force_perpendicular,mach_number_max,d_thrust_cg,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component,moment_dict_control_moment_z,moment_dict_aero_moment_z,moment_dict_M_wind_z,moment_dict_moments_z,moment_dict_theta_dot_dot
294.0749999999896,4940.028317534533,29926.00775157466,-216.21470326816174,-1024.0554584086856,1.3690482079060606,-0.1178366174493696,4.504309269146994,-3.135261061240933,1556131.6538729053,1211850.284822576,0.081867516040802,-0.836264967918396,0.0017046828275195938,10155.52123955119,360.55246959828315,3700240.9389063776,3774585.7838190007,-32.92718880362234,23678069.937287748,-0.009348521459484171,301.6767320044649,-1.408214961670384,0.07084788908405217,-15117958.010308297,202985.9914102552,1546321.051892946,0.0,-119134.18188227565,-1537562.4982781229,0.7152926972064451,3.468806412243015,0.18590978281112555,1205.713301523923,4.840047844340559,0.018547631470948293,745462.8317023922,0.0,1047.217529296875,0.0,8.775778077985512,7.940047844340558,0.0,0.9667539189888436,0.0,2.377845685290963,-9.715089319520413,-7.413840257205606,8.20168137772576e-08,0.0,0.02694703446289464,0.4790486909298979,0.2041163005491111,1.472719433121458,0.0,-50687880.74354921,0.0,-50687880.74354921,-2.1407099851380607
294.1749999999895,4918.411965978988,29823.556662622574,-216.1655334095726,-1024.7771326940472,1.3531469154274316,-0.11005879875803515,4.504497551855698,-3.1513506364282664,1556027.5133699756,1211746.1443196463,0.08141312003135681,-0.8371737599372864,0.003410586878866354,10330.563844560913,360.4716556842111,3667425.272264837,3753768.851296892,-32.92715316781119,23677921.42727985,0.006978002831217189,301.60913446983363,1.1599759221094652,0.14179267334154888,-15117430.114091843,212793.71590158922,-1216678.2409297659,0.0,474158.8665791678,1288352.206184467,0.7153171971734789,3.471890744267497,0.19159014564275403,1224.3170171743793,4.840083480151709,0.018842257773812748,800482.6427349792,0.0,1041.405029296875,0.0,8.708848094150456,7.94008348015171,0.0,-0.8101474896018316,0.0,2.356915440603032,-9.715400263939538,-7.0538053960458065,8.599456654161412e-08,0.0,0.028225738046369905,0.5144399028018015,-0.17089175650301197,-0.2674686861497393,0.0,42469629.93456918,0.0,42469629.93456918,1.7936384350713739
294.2749999999894,4896.793737707593,29721.034780326874,-216.19243676575672,-1025.4837883879964,1.3534504038588633,0.0712698581496222,4.504611602265998,-3.1511611984071344,1555923.9802965503,1211642.611246221,0.08093824982643127,-0.8381235003471375,0.005117669703937373,10508.827351447631,360.390765191162,3642770.2352294894,3732012.176522432,-32.927117734387984,23677773.76059777,0.011321905873330707,301.5414726288041,1.1591328194521688,0.21284260032004698,-15116908.414113507,216380.37205172153,-1236813.7440398075,0.0,481919.6148835264,1309631.3554760406,0.71534155597393,3.47498023935846,0.19151465004383048,1243.230163441692,4.840118913574917,0.019141918873074877,811258.2197043006,0.0,1035.3306884765625,0.0,8.642350767470646,7.940118913574917,0.0,-0.8236029476952214,0.0,2.341226358973655,-9.715711439341856,-7.064797070762682,8.745775332344185e-08,0.0,0.02868787556826794,0.5213996506112589,-0.17363192885729123,-0.2735020801766051,0.0,43200286.41415295,0.0,43200286.41415295,1.8245079478731498
294.3749999999893,4875.173733182521,29618.441977889448,-216.18236074632276,-1026.1992856808658,1.3696714938793604,0.16646626639977377,4.504761743053863,-3.1350902491745027,1555820.9440645557,1211539.5750142264,0.08054983615875244,-0.8389003276824951,0.006825933414036858,10690.375765376697,360.30979796196937,3636246.5994513202,3714235.803414299,-32.927082477292366,23677626.828637958,-0.0024041580714522226,301.4737467436153,-0.896510768393809,0.283998720128503,-15116391.834223669,214040.15236207494,1052401.4789009457,0.0,-3030.934372594551,-1030410.050675404,0.7153657915558057,3.4780752259775096,0.18622615466092735,1262.4581459449903,4.840154170670539,0.019446705072076055,757138.2115197832,0.0,1030.3623046875,0.0,8.576284193136676,7.940154170670539,0.0,0.6480692513857511,0.0,2.3371883591897715,-9.716022844333457,-7.380821273518716,8.652606787629535e-08,0.0,0.028359275298230457,0.4866486817832472,0.1365243015139297,1.1630578300477918,0.0,-33945242.48259949,0.0,-33945242.48259949,-1.4336420929458566
294.4749999999892,4853.565036552773,29515.77540792487,-216.02965587842948,-1026.9455323019602,1.3721134966950457,-0.06131397859394056,4.505050716958101,-3.132937220263055,1555718.1642031055,1211436.7951527762,0.08034941554069519,-0.8393011689186096,0.008535425420728538,10875.275808527733,360.2287516913176,3633339.3471456557,3705111.778159631,-32.9270473254716,23677480.33529316,-0.010260580108387707,301.4059552475154,-1.4082684940526384,0.35523060188289035,-15115878.049231771,217043.22736491708,1656001.283706641,0.0,-126686.79665446497,-1646597.107230434,0.7153899527847889,3.4811755272155804,0.1856283711439444,1282.0069996755765,4.8401893224913035,0.01975671678291428,725739.9514567215,0.0,1027.798583984375,0.0,8.51064470038369,7.940189322491303,0.0,1.0357472489781572,0.0,2.335474014990872,-9.716334485928346,-7.462330698720427,8.775699761262683e-08,0.0,0.028719616935499206,0.466498346651671,0.21788119694354974,1.5309340423406095,0.0,-54288053.80020239,0.0,-54288053.80020239,-2.2928138058373446
294.57499999998913,4831.969633861246,29413.034620994506,-215.94044763672687,-1027.6784812353876,1.3562536932512061,-0.14550577871580148,4.50527752849577,-3.149023835244564,1555615.5787309986,1211334.2096806692,0.08019745349884033,-0.8396050930023193,0.010246153207575492,11063.581802147417,360.147625965171,3616273.9720528224,3698219.639421474,-32.927012242510855,23677334.12880693,0.0037668042800618196,301.33809706700396,1.1566080335776203,0.4264756407836717,-15115366.4644303,227534.55975193018,-1299558.996207334,0.0,505610.18597481924,1375762.7952897258,0.7154140647053711,3.484278971190736,0.19128900754305408,1301.882747112889,4.840224405452046,0.020072054362516523,774203.500674081,0.0,1025.854736328125,0.0,8.44542914173994,7.940224405452046,0.0,-0.8654846092259931,0.0,2.3246578534542683,-9.716646368867519,-7.067009620030871,9.201547555299399e-08,0.0,0.030077372411684906,0.49768304667252145,-0.18185953812547662,-0.33770993404974287,0.0,45327657.984858826,0.0,45327657.984858826,1.9143902661622332
294.67499999998904,4810.373507948377,29310.222573295876,-215.97377803369636,-1028.3856395709695,1.3537776144173175,0.04810359042564198,4.505384871062322,-3.1516072566450046,1555513.20547813,1211231.8364278006,0.08003154397010803,-0.8399369120597839,0.011958067551193382,11255.346545364973,360.06642305920104,3603159.5834560026,3690687.674231076,-32.92697722770189,23677188.206227988,0.011190432406396944,301.2701738993725,1.1557692930682635,0.4977198360691065,-15114857.240744159,231387.84067520333,-1321164.7398775348,0.0,513934.7654300456,1398593.8939524142,0.7154381278162822,3.4873841493458704,0.19121416316641723,1322.0907071200093,4.840259420261014,0.02039280713980905,799009.7151288922,0.0,1023.7324829101562,0.0,8.380637039195122,7.940259420261015,0.0,-0.8799252715476253,0.0,2.316379938637983,-9.716958485156795,-7.07022646401722,9.358817831741693e-08,0.0,0.030573116994149295,0.5136630870859721,-0.18479525381426953,-0.3356747032953191,0.0,46133842.94175895,0.0,46133842.94175895,1.9484510804211128
294.77499999998895,4788.774629777428,29207.339664564304,-215.9813273833019,-1029.0986254087404,1.3692868667171318,0.18191392509812987,4.505517204411825,-3.136230337694693,1555411.078952251,1211129.7099019217,0.07983866333961487,-0.8403226733207703,0.013671161795624576,11450.644905516538,359.9851432314544,3604026.7320307223,3681916.9333323585,-32.926942291434514,23677042.610855725,-0.0008677906550902392,301.20218648270145,-0.3138764024774213,0.5690068038391856,-15114350.70805082,230545.61488910325,425534.40430394874,0.0,146238.56904387323,-386411.6558512715,0.7154621349901192,3.4904925686102204,0.18726875111704433,1342.6365684514062,4.840294356528393,0.02071907044106572,753328.3605224959,0.0,1021.2652587890625,0.0,8.316266967220331,7.940294356528392,0.0,0.24313358920195152,0.0,2.3170895339503756,-9.717270831214652,-7.306201633308088,9.326236432781467e-08,0.0,0.03044463818400061,0.48432750075944525,0.051027485637197216,0.7578983012262028,0.0,-12729937.040978542,0.0,-12729937.040978542,-0.5376489475565658
294.87499999998886,4767.186485800368,29104.382999160454,-215.8214361785346,-1029.8474522812794,1.372263718105103,-0.06206613360675123,4.505812096110287,-3.1335483780051847,1555309.191905437,1211027.8228551077,0.07965144515037537,-0.8406971096992493,0.01538548415590442,11649.559236849662,359.903784135769,3602371.739877201,3673408.472765462,-32.92690743481958,23676897.347320016,-0.009669704916324129,301.13413335039013,-1.4083224029193149,0.6403691646711909,-15113846.806260794,232146.80963616716,1774000.1116013522,0.0,-134714.04359607492,-1763896.8587418497,0.715486085477219,3.4936057041248647,0.18534958614873737,1363.5267989526462,4.840329213143321,0.021050952105162057,718921.1747606206,0.0,1018.8704223632812,0.0,8.252315421296895,7.940329213143322,0.0,1.110000662934822,0.0,2.316177232556487,-9.71758341358772,-7.488058297684276,9.392820702179134e-08,0.0,0.03061501314323403,0.4622368198569298,0.23261885699969467,1.6028198590290574,0.0,-58150866.17471229,0.0,-58150866.17471229,-2.456017159752326
294.97499999998877,4745.611840902536,29001.351967489016,-215.73699635286405,-1030.5804760325475,1.3564466410861342,-0.13610903937139238,4.506033381493658,-3.149586740407524,1555207.4972261768,1210926.1281758475,0.07950106263160706,-0.8409978747367859,0.017101044782350687,11852.152735577936,359.82234523070304,3585320.1419637003,3666597.33707634,-32.92687264517512,23676752.36276957,0.004566258393007061,301.0660131960536,1.1532607170913203,0.7117397072666349,-15113345.086729769,243372.02214026294,-1388499.712402411,0.0,539347.1496956268,1469556.687598588,0.7155099880042363,3.4967219264107166,0.19099051784935991,1384.7679578455152,4.840364002787777,0.02138856157810635,767734.0111553611,0.0,1016.94677734375,0.0,8.188779092900175,7.940364002787778,0.0,-0.9248790054953839,0.0,2.3053644921069205,-9.717896238081089,-7.0657743364413985,9.848744866438681e-08,0.0,0.03206357516139091,0.49365374879215107,-0.1936099346686024,-0.39914645125272813,0.0,48423992.928287774,0.0,48423992.928287774,2.0452126282501446
