episode,reward,steps,updates
1,-0.21423920596406631,120,0
2,-1.0825013121164542,120,0
3,-0.9239201236361829,121,0
4,0.40284377970099783,122,0
5,0.85590951230831,127,98
6,1.4581416797721136,135,135
7,1.0344035722990057,135,135
8,0.7193133956199631,129,129
9,0.7609477740205417,133,133
10,0.8350558528459278,131,131
11,0.8883882753602386,128,128
12,0.5419737402175926,125,125
13,1.5192540362796354,130,130
14,1.5769301369293096,131,131
15,1.0991110329573353,130,130
16,0.7432581310346986,132,132
17,1.6198517118670033,136,136
18,1.220445750836431,136,136
19,0.4679729845311549,131,131
20,1.8305233030112174,134,134
21,1.844351141768236,132,132
22,1.1599059432074075,132,132
23,1.9159279743777198,132,132
24,1.8802252644696722,134,134
25,1.558889194227735,133,133
26,0.6332175122177564,131,131
27,1.9873435735058358,137,137
28,1.5372790584529525,133,133
29,1.721975298953799,133,133
30,0.264075381853182,128,128
31,0.14893360558437863,126,126
32,0.45609839817708675,126,126
33,1.083413019708809,127,127
34,-0.1852180439105542,124,124
35,0.21592276890113382,122,122
36,-0.5309580562112046,123,123
37,0.6092867748308457,124,124
38,0.24890722793210607,123,123
39,-0.24430952405140438,123,123
40,0.1873157573048747,125,125
41,0.22163443043919884,123,123
42,0.39603066665018716,122,122
43,1.2571642598089703,127,127
44,0.21234876132695746,124,124
45,0.9077058469141814,129,129
46,0.18583690170673783,128,128
47,0.3418310039700181,123,123
48,0.8129497530315781,128,128
49,0.5258225336406728,128,128
50,0.18537837797131473,125,125
51,0.7743912783091194,127,127
52,0.41733385760868025,124,124
53,0.5788872212259459,125,125
54,0.5874402830175605,125,125
55,1.1203379297872562,127,127
56,0.47281654358459235,126,126
57,0.6150254544567932,125,125
58,0.492888904542907,127,127
59,0.4749120683392807,124,124
60,0.9662055308273345,126,126
61,0.1507349563098579,122,122
62,-0.5752264495263102,125,125
63,-0.38813140763923215,120,120
64,-0.1851268203030898,123,123
65,-0.4506777444670451,119,119
66,-0.6278522864315708,118,118
67,-0.2652842678904186,121,121
68,-1.892033384719527,115,115
69,-1.157300945282831,118,118
70,-0.8533762014099899,120,120
71,-0.810295467380918,118,118
72,-0.3739839483614933,120,120
73,-0.3343676623613252,118,118
74,-0.8469488478143727,118,118
75,-0.4200307251290578,119,119
76,-0.6665476578096392,117,117
77,-1.4955984244308596,113,113
78,-0.6614818335017265,117,117
79,-1.3260432908185695,115,115
80,-1.02818242060604,120,120
81,-0.48110848450786037,121,121
82,-0.6994178542628262,119,119
83,-1.7416776937515248,113,113
84,-1.1137785105467852,115,115
85,-0.9234764396010053,117,117
86,-1.9756435822900738,115,115
87,-1.690041935298476,114,114
88,-0.6686174679235073,117,117
89,-1.15074043635593,115,115
90,-1.1365147932459951,113,113
91,-1.0489915266826895,115,115
92,-0.9857326411316141,115,115
93,-1.5783426679864352,112,112
94,-1.7208202213809205,113,113
95,-1.752087975177453,111,111
96,-1.7131867997889927,112,112
97,-0.9914415324303647,115,115
98,-1.5450565061972519,110,110
99,-1.4015979283651525,113,113
100,-0.9304797551450879,113,113
101,-1.660949891063412,113,113
102,-1.4988382776161835,114,114
103,-1.2912811164967444,111,111
104,-1.951702272371671,113,113
105,-1.2481502753539697,115,115
106,-1.1632512191255948,114,114
107,-1.122265901322029,114,114
108,-1.4867518236476531,117,117
109,-1.5512143153791857,113,113
110,-1.5991512846805591,113,113
111,-1.6730597073726212,115,115
112,-0.4215783039737797,116,116
113,-1.8482301438452904,116,116
114,-1.5390711176583896,114,114
115,-0.9459003764746043,116,116
116,-1.0133418051489613,116,116
117,-1.209195691853468,112,112
118,-1.6230351890889825,116,116
119,-1.348712738654557,115,115
120,-1.4442639301649738,113,113
121,-1.6129335589733795,113,113
122,-1.8500819727374918,115,115
123,-0.7478099643057998,115,115
124,-0.9401541665443336,118,118
125,-1.9070365860627572,116,116
126,-1.0974311624070463,118,118
127,0.19011772768264557,126,126
128,-0.41573858800651564,125,125
129,0.7300067419091505,125,125
130,0.946904657846817,131,131
131,1.1028175018391622,129,129
132,1.4325362052173798,132,132
133,0.34763293288512287,123,123
134,1.267266559963165,130,130
135,0.7423715208786437,133,133
136,1.3222557211016852,133,133
137,1.548860442174826,132,132
138,1.1314242318141385,131,131
139,1.0168763864980832,136,136
140,2.965333562688752,141,141
141,2.7613936860728465,141,141
142,3.0633869047092723,140,140
143,2.6649131067143266,140,140
144,4.091620513584694,148,148
145,4.633353050101583,150,150
146,4.60569261766657,156,156
147,5.156559268023459,159,159
148,5.990984543322826,161,161
149,6.089503562532094,166,166
150,8.38432019727496,181,181
151,11.852574566220671,198,198
152,12.90516103118274,218,218
153,100.30913114486555,502,502
154,129.34531610683857,479,479
155,120.46508763495586,462,462
156,112.67495215407074,448,448
157,112.92634257127585,446,446
158,111.02762921458262,443,443
159,106.56378771069764,437,437
160,102.8835509737173,433,433
161,114.18217515172087,452,452
162,11.037662698266793,203,203
163,10.057652525355206,197,197
164,9.683936623918122,192,192
165,10.379453067795616,194,194
166,10.914170894283497,206,206
167,10.0995724890765,198,198
168,10.851261023841175,203,203
169,10.100513120521587,204,204
170,9.909551490852333,199,199
171,10.006039018279658,203,203
172,9.914360114904895,192,192
173,9.576244919679663,195,195
174,8.980471408288611,192,192
175,9.365096206940535,191,191
176,8.802361025372804,192,192
177,10.53974619431781,205,205
178,10.444245524470439,207,207
179,10.362695022270266,208,208
180,10.158621274732653,201,201
181,9.720857843679212,211,211
182,88.71824529770943,466,466
183,117.23823018927958,457,457
184,111.01282417997247,449,449
185,108.27853948812599,447,447
186,106.01715298154026,443,443
187,103.22362233881786,437,437
188,102.40379262351296,436,436
189,101.29623821802734,434,434
190,103.35022085237891,439,439
191,104.51342935781454,441,441
192,105.29768869433549,443,443
193,106.71287652054974,445,445
194,107.16440238834494,446,446
195,107.16294604102741,445,445
196,107.81754975525664,446,446
197,108.11177267029483,448,448
198,113.0147921200781,455,455
199,110.32244887461684,452,452
200,109.23261890760318,449,449
201,110.0092397414503,450,450
202,117.52674079612734,461,461
203,115.6617781922431,460,460
204,120.36033908641265,466,466
205,127.4949763095173,481,481
206,127.95692188736436,486,486
207,128.72580469835108,487,487
208,128.9732167063784,486,486
209,128.28509245648945,488,488
210,127.16392535369557,486,486
211,125.89962616438825,484,484
212,133.4432021469499,503,503
213,136.6544598911752,506,506
214,154.8646831988722,542,542
215,140.3342750605459,520,520
216,160.30934485993512,564,564
217,270.6503914166406,813,813
218,258.3659153537626,1599,1599
219,98.66491353115691,1036,1036
220,108.28287212318554,1159,1159
221,-91.44516220679327,952,952
222,359.4423346824219,1377,1377
223,556.222682743273,1581,1581
224,1.0713207527022632,965,965
225,334.8198693828997,1071,1071
226,519.3944459305958,1298,1298
227,512.0537033326718,1282,1282
228,502.62162641101185,1113,1113
229,397.5769170878456,1041,1041
230,481.44294170018173,1202,1202
231,416.23882983049066,970,970
232,40.59988316732978,836,836
233,110.2299967764863,836,836
234,350.45303094041714,920,920
235,278.81404398768547,893,893
236,380.12410371116056,996,996
237,392.3172100896786,1031,1031
238,397.69755455509505,1047,1047
