time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,control_force_x,vg,d_thrust_cg,CD,gravity_force_y,speed_of_sound,fuel_percentage_consumed,air_density,atmospheric_pressure,x_cog,inertia,aero_force_x,drag,d_cp_cg,g_load_1_sec_window,mach_number_max,mass_flow,control_force_perpendicular,ug,CL,control_force_parallel,alpha_effective,mach_number,control_force_y,lift,aero_force_y,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component,moment_dict_moments_z,moment_dict_control_moment_z,moment_dict_aero_moment_z,moment_dict_theta_dot_dot,moment_dict_M_wind_z
307.64999999997883,30979.485709769415,18872.477840691034,-39.32707455854647,-878.5610845571673,1.5260076580511728,0.0004973411085817909,4.667655791278694,-3.1416481332275215,1513714.5091207735,1169433.1400704442,0.41595351696014404,-0.16809296607971191,0.18427608303306545,40894.91578105829,352.67550038385144,856497.7899546371,0.0,7.954751129320062,0.20459522360098617,-14756810.20764804,295.0694935090715,0.7252326983621644,0.10573041310190467,6575.374843915137,4.8547511293200625,23616780.960474707,40288.28171529751,899552.2903010241,-32.91248551864284,0.3831477503128125,3.7579188749222006,5320.71630859375,0.0,0.0,-1.1542691065069555e-05,19124180.69961897,5.5496117630227104e-05,2.9807488232009813,19104991.46734909,-50.750227698719534,898649.6424735461,3.4650346559687506,1.4992671700356738e-06,0.0,0.026574643656480712,-9.748740676482907,3.349340894875253e-05,0.0,3.92196575212932e-07,0.0,0.5658251835427841,12.6212646785331,0.5923886360118503,-27.270229967975105,0.0,-27.270229967975105,-1.1546971627341953e-06,0.0
307.74999999997874,30975.55668434232,18784.642978094696,-39.26816357943519,-878.2210007685121,1.526057348844296,0.0004970050078963234,4.667705437693969,-3.141648088849673,1513185.464748215,1168904.0956978856,0.41358691453933716,-0.1728261560201645,0.18574550146869748,41429.523237300324,352.67550038385144,850671.077495559,0.0,7.954938380008853,0.20463812495444672,-14752058.28841665,295.0694935090715,0.7253571650657165,0.1071964018129677,6666.5446881386415,4.8549383800088535,23616000.193372145,40774.1479667824,911502.9703328505,-32.91229826795405,0.37688719483845523,3.73213427963551,5290.44384765625,0.0,0.0,-1.0611620401945743e-05,19015159.827435188,5.545210074853202e-05,2.9795834300647233,18996122.2880044,-47.26647841682171,910590.5424598436,3.405342473360882,1.3952889480004385e-06,0.0,0.026907230307269422,-9.749008718419923,3.120522949323548e-05,0.0,3.976857795233697e-07,0.0,0.562172382244701,12.553730346045347,0.5890667969059356,107.89560322461386,0.0,107.89560322461386,4.568750099133844e-06,0.0
307.84999999997865,30971.633529394,18696.841752885273,-39.20958242754229,-877.8868520576499,1.5261070035804976,0.000496611727856699,4.667755049190151,-3.141648045609654,1512659.4339102022,1168378.064859873,0.41123104095458984,-0.1775379329919815,0.18721435717337054,41971.469061913376,352.67550038385144,844877.8999888756,0.0,7.955124641906654,0.20468019892412892,-14747335.326124042,295.0694935090715,0.7254809229901297,0.1086821825798976,6758.945400401325,4.855124641906653,23615223.54204512,41268.12048664883,923616.3359398535,-32.91211200605625,0.3706623774662595,3.7065357152243594,5260.30810546875,0.0,0.0,-1.0146000113731013e-05,18906632.55426589,5.540783611834854e-05,2.978438219310085,18887745.653627835,-45.78367374444086,922693.9256018783,3.3460156382825126,1.3504870017594565e-06,0.0,0.027244031644597422,-9.74927666831284,3.0236863269591804e-05,0.0,4.032520123484996e-07,0.0,0.5585380826964327,12.486449514153554,0.5857689890243432,177.45910890725762,0.0,177.45910890725762,7.514606355146505e-06,0.0
307.94999999997856,30967.71621208034,18609.073573829573,-39.15132885127475,-877.5586019798604,1.5261566224493457,0.000496187764972481,4.6678046254313195,-3.1416480029819738,1512136.4030874483,1167855.034037119,0.40888574719429016,-0.18222850561141968,0.18868266003802003,42520.859385331234,352.67550038385144,839118.0066656884,0.0,7.955309918504165,0.20472146112724965,-14742641.194245119,295.0694935090715,0.7256039753222575,0.11018802519772757,6852.593759257459,4.855309918504165,23614450.99200648,41770.06856145686,935894.7494338155,-32.91192672945874,0.36447357364873667,3.6811216101938293,5230.30810546875,0.0,0.0,-1.008151730430562e-05,18798594.960537497,5.5363463857815987e-05,2.9773130671681693,18779857.652848043,-46.08817785625846,934962.1626110201,3.2870539822691622,1.3584297006113422e-06,0.0,0.027585104975124723,-9.749544527956541,3.0448562128883887e-05,0.0,4.0889640540121383e-07,0.0,0.5549221650589159,12.41942037405073,0.5824950101840121,188.46018672982544,0.0,188.46018672982544,7.980714300477255e-06,0.0
308.04999999997847,30963.804699785524,18521.337853386467,-39.09340057120957,-877.2362133805594,1.5262062053746117,0.0004957557586850404,4.6678541660863875,-3.1416479607117758,1511616.358547043,1167334.9894967137,0.40655118227005005,-0.1868976354598999,0.19015041989181564,43077.801864451736,352.67550038385144,833391.685699471,0.0,7.955494213350127,0.2047619259016609,-14737975.764135636,295.0694935090715,0.7257263252776315,0.11171420326226486,6947.50677963147,4.855494213350127,23613682.528527524,42279.47591581373,948340.6024743759,-32.911742434612776,0.35832118888177,3.6558904097136704,5200.4453125,0.0,0.0,-1.0273183251641171e-05,18691055.12783087,5.531930550084496e-05,2.9762078481364185,18672466.363333464,-47.579532919953024,947397.6707178239,3.2284652925796635,1.4013114408525071e-06,0.0,0.027930508235716786,-9.749812299135009,3.14447227454965e-05,0.0,4.146201049925842e-07,0.0,0.5513248655899188,12.352649042036917,0.5792447590247505,160.67547652380892,0.0,160.67547652380892,6.804337965063179e-06,0.0
308.1499999999784,30959.898960298175,18433.634007855973,-39.03583358136717,-876.9196451015275,1.5262563215738214,0.0005920667897945753,4.667903627071762,-3.141647305497941,1511099.2866171114,1166817.917566782,0.40422728657722473,-0.19154544174671173,0.19161764649966717,43642.405520929795,352.67550038385144,827733.0152771525,0.0,7.95567753000806,0.20480366774659547,-14733338.907709623,295.0694935090715,0.725847976071783,0.11326099422406939,7043.701716174866,4.855677530008061,23612918.13681821,50937.68268797919,960965.9847403558,-32.911559117954845,0.35220569869744567,3.6308405754292754,5170.71923828125,0.0,0.0,-0.0017473843859813765,18584009.138777103,5.6926632129084e-05,2.9751224287984925,18565566.345403284,-8198.959401802163,959650.0399862716,3.1700149456758524,0.00024129011432989903,0.0,0.028280612326751952,-9.7500799836211,0.005420456591086643,0.0,4.2042850118960015e-07,0.0,0.5477687817126784,12.286132691496336,0.5814280674398076,-268040.1243567878,0.0,-268040.1243567878,-0.01135141886334027,0.0
308.2499999999783,30955.998962264013,18345.961457174926,-38.978570626378136,-876.6088647330996,1.5263058413782915,0.0006526821877633093,4.667953070859413,-3.141647229481122,1510585.173869919,1166303.8048195897,0.40191394090652466,-0.19617211818695068,0.193084349565643,44214.781410059244,352.67550038385144,822100.7920687173,0.0,7.955859871991327,0.20484451381362348,-14728730.49922438,295.0694935090715,0.7259689308772264,0.11482867944228192,7141.196066613818,4.855859871991327,23612157.802298043,48246.64724399735,973763.3487848333,-32.911376775971576,0.3461271411667971,3.605970585288237,5141.12744140625,0.0,0.0,-0.0010483748506101565,18477451.077499256,5.8435101090381636e-05,2.9740566900771497,18459153.51821579,-4983.628735308853,972580.154548579,3.1122706921188836,0.0001465519512432729,0.0,0.02863514246206332,-9.75034758317621,0.003295881237801155,0.0,4.26318401898427e-07,0.0,0.5442267051798239,12.219869384078413,0.5761167308736282,-162145.36090456182,0.0,-162145.36090456182,-0.006867028513962459,0.0
308.3499999999782,30952.10467363124,18258.319625069624,-38.9216123802121,-876.303833163563,1.5263550234161916,0.0006840919333969726,4.6680024937045435,-3.141647470288352,1510074.0060690157,1165792.6370186864,0.3996116816997528,-0.2007766216993332,0.19455053873041625,44795.04189011122,352.67550038385144,816494.4308662259,0.0,7.956041243003517,0.20488406146586569,-14724150.405015955,295.0694935090715,0.7260891929829809,0.1164175442454535,7240.0075755321395,4.856041243003517,23611401.509593595,46409.09633805233,986733.1675107278,-32.911195404959386,0.34008599738846296,3.581278933270644,5111.67822265625,0.0,0.0,-0.0005432262327724202,18371407.029134493,5.951456761454921e-05,2.973010501198776,18353254.018688258,-2616.208100832444,985644.6541161101,3.0548912229286795,7.687448345915751e-05,0.0,0.028994101249158955,-9.750615099550961,0.001730796860871485,0.0,4.322901177104169e-07,0.0,0.5406982886830178,12.153877190737795,0.5713829293104207,-84169.82599693198,0.0,-84169.82599693198,-0.0035647958450383713,0.0
308.4499999999781,30948.21606261205,18170.7079390069,-38.864960198785184,-876.0045137778724,1.526404049439122,0.0006939692968430242,4.668051891215946,-3.1416478417768237,1509565.7702215426,1165284.4011712132,0.39731961488723755,-0.2053607553243637,0.1960162235720834,45383.3011239235,352.67550038385144,810912.2162052462,0.0,7.956221646530281,0.2049223257531258,-14719598.503509134,295.0694935090715,0.7262087655239208,0.11802787798588064,7340.154237750388,4.856221646530281,23610649.2442405,45448.53027860725,999877.8871344309,-32.911015001432624,0.3340823095321942,3.556764129240473,5082.35791015625,0.0,0.0,-0.00022956686974828777,18265833.080165923,6.017023808180255e-05,2.9719837361267807,18247823.965889543,-1120.1260567211855,998845.0705481364,2.99784930321621,3.288817243052187e-05,0.0,0.02935754968311433,-9.750882534484667,0.0007412895150717992,0.0,4.3834482291237975e-07,0.0,0.5371824349768062,12.088127808576044,0.5672417129731394,-34884.46359822192,0.0,-34884.46359822192,-0.001477488536522625,0.0
308.549999999978,30944.33309768777,18083.125830303266,-38.80861471484482,-875.7108666229236,1.5264530227732112,0.0006887412532366239,4.668101259661126,-3.1416482368879155,1509060.4520223849,1164779.0829720555,0.3950387239456177,-0.20992255210876465,0.1974814136043385,45979.67477379031,352.67550038385144,805357.3732665479,0.0,7.956401086279824,0.20495938397614377,-14715074.660296923,295.0694935090715,0.7263276517729338,0.11965997409859563,7441.654301994481,4.856401086279823,23609900.99084663,45277.551062869046,1013200.2937166144,-32.91083556168308,0.32811661413696036,3.5324246987373065,5053.18212890625,0.0,0.0,-8.249181005764994e-05,18160777.318224255,6.045732675818982e-05,2.970976262592932,18142911.35136403,-407.7916539276603,1012188.1963603486,2.941182021488224,1.1963907452103724e-05,0.0,0.029725558205318872,-9.751149889705442,0.0002699638685910251,0.0,4.444838432829314e-07,0.0,0.5336813195172128,12.022653782391288,0.5636379371426807,-11404.798263654464,0.0,-11404.798263654464,-0.0004830515074195361,0.0
