episode,reward,steps,updates
1,5.0054490846690385,118,0
2,5.783661283439642,118,0
3,6.112115179364366,126,106
4,6.838849518084897,128,128
5,7.607251359614218,131,131
6,7.0570378544406,129,129
7,7.398793970888619,129,129
8,7.439984716048986,129,129
9,7.593611919716592,132,132
10,7.154425794467913,131,131
11,6.611614600286199,127,127
12,6.806399051408199,129,129
13,7.251408970525411,129,129
14,6.541231614756927,127,127
15,7.572837868606005,129,129
16,8.001807433348691,131,131
17,7.157182833125599,130,130
18,7.342933976034516,127,127
19,6.5478818015879385,127,127
20,6.993088902847235,128,128
21,7.879759944212601,134,134
22,6.538143927552696,128,128
23,6.157869300332043,127,127
24,6.608195319963473,124,124
25,6.211289636853365,127,127
26,7.3602214680135765,129,129
27,7.166398532416728,127,127
28,7.24282483807926,129,129
29,6.093414274580386,126,126
30,7.379744014991787,130,130
31,6.4066113240844595,127,127
32,7.220279384286191,132,132
33,6.795043363160134,131,131
34,7.142821261763993,129,129
35,5.729067918830387,125,125
36,6.342600027326343,125,125
37,6.262887214388998,126,126
38,6.244635697540966,127,127
39,6.09769596132146,125,125
40,6.206196372037686,128,128
41,6.615170215607591,127,127
42,6.93627734211005,126,126
43,7.537959397106081,129,129
44,5.734348895808619,123,123
45,6.424261173604597,125,125
46,5.745207863706337,125,125
47,6.573473685544595,124,124
48,7.097592023663449,126,126
49,5.771666807026282,123,123
50,5.907382366083153,123,123
51,6.03065265635921,123,123
52,6.380380284540292,126,126
53,6.872628511896115,126,126
54,7.076708068972907,125,125
55,5.555911843556242,121,121
56,6.7916815501166035,129,129
57,5.228001410754443,121,121
58,5.227305335432736,119,119
59,5.55841506164376,121,121
60,6.843376034964608,126,126
61,6.983716152802559,126,126
62,7.076524893794128,126,126
63,6.318162112851262,123,123
64,6.252941358347146,126,126
65,6.825013635103976,123,123
66,5.301496970115786,122,122
67,6.018115572100051,124,124
68,6.462869464083937,124,124
69,5.761567794365595,119,119
70,5.884699758993564,123,123
71,5.843104635988588,123,123
72,6.076801706239694,122,122
73,5.416829241627701,117,117
74,5.198759685745447,116,116
75,5.406655501294611,117,117
76,4.898012935406509,117,117
77,5.511558877461424,119,119
78,5.545614463816565,120,120
79,5.8280218455287205,117,117
80,5.677854693495667,116,116
81,5.070999622753915,115,115
82,4.737546813373375,115,115
83,4.66476286958931,114,114
84,4.886688749204881,115,115
85,4.9957742261040945,114,114
86,4.089436060906603,110,110
87,4.598731778782391,113,113
88,4.80511542213114,118,118
89,4.579434341048449,114,114
90,4.453518745928023,112,112
91,4.779728227539154,114,114
92,4.667726366975337,113,113
93,4.167411246250154,111,111
94,5.0100432162165855,112,112
95,3.969700203528804,113,113
96,4.517967316478713,112,112
97,3.9233711986344355,107,107
98,3.279942413001775,106,106
99,4.000265059617604,106,106
100,4.129480989630347,110,110
101,3.9573084782771106,110,110
102,3.7471447416537034,106,106
103,3.6226478926364045,109,109
104,4.208728403898902,109,109
105,3.934708817877331,107,107
106,3.2835399966782237,107,107
107,3.43232990188175,105,105
108,3.783387285289961,106,106
109,3.3541295610190325,106,106
110,3.872396847102948,105,105
111,3.1294659448440187,107,107
112,3.6893416196784656,108,108
113,3.8235762549828234,108,108
114,4.1717953098854075,107,107
115,3.334409453732647,106,106
116,3.9095674889030922,106,106
117,3.5406469498571456,105,105
118,4.063578277989815,107,107
119,4.045438668149422,106,106
120,3.577501514541167,109,109
121,4.1273496079072896,111,111
122,3.8343356748524338,111,111
123,5.292734790196126,115,115
124,4.462946244000051,111,111
125,3.3937066139291243,108,108
126,3.4927597746141403,106,106
127,3.281805871778835,108,108
128,3.331223286769447,108,108
129,4.243828450247951,108,108
130,4.121452149072433,108,108
131,3.8313362577412198,108,108
132,4.063546337154778,108,108
133,3.550028278313534,109,109
134,4.365087238086386,112,112
135,4.541673061731682,110,110
136,4.622713836437766,112,112
137,3.8540024038588383,109,109
138,4.320787870730381,109,109
139,3.110736502127903,107,107
140,3.445141988111698,108,108
141,4.108446351670284,107,107
142,2.925096355364052,106,106
143,3.65831549991481,106,106
144,4.129247841594512,107,107
145,3.7123811341077024,107,107
146,3.2223300353445916,106,106
147,3.2194989601873782,106,106
148,3.090872328983669,106,106
149,3.7571537039199807,105,105
150,4.260772665899482,108,108
151,3.1586254267855916,108,108
152,3.1985635851406675,107,107
153,3.1408552677766544,107,107
154,3.2926924672827003,106,106
155,3.7332755391744055,108,108
156,3.8881106889005856,106,106
157,3.6835874385674563,106,106
158,3.011226471889029,106,106
159,3.651897719232709,106,106
160,3.3852062941275287,107,107
161,3.6697824529996854,106,106
162,3.6820349706723396,107,107
163,3.2537194311483937,106,106
