Generation,Global_Best_Fitness,Average_Fitness,Subswarm_1_Best,Subswarm_1_Average,Subswarm_2_Best,Subswarm_2_Average
53,-196.12898030781722,6494.371587079581,-189.68478509931484,9811.915856387088,-196.12898030781722,3176.827317772074
54,-196.12898030781722,7030.614488645353,-189.68478509931484,9806.362266364513,-196.12898030781722,4254.866710926193
55,-196.12898030781722,7585.986825896886,-189.68478509931484,10138.941520449765,-196.12898030781722,5033.032131344007
56,-196.12898030781722,7079.251359841384,-189.68478509931484,9355.886006102226,-196.12898030781722,4802.616713580544
57,-196.12898030781722,6396.123621110151,-189.68478509931484,8792.737575955414,-196.12898030781722,3999.5096662648893
58,-196.12898030781722,6312.705688665281,-189.68478509931484,9819.4575719975,-196.12898030781722,2805.953805333064
59,-196.12898030781722,5816.616879370433,-189.68478509931484,8787.33124137991,-196.12898030781722,2845.902517360955
60,-196.12898030781722,6461.006527745944,-189.68478509931484,9983.559469728621,-196.12898030781722,2938.4535857632677
61,-196.12898030781722,5751.235707684384,-189.68478509931484,9222.99640189627,-196.12898030781722,2279.4750134725
62,-196.15040300250274,7943.9607358625535,-189.68478509931484,12765.089534747593,-196.15040300250274,3122.831936977513
63,-196.15040300250274,7582.151892417615,-189.68478509931484,11505.293692964655,-196.15040300250274,3659.010091870579
64,-196.15040300250274,6532.855136417881,-189.68478509931484,10374.040356141237,-196.15040300250274,2691.6699166945245
65,-196.15040300250274,6519.9986206204885,-189.68478509931484,10982.299839520174,-196.15040300250274,2057.6974017208
66,-196.15040300250274,7002.121934718164,-189.68478509931484,9099.814560032195,-196.15040300250274,4904.429309404133
67,-196.15040300250274,6983.465186644703,-189.68478509931484,11476.337631158658,-196.15040300250274,2490.592742130747
68,-196.15040300250274,5110.170594147869,-189.68478509931484,8492.77510922712,-196.15040300250274,1727.5660790686186
69,-196.15040300250274,7719.6339011990785,-189.68478509931484,11686.463976821637,-196.15040300250274,3752.8038255765236
70,-196.15040300250274,7415.64026554524,-189.68478509931484,12619.984324376392,-196.15040300250274,2211.29620671409
71,-196.15040300250274,6091.91860187919,-189.68478509931484,9058.613110742435,-196.15040300250274,3125.224093015942
72,-196.15040300250274,5202.465903314356,-189.68478509931484,9703.558878585758,-196.15040300250274,701.3729280429545
73,-196.32578500307784,7741.948954929039,-189.68478509931484,12994.45773887479,-196.32578500307784,2489.4401709832878
74,-196.32578500307784,6335.021719560641,-189.68478509931484,10607.929075329435,-196.32578500307784,2062.114363791845
75,-196.32578500307784,7176.668342978023,-189.68478509931484,10847.998963673937,-196.32578500307784,3505.337722282105
76,-196.32578500307784,6827.637500008274,-191.21215418801057,10661.689803883724,-196.32578500307784,2993.585196132823
77,-196.32578500307784,5999.810838485135,-193.22758012262992,9021.935070257818,-196.32578500307784,2977.6866067124533
78,-196.32578500307784,3306.0710053497282,-194.20461579110503,4024.8782056287496,-196.32578500307784,2587.2638050707073
79,-196.32578500307784,4971.956010312079,-194.20461579110503,7643.069097008233,-196.32578500307784,2300.8429236159236
80,-196.32578500307784,5001.023999813231,-194.20461579110503,7399.587974059514,-196.32578500307784,2602.460025566949
81,-196.32578500307784,4733.026814471748,-195.12561592178463,6475.187859219141,-196.32578500307784,2990.865769724358
82,-196.32578500307784,4716.162198794834,-195.12561592178463,6828.826266453351,-196.32578500307784,2603.498131136314
83,-196.32578500307784,4273.152605279718,-195.12561592178463,6965.258121444854,-196.32578500307784,1581.0470891145842
84,-196.32578500307784,4525.504201486666,-195.12561592178463,6331.454885301646,-196.32578500307784,2719.5535176716885
85,-196.32578500307784,4502.652134580212,-195.12561592178463,6807.927522872196,-196.32578500307784,2197.376746288229
86,-196.32578500307784,3552.5038442641703,-195.12561592178463,3609.991764302076,-196.32578500307784,3495.015924226267
87,-196.32578500307784,2900.5109440484216,-195.12561592178463,3658.731116829194,-196.32578500307784,2142.290771267649
88,-196.36982495716242,3173.8648576200026,-195.12561592178463,3970.992843892129,-196.36982495716242,2376.7368713478763
89,-196.36982495716242,3706.316412527808,-195.12561592178463,4775.554061369254,-196.36982495716242,2637.078763686362
90,-196.36982495716242,2590.3867572638583,-195.12561592178463,2697.420692817778,-196.36982495716242,2483.3528217099365
91,-196.44717705997263,3108.6111879910122,-196.1706082731412,3472.848296392191,-196.44717705997263,2744.3740795898325
92,-196.44717705997263,3344.171099025349,-196.1706082731412,4373.997619530281,-196.44717705997263,2314.344578520417
93,-196.44717705997263,2273.682214972497,-196.1706082731412,2626.5592010776118,-196.44717705997263,1920.8052288673816
94,-196.44717705997263,3303.165500600082,-196.1706082731412,4387.654345725926,-196.44717705997263,2218.6766554742385
95,-196.44717705997263,2887.152922088562,-196.1706082731412,4816.676345044051,-196.44717705997263,957.6294991330727
