TiltAngle_deg,
X,Y
-0.2817047842779985,-0.13921860340768433
17.021108055321072,0.1641710131222851
50.68161170782904,14.03315600949577
86.52743156034248,39.77255680510136
137.69917988756558,64.55604266664024
158.0878730793699,69.75030262223089
100.65326794877822,48.02962603566114
67.61558436414674,26.34301146870179
35.14131034807125,5.215647735346025
109.97527037965781,53.62728328163792
126.37751906705708,60.91021835833935
149.59217167653946,67.64420042131944
77.21434070436095,32.91836749849615
93.58490379212262,44.66897212409861
117.89270958910211,57.26835474999317
58.58221794246588,20.04767692570468
26.365884510940184,2.5506907708264777
