time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,control_force_perpendicular,x_cog,CD,alpha_effective,d_cp_cg,atmospheric_pressure,mach_number_max,vg,inertia,d_thrust_cg,lift,ug,aero_force_y,CL,control_force_x,air_density,control_force_y,mass_flow,control_force_parallel,g_load_1_sec_window,gravity_force_y,drag,fuel_percentage_consumed,speed_of_sound,mach_number,aero_force_x,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component_wind,moment_dict_M_wind_z,moment_dict_theta_dot_dot,moment_dict_aero_moment_z,moment_dict_control_moment_z,moment_dict_moments_z
333.7499999999551,30490.831271595813,5936.699293986589,-5.466066285383876,-219.5989538325198,1.5458984494131605,0.0011101215810032923,4.6875029882514525,-3.1416045388382923,1178238.312908005,833956.9438576757,0.6835792064666748,0.3671583831310272,0.40068299611877306,16089.186258053913,378.5437018265634,0.0,4.989812986043057,0.15812280590375782,1.1853906494607713e-05,-32.77742366191985,47592.3500258682,1.3968156212341594,0.0,23049769.64459847,8.089812986043057,20.84853802810346,0.0,273436.33542289305,1.205257719943953e-05,767563.810179066,0.6643502082145465,30787780.74908307,8744.080078125,30797347.250312105,1.7241268074048777,-11533047.126003148,273520.69830743066,0.8040263372326122,316.6897849472408,0.6949434159348158,6792.886554710596,16.569150684590806,-1.7689190931712053e-05,26.130351060385973,0.6514503914616773,0.005776532048346089,-9.788382366839254,0.6570937697717505,0.0,1.9696516281624533e-07,0.0,-4.403039653881633e-07,0.0,0.0,3.425783636227084e-05,789.6352366726921,0.0,789.6352366726921
333.849999999955,30490.28874999326,5914.842446871566,-5.40073839379385,-217.9500207778416,1.5460096762956383,0.0011135542200243294,4.687614339991522,-3.1416046636958836,1177366.846477341,833085.4774270116,0.6812795400619507,0.362559050321579,0.40104864653531896,15886.996613655143,378.6512184823935,0.0,4.990209814559505,0.1569724731371493,1.1978680796609353e-05,-32.7770268334034,47734.9238000437,1.3947280699677251,0.0,23048088.336595662,8.090209814559506,20.865453579568122,0.0,268036.6318935386,1.2215870556608888e-05,761513.4626188129,0.6659612984349713,30681959.335315682,8714.6640625,30691408.104023427,1.716468731978166,-11524596.028887995,268118.57872390654,0.8042312444463923,316.7799157459853,0.6895309502416718,6628.473086806514,16.494157189871764,-1.7716695982367646e-05,26.05981256149306,0.6467937031667289,0.005641284955823378,-9.788449592724108,0.6523029104999677,0.0,1.9336150114647923e-07,0.0,-4.3901459546396145e-07,0.0,0.0,3.424048548220494e-05,789.1777340817807,0.0,789.1777340817807
333.9499999999549,30489.75273129381,5893.150024446553,-5.335888693826273,-216.30858510579975,1.5461212463252898,0.0011169849569107454,4.687726035191899,-3.141604788866609,1176498.3198049776,832216.9507546483,0.678981363773346,0.3579627573490143,0.4014115462369024,15686.33360988937,378.75789686514094,0.0,4.990605554067331,0.15586709156868991,1.2103773681992891e-05,-32.776631093895574,47876.768555191615,1.392660453286167,0.0,23046411.53766309,8.09060555406733,20.87985323347699,0.0,262788.24853970116,1.2380676892076448e-05,755478.5641049283,0.6675632424269495,30576234.79279509,8685.2666015625,30585566.562758896,1.7088106438064297,-11516172.996738095,262867.85643893277,0.8044354609123863,316.86934427826856,0.6841467820735642,6468.911361573186,16.419198561159973,-1.7742059640179934e-05,25.98918696106898,0.6421416430328266,0.005509942693171247,-9.788516313943461,0.6475205832579655,0.0,1.898553175552016e-07,0.0,-4.3766018529926537e-07,0.0,0.0,3.4220356800380603e-05,788.6564257872392,0.0,788.6564257872392
334.0499999999548,30489.223167730543,5871.621277133895,-5.271516350182727,-214.6746442894458,1.5462331592808716,0.00112041330564938,4.687838073616899,-3.141604914336028,1175632.731242966,831351.3621926366,0.6766844987869263,0.35336899757385254,0.40177170776345555,15487.202607369078,378.86374135112885,0.0,4.991000202927591,0.15480597101454038,1.2229168168786941e-05,-32.77623644503531,48017.88206930135,1.3906125932106317,0.0,23044739.255528588,8.09100020292759,20.890924929119965,0.0,257686.67438938215,1.2546514234212935e-05,749458.900712697,0.6691560322548888,30470595.05889958,8655.8857421875,30479810.5618669,1.701153156018297,-11507778.018013148,257764.01785170104,0.8046389870285027,316.9580742079909,0.6787908346346108,6314.046058061854,16.34426137682064,-1.776458643837437e-05,25.91846437167823,0.6374940751439555,0.00538238217597979,-9.788582532783238,0.6427465297438104,0.0,1.8644384758520802e-07,0.0,-4.36224353249018e-07,0.0,0.0,3.4196283765698726e-05,788.0444428885924,0.0,788.0444428885924
334.14999999995473,30488.700011621317,5850.25545564106,-5.207620508001057,-213.04819530598573,1.5463454149052862,0.0011238389391061933,4.687950454991377,-3.1416050400860906,1174770.0787771456,830488.7097268163,0.674389123916626,0.34877824783325195,0.40212914365014074,15289.608651437678,378.9687563050898,0.0,4.991393759614008,0.15378849899009106,1.2354847798157209e-05,-32.7758428883489,48158.2621962821,1.3885843136124951,0.0,23043071.497443646,8.091393759614007,20.89817260659863,0.0,252727.6214485418,1.2713067050917903e-05,743454.9012426799,0.6707396607054432,30365054.063178316,8626.5244140625,30374154.036778107,1.6934963635759506,-11499411.077570178,252802.7724492017,0.8048418232464217,317.0461091893829,0.6734630320487175,6163.728717183819,16.269354490941495,-1.7783847806810374e-05,25.847657011137223,0.6328514103939088,0.005258486006441855,-9.788648251528732,0.6379810437118857,0.0,1.8312446844240994e-07,0.0,-4.346975594743002e-07,0.0,0.0,3.416755079041723e-05,787.3253157561213,0.0,787.3253157561213
334.24999999995464,30488.183215368907,5829.051810934949,-5.144200320380129,-211.42923576496653,1.5464580128971748,0.001127261417842688,4.688063179000294,-3.1416051661031195,1173910.3606985323,829628.991648203,0.6720951795578003,0.34419041872024536,0.40248386642778017,15093.556496575102,379.07294608040223,0.0,4.991786222546212,0.15281415013310698,1.248079817361969e-05,-32.77545042541669,48297.9068657268,1.3865754401868131,0.0,23041408.27088999,8.091786222546212,20.902656680704585,0.0,247907.03151536715,1.2880961967165483e-05,737466.5019214433,0.6723141212837704,30259605.741409015,8597.1806640625,30268590.92305041,1.6858406812675857,-11491072.163235512,247980.05958936043,0.8050439699855605,317.13345286708756,0.6681632998287219,6017.816556074176,16.19446994678976,-1.7800739449979284e-05,25.776760095552028,0.6282136410165217,0.005138142540418488,-9.78871347246461,0.6332240048584228,0.0,1.7989470492284716e-07,0.0,-4.3310268445269144e-07,0.0,0.0,3.413565870123077e-05,786.5336487308166,0.0,786.5336487308166
334.34999999995455,30487.672731465842,5808.0095944103105,-5.081254854991372,-209.81776007679656,1.5465709529179887,0.001130680340304658,4.6881762452885,-3.141605292370511,1173053.5740774386,828772.2050271092,0.6698035001754761,0.33960700035095215,0.4028358886200385,14899.050304068172,379.17631501837167,0.0,4.992177590535379,0.15188249725640293,1.2607002437547976e-05,-32.77505905742753,48436.814082206154,1.3845858004328038,0.0,23039749.58169084,8.092177590535378,20.903146619846588,0.0,243221.07911378535,1.304942799906783e-05,731495.0744902504,0.6738794082045374,30154303.05851911,8567.8662109375,30163174.202809267,1.6781868861394265,-11482761.250868175,243292.05152638312,0.805245427862498,317.22010887595314,0.6628915580940328,5876.176272335693,16.119650292110606,-1.78142073625308e-05,25.705819175594183,0.6235819835130234,0.005021245881946925,-9.788778197874658,0.6284765244187129,0.0,1.7675223333346543e-07,0.0,-4.3141499373338487e-07,0.0,0.0,3.40988508587346e-05,785.628984808669,0.0,785.628984808669
334.44999999995446,30487.168512503547,5787.128058237629,-5.018783081387115,-208.2137588716478,1.5466842345871459,0.0011340953346367709,4.688289653461734,-3.1416054188745877,1172199.7163503878,827918.3473000585,0.6675137281417847,0.3350275158882141,0.40318522273760254,14706.09336802002,379.27886744663135,0.0,4.9925678624159895,0.15099322757050623,1.2733447366741757e-05,-32.774668785546915,48574.98192282571,1.382615223659191,0.0,23038095.43557121,8.09256786241599,20.90095815479935,0.0,238666.18226052195,1.3219263879871157e-05,725541.7652246663,0.6754355163634277,30049190.595758926,8538.5771484375,30057948.471466444,1.67053569901393,-11474478.31989246,238735.16405968028,0.8054461975009829,317.3060808397542,0.6576477152253398,5738.679346315047,16.044931255285352,-1.7825366064647385e-05,25.6348727751925,0.6189574652718915,0.004907696017319413,-9.788842430040795,0.6237395284852763,0.0,1.7369489000661876e-07,0.0,-4.296625069812739e-07,0.0,0.0,3.405899624153717e-05,784.6544058522943,0.0,784.6544058522943
334.54999999995437,30486.67051117391,5766.406455402047,-4.956784041032019,-206.61722600116624,1.5467978574862944,0.0011375059658932938,4.688403403085784,-3.1416055455994902,1171348.784770798,827067.4157204686,0.66522616147995,0.3304522931575775,0.4035318812775308,14514.6888075898,379.38060767906137,0.0,4.9929570370528245,0.15014617052272297,1.286011652323893e-05,-32.77427961091008,48712.408535537084,1.3806635409783772,0.0,23036445.838128153,8.092957037052825,20.894733179170412,0.0,234239.04505084845,1.3389596689616923e-05,719605.0289916914,0.6769824413172542,29944201.75638412,8509.3154296875,29952847.113835238,1.6628878443343773,-11466223.347920123,234306.09925535225,0.8056462795355179,317.39137237040455,0.6524316830306001,5605.208159865833,15.970254014869482,-1.783305133891638e-05,25.563864619745527,0.6143388189304342,0.004797399609120769,-9.788906171242377,0.6190116577032326,0.0,1.7072070391904734e-07,0.0,-4.2781807688749104e-07,0.0,0.0,3.401416238022476e-05,783.5654094013439,0.0,783.5654094013439
334.6499999999543,30486.17868026284,5745.844039410529,-4.895256785780615,-205.02815602681164,1.5469118211529358,0.0011409118298910043,4.688517493683853,-3.1416056725309174,1170500.776164841,826219.4071145116,0.6629410982131958,0.3258821964263916,0.40387587672815195,14324.839793406554,379.4815400173349,0.0,4.993345113487597,0.1493413372452877,1.2986996243302684e-05,-32.773891534475304,48849.09214120726,1.3787305852473979,0.0,23034800.794209175,8.093345113487597,20.88531871985912,0.0,229936.70734380226,1.3560937948353669e-05,713685.3267946898,0.6785201793064324,29839352.5190758,8480.0859375,29847886.114486523,1.6552440521102851,-11457996.30836184,230001.8950235268,0.8058456746866403,317.47598706950964,0.6472433818306433,5475.652152996773,15.895630405813163,-1.783797900893295e-05,25.492808827384785,0.6097264874382124,0.004690270906089771,-9.78896942375732,0.6142932683983799,0.0,1.6782793447697512e-07,0.0,-4.2589998115514097e-07,0.0,0.0,3.396555921358188e-05,782.3898903487745,0.0,782.3898903487745
