time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,fuel_percentage_consumed,alpha_effective,aero_force_y,control_force_perpendicular,mach_number_max,mach_number,speed_of_sound,control_force_y,control_force_x,CL,g_load_1_sec_window,x_cog,CD,vg,lift,atmospheric_pressure,inertia,drag,gravity_force_y,control_force_parallel,ug,air_density,aero_force_x,d_cp_cg,d_thrust_cg,mass_flow,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component_control,moment_dict_moments_z,moment_dict_M_wind_z,moment_dict_aero_moment_z,moment_dict_control_moment_z,moment_dict_theta_dot_dot
296.0499999999894,31500.402637906165,29784.508756230272,-52.05167130021364,-1030.5968790968284,1.5202599287487888,0.0004815742852880096,4.661925525068874,-3.141665596320085,1627996.5632589571,1283715.1942086278,0.9005910158157349,0.8011820316314697,0.0,10100.000045316696,360.4408490553985,0.6983478953849136,7.306262928885587e-05,205610.2472778079,0.0,8.683554757281799,3.4229578931014313,301.58345748261917,41395537.89469905,2094263.7755001972,8.02053050687479e-05,0.161787593006785,4.816104028539033,0.18958587094623067,0.0,87.09356655295096,1231.4597516488955,23777849.596115787,205868.0489351885,-15816830.499556052,41448480.04876461,0.0,0.018955411904463617,10299.872427811619,-32.95113261942387,7.916104028539033,11520.0107421875,-9.715518359506603,0.0,0.0,25.427288256575068,-5.3429286975683674e-05,0.006378640222146119,7.757624741715213e-08,15.833546634204506,0.0,1.2925035924683819,-2.6985174706722296e-06,1.286405526131982,3365.458237739839,0.0,3365.458237739839,0.0,0.00014153753576982844
296.1499999999893,31495.20555495383,29681.548215439816,-51.922325803357744,-1029.0102827248245,1.520308146774185,0.00047872725368007735,4.661973228412659,-3.1416650816384744,1626843.6419332735,1282562.2728829442,0.901310384273529,0.8026207685470581,0.0,10229.852488706147,360.35960447470603,0.6986186982490595,7.246655663450952e-05,208358.01215721422,0.0,8.616918776374073,3.418456096855207,301.5154615838942,41428434.901379846,2093922.4240085268,-0.00010108226728383629,0.3239792237323209,4.816475772344831,0.18968952045020268,0.0,-111.17469606939282,1250.5795368581776,23776300.178827863,208628.82630425895,-15806137.963834472,41481317.837017104,0.0,0.019258398933920798,10627.24304793416,-32.95076087561807,7.916475772344832,11529.2138671875,-9.715831046338979,0.0,0.0,25.465529589646373,6.825083499012258e-05,0.006462651785448002,7.872823562849229e-08,15.873239896752546,0.0,1.2934106343252592,3.443835450627906e-06,1.2871073593281506,-3165.121025988516,0.0,-3165.121025988516,0.0,-0.00013312083891029307
296.2499999999892,31490.021411639213,29578.746581439278,-51.79290201125362,-1027.4197308090222,1.520355639163885,0.0004765371067171656,4.662020961743701,-3.141665322579816,1625689.8095968477,1281408.4405465184,0.9020226001739502,0.8040452599525452,0.0,10361.071366431062,360.2784643917878,0.6988897156827185,7.264744572132997e-05,211157.56521812803,0.0,8.550863936118818,3.413938160389356,301.4475530317102,41460991.937589444,2093591.5752402826,5.072742760831028e-05,0.48657372065919413,4.816848161730706,0.18979549783033361,0.0,56.507892427334305,1269.9754477791673,23774748.090851832,211422.9733350774,-15795435.096322292,41513816.713628896,0.0,0.019565900237642733,10590.538142075626,-32.9503884862322,7.916848161730707,11538.3232421875,-9.716143266124906,0.0,0.0,25.503630331466056,-3.4715250570235366e-05,0.0065476538931057305,7.98961196641726e-08,15.91282750840535,0.0,1.2941022369036297,-1.7500185339681262e-06,1.2878173701288496,2368.0531889299605,0.0,2368.0531889299605,0.0,9.96037131447526e-05
296.3499999999891,31484.850215132054,29476.104249133023,-51.66340460362527,-1025.8252340830259,1.5204039489813703,0.00048410084420292605,4.662068721728071,-3.1416647727467004,1624535.0751913302,1280253.7061410008,0.9027277827262878,0.8054555654525757,0.0,10493.665242243127,360.1974292010681,0.699160945570881,7.227778174367927e-05,213976.26029572682,0.0,8.485385075215255,3.4094041098506573,301.3797321561835,41493223.74804455,2093217.3648807898,-3.301403890032528e-05,0.6495699676842703,4.817221194811413,0.18990260576715734,0.0,-37.246671547859705,1289.6510171245047,23773193.339551017,214249.45928146664,-15784721.98260322,41545988.686537795,0.0,0.019877975707562008,10816.294169942339,-32.950015453151494,7.917221194811413,11547.34375,-9.71645501759583,0.0,0.0,25.541599182250756,2.2898566726978304e-05,0.006633614194402783,8.107957665754325e-08,15.952298151994547,0.0,1.2949303871725562,1.15323534492352e-06,1.2885024133038558,-717.0317381330731,0.0,-717.0317381330731,0.0,-3.0161355603000156e-05
296.449999999989,31479.691973798566,29373.621614369462,-51.53382197581267,-1024.2267704112724,1.5204516741776721,0.0004744186492591795,4.6621165192580865,-3.141664845080414,1623379.4324300997,1279098.0633797704,0.9034379124641418,0.8068758249282837,0.0,10627.642091326881,360.1164992980028,0.6994323884871091,7.210033329441146e-05,216833.11221839325,0.0,8.4204770780771,3.404853887306561,301.31199928775084,41525676.12083275,2092857.5596760362,-3.4079701924094596e-05,0.8129702785397506,4.817594873395357,0.19001167726212542,0.0,-38.93985344147622,1309.6098132009204,23771635.916890994,217109.49471436185,-15773998.560310131,41578381.76333216,0.0,0.02019468587144293,10951.513919243003,-32.949641774567546,7.917594873395357,11556.4267578125,-9.71676629948269,0.0,0.0,25.579772227784943,2.395660329627902e-05,0.006720567931142865,8.227913285344294e-08,15.991999539494996,0.0,1.2957135504482993,1.2053730336689701e-06,1.2891980259619014,-767.271500951387,0.0,-767.271500951387,0.0,-3.227676478109781e-05
296.5499999999889,31474.54669619289,29271.299096468832,-51.404151642227596,-1022.6239778190386,1.520499741885496,0.00048506131144546757,4.662164339741821,-3.141664597856325,1622222.7222555391,1277941.3532052098,0.9042723774909973,0.8085447549819946,0.0,10763.004248169345,360.0356750968764,0.6997040728227175,7.211267873374894e-05,219728.58926108418,0.0,8.356134883748124,3.4002865628138097,301.2443547669857,41563838.08260226,2092789.027446025,4.659285313363126e-05,0.9768115185129407,4.817969237644856,0.1901228641594344,0.0,53.91559744312316,1329.855437104959,23770075.654985525,220003.43656470912,-15763263.282514967,41616491.94814691,0.0,0.020516091849215694,10993.728598951118,-32.94926741031804,7.917969237644856,11567.1015625,-9.717077110470823,0.0,0.0,25.621536125946925,-3.319372214358637e-05,0.006808527901852841,8.349500918793381e-08,16.03531748018733,0.0,1.2966208483866724,-1.6685459794106386e-06,1.2900750302253259,2299.220783912106,0.0,2299.220783912106,0.0,9.672753327690266e-05
296.64999999998884,31469.41439194025,29169.137127319114,-51.2743789862054,-1021.0168723937848,1.5205478865918496,0.0004769448987995146,4.662212198963708,-3.1416643123718586,1621064.95598967,1276783.5869393407,0.9050979614257812,0.8101959228515625,0.0,10899.757812108126,359.95495702220813,0.6999760059408073,7.161421787760247e-05,222644.85391871262,0.0,8.292353489564563,3.39570186269149,301.17679894926664,41601590.90850698,2092673.495352797,-9.150408950653333e-05,1.1410921252691484,4.8183442988552585,0.19023564971220963,0.0,-107.23065457483045,1350.391521213441,23768512.50626165,222930.94606063384,-15752516.25763722,41654191.24742338,0.0,0.020842255329754283,11291.024462715748,-32.948892349107645,7.918344298855258,11577.662109375,-9.717387449178563,0.0,0.0,25.663123957367247,6.606502391237208e-05,0.006897480616271737,8.472714668685375e-08,16.078475457576463,0.0,1.2976586260207594,3.3177150793540155e-06,1.290925133888424,-3007.1013841278486,0.0,-3007.1013841278486,0.0,-0.00012651617905561606
296.74999999998875,31464.295070596592,29067.136137251946,-51.14451841916508,-1019.4054691942761,1.5205956933937512,0.00048226196482262554,4.66226008435134,-3.1416643909575885,1619906.145076584,1275624.7760262548,0.9059146046638489,0.8118292093276978,0.0,11037.910738393768,359.8743454976003,0.7002481851456376,7.182051352483398e-05,225614.43944750814,0.0,8.229127935721332,3.391099827287841,301.10933218918836,41638924.06045738,2092561.347627501,7.312983608176449e-05,1.3058104926260357,4.818720054469107,0.19035145295215455,0.0,86.78468321171076,1371.2217338282542,23766946.480878685,225893.99113203934,-15741757.595313601,41691471.66874925,0.0,0.02117323864539698,11235.100085437623,-32.94851659349379,7.918720054469107,11588.1083984375,-9.717697314228893,0.0,0.0,25.704528738909637,-5.350659692374505e-05,0.0069874877698928115,8.597636379597159e-08,16.121486607039408,0.0,1.2984828041395713,-2.684475622910187e-06,1.291779374988772,3393.9774500759927,0.0,3393.9774500759927,0.0,0.00014280241901527244
296.84999999998865,31459.188741022677,28965.296555055076,-51.01456336427895,-1017.7897843261802,1.5206441390274248,0.00048175575342044284,4.6623080038715194,-3.1416638648440944,1618746.3009908907,1274464.9319405614,0.9067223072052002,0.8134445548057556,0.0,11177.470904110342,359.79384094574505,0.7005206077486369,7.127112611726716e-05,228599.3054618111,0.0,8.16645330498395,3.3864804972814744,301.04195484060205,41675840.59403326,2092391.9500937306,-8.624126088602191e-05,1.4709650151793647,4.819096501926856,0.19046918741842972,0.0,-103.63829279629833,1392.3497793174993,23765377.589000754,228891.614194195,-15730987.40550817,41728333.21967327,0.0,0.021509104775051753,11564.572266085437,-32.948140146036046,7.919096501926855,11598.4404296875,-9.718006704249262,0.0,0.0,25.745751862736018,6.394352967843476e-05,0.007078517718923227,8.724236862643529e-08,16.16432890645177,0.0,1.299511673527853,3.205034376205447e-06,1.2926002974109685,-2877.1940135791288,0.0,-2877.1940135791288,0.0,-0.00012106662319183055
296.94999999998856,31454.095412892126,28863.618807924486,-50.88451651044054,-1016.1698330233836,1.5206918943972636,0.00047885956862821205,4.662355956401293,-3.1416640620040295,1617585.4351766817,1273304.0661263524,0.90752112865448,0.8150423169136047,0.0,11318.446098772089,359.7134437883841,0.7007932710612336,7.138999805977875e-05,231638.62889877651,0.0,8.104324722303076,3.3818439126961186,300.97466725654994,41712345.54266588,2092224.6977906562,4.1639337873267124e-05,1.6365541288924668,4.819473638656943,0.19059078315714292,0.0,50.67015430026783,1413.7793982857197,23763805.840838175,231926.4638687106,-15720205.797919614,41764783.907699116,0.0,0.021849917347765653,11551.312133422382,-32.94776300930596,7.919473638656942,11608.658203125,-9.718315617871871,0.0,0.0,25.786795946335793,-3.1285362146490004e-05,0.007170651578117077,8.852624400555325e-08,16.20702921879866,0.0,1.3003323264024105,-1.5666087251790708e-06,1.2934245402389715,2214.9919145380404,0.0,2214.9919145380404,0.0,9.320863540854091e-05
