time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,CD,atmospheric_pressure,mach_number_max,alpha_effective,g_load_1_sec_window,d_thrust_cg,gravity_force_y,aero_force_x,speed_of_sound,inertia,air_density,drag,d_cp_cg,aero_force_y,mach_number,mass_flow,control_force_parallel,fuel_percentage_consumed,lift,control_force_perpendicular,x_cog,vg,ug,control_force_x,control_force_y,CL,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_x_component_gravity,moment_dict_aero_moment_z,moment_dict_moments_z,moment_dict_control_moment_z,moment_dict_theta_dot_dot,moment_dict_M_wind_z
296.0499999999894,31500.39919636927,29784.440760714868,-52.10673642224069,-1031.684955445936,1.5202597463599352,0.0004776086977259201,4.661925418357498,-3.141665671997563,1628489.7564352266,1284208.3873848973,0.5150311589241028,0.030062304809689522,0.0017262502029676283,10116.056610750478,360.44079540808934,0.1895236962203133,1231.4672641338511,8.683528270514401,7.307032560355253e-05,0.050730629280647775,7.915984811434635,-15821622.328583425,10357.605549268923,301.5834305560645,23778346.49385018,0.01895553092625944,206127.70770650753,-32.95125183652827,205867.32060012346,3.4256672024815877,6588.0791015625,23706771.86736964,0.6982609956247089,42.41991126794846,0.0,4.815984811434634,0.0,0.0,1197831.9879140535,23676491.101939883,3.900290002878393e-05,-9.715518483344376,-1.3139483215107129e-06,7.762705238418975e-08,-2.6015459969537154e-05,0.7418329819564803,0.7355477571661946,14.538925411338084,0.0,4.948339954602146,0.006384764782911241,0.0,0.0,1894.0949565940018,1894.0949565940018,0.0,7.965629389259147e-05,0.0
296.1499999999893,31495.19315968284,29681.3032404573,-52.03254798128332,-1031.1892569280592,1.5203075276764157,0.0004756796694830146,4.661972963001511,-3.1416654353250952,1627830.7692526095,1283549.4002022801,0.5151712894439697,0.030342627316713333,0.003451671854371934,10268.073957048198,360.35941114374464,0.1895435708071421,1250.615181470824,8.616795977240846,7.278882311689827e-05,0.10157757558871774,7.916197213646829,-15815729.667519568,10621.371036181306,301.51533580808746,23777461.2014047,0.019258963913540608,209247.19791827002,-32.95103943431607,208977.46719637592,3.424787469485436,6589.87158203125,23713123.237132166,0.6984158015884687,-74.03953632432898,0.0,4.816197213646829,0.0,0.0,1197020.1630590272,23682891.639085114,-6.706765125380487e-05,-9.715831624672562,2.292128584896026e-06,7.886584685227274e-08,4.542576644704599e-05,0.74179659722073,0.7353468097968306,14.548743079699069,0.0,4.95980407012083,0.006477910417440894,0.0,0.0,-1937.807096349448,-1937.807096349448,0.0,-8.149764518320268e-05,0.0
296.2499999999892,31489.99454130743,29578.215361838476,-51.958369960925324,-1030.6924092307243,1.5203548430425298,0.0004739209492932494,4.662020487457477,-3.1416656444149473,1627171.6028097384,1282890.233759409,0.5153114199638367,0.03062288463115692,0.005176263034400826,10422.348227468856,360.27804505235605,0.18956402638164055,1270.060882702571,8.550576329949154,7.296035053183658e-05,0.1525412253806538,7.916409788218658,-15809834.631566454,10673.597674677407,301.4472562423873,23776575.197253592,0.019567255022121706,212413.98619134317,-32.95082685974425,212145.64900083296,3.4239033719420298,6591.6640625,23719472.272899132,0.6985706496660122,23.401054997980886,0.0,4.816409788218658,0.0,0.0,1196218.7498622432,23689289.2592266,2.088373880898553e-05,-9.716144630515078,-7.240647229946218e-07,8.01244873515955e-08,-1.4363191423124664e-05,0.7416366718491118,0.7351521792763946,14.55856851134867,0.0,4.971313346936144,0.006572416247262747,0.0,0.0,1281.749397012651,1281.749397012651,0.0,5.390807491739619e-05,0.0
296.3499999999891,31484.8033398348,29475.17724004328,-51.88420463098044,-1030.1944083095134,1.5204025980790112,0.00047801167083580165,4.662067989459459,-3.1416653913804478,1626512.2571676485,1282230.8881173192,0.5154515504837036,0.03090306743979454,0.006900021816088437,10578.912163185323,360.1966972408571,0.18958431735234216,1289.8089726445828,8.484865481043293,7.281382885171439e-05,0.20362197941859791,7.916622535264397,-15803937.220814463,10879.554281422328,301.37919194834245,23775688.48082513,0.01988048161703237,215627.93567062754,-32.9506141126985,215353.2978652621,3.4230148929657727,6593.45654296875,23725818.999091532,0.6987255398465853,-31.003716225760673,0.0,4.816622535264397,0.0,0.0,1195409.6638811922,23695684.900697682,-2.7259076416819017e-05,-9.716457500501647,9.58787349222091e-07,8.140297017645008e-08,1.90373423463198e-05,0.7415664872425067,0.7349527546523608,14.568402295326392,0.0,4.982857005714385,0.006668276001316698,0.0,0.0,-504.2439250294729,-504.2439250294729,0.0,-2.1208383741911024e-05,0.0
296.449999999989,31479.619554593257,29372.188990587852,-51.8100451578486,-1029.6952508896486,1.520449973053575,0.0004719499952254117,4.662115475593763,-3.141665502540188,1625852.732387375,1281571.3633370458,0.515591561794281,0.03118317387998104,0.00862294626692696,10737.798966944943,360.11536781654723,0.18960486115606195,1309.8641263682746,8.419659610789983,7.277843571618092e-05,0.2548202067880856,7.916835454893462,-15798037.435353363,11034.332297702706,301.31114301565015,23774801.051567625,0.02019872227985977,218890.2117779237,-32.95040119306944,218611.91492952668,3.422122016445719,6595.24755859375,23732157.440478995,0.6988804721158486,-32.034769476215835,0.0,4.816835454893462,0.0,0.0,1194602.5464793728,23702072.093714245,-2.774883339629053e-05,-9.716770234260878,9.90139996857452e-07,8.270178366028041e-08,1.9678470639695212e-05,0.741466063286249,0.7347544600335593,14.578240465180704,0.0,4.994438186133598,0.006765522497760852,0.0,0.0,-530.6425593722159,-530.6425593722159,0.0,-2.2319537321101042e-05,0.0
296.5499999999889,31474.443184347074,29269.250729423242,-51.73590072211609,-1029.1949322165256,1.5204975143277266,0.0004778268096416143,4.662162936867286,-3.1416654225395595,1625193.028468918,1280911.6594185887,0.5157316327095032,0.031463224440813065,0.01034503444713309,10899.04229512285,360.03405688717373,0.18962565653110136,1330.2310902377749,8.35495492715517,7.285110324861677e-05,0.306136345146265,7.917048547230111,-15792135.274678962,11137.04954397369,301.24310953435787,23773912.90886734,0.020522056827300704,222201.52754456838,-32.95018810073279,221922.2508469223,3.421224724815937,6597.0390625,23738497.62217589,0.6990354464702176,21.221914439282497,0.0,4.817048547230112,0.0,0.0,1193798.0455473668,23708460.84385272,1.811067413831635e-05,-9.7170828314201,-6.555804075557016e-07,8.402124659110466e-08,-1.30416214601313e-05,0.7413352189857545,0.7345576953846737,14.58808918605089,0.0,5.00606355562852,0.00686417657577235,0.0,0.0,1232.6514059176852,1232.6514059176852,0.0,5.1848907272556015e-05,0.0
296.64999999998884,31469.274228174785,29166.362572873368,-51.66176148489808,-1028.693449133658,1.5205450509329044,0.0004725675591973473,4.66221038279026,-3.1416653318573555,1624533.1455343477,1280251.7764840184,0.5158715844154358,0.03174319490790367,0.012066284410685517,11062.676279985582,359.95276456088345,0.1896463176274377,1350.9146829673582,8.29074766562027,7.263259020540147e-05,0.35757076687324885,7.917261812374033,-15786230.73947227,11388.359541306789,301.1750915948735,23773024.052212767,0.020850566330080526,225562.14887692887,-32.94997483558887,225274.48474352408,3.420323001676841,6598.8291015625,23744831.569655914,0.6991904628881839,-72.13545943805345,0.0,4.817261812374033,0.0,0.0,1192986.1369689407,23714843.671176247,-6.064946765627077e-05,-9.717395291605332,2.227185951182507e-06,8.53615096354436e-08,4.434791869521678e-05,0.7412912494025373,0.7343562919896837,14.597943868591162,0.0,5.017722522719076,0.006964242731809937,0.0,0.0,-1837.0367547389833,-1837.0367547389833,0.0,-7.727400395945815e-05,0.0
296.74999999998875,31464.11268518404,29063.524637652867,-51.58763552205355,-1028.190797150891,1.5205923680899753,0.00047556142203160226,4.662257805447382,-3.141665437357407,1623873.0835836641,1279591.7145333348,0.5160115361213684,0.032023102045059204,0.013786694205026526,11228.735523033158,359.87149094623726,0.18966752228516917,1371.9197967082252,8.227034088955806,7.281952231075195e-05,0.40912388842976705,7.917475250444683,-15780323.829227502,11435.260065936547,301.10708928792934,23772134.481009778,0.021184333132378125,228973.60851560778,-32.949761397518216,228687.88760838268,3.4194168297527034,6600.61962890625,23751161.30874902,0.6993455213625775,41.41136393879179,0.0,4.817475250444684,0.0,0.0,1192183.5112765098,23721221.76426958,3.43026030101834e-05,-9.717707614441457,-1.2778898274128323e-06,8.672320368460475e-08,-2.5469563530527092e-05,0.7411271767766441,0.7341605223516146,14.60780525527285,0.0,5.029427730211546,0.007065766911241734,0.0,0.0,1913.890601186054,1913.890601186054,0.0,8.050983401237923e-05,0.0
296.84999999998865,31458.958554177505,28960.737040908374,-51.513517475568435,-1027.686972308962,1.5206400028140064,0.0004744521385760454,4.662305209973417,-3.141665207159411,1623212.8426168673,1278931.473566538,0.516151487827301,0.032302938401699066,0.015506261870371343,11397.255103204294,359.79023615224304,0.18968844977058627,1393.251398121676,8.163810487085794,7.256490944307359e-05,0.46079614094187316,7.917688861571481,-15774414.543437691,11712.296703957543,301.03910270464047,23771244.194622558,0.02152344087107541,232435.66187434175,-32.94954778639142,232140.39799737284,3.4185061912837584,6602.40966796875,23757490.86564742,0.6995006218933988,-73.24955206487829,0.0,4.81768886157148,0.0,0.0,1191370.3074304846,23727600.153026298,-5.977823654740311e-05,-9.718019799551932,2.2591493419963147e-06,8.810628802133486e-08,4.506969162746615e-05,0.7410983000421302,0.7339581576435863,14.617676456264219,0.0,5.04116874726366,0.007168738344158102,0.0,0.0,-1857.7903702801402,-1857.7903702801402,0.0,-7.815284530627987e-05,0.0
296.94999999998856,31453.811834514374,28857.99990017391,-51.43940878611101,-1027.181970453825,1.5206872054145808,0.0004729092094620112,4.662352594902215,-3.141665389487634,1622552.4226949923,1278271.053644663,0.5162913799285889,0.032582707703113556,0.017224985440454546,11568.270587342582,359.70900028832114,0.18970992382903917,1414.9145294981415,8.10107317685927,7.271500232075567e-05,0.5125879406024781,7.917902645869113,-15768502.882188203,11779.657948768321,300.97113193646345,23770353.19247647,0.02186797449577645,235950.06045015992,-32.94933400209379,235655.83225711994,3.4175910686726514,6604.19921875,23763816.266913027,0.6996557644698933,24.32594733177705,0.0,4.817902645869112,0.0,0.0,1190566.2887809554,23733973.866161108,1.955868799768945e-05,-9.718331846559,-7.498522862579044e-07,8.95114789903571e-08,-1.4973631445695464e-05,0.7409459294200644,0.7337613701278595,14.627554422395772,0.0,5.0529572346372,0.007273208720637262,0.0,0.0,1366.8390822525278,1366.8390822525278,0.0,5.750184152438865e-05,0.0
