time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],mass_propellant[kg],gimbalangle[deg],nonnominalthrottle[0-1],u0,u1
32.100000000000186,138.9106780278914,3823.659454234731,10.56041361257625,253.36702976210293,1.503909340738174,-0.0029145113333405043,-0.02523079804066719,7705951.935872531,4139026.60884817,-4.384386423768676,0.9630767538590224,-0.6263409176812395,0.9261535077180447
32.20000000000019,139.97188777445476,3849.083863569697,10.61209746563359,254.2440933496565,1.5036144527248057,-0.00294888013368248,-0.025466289165323897,7701795.4741885485,4134870.147164188,-4.483670365700606,0.9269253068539518,-0.6405243379572294,0.8538506137079036
32.30000000000019,141.03806876481846,3874.5927616313124,10.661809903636948,255.08898061615636,1.5033160674032644,-0.0029838532154159727,-0.025708137928926345,7697712.351708911,4130787.024684551,-4.5822078703652425,0.8929855207586201,-0.6546011243378917,0.7859710415172403
32.40000000000019,142.10904128225823,3900.183141587667,10.7097251743978,255.9037995635438,1.5030141890492539,-0.0030187835401033554,-0.02595595477842294,7693697.79747046,4126772.4704460995,-4.679578788385976,0.8612560883295317,-0.6685112554837108,0.7225121766590634
32.50000000000019,143.18464210275027,3925.852195245582,10.756008204920311,256.69053657915185,1.5027088827501258,-0.0030530629912819173,-0.026209314331577804,7689747.321102094,4122821.9940777337,-4.77565916376742,0.8316069776327772,-0.6822370233953456,0.6632139552655545
32.60000000000019,144.26472352868126,3951.597300813913,10.800814259309982,257.45105568330814,1.5024002701640424,-0.003086125860833245,-0.026467759712003103,7685856.713385456,4118931.386361096,-4.870338501006402,0.8039078940398259,-0.6957626430009145,0.6078157880796518
32.700000000000195,145.3491524439976,3977.4160113566286,10.844289153163553,258.18710542715377,1.5020885249844202,-0.0031174517962173957,-0.026730806375121263,7682022.030017278,4115096.702992918,-4.963501151210682,0.778036056625866,-0.7090715930300975,0.5560721132517319
32.800000000000196,146.43780939481496,4003.3060439449014,10.88656950817355,258.900325882726,1.5017738681525088,-0.0031465683191148662,-0.026997946161162245,7678239.5752687035,4111314.2482443433,-5.055025602497853,0.7538762457568127,-0.7221465146425504,0.5077524915136253
32.9000000000002,147.53058769620225,4029.265269470821,10.927783013872773,259.59225525919527,1.501456562861526,-0.003173052909830931,-0.02726865157132985,7674505.886560302,4107580.5595359416,-5.144785161672268,0.7313203792722223,-0.7349693088103241,0.46264075854444453
33.0000000000002,148.627392565674,4055.2917030843096,10.968048694717437,260.26433613488643,1.5011369093967337,-0.003196534647921508,-0.027542380215886952,7670817.719965775,4103892.3929414134,-5.232648902624719,0.7102670828341795,-0.7475212718035312,0.420534165668359
33.1000000000002,149.72814028394697,4081.383495216638,11.007477182729636,260.9179213232853,1.5008152398564416,-0.00321669540292044,-0.027818579380632702,7667172.03659528,4100246.709570919,-5.318482784422457,0.6906212831651359,-0.7597832549174939,0.38124256633027187
33.2000000000002,150.83275738354888,4107.5389231558665,11.046170996018972,261.5542793922869,1.5004919127991447,-0.0032332705729680193,-0.028096690659198176,7663565.989807912,4096640.662783551,-5.402150908300447,0.6722938248168764,-0.771735844042921,0.34458764963375277
33.3000000000002,151.94117986589416,4133.75638314139,11.084224823452866,262.1745998552371,1.500167307861837,-0.003246049373077793,-0.028376154600027403,7659996.913205213,4093071.586180852,-5.483516885445728,0.6552011093526189,-0.7833595550636755,0.31040221870523776
33.400000000000205,153.05335244746058,4160.034382946542,11.12172581566438,262.7799980515187,1.4998418203939707,-0.0032548746786620953,-0.028656415318715878,7656462.309360162,4089536.982335801,-5.562445286660303,0.6392647557599052,-0.7946350409514719,0.2785295115198103
33.500000000000206,154.1692278357093,4186.3715349199065,11.158753882487384,263.3715197336462,1.4995158561505983,-0.0032596424337242307,-0.028936925028475224,7652959.839238468,4086034.5122141056,-5.63880314465501,0.6244112809563229,-0.8055433063792871,0.24882256191264585
33.60000000000021,155.2887660353889,4212.766549457613,11.195381996795925,263.9501453770694,1.49918982608692,-0.0032603006367800144,-0.029217148443902996,7649487.312271303,4082561.98524694,-5.712461480057723,0.6105717992995707,-0.8160659257225318,0.22114359859914146
33.70000000000021,156.4119336858491,4239.218228880428,11.231676504602166,264.5167942281481,1.4988641412948147,-0.0032568479210544413,-0.02949656701593062,7646042.677040834,4079117.3500164715,-5.78329682315872,0.5976817400627943,-0.8261852604512457,0.19536348012558857
33.80000000000021,157.53870342996294,4265.725461690932,11.267697441138276,265.07232810504456,1.4985392081199365,-0.0032493317487844557,-0.029774682958784826,7642624.012541968,4075698.685517606,-5.851192704842247,0.5856805818830346,-0.8358846721203209,0.17136116376606925
33.90000000000021,158.66905331521454,4292.2872171874915,11.303498852516167,265.6175549655934,1.4982154234956855,-0.0032378462425105207,-0.03005102303298246,7639229.519985735,4072304.192961373,-5.916041092012637,0.5745116032368647,-0.8451487274303767,0.14902320647372935
34.00000000000021,159.8029662274573,4318.902540413046,11.339129122427549,266.15323225554437,1.4978931705277818,-0.0032225296790369365,-0.03032514205179737,7635857.5151116345,4068932.1880872715,-5.977743744989629,0.5641216480411781,-0.8539633921413756,0.1282432960823563
34.100000000000215,160.94042935777915,4345.5705474180395,11.374631303218502,266.68007004993444,1.4975728143603557,-0.0032035616742580836,-0.030596626082220135,7632506.4209780535,4065581.0939536905,-6.036213476760335,0.5544609055197847,-0.8623162109657622,0.10892181103956933
34.200000000000216,162.08143370283415,4372.2904208180125,11.410043450550036,267.1987339997305,1.4972546983514292,-0.003181160089266742,-0.030865095315169677,7629174.761201611,4062249.4341772473,-6.091375296545118,0.5454827035176191,-0.8701964709350167,0.09096540703523814
34.30000000000022,163.22597359890827,4399.061405627542,11.445398960741118,267.7098480952917,1.4969391405824228,-0.0031555776900647004,-0.031130206583565245,7625861.153617877,4058935.8265935136,-6.143167422800838,0.537143314483377,-0.8775953461144054,0.07428662896675409
34.40000000000022,164.3740462898868,4425.882805353304,11.480726909785258,268.21399725762933,1.4966264307229453,-0.003127098594775452,-0.03139165551080669,7622564.304337518,4055638.9773131553,-6.191542153468893,0.5294017733797629,-0.8845060219241275,0.058803546759525815
34.50000000000022,165.52565152918058,4452.753978330094,11.516052392937825,268.7117297678913,1.4963168272685954,-0.0030960345435000498,-0.03164917827618274,7619283.002173362,4052357.675148999,-6.236466583961631,0.5222197068168644,-0.8909237977088044,0.04443941363372872
34.60000000000022,166.68079121554956,4479.67433428459,11.551396863689803,269.203559544969,1.4960105551659095,-0.003062721026859312,-0.03190255298772615,7616016.113415306,4049090.786390943,-6.277923165986199,0.5155611727391984,-0.896846166569457,0.031122345478396873
34.70000000000022,167.8394690626372,4506.643331112651,11.586778470876173,269.6899682806097,1.495707803834927,-0.0030275133098248727,-0.03215160065700107,7612762.576931344,4045837.2499069814,-6.315910102818672,0.5093925100311014,-0.9022728718312388,0.01878502006220284
34.800000000000225,169.0016903018986,4533.660471856744,11.622212392614122,270.17140744092603,1.4954087255961614,-0.002990782387657953,-0.0323961857742201,7609521.399574243,4042596.072549881,-6.350441579038447,0.503682197437465,-0.9072059398626352,0.007364394874930014
