#{"t_start": 1742555851.5384393, "env_id": "None"}
r,l,t
-16.442411,101,606.341935
-16.336537,101,608.701874
-16.248997,101,610.72489
-16.356044,101,612.82413
-16.230062,101,614.856566
-16.234255,101,616.826885
-16.558402,101,618.908534
-16.476026,101,621.215227
-16.356922,101,623.049509
-16.35709,101,624.885546
-16.366845,101,627.724597
-16.331736,101,629.734568
-16.221828,101,631.828406
-16.438993,101,633.890992
-16.352728,101,636.07175
-20.278118,5,636.185566
-20.330961,1,636.214753
-20.330972,1,636.245775
-16.433522,101,638.502749
-16.599283,101,641.055287
-16.353437,101,643.673104
-16.354038,101,645.962387
-16.338243,101,648.389506
-16.416268,101,650.738705
-16.546762,101,652.661957
-16.323911,101,654.489953
-16.48813,101,656.835669
-16.512887,101,658.774266
-20.33096,1,658.78873
-16.405555,101,661.124033
-16.423488,101,663.820015
-16.394268,101,665.720165
-16.504117,101,668.055022
-16.621946,101,669.922575
-16.398854,101,672.164199
-16.354839,101,675.452772
-16.643506,101,677.674992
-16.278249,101,679.720098
-16.553983,101,681.651302
-16.437361,101,683.7827
-16.453921,101,685.608626
-16.560857,101,687.441979
-16.415236,101,689.719718
-16.587331,101,691.791618
-16.419772,101,694.045225
-16.569276,101,695.878601
-16.604834,101,698.084094
-16.753166,101,700.1342
-16.792453,101,702.583594
-16.58059,101,705.130221
-16.645638,101,707.066711
-16.64348,101,709.119983
-16.696364,101,710.993727
-16.639913,101,712.870218
-16.731547,101,714.754379
-16.738445,101,716.610558
-16.569406,101,718.861063
-16.671776,101,720.958601
-16.441144,101,722.844429
-16.801195,101,725.075636
-17.28268,101,726.911518
-17.323512,101,728.740454
-16.973115,101,730.986221
-16.657496,101,732.82325
-16.835532,101,734.693175
-16.793597,101,736.853049
-20.330958,1,736.911921
-16.864437,101,738.7755
-20.330964,1,738.790104
-16.768114,101,740.655753
-16.594732,101,742.625747
-16.717054,101,744.749936
-16.893194,101,746.583405
-16.829726,101,748.411171
-20.330967,1,748.426067
-16.853108,101,750.683246
-16.717221,101,752.525043
-16.869793,101,754.359529
-16.918776,101,756.613942
-16.739008,101,758.453645
-16.718086,101,760.305333
-16.799835,101,762.320665
-17.022775,101,764.732704
-16.741042,101,766.613617
-16.920235,101,768.485097
-16.738315,101,770.354043
-16.915763,101,772.320303
-16.976661,101,774.442497
-16.816994,101,776.320067
-16.853481,101,778.044012
-16.922322,101,780.897629
-16.881379,101,783.381724
-16.816059,101,785.73663
-16.939335,101,788.149567
-17.201003,101,790.147335
-16.964446,101,792.591641
-17.015789,101,794.516634
-17.026342,101,796.436778
-16.854631,101,798.80115
-16.914892,101,800.735177
-16.821512,101,802.982609
-16.863875,101,804.822155
-16.935364,101,806.62646
-16.920662,101,808.540365
-17.012002,101,810.7026
-17.060191,101,812.565544
-17.290082,101,814.395182
-17.164639,101,816.63169
-17.056164,101,818.745759
-17.116662,101,820.580666
-16.69507,101,822.403485
-17.184957,101,824.653186
-17.137101,101,827.16865
-17.267559,101,829.701922
-17.078098,101,831.683162
-17.14575,101,833.893012
-17.206957,101,836.196994
-16.911669,101,838.249523
-17.001263,101,840.106854
-17.026946,101,841.987232
-17.086459,101,844.322006
-16.854329,101,846.71961
-17.11121,101,848.778747
-17.260342,101,851.268907
-16.99828,101,853.114656
-17.302121,101,854.962946
-17.075822,101,856.959369
-17.367331,101,859.073419
-17.308087,101,860.917023
-17.373894,101,862.762682
-17.356512,101,864.975236
-16.979675,101,866.789432
-17.116912,101,868.838092
-17.218135,101,871.057544
-17.177753,101,872.888589
-17.263188,101,874.708631
-17.046244,101,876.960247
-17.24506,101,878.797255
-17.658556,101,880.632471
-17.332403,101,882.512747
-17.532149,101,884.709139
-17.497439,101,886.55311
-17.6488,101,888.43568
-17.472634,101,890.682224
-16.723421,101,892.516557
-17.560279,101,894.354562
-17.114786,101,896.624714
-17.465857,101,898.554403
-17.655182,101,900.613653
-17.16079,101,902.705708
-17.544067,101,904.654054
-17.501585,101,906.846483
-17.178771,101,909.69725
-17.502607,101,912.5634
-17.643933,101,915.003668
-17.776449,101,917.702563
-20.238422,8,917.820086
-20.238475,8,918.003634
-17.817327,91,920.296354
-17.88207,101,923.326854
-17.225431,101,925.871077
-17.497521,101,927.979962
-19.894895,34,929.04608
-17.94401,101,930.996488
-17.58047,101,933.102395
-20.330961,1,933.118578
-17.487289,101,935.592711
-17.173852,101,937.464805
-16.855484,101,939.447815
-17.776175,101,941.58465
-17.489609,101,943.399817
-20.330967,1,943.414651
-17.463174,101,945.520639
-17.462649,101,948.095173
-16.582008,56,949.119887
-19.81565,40,949.944544
-16.656547,58,951.186631
-17.899102,101,953.042216
-18.049174,101,954.864669
-16.571843,56,956.055526
-17.942686,97,957.84015
-16.388561,51,958.969504
-17.246018,75,960.673728
-17.375739,101,962.624258
-17.29881,101,964.713653
-20.330966,1,964.7281
-20.330963,1,964.742532
-17.649537,101,966.945904
-20.106348,18,967.209647
-20.330956,1,967.224564
-17.113566,101,969.113402
-18.085947,101,971.297588
-17.878944,101,973.170749
-17.742877,101,975.010533
-17.296403,101,977.26096
-17.592369,101,979.650548
-17.400986,101,982.03384
-18.010308,101,984.443081
-17.105455,101,986.967217
